4340509.632759;515124.059630;1.324000;;
4340509.629933;515124.057440;1.324000;;
4340509.634617;515124.047185;1.312000;;
4340509.583969;515124.126321;1.444000;;
4340509.574591;515124.141708;1.440000;;
4340509.573658;515124.145369;1.447000;;
4340509.579284;515124.135844;1.448000;;
4340509.572687;515124.130002;1.437000;;
4340509.366128;515124.340439;1.365000;;
4340509.358585;515124.331671;1.370000;;
4340509.359549;515124.343379;1.375000;;
4340504.826583;515127.531977;2.528000;;
4340504.824704;515127.533444;2.523000;;
4340504.819997;515127.531989;2.527000;;
4340504.821879;515127.531986;2.529000;;
4340504.820935;515127.530524;2.528000;;
4340504.158992;515128.196313;2.211000;;
4340504.162768;515128.202892;2.212000;;
4340504.168414;515128.203613;2.210000;;
4340502.429944;515130.657168;2.039000;;
4340502.435584;515130.654961;2.027000;;
4340502.433709;515130.657892;2.028000;;
4340499.269793;515133.004430;1.449000;;
4340499.277314;515133.002220;1.450000;;
4340499.266986;515133.012486;1.451000;;
4340497.114505;515134.451052;1.188000;;
4340497.113565;515134.451786;1.186000;;
4340497.108872;515134.456918;1.199000;;
4340497.114519;515134.458371;1.193000;;
4340496.142914;515135.044257;1.252000;;
4340496.141985;515135.050114;1.257000;;
4340496.140088;515135.042067;1.254000;;
4340496.145729;515135.040593;1.256000;;
4340496.142902;515135.037671;1.250000;;
4340493.894886;515136.694511;1.255000;;
4340493.894903;515136.703293;1.262000;;
4340493.895843;515136.702560;1.259000;;
4340493.896783;515136.702558;1.252000;;
4340491.487285;515138.528035;1.050000;;
4340491.492916;515138.520706;1.050000;;
4340491.485407;515138.529502;1.052000;;
4340491.489178;515138.533886;1.044000;;
4340488.885632;515140.714682;0.750000;;
4340488.884674;515140.705902;0.742000;;
4340488.891238;515140.694911;0.741000;;
4340486.011712;515142.699869;0.689000;;
4340486.016402;515142.692542;0.690000;;
4340486.013577;515142.691084;0.689000;;
4340482.837422;515145.517010;0.534000;;
4340482.831812;515145.534585;0.538000;;
4340482.827114;515145.537521;0.541000;;
4340482.814898;515145.544863;0.547000;;
4340482.801754;515145.558794;0.550000;;
4340480.710298;515147.418057;0.611000;;
4340480.706507;515147.403427;0.611000;;
4340480.691476;515147.414434;0.618000;;
4340480.693360;515147.415894;0.615000;;
4340480.082406;515148.178191;0.893000;;
4340480.083366;515148.187703;0.896000;;
4340480.088074;515148.189889;0.893000;;
4340477.634097;515150.363815;1.029000;;
4340477.635029;515150.359422;1.028000;;
4340477.619979;515150.360183;1.025000;;
4340475.115906;515152.411990;0.710000;;
4340475.120613;515152.413445;0.704000;;
4340475.116858;515152.417843;0.715000;;
4340470.304032;515155.364774;0.698000;;
4340470.299355;515155.378688;0.692000;;
4340470.284326;515155.390426;0.691000;;
4340470.281518;515155.397750;0.692000;;
4340466.652475;515158.992998;0.821000;;
4340466.647767;515158.990811;0.824000;;
4340466.640248;515158.994485;0.824000;;
4340461.892159;515163.306183;1.162000;;
4340461.885574;515163.306195;1.169000;;
4340461.886523;515163.310585;1.164000;;
4340461.892169;515163.311305;1.160000;;
4340456.598864;515167.353283;1.249000;;
4340456.593229;515167.358417;1.254000;;
4340456.594184;515167.365734;1.264000;;
4340454.046194;515169.569128;1.380000;;
4340454.049966;515169.573512;1.381000;;
4340454.039640;515169.585241;1.376000;;
4340451.408268;515171.480693;1.489000;;
4340451.428967;515171.482117;1.485000;;
4340451.419546;515171.474817;1.488000;;
4340451.398872;515171.486566;1.492000;;
4340451.400756;515171.488026;1.487000;;
4340448.235045;515174.357867;1.464000;;
4340448.227565;515174.381300;1.461000;;
4340448.207819;515174.386461;1.463000;;
4340448.240776;515174.402498;1.461000;;
4340444.248544;515177.478129;1.484000;;
4340444.243842;515177.478870;1.482000;;
4340444.244787;515177.481063;1.485000;;
4340444.245741;515177.487648;1.479000;;
4340439.033295;515181.502410;1.566000;;
4340439.037058;515181.502402;1.572000;;
4340439.037090;515181.519235;1.568000;;
4340437.997298;515182.354091;1.456000;;
4340438.003879;515182.351882;1.453000;;
4340438.003873;515182.348955;1.448000;;
4340438.001998;515182.352618;1.454000;;
4340435.532577;515184.803965;1.195000;;
4340435.537272;515184.799565;1.190000;;
4340435.531640;515184.806163;1.191000;;
4340432.666606;515187.001402;0.668000;;
4340432.664732;515187.005065;0.670000;;
4340432.664719;515186.998478;0.666000;;
4340430.861502;515188.557880;0.532000;;
4340430.855876;515188.567405;0.542000;;
4340430.861502;515188.557880;0.535000;;
4340430.110204;515189.229708;0.520000;;
4340430.124287;515189.215044;0.518000;;
4340430.118658;515189.223105;0.522000;;
4340430.115861;515189.236284;0.517000;;
4340428.892852;515190.189325;0.298000;;
4340428.907894;515190.184173;0.290000;;
4340428.913538;515190.184162;0.285000;;
4340427.003143;515191.778170;0.098000;;
4340427.000332;515191.784030;0.100000;;
4340427.000335;515191.785494;0.103000;;
4340426.997518;515191.788427;0.107000;;
4340424.544531;515193.012444;-0.162000;;
4340424.535096;515192.997826;-0.166000;;
4340424.536063;515193.011729;-0.170000;;
4340424.104153;515193.442161;-0.230000;;
4340424.117305;515193.432621;-0.224000;;
4340424.124821;515193.427484;-0.222000;;
4340423.860214;515193.780015;-0.335000;;
4340423.872442;515193.779259;-0.338000;;
4340423.870570;515193.784386;-0.337000;;
4340423.868706;515193.793172;-0.336000;;
4340423.499458;515194.033934;-0.356000;;
4340423.493815;515194.034677;-0.360000;;
4340423.499452;515194.031007;-0.358000;;
4340423.503226;515194.036854;-0.355000;;
4340423.191539;515194.367522;-0.410000;;
4340423.192470;515194.362397;-0.411000;;
