4340508.228060;515122.032228;1.188000
4340508.227138;515122.041744;1.190000
4340508.205519;515122.051299;1.192000
4340508.193285;515122.049128;1.192000
4340508.202695;515122.050573;1.192000
4340508.203639;515122.052035;1.194000
4340508.205517;515122.050568;1.198000
4340508.205517;515122.050568;1.195000
4340507.221717;515125.088131;1.525000
4340507.213300;515125.113762;1.524000
4340507.219878;515125.110090;1.525000
4340507.227382;515125.098366;1.523000
4340507.233077;515125.124701;1.525000
4340507.221811;515125.136432;1.523000
4340507.231198;515125.126168;1.518000
4340507.237774;515125.121033;1.520000
4340505.895862;515127.834354;2.144000
4340505.889424;515127.910477;2.232000
4340505.893169;515127.900956;2.235000
4340505.892221;515127.897299;2.240000
4340505.882867;515127.925127;2.242000
4340505.884719;515127.909755;2.232000
4340503.038065;515129.401622;2.086000
4340503.097271;515129.370038;2.083000
4340503.084154;515129.397873;2.088000
4340503.085093;515129.397140;2.087000
4340503.103908;515129.397103;2.089000
4340503.105786;515129.394904;2.087000
4340503.102973;515129.400032;2.087000
4340503.127437;515129.402181;2.086000
4340503.128389;515129.408033;2.093000
4340500.606938;515131.718931;1.617000
4340500.688767;515131.710723;1.620000
4340500.688756;515131.704868;1.626000
4340500.681234;515131.707078;1.624000
4340500.674652;515131.708555;1.624000
4340500.668068;515131.709299;1.624000
4340500.686870;515131.702676;1.623000
4340497.721614;515134.132260;1.107000
4340497.725406;515134.146889;1.109000
4340497.725428;515134.158599;1.116000
4340497.725418;515134.153476;1.117000
4340497.733867;515134.143946;1.117000
4340497.708452;515134.136677;1.115000
4340497.709348;515134.113256;1.107000
4340497.613428;515134.132469;1.109000
4340497.597455;515134.142746;1.120000
4340497.602150;515134.138346;1.123000
4340493.844644;515136.497012;1.184000
4340493.850292;515136.498465;1.180000
4340493.853132;515136.507973;1.177000
4340493.868197;515136.514531;1.174000
4340493.862586;515136.532106;1.177000
4340493.872946;515136.537940;1.173000
4340493.856001;515136.532118;1.173000
4340493.848478;515136.533597;1.172000
4340493.844709;515136.530677;1.173000
4340490.754942;515139.760405;0.803000
4340490.784110;515139.762545;0.810000
4340490.767197;515139.773555;0.809000
4340490.757803;515139.780160;0.803000
4340490.759671;515139.773569;0.800000
4340490.759691;515139.783815;0.796000
4340490.767203;515139.776482;0.801000
4340490.772828;515139.766226;0.809000
4340490.765310;515139.770631;0.808000
4340490.770025;515139.776477;0.804000
4340490.770975;515139.780866;0.803000
4340487.910655;515142.474447;0.681000
4340487.936053;515142.472934;0.674000
4340487.944524;515142.475113;0.673000
4340487.945453;515142.469257;0.670000
4340487.943567;515142.467065;0.676000
4340487.950192;515142.487543;0.678000
4340487.930350;515142.442940;0.680000
4340487.928535;515142.477340;0.684000
4340487.925704;515142.472954;0.679000
4340487.943549;515142.457551;0.673000
4340487.968949;515142.457502;0.667000
4340487.947320;515142.461935;0.672000
4340483.229321;515145.312800;0.478000
4340483.242474;515145.303992;0.474000
4340483.200214;515145.342130;0.472000
4340483.160700;515145.340742;0.470000
4340483.156942;515145.343677;0.476000
4340483.233062;515145.301815;0.478000
4340483.228403;515145.324511;0.477000
4340483.226481;515145.304023;0.477000
4340483.228386;515145.315729;0.477000
4340483.227449;515145.317926;0.484000
4340483.226508;515145.317928;0.486000
4340483.228391;515145.318656;0.480000
4340481.738851;515147.578534;0.519000
4340481.719147;515147.604918;0.511000
4340481.720080;515147.601257;0.513000
4340481.717262;515147.603458;0.513000
4340481.717257;515147.600531;0.513000
4340481.714439;515147.602732;0.514000
4340481.707859;515147.605672;0.514000
4340481.709722;515147.596155;0.511000
4340481.707835;515147.593231;0.515000
4340481.706905;515147.599087;0.515000
4340479.718108;515150.004105;0.819000
4340479.724718;515150.017266;0.814000
4340479.708809;515150.060475;0.817000
4340479.705981;515150.057553;0.813000
4340479.685295;515150.062716;0.816000
4340479.655205;515150.070093;0.812000
4340479.683463;515150.088334;0.813000
4340479.675953;515150.096399;0.816000
4340476.176316;515151.048713;0.815000
4340476.177258;515151.049443;0.809000
4340476.147251;515151.099266;0.809000
4340476.170720;515151.073607;0.802000
4340476.158486;515151.071435;0.807000
4340476.162233;515151.063377;0.807000
4340476.177299;515151.070666;0.803000
4340476.182925;515151.061142;0.808000
4340476.179165;515151.062613;0.806000
4340476.109592;515151.084703;0.809000
4340476.092701;515151.106690;0.805000
4340472.631762;515154.067102;0.617000
4340472.656182;515154.046563;0.613000
4340472.652487;515154.081699;0.616000
4340472.636525;515154.097830;0.618000
4340472.625238;515154.098584;0.608000
4340472.619588;515154.095667;0.605000
4340472.612090;515154.110319;0.605000
4340472.618638;515154.091278;0.612000
4340469.152051;515156.563565;0.676000
4340469.131566;515156.672649;0.679000
4340469.129619;515156.638988;0.669000
4340469.127718;515156.628746;0.671000
4340469.133366;515156.630931;0.676000
4340469.133317;515156.605317;0.677000
4340469.133270;515156.581166;0.666000
4340469.129508;515156.581905;0.676000
4340429.503786;515189.903451;0.680000
4340429.480232;515189.885201;0.685000
4340429.498085;515189.874188;0.681000
4340429.509371;515189.872703;0.674000
4340429.511242;515189.867576;0.671000
4340429.514998;515189.863910;0.666000
4340429.485832;515189.862503;0.670000
4340427.714990;515190.653406;0.676000
4340427.708401;515190.651223;0.678000
4340427.708432;515190.667324;0.682000
4340427.720646;515190.659250;0.677000
4340427.712178;515190.658534;0.679000
4340427.703711;515190.658551;0.681000
4340427.723448;515190.648998;0.679000
4340426.001190;515192.236055;0.270000
4340425.995548;515192.237530;0.273000
4340426.016180;515192.203825;0.278000
4340426.032189;515192.212576;0.274000
