dates,satname,nzd0368-0000,nzd0368-0001,nzd0368-0002,nzd0368-0003,nzd0368-0004,nzd0368-0005,nzd0368-0006,nzd0368-0007,nzd0368-0008,nzd0368-0009,nzd0368-0010,nzd0368-0011,nzd0368-0012,nzd0368-0013,nzd0368-0014,nzd0368-0015,nzd0368-0016,nzd0368-0017,nzd0368-0018,nzd0368-0019,nzd0368-0020,nzd0368-0021,nzd0368-0022,nzd0368-0023,nzd0368-0024,nzd0368-0025,nzd0368-0026,nzd0368-0027,nzd0368-0028,nzd0368-0029,nzd0368-0030,nzd0368-0031,nzd0368-0032,nzd0368-0033,nzd0368-0034,nzd0368-0035,nzd0368-0036,nzd0368-0037,nzd0368-0038,nzd0368-0039,nzd0368-0040,nzd0368-0041,nzd0368-0042,nzd0368-0043,nzd0368-0044,nzd0368-0045,nzd0368-0046,nzd0368-0047,nzd0368-0048,nzd0368-0049,nzd0368-0050,nzd0368-0051,nzd0368-0052,nzd0368-0053,nzd0368-0054,nzd0368-0055,nzd0368-0056,nzd0368-0057,nzd0368-0058,nzd0368-0059,nzd0368-0060,nzd0368-0061,nzd0368-0062,nzd0368-0063,nzd0368-0064,nzd0368-0065,nzd0368-0066,nzd0368-0067,nzd0368-0068,nzd0368-0069,nzd0368-0070,nzd0368-0071,nzd0368-0072,nzd0368-0073,nzd0368-0074,nzd0368-0075,nzd0368-0076,nzd0368-0077,nzd0368-0078,nzd0368-0079,nzd0368-0080,nzd0368-0081,nzd0368-0082,nzd0368-0083,nzd0368-0084,nzd0368-0085,nzd0368-0086,nzd0368-0087,nzd0368-0088,nzd0368-0089,nzd0368-0090,nzd0368-0091,nzd0368-0092,nzd0368-0093,nzd0368-0094,nzd0368-0095,nzd0368-0096,nzd0368-0097,nzd0368-0098,nzd0368-0099,nzd0368-0100,nzd0368-0101,nzd0368-0102
1999-08-17 22:12:26+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.10,375.68,379.66,373.43,376.41,382.42,378.65,385.10,376.45,380.12,379.99,375.66,380.68,380.14,378.75,378.81,383.69,390.74,397.41,398.26,410.33,422.47,426.96,439.11,453.20,459.36,443.33,444.29,444.83,443.62,439.01,435.27,430.27,435.65,444.60,447.09,457.55,468.04,472.28,468.99,472.01,478.98,479.16,474.47,475.65,472.52,472.04,482.58,482.37,497.80,502.55,502.98,492.01,493.35,,,,,,,,,,,,,,,,,,,,
1999-08-26 22:06:20+00:00,L7,397.03,410.86,409.71,402.29,388.61,371.28,357.28,346.74,342.10,338.60,346.21,346.82,348.31,352.30,359.26,345.42,343.25,338.50,336.93,340.69,340.57,337.36,348.46,349.26,361.48,338.63,,370.98,362.39,356.37,352.29,350.09,353.07,348.89,355.55,353.90,354.95,350.30,354.52,348.35,347.01,350.18,351.50,354.31,355.01,361.32,360.98,366.07,370.01,378.23,389.56,400.38,414.67,425.99,428.11,411.98,413.93,413.09,408.78,406.90,404.13,404.94,404.23,406.46,410.76,413.28,417.60,423.16,429.86,432.45,438.83,437.38,434.76,435.95,435.51,437.40,441.53,444.18,448.24,454.19,454.32,451.90,451.13,451.30,454.50,453.60,458.97,457.40,456.81,458.56,456.28,451.25,450.59,448.99,446.91,445.92,443.66,437.30,431.70,424.31,416.15,401.50,390.30
1999-09-18 22:12:27+00:00,L7,,,,,,,,,379.28,367.86,378.57,384.70,,283.92,358.78,380.36,376.15,377.03,375.63,374.10,373.17,378.87,385.00,390.85,400.46,,427.33,401.91,395.81,386.14,389.95,386.26,385.45,394.66,392.45,388.81,390.60,387.08,383.69,373.06,365.98,378.72,384.29,383.74,393.06,389.74,387.50,396.03,383.33,404.25,427.37,434.14,439.66,465.60,469.22,452.76,458.02,457.17,459.90,482.00,481.36,450.32,451.79,458.36,455.60,459.83,460.75,465.28,469.31,472.81,478.40,475.55,476.94,482.04,479.97,481.72,486.45,490.48,495.54,501.15,500.88,499.68,502.39,494.58,498.21,503.32,507.41,505.62,503.92,508.87,511.20,506.00,503.40,500.21,499.07,496.28,494.48,491.06,486.38,,270.22,247.34,233.29
1999-10-13 22:06:24+00:00,L7,414.91,432.74,431.58,429.49,419.36,407.77,391.99,386.59,376.10,381.03,386.00,390.94,392.86,399.92,392.58,377.19,373.03,372.60,369.93,369.11,375.51,381.50,397.84,405.72,412.43,339.81,391.62,401.35,392.70,385.83,381.11,376.32,374.68,377.36,382.65,381.68,378.31,378.55,371.13,372.33,373.43,369.27,371.08,370.98,374.54,379.91,391.56,396.38,402.89,406.25,416.19,429.92,442.66,453.10,449.31,436.22,439.38,436.22,435.37,430.22,428.13,427.50,429.71,434.70,434.12,436.45,443.47,449.01,455.05,458.54,462.72,463.66,462.56,460.69,461.65,462.55,468.05,472.43,475.54,481.75,481.93,477.68,478.13,480.11,476.43,480.53,480.04,485.35,482.44,487.05,483.44,477.79,476.11,475.11,473.96,467.58,466.45,462.99,461.87,460.21,451.83,435.92,429.30
1999-11-21 22:12:24+00:00,L7,,358.14,356.85,351.00,344.96,331.87,320.75,310.75,309.33,303.51,310.45,306.91,306.99,314.87,317.85,310.44,301.85,302.17,299.72,306.24,306.84,316.14,322.11,333.07,332.90,322.17,349.40,342.00,345.10,332.84,332.66,323.88,325.41,323.64,327.62,330.29,330.07,332.51,329.11,336.46,332.14,327.26,328.65,329.39,335.95,337.24,344.04,348.08,356.33,363.43,372.03,383.08,397.25,409.53,401.99,398.57,400.65,397.54,392.46,394.55,392.62,392.45,393.81,397.13,402.53,406.80,406.97,410.05,413.04,418.35,421.82,422.15,421.05,420.93,422.06,426.26,430.17,433.66,439.57,445.22,446.82,445.93,442.10,443.95,445.09,442.50,445.80,446.09,447.53,450.87,448.28,446.23,445.15,443.95,439.66,433.80,430.99,429.30,425.50,418.08,403.52,387.30,366.65
2000-02-09 22:12:19+00:00,L7,461.52,466.74,461.95,439.57,422.10,401.72,396.04,396.16,398.35,397.80,394.32,401.10,412.91,429.37,435.35,425.71,422.73,399.58,392.53,388.61,396.47,413.58,436.15,437.28,444.03,,469.74,474.91,448.89,441.45,421.37,416.70,413.60,407.87,398.64,391.00,398.98,416.05,413.97,426.33,417.95,420.22,415.27,417.07,420.04,418.15,424.49,423.38,423.48,423.21,443.77,453.93,465.32,478.10,471.78,475.35,487.25,480.25,471.87,458.29,454.30,456.12,455.66,456.45,469.58,469.90,475.74,476.61,480.34,482.73,482.15,476.76,477.28,481.34,482.43,484.41,489.43,495.16,498.43,504.20,508.76,507.21,506.19,506.51,508.06,509.57,510.75,515.15,515.63,522.79,517.92,516.57,512.48,512.22,512.87,501.85,494.34,488.92,485.33,485.58,482.10,473.51,467.74
2000-03-12 22:12:09+00:00,L7,514.46,528.68,534.76,532.14,519.39,494.03,454.04,410.43,397.11,395.71,425.53,443.98,456.62,468.64,477.56,468.52,464.06,456.11,454.44,442.88,409.79,427.13,440.59,468.44,424.66,,,,482.86,492.38,484.17,475.44,476.82,480.51,472.76,463.28,466.28,474.10,442.65,453.65,448.97,457.72,446.44,,452.07,467.25,470.93,469.53,475.29,485.42,509.32,494.48,512.23,536.18,542.15,527.40,523.31,506.26,491.24,463.75,450.63,459.12,458.85,466.18,489.66,485.88,507.34,519.17,524.21,530.56,530.76,534.43,533.41,531.54,529.35,514.76,499.58,519.68,532.69,542.82,545.11,538.10,537.92,544.83,550.01,549.91,551.88,556.55,551.47,549.94,545.80,547.62,545.22,540.77,545.90,546.78,541.81,540.66,534.37,533.99,536.69,531.36,524.15
2000-03-21 22:06:01+00:00,L7,407.18,416.17,426.56,420.92,412.07,392.92,370.61,360.00,357.35,349.88,356.93,363.99,377.44,382.68,389.37,370.25,361.88,352.96,353.34,351.74,352.25,353.92,359.38,370.45,379.78,376.21,392.48,382.53,382.32,376.00,373.47,365.93,363.49,358.72,360.00,358.73,364.43,364.97,360.73,361.10,360.53,360.62,362.53,362.23,364.05,365.86,366.33,372.40,382.91,391.96,398.59,409.34,421.81,436.56,431.36,425.08,420.28,414.69,414.53,410.04,409.02,409.21,412.62,415.27,417.55,419.22,421.74,426.46,426.87,438.46,441.60,437.38,440.99,439.30,438.60,439.22,442.32,445.40,446.21,450.91,454.75,453.66,450.24,449.97,447.75,451.52,452.20,452.97,456.28,456.97,457.19,455.98,449.42,448.45,442.14,440.91,437.61,433.70,430.48,428.11,419.92,413.27,401.44
2000-05-24 22:05:22+00:00,L7,,,,,,,,434.43,429.72,418.27,411.60,414.43,415.02,413.56,428.19,415.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.96,424.88,424.36,427.28,427.45,430.94,432.18,444.06,448.23,459.84,472.09,471.02,,466.62,468.04,465.47,458.83,453.85,454.79,458.45,461.10,469.81,470.71,474.92,475.85,488.25,490.05,492.72,488.86,486.36,487.81,487.59,487.59,489.70,493.25,501.83,513.10,509.47,505.93,503.96,503.82,509.29,509.90,509.80,510.40,513.17,514.94,514.29,515.50,517.57,513.46,516.19,510.46,513.07,509.51,503.28,508.56,497.01,494.90,488.70
2000-06-25 22:05:07+00:00,L7,460.97,484.14,476.51,473.17,452.22,431.83,421.24,415.35,413.31,422.07,433.93,424.56,417.64,420.49,409.01,394.98,384.39,390.49,391.19,383.07,386.04,395.35,417.17,430.75,442.82,418.62,443.33,455.81,438.50,442.16,431.46,429.52,415.35,417.51,414.53,412.76,410.43,404.40,410.46,403.07,396.50,400.36,401.94,399.74,404.56,409.71,410.00,417.62,417.65,423.04,436.69,444.61,455.19,461.19,458.09,,457.45,459.21,459.46,452.29,444.85,452.48,445.85,456.27,456.43,462.04,462.02,467.14,477.78,481.33,482.63,490.86,485.22,487.88,489.51,485.20,494.50,496.37,498.92,507.34,511.74,499.93,511.53,506.06,506.70,509.67,504.57,502.79,503.15,,,,,,,,,,,,,,
