dates,nzd0368-0000,nzd0368-0001,nzd0368-0002,nzd0368-0003,nzd0368-0004,nzd0368-0005,nzd0368-0006,nzd0368-0007,nzd0368-0008,nzd0368-0009,nzd0368-0010,nzd0368-0011,nzd0368-0012,nzd0368-0013,nzd0368-0014,nzd0368-0015,nzd0368-0016,nzd0368-0017,nzd0368-0018,nzd0368-0019,nzd0368-0020,nzd0368-0021,nzd0368-0022,nzd0368-0023,nzd0368-0024,nzd0368-0025,nzd0368-0026,nzd0368-0027,nzd0368-0028,nzd0368-0029,nzd0368-0030,nzd0368-0031,nzd0368-0032,nzd0368-0033,nzd0368-0034,nzd0368-0035,nzd0368-0036,nzd0368-0037,nzd0368-0038,nzd0368-0039,nzd0368-0040,nzd0368-0041,nzd0368-0042,nzd0368-0043,nzd0368-0044,nzd0368-0045,nzd0368-0046,nzd0368-0047,nzd0368-0048,nzd0368-0049,nzd0368-0050,nzd0368-0051,nzd0368-0052,nzd0368-0053,nzd0368-0054,nzd0368-0055,nzd0368-0056,nzd0368-0057,nzd0368-0058,nzd0368-0059,nzd0368-0060,nzd0368-0061,nzd0368-0062,nzd0368-0063,nzd0368-0064,nzd0368-0065,nzd0368-0066,nzd0368-0067,nzd0368-0068,nzd0368-0069,nzd0368-0070,nzd0368-0071,nzd0368-0072,nzd0368-0073,nzd0368-0074,nzd0368-0075,nzd0368-0076,nzd0368-0077,nzd0368-0078,nzd0368-0079,nzd0368-0080,nzd0368-0081,nzd0368-0082,nzd0368-0083,nzd0368-0084,nzd0368-0085,nzd0368-0086,nzd0368-0087,nzd0368-0088,nzd0368-0089,nzd0368-0090,nzd0368-0091,nzd0368-0092,nzd0368-0093,nzd0368-0094,nzd0368-0095,nzd0368-0096,nzd0368-0097,nzd0368-0098,nzd0368-0099,nzd0368-0100,nzd0368-0101,nzd0368-0102,satname
1999-08-17 22:12:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5388888888889,369.4636363636364,364.1642857142857,364.4836363636364,369.24,365.5423529411765,365.0436363636364,355.56857142857143,,,,,372.83857142857147,379.1488888888889,391.2188888888889,400.97,402.3885714285714,,434.0888888888889,440.2488888888889,418.75857142857143,425.17888888888893,423.33,424.5088888888889,417.51,413.77,408.77,411.0785714285714,420.02857142857147,418.4233333333333,436.05,443.46857142857147,455.08,447.49,443.3433333333333,450.31333333333333,450.49333333333334,452.97,454.15,447.9485714285714,,,453.7033333333333,476.3,477.97857142857146,478.40857142857146,467.43857142857144,471.85,,,,,,,,,,,,,,,,,,,,,L7
1999-08-26 22:06:20+00:00,,450.57428571428574,456.0433333333333,448.62333333333333,428.32428571428574,406.03,403.6133333333333,386.45428571428573,376.85,378.31428571428575,380.96,365.35333333333335,373.58272727272725,,387.06,376.30888888888893,378.0,366.3,364.73,375.44,368.37,365.16,376.26,384.01,401.19428571428574,369.5188888888889,,,,,,,,404.49,,384.7888888888889,380.22272727272724,370.15714285714284,379.79272727272723,365.725,363.3629411764706,375.45272727272726,391.2142857142857,400.6433333333333,401.3433333333333,,407.31333333333333,405.7842857142857,400.8988888888889,409.11888888888893,424.31,440.0942857142857,461.00333333333333,456.8788888888889,458.9988888888889,451.69428571428574,444.8188888888889,447.84,439.6688888888889,441.65,438.88,439.69,443.94428571428574,446.1742857142857,457.0933333333333,448.03,457.31428571428575,450.96000000000004,464.61,478.7833333333333,485.1633333333333,483.7133333333333,469.51,470.7,475.2242857142857,483.7333333333333,497.13,490.5133333333333,482.99,493.9042857142857,494.0342857142857,491.6142857142857,485.88,497.6333333333333,494.2142857142857,484.48888888888894,498.68428571428575,497.1142857142857,496.5242857142857,498.2742857142857,487.1688888888889,474.4166666666667,485.34,476.79,486.62428571428575,492.25333333333333,489.99333333333334,492.9,471.4142857142857,479.90999999999997,,,,L7
1999-09-18 22:12:27+00:00,,,,,,,,,365.53,352.1457142857143,364.82,377.3666666666667,,,347.78,368.1377777777778,362.4,366.03,364.63,360.35,362.17,367.87,374.0,377.1,384.74571428571426,,399.83,374.41,368.31,358.64,362.45,358.76,357.95,372.66,370.45,376.5877777777778,380.6,379.22285714285715,373.69,366.185,359.5094117647059,368.72,368.5757142857143,365.4066666666667,374.7266666666667,367.74,369.1666666666667,380.31571428571425,371.10777777777776,392.02777777777777,413.62,418.42571428571426,421.3266666666667,453.3777777777778,456.9977777777778,437.04571428571427,445.79777777777775,443.42,447.67777777777775,468.25,467.61,436.57,436.0757142857143,442.6457142857143,437.2666666666667,446.08,445.0357142857143,454.28,455.56,454.4766666666667,460.06666666666666,457.2166666666667,463.19,468.29,464.2557142857143,463.3866666666667,464.45,472.1466666666667,481.79,485.43571428571425,485.1657142857143,483.9657142857143,488.64,476.24666666666667,482.49571428571426,491.09777777777776,491.6957142857143,489.9057142857143,488.2057142857143,493.1557142857143,498.97777777777776,496.8333333333333,489.65,489.21,483.35571428571427,477.94666666666666,476.1466666666667,469.06,470.6657142857143,,,,,L7
1999-10-13 22:06:24+00:00,408.91,428.45428571428573,426.58,424.49,415.07428571428574,404.02,386.99,382.3042857142857,372.35,376.7442857142857,382.25,388.94,390.13272727272727,,,373.8566666666667,369.28,369.6,366.93,365.36,372.51,378.5,394.84,401.97,408.14428571428573,336.4766666666667,384.12,393.85,385.2,378.33,373.61,368.82,367.18,371.36,376.65,378.3466666666667,375.58272727272725,376.40714285714284,368.40272727272725,370.455,371.6652941176471,366.54272727272723,366.7942857142857,365.98,369.54,373.91,386.56,392.0942857142857,399.5566666666667,402.9166666666667,412.44,425.63428571428574,437.66,449.7666666666667,445.9766666666667,431.93428571428575,436.0466666666667,432.47,432.0366666666667,426.47,424.38,423.75,425.4242857142857,430.4142857142857,429.12,432.7,439.18428571428575,446.01,451.3,453.54,457.72,458.66,458.81,456.94,457.3642857142857,457.55,462.05,467.43,471.79,477.4642857142857,477.64428571428573,473.39428571428573,474.38,475.11,472.14428571428573,477.19666666666666,475.75428571428574,481.06428571428575,478.1542857142857,482.76428571428573,480.1066666666667,475.29,472.36,472.11,469.6742857142857,462.58,461.45,456.99,457.5842857142857,454.21,445.83,430.92,423.3,L7
1999-11-21 22:12:24+00:00,,398.71142857142854,404.18333333333334,398.3333333333333,385.53142857142853,367.37,368.0833333333333,351.32142857142856,344.83,344.08142857142855,345.95,,,,346.25,341.99555555555554,337.35,330.57,328.12,341.74,335.23999999999995,344.53999999999996,,368.57,373.47142857142853,353.72555555555556,420.4,413.0,416.1,403.84,403.66,394.88,396.41,380.44,384.42,361.84555555555556,355.8881818181818,352.79571428571427,354.9281818181818,354.21,348.84588235294115,353.0781818181818,369.22142857142853,376.7233333333333,383.2833333333333,394.04,391.37333333333333,388.65142857142854,387.8855555555555,394.98555555555555,407.53,423.65142857142854,444.5833333333333,441.0855555555555,433.54555555555555,439.14142857142855,432.2055555555555,433.04,424.0155555555555,430.05,428.12,427.95,434.38142857142856,437.70142857142855,449.8633333333333,442.3,447.5414285714286,438.45,448.54,465.68333333333334,469.1533333333333,469.4833333333333,456.55,456.43,462.63142857142856,473.5933333333333,486.97,480.99333333333334,475.07,485.7914285714286,487.39142857142855,486.50142857142856,477.6,491.2833333333333,485.66142857142853,474.05555555555554,486.37142857142857,486.66142857142853,488.1014285714285,491.44142857142856,479.8355555555555,469.8966666666667,480.65,472.34999999999997,480.2314285714286,481.1333333333333,478.3233333333333,486.1,466.07142857142856,474.88,460.32,434.6333333333333,423.45,L7
2000-02-09 22:12:19+00:00,447.52,,,427.9033333333333,412.1,392.97,384.37333333333333,386.16,389.6,387.8,385.57,396.43333333333334,406.54636363636365,424.995,,,,,,379.86,389.47,406.58,429.15,,434.03,,452.24,457.41,431.39,423.95,403.87,399.2,396.1,393.87,384.64,383.22222222222223,392.61636363636364,,,,,,405.27,405.4033333333333,408.37333333333333,404.15,412.8233333333333,413.38,415.70222222222225,415.4322222222222,435.02,443.93,453.6533333333333,470.32222222222225,464.0022222222222,465.35,,471.5,464.09222222222223,449.54,445.55,447.37,445.66,446.45,457.9133333333333,461.15,465.74,469.61,471.59,471.06333333333333,470.4833333333333,465.0933333333333,468.53,472.59,472.43,472.74333333333334,475.43,483.49333333333334,489.68,494.2,498.76,497.21,497.44,494.8433333333333,498.06,501.7922222222222,500.75,505.15,505.63,512.79,510.1422222222222,,503.73,505.22,502.87,490.18333333333334,482.6733333333333,474.92,475.33,471.58,468.1,461.8433333333333,453.74,L7
2000-03-12 22:12:09+00:00,472.86,,,,,,419.37333333333333,380.7157142857143,371.11,365.99571428571426,399.53,430.11333333333334,437.71090909090907,455.64,,,,,,416.88,388.99,406.33,419.78999999999996,,394.9457142857143,,,,430.86,440.38,432.17,423.44,424.82,,431.15999999999997,,,,,,,,416.7257142857143,,417.4033333333333,425.65,436.2633333333333,439.81571428571425,452.1788888888889,,,464.7657142857143,477.56333333333333,,,497.68571428571425,,480.26,468.1288888888889,437.75,424.63,433.12,429.1357142857143,436.4657142857143,454.99333333333334,459.88,477.62571428571425,498.36999999999995,498.21000000000004,495.89333333333326,496.0933333333333,499.76333333333326,507.40999999999997,505.53999999999996,499.6357142857143,480.0933333333333,457.97999999999996,485.01333333333326,506.69000000000005,513.1057142857144,515.3957142857143,508.3857142857143,511.91999999999996,510.16333333333336,520.2957142857143,526.7988888888889,522.1657142857143,526.8357142857143,521.7557142857144,520.2257142857144,522.6888888888889,,519.22,519.97,516.1857142857143,512.1133333333333,507.14333333333326,499.05999999999995,504.6557142857143,492.39,495.09000000000003,496.6933333333333,482.54999999999995,L7
2000-03-21 22:06:01+00:00,442.38,,,450.25333333333333,437.21285714285716,414.92,399.9433333333333,385.14285714285717,379.35,375.02285714285716,378.93,375.72333333333336,393.44,393.68,406.97,389.80555555555554,383.88,370.56,370.94,373.74,369.85,371.52000000000004,376.98,392.45,404.92285714285714,,436.48,426.53,426.32,420.0,417.47,409.93,407.49,393.92,395.2,378.28555555555556,380.43,377.5414285714286,376.73,372.1,370.8829411764706,376.62,387.67285714285714,391.56333333333333,393.3833333333333,401.06,395.6633333333333,397.54285714285714,402.46555555555557,411.5155555555555,420.59,434.48285714285714,451.1433333333333,456.11555555555555,450.91555555555556,450.22285714285715,439.8355555555555,436.69,434.0855555555555,432.04,431.02,431.21,437.7628571428572,440.41285714285715,446.8833333333333,441.22,446.8828571428572,444.06,448.87,467.7933333333333,470.93333333333334,466.7133333333333,462.99,461.3,463.7428571428572,468.55333333333334,477.52,474.7333333333333,468.21,476.0528571428572,479.89285714285717,478.8028571428572,472.24,479.30333333333334,472.89285714285717,471.0755555555555,477.34285714285716,478.1128571428572,481.42285714285714,482.1128571428572,476.74555555555554,470.6466666666667,471.42,466.05,467.28285714285715,470.24333333333334,466.9433333333333,468.9,455.6228571428572,463.31,455.12,442.6033333333333,436.64,L7
2000-05-24 22:05:22+00:00,,,,,,,,415.5728571428572,413.22,399.41285714285715,395.1,405.63,403.02,405.31,414.99,400.6733333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.96,402.88,397.96000000000004,405.28,408.59285714285716,416.2733333333333,417.5133333333333,427.56,429.3728571428572,437.84,457.4233333333333,456.3533333333333,,451.9533333333333,451.54,450.80333333333334,442.33,437.35,438.29,439.59285714285716,442.2428571428572,447.81,454.21,456.0628571428572,462.65000000000003,471.75,468.05,470.72,466.86,469.86,471.31,468.73285714285714,465.59,463.3,471.25,485.33,494.2428571428572,490.6128571428572,487.0728571428572,487.46,481.82,490.4328571428572,495.2333333333333,490.9428571428572,491.54285714285714,494.3128571428571,496.0828571428572,499.6233333333333,504.5,501.07000000000005,500.26000000000005,497.3328571428572,488.46,491.07000000000005,483.11,484.42285714285714,482.16,470.61,472.9,462.3,L7
2000-06-25 22:05:07+00:00,429.77000000000004,,,447.17,429.93428571428575,412.33,395.24,393.06428571428575,393.81,399.7842857142857,414.43,414.16,403.4581818181818,410.74,393.40999999999997,377.6466666666667,364.89,374.89,375.59,363.57,370.44,379.75,401.57,411.25,420.5342857142857,,404.33,416.81,399.5,403.16,392.46,390.52,376.35,386.31,383.33,395.4266666666667,396.2481818181818,393.2571428571428,396.2781818181818,393.32,387.3235294117647,386.1781818181818,379.6542857142857,373.74,378.56,378.51,384.0,395.3342857142857,400.31666666666666,405.7066666666667,417.19,422.32428571428574,429.19,443.8566666666667,440.75666666666666,,440.1166666666667,439.71,442.12666666666667,432.79,425.35,432.98,423.56428571428575,433.9842857142857,430.43,442.54,439.7342857142857,451.53999999999996,458.28,455.33,456.63,464.86,465.72,468.38,467.2242857142857,459.2,463.3,470.37,479.42,485.0542857142857,489.45428571428573,477.64428571428573,492.03,480.06,484.4142857142857,492.3366666666667,482.2842857142857,480.50428571428574,480.8642857142857,,,,,,,,,,,,,,,L7
