dates,satname,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013
1999-09-20 21:58:56+00:00,L7,381.94,377.87,376.25,372.05,358.88,364.22,361.18,371.77,367.77,375.14,356.23,352.38,350.11,351.39
1999-09-29 21:52:52+00:00,L7,371.52,368.20,370.11,357.47,352.04,360.21,359.73,360.31,365.21,359.65,346.20,350.79,347.09,348.25
1999-10-15 21:52:49+00:00,L7,378.78,367.13,375.74,358.61,355.33,362.51,361.72,360.39,363.98,358.30,350.42,350.19,346.80,353.46
1999-11-16 21:52:44+00:00,L7,468.36,457.58,,381.36,390.19,411.58,441.20,435.44,,395.25,375.61,,435.75,
1999-12-09 21:58:57+00:00,L7,369.68,364.16,360.40,350.82,355.09,351.42,359.03,356.53,362.36,365.05,342.15,350.38,346.52,347.99
2000-01-10 21:58:52+00:00,L7,363.30,357.08,362.49,349.11,347.31,345.78,355.82,352.19,358.18,358.69,339.24,345.43,343.11,347.43
2000-02-04 21:52:37+00:00,L7,381.64,369.63,377.47,361.81,356.64,363.99,363.71,363.61,363.02,365.51,360.63,356.07,351.16,363.19
2000-02-20 21:52:29+00:00,L7,363.49,357.86,359.60,345.14,353.49,350.90,356.51,352.26,359.27,355.56,339.46,345.25,340.30,343.36
2000-03-14 21:58:35+00:00,L7,,507.56,500.60,387.32,409.70,456.45,,,,,634.89,,,562.68
2000-04-24 21:52:10+00:00,L7,375.14,366.28,364.84,358.61,353.59,361.37,358.68,364.07,366.70,370.38,346.88,353.61,349.53,353.28
2000-05-26 21:51:48+00:00,L7,,488.11,,376.31,401.92,427.99,,,,,511.98,,,529.40
2000-07-29 21:51:02+00:00,L7,426.02,398.65,378.67,362.36,375.85,373.74,374.72,379.62,383.85,383.34,369.60,370.90,358.00,373.43
2000-08-05 21:57:08+00:00,L7,398.83,366.06,365.94,363.29,364.27,366.04,366.50,373.58,376.98,377.70,364.17,357.23,356.24,355.82
2000-08-14 21:50:56+00:00,L7,392.48,374.98,369.28,360.53,367.39,367.53,367.16,369.23,367.93,376.80,364.05,357.34,352.42,367.75
2000-08-21 21:57:02+00:00,L7,,,361.70,354.51,356.59,362.01,360.53,361.20,366.83,359.35,357.05,352.07,347.25,353.30
2000-09-15 21:50:25+00:00,L7,370.16,367.22,361.77,354.40,351.50,355.41,359.54,360.10,365.83,355.33,351.60,350.93,347.97,349.39
2000-10-17 21:50:01+00:00,L7,374.36,366.13,373.81,357.34,353.04,360.11,359.37,359.42,363.99,363.98,343.45,352.65,347.67,349.70
2000-10-24 21:56:17+00:00,L7,385.02,374.88,374.68,360.30,355.50,362.39,359.01,360.33,368.49,370.61,360.12,356.35,351.04,350.17
2000-11-02 21:50:13+00:00,L7,382.78,370.57,372.40,362.54,355.35,360.70,362.22,359.68,362.91,367.22,354.25,350.01,345.62,351.42
2000-11-09 21:56:21+00:00,L7,413.34,386.09,382.10,370.82,364.31,373.89,366.36,375.19,379.11,377.29,366.12,358.60,353.52,356.77
2000-12-04 21:50:10+00:00,L7,,471.25,,382.64,393.15,420.25,,,,,445.40,440.96,,515.74
2001-01-05 21:50:16+00:00,L7,374.61,367.88,376.24,362.10,353.05,356.25,358.24,358.33,365.54,357.19,352.32,346.17,343.68,343.22
2001-01-12 21:56:30+00:00,L7,361.03,358.50,362.66,347.09,353.43,352.08,356.51,351.30,350.74,346.15,338.76,336.79,340.88,342.79
2001-03-10 21:50:10+00:00,L7,367.57,358.98,363.45,347.73,354.14,349.50,358.56,353.79,360.50,353.05,343.15,346.06,347.33,349.28
2001-03-26 21:50:01+00:00,L7,368.42,362.22,364.26,353.69,352.84,355.14,358.99,355.58,363.76,354.64,348.04,347.59,345.76,348.04
2001-06-21 21:55:29+00:00,L7,377.24,369.24,367.35,365.80,361.35,365.78,367.05,375.27,383.99,374.67,363.67,357.67,354.52,359.47
2001-06-30 21:49:12+00:00,L7,386.34,365.14,362.42,,,365.44,372.87,375.29,378.23,377.62,367.48,361.30,,
2001-09-09 21:54:36+00:00,L7,428.77,381.11,378.58,373.92,365.82,367.78,369.81,375.60,381.32,376.08,368.22,360.20,350.85,362.46
2001-10-20 21:48:09+00:00,L7,370.29,366.10,361.61,354.13,356.77,358.84,361.91,358.42,365.62,354.25,349.12,350.25,347.86,347.94
2001-11-05 21:48:14+00:00,L7,370.44,366.62,364.45,354.90,354.95,356.85,360.84,360.38,364.64,355.60,349.20,349.12,347.15,348.51
2001-12-30 21:54:37+00:00,L7,,,,,,349.16,355.60,353.47,360.86,356.99,341.77,345.94,341.71,346.44
2002-01-15 21:54:47+00:00,L7,369.05,362.41,362.34,354.49,353.63,356.04,357.59,354.74,361.67,359.22,345.06,349.59,344.22,345.75
2002-01-24 21:48:42+00:00,L7,378.87,372.73,377.17,369.61,366.27,351.12,357.76,356.64,365.14,374.95,361.88,350.95,343.22,343.63
2002-02-09 21:48:45+00:00,L7,390.05,379.38,375.25,361.86,360.77,365.52,366.50,372.04,373.38,366.87,363.19,355.31,351.51,356.92
2002-02-16 21:54:54+00:00,L7,372.24,366.69,370.79,358.59,354.28,356.19,359.74,357.59,364.51,363.71,344.68,352.04,347.35,347.54
2002-02-25 21:48:47+00:00,L7,397.78,379.06,376.35,363.37,357.30,366.23,366.56,375.26,377.25,375.40,368.07,360.37,354.56,359.82
2002-03-04 21:54:58+00:00,L7,379.74,364.68,366.99,358.39,357.20,360.74,358.50,360.29,365.05,358.41,350.08,351.01,346.81,347.70
2002-03-20 21:54:48+00:00,L7,393.85,375.48,376.92,364.95,357.46,363.52,362.73,368.10,373.00,376.54,358.31,355.35,350.52,350.10
2002-04-14 21:48:38+00:00,L7,371.53,366.36,371.91,361.73,354.36,360.81,363.19,365.09,371.59,359.68,354.59,352.22,349.03,352.44
2002-05-07 21:54:52+00:00,L7,,,,349.21,343.69,342.81,348.34,359.09,361.82,371.46,348.38,347.40,,
2002-05-16 21:48:34+00:00,L7,375.01,366.57,371.68,363.65,359.45,363.99,364.57,363.18,372.12,364.86,361.51,356.24,350.78,357.05
2002-06-01 21:48:28+00:00,L7,401.68,377.44,372.64,362.40,369.35,366.71,371.88,371.25,376.52,378.31,368.89,362.92,352.38,363.45
2002-06-24 21:54:28+00:00,L7,386.54,365.47,363.41,358.63,355.34,356.44,365.30,366.21,378.17,377.46,373.13,371.73,366.49,376.17
2002-07-10 21:54:25+00:00,L7,366.14,355.89,359.68,350.98,355.72,359.57,365.42,352.71,360.95,366.78,355.34,351.10,354.68,369.51
