,dates,chi0358-0000,chi0358-0001,chi0358-0002,chi0358-0003,chi0358-0004,chi0358-0005,chi0358-0006,chi0358-0007,chi0358-0008,chi0358-0009,chi0358-0010,chi0358-0011,chi0358-0012,chi0358-0013,chi0358-0014,chi0358-0015,chi0358-0016,chi0358-0017,chi0358-0018,chi0358-0019,chi0358-0020,chi0358-0021,chi0358-0022,chi0358-0023,chi0358-0024,chi0358-0025,chi0358-0026,chi0358-0027,chi0358-0028,chi0358-0029,chi0358-0030,chi0358-0031,chi0358-0032,chi0358-0033,chi0358-0034,chi0358-0035,chi0358-0036,chi0358-0037,chi0358-0038,chi0358-0039
0,1985-01-25 14:04:27+00:00,219.52459758914347,208.96785546874733,200.28933699622343,207.96815741253673,194.98917607078914,178.10724806187338,174.31599540939666,174.5857262786558,173.00852235013778,173.0434767124474,170.0247747806281,181.0003613740145,178.29728166514934,189.17011123762376,185.20098203421617,187.95273927413163,188.0708824772954,186.39144400541107,180.42234653409653,166.79995975069912,166.11299135461869,162.22081860863304,166.65307462890956,163.07978168994765,178.1806597274616,169.00565541428952,148.5430600248168,160.01098571040373,167.9552157298923,164.9941067923762,154.7551954291684,153.67979661119452,164.53994150216553,148.82827495747802,150.74187717170844,172.81557557419035,176.26863884288701,172.99923924446944,172.76271763713083,184.67704364883633
1,1986-01-28 14:01:10+00:00,207.1886771493749,191.1429397931592,190.93270455874887,192.75639532398066,197.42727704937786,181.8450689909129,156.8715102003895,140.76733892924327,145.0588065920457,162.94310213410196,149.59209073596665,164.43068019711168,168.65598814957914,173.13853397853762,165.9297174230605,170.54543364349954,175.90070913992395,166.21801599740647,143.026636740694,145.212567680832,153.48017326849256,153.45260995877683,156.28060396389156,158.00822106994013,143.72082577385007,145.1713257115317,146.30296167783825,150.28026018214894,133.3467989933419,133.60272299788699,130.90932535570062,137.0347216300983,153.6707618439415,145.37601614347213,151.5852277541615,161.26843185943818,160.92807578868934,158.26249090320246,167.74405501265457,170.1072898898025
2,1986-08-15 14:01:53+00:00,210.82416144248126,196.97627771079217,192.1300652802689,188.03450118554736,175.62873662882683,157.53230356774412,131.47706063922442,137.2129264676973,144.8219990524719,136.6317684240579,147.81953146139296,179.67799844264087,172.939146811455,151.50332461148855,152.6572247746465,150.39746938078304,166.6870173340015,181.04126740073212,157.34923767821968,138.2904616202402,146.6505849088429,138.86342393764644,141.37569576461797,136.90564170793917,139.30575271508445,129.50681421621303,123.60420629618505,104.55380020867216,122.16485684275885,159.97103792019337,,,,,129.28902158670823,143.68417952203157,139.80502579359705,134.16837713389444,,169.56058087161577
3,1986-09-16 14:00:46+00:00,191.39294260744575,170.47399162171575,,170.1685965614576,159.67121727142305,149.98746316412664,131.71566958278282,116.77244687683178,118.78214160627888,136.13288362690292,128.37435761777755,143.93269121409475,147.36186683988672,144.385287852301,145.45166689705593,127.97551087298045,147.88205281638176,154.29694015923513,140.82163309078425,125.33041767108949,119.24026182815733,129.8914922181078,,128.68525967943933,122.68020168033243,117.25978262735258,107.38650832086245,100.08563311996147,107.61883705286974,130.7618917985874,131.98489707222592,126.79026257397298,,111.489644651135,98.44776581208855,131.14373368188052,118.46540865609887,115.69389315221139,,147.20995439541286
4,1986-09-25 13:54:18+00:00,182.69775278185793,176.27579451555198,,,,,106.3669861966953,91.92336497887968,83.23893757206349,119.21615258780615,128.5663361867974,138.31962491648318,134.45847328870155,150.993677154505,133.7368252827778,137.28873485031957,127.65670119986605,109.14770962493381,119.80139397346412,108.5127698343148,108.08233410513674,116.26113217362703,,112.00864651115089,117.43635013616459,106.61383023646316,104.11496155746025,88.60193397057459,105.20913678632806,131.8429325274973,109.72927170568097,,,111.69906963145951,106.00017244248777,126.06447874192982,112.43570384397592,119.56561767515886,,153.854237208681
5,1986-10-11 13:53:47+00:00,201.86158001207687,190.01912210811025,195.28140278710546,187.88266938024748,182.99315376913074,173.68999793243498,,127.5171572690921,135.04686607746456,145.86243977266298,160.35994944599514,154.02556149591467,169.60174965850277,164.42905473106373,,163.3916587208277,157.5011970025873,,147.51734486066812,132.610961831719,125.63737026477412,129.56406019069635,132.4954496605095,155.7638941096955,151.21939065835969,140.05953609878944,126.74595032598378,113.59082656081226,121.57618953035586,135.30161018963508,131.74914167018176,139.12079338379232,147.14735623244317,124.52881983573408,130.4476149874256,151.35995279524397,128.83612598835367,121.31265431928955,139.99104669779794,168.29253318995717
6,1986-10-18 13:59:44+00:00,185.69870675252847,156.28064661643492,,,,,108.46435007249252,110.67159248118578,114.6869636624218,,123.2203026832797,136.52226436460498,142.4214235048387,129.3653765139662,125.38732859024931,,,98.90970176486567,115.15028680986879,,,,,,105.45781340582866,122.80963234368795,109.54394940376477,96.77125990620769,95.8407738063057,121.96058182988047,108.85916100771468,109.8974766984731,113.3534627415159,103.08149720664741,107.64273004622073,121.55590029143376,,,,
7,1986-11-03 13:59:10+00:00,202.72450317295048,191.23507291533957,190.22735941017748,181.47075746631708,173.21334952624363,167.6354967835751,154.0795872862996,144.00221899680903,136.85988113237335,132.88018214585128,148.60182902106033,169.03972334909102,184.3214524501487,166.946080694902,152.60475539552755,155.22644868683636,148.98104215344827,147.97380788887784,138.1045261989687,146.3252791969008,140.49929325592134,136.55952982230284,143.88913586395876,137.63780422694575,132.93663164732214,137.02587926101708,131.78323184500272,110.41579969272975,107.67748522999949,136.67155641224684,128.70636119860575,128.00306947114436,146.53949908184794,125.81010348969878,116.76369220356467,137.0952236495896,130.68794846387445,129.13135813987398,133.18713566773812,163.3015994010211
8,1986-11-12 13:52:38+00:00,193.53221559580712,187.5426520490355,187.25346923130775,184.26226062898365,168.08036350471832,150.2042224076829,145.94387156405307,139.69572293449133,134.56936101125189,137.57179729060994,129.8255633612361,157.03067615688272,173.34389299807853,175.4355192642029,150.22502386955745,140.52654562386286,135.44900063186094,137.17564232017492,142.0775754325727,148.2573275291838,147.45852326137035,143.36800598914755,147.65821387038733,144.2295580409996,130.2252675939554,133.74304065106764,131.19580698241302,121.98725180918517,105.77194220084444,125.57935402744448,133.63026255464092,140.4782388428683,147.2376585137348,127.82773171393124,121.8249775815275,132.50671663289307,119.4046121875524,124.47464553283851,137.8698251034192,165.0916300498198
9,1986-12-21 13:59:13+00:00,202.24778503912026,179.91008544944916,168.39477178924378,168.40190660959843,181.45905698646945,178.24520949917823,152.77084573089368,152.30114097130132,147.85002751101737,159.49369043797844,145.89296859566315,163.17921033764804,181.19613024530537,187.8327115809806,184.23054285972557,170.32737345284121,171.6255608845802,161.8893661321376,160.86511468115077,145.0193014474264,140.53731951773517,158.8202062895284,154.3914024427314,156.2073899085896,148.51370158028337,154.83097804428226,144.96108976702735,148.56970227047216,141.91915458045764,133.5152196286234,132.54613676604802,146.1796076422087,153.61298116157968,132.193553176809,132.10586422135066,147.9171875234014,158.27010232193408,152.9572339281631,145.22158887955993,165.47151266698555
10,1986-12-30 13:53:19+00:00,205.17724560007198,187.64235715498126,175.76377326704866,161.07150600371457,178.5464546184335,167.62334312070084,140.16546452789154,141.3771233618066,146.80455480126645,152.39590300423998,147.9743148611556,167.37717216517194,170.73716462303753,172.4990120497228,176.8799291180096,165.89051779299677,165.4305584442794,156.54103027248743,158.4954269482251,149.48571011327638,121.55532802761019,141.74804110641625,138.29413251002418,146.5033513781499,139.59975489645888,145.99197203596663,153.37079456179984,144.83720451908297,137.15106409196673,138.85982634504322,139.66939606646798,140.73324720212386,147.29222083581266,125.5016850537926,123.3598032962137,135.7802321519982,147.30162758332975,151.24784252475177,155.7165471715851,165.3917282116137
11,1987-01-31 13:54:17+00:00,199.5330278065026,188.75048166549226,194.78476422916975,202.88714729638576,189.19699258531884,171.03426881325834,157.49915043876268,143.78903790519186,143.10649667781797,138.1060285945625,138.1226260153046,165.38273385563082,172.41590345856685,168.47039543709207,171.96993475306448,172.26017736421434,171.1128043727734,168.18801667975674,152.32265030958587,151.73095356453246,143.0595404757272,151.35233378366576,145.59714410263737,148.70776326360678,142.36640254754826,159.06133530354535,143.36212525286038,141.04342725258303,141.79902925191817,132.44409468222526,137.57949589980745,137.8196259588675,149.16005710574868,132.84553445862994,133.03256955278437,139.6590624786486,159.08101540831146,141.1553750487398,154.07365085903345,166.6915193709507
