dates,satname,nzd0201-0000,nzd0201-0001,nzd0201-0002,nzd0201-0003,nzd0201-0004
1999-09-29 21:52:52+00:00,L7,343.23,343.51,345.68,358.30,363.95
1999-10-15 21:52:49+00:00,L7,341.33,344.19,,,
1999-10-22 21:58:52+00:00,L7,364.29,375.65,357.29,361.35,366.85
1999-12-02 21:52:40+00:00,L7,342.83,350.76,352.10,,
1999-12-09 21:58:57+00:00,L7,337.55,335.00,338.93,339.04,346.71
2000-02-04 21:52:37+00:00,L7,357.86,355.62,357.62,362.52,377.88
2000-02-20 21:52:29+00:00,L7,,,,,
2000-03-14 21:58:35+00:00,L7,361.15,369.43,365.84,366.79,368.94
2000-03-30 21:58:33+00:00,L7,367.42,371.23,357.94,360.17,365.54
2000-04-24 21:52:10+00:00,L7,340.85,344.23,355.26,361.02,367.26
2000-05-01 21:58:18+00:00,L7,361.84,371.26,360.56,367.93,373.22
2000-05-17 21:58:07+00:00,L7,348.98,359.45,357.46,369.33,370.08
2000-05-26 21:51:48+00:00,L7,343.07,351.46,349.02,355.03,362.28
2000-07-29 21:51:02+00:00,L7,355.44,361.65,344.73,340.04,359.44
2000-08-05 21:57:08+00:00,L7,333.77,329.00,324.90,327.52,333.41
2000-08-14 21:50:56+00:00,L7,348.79,346.87,339.21,340.39,360.58
2000-10-17 21:50:01+00:00,L7,345.55,338.74,336.30,333.55,349.22
2000-10-24 21:56:17+00:00,L7,355.73,360.30,348.70,342.51,350.76
2000-11-09 21:56:21+00:00,L7,344.81,341.25,336.96,329.66,332.02
2000-11-18 21:50:10+00:00,L7,365.32,361.52,354.71,347.91,362.48
2000-12-20 21:50:16+00:00,L7,355.55,360.62,354.30,348.54,361.52
2001-01-05 21:50:16+00:00,L7,365.91,373.65,356.38,358.05,364.59
2001-01-12 21:56:30+00:00,L7,338.31,,329.56,328.53,330.60
2001-03-10 21:50:10+00:00,L7,340.94,340.34,335.23,336.42,342.05
2001-03-26 21:50:01+00:00,L7,344.56,,,,
2001-06-21 21:55:29+00:00,L7,350.26,347.71,350.29,350.24,361.22
2001-06-30 21:49:12+00:00,L7,371.34,373.04,357.11,351.52,362.60
2001-09-09 21:54:36+00:00,L7,345.55,349.56,338.20,341.16,345.64
2001-09-25 21:54:28+00:00,L7,347.40,356.47,351.62,343.03,352.25
2001-10-20 21:48:09+00:00,L7,343.93,334.67,335.61,,
2001-11-05 21:48:14+00:00,L7,331.48,328.75,320.94,324.87,330.16
2002-01-15 21:54:47+00:00,L7,,,,351.70,356.01
2002-01-24 21:48:42+00:00,L7,369.83,379.38,371.47,364.41,371.14
2002-01-31 21:54:50+00:00,L7,333.75,326.85,330.74,334.37,335.14
2002-02-25 21:48:47+00:00,L7,367.72,365.77,357.37,363.56,372.07
2002-03-29 21:48:39+00:00,L7,342.93,341.82,346.07,356.28,361.57
2002-04-05 21:54:49+00:00,L7,,335.80,,,
2002-06-01 21:48:28+00:00,L7,344.27,356.27,358.19,361.33,364.16
2002-06-24 21:54:28+00:00,L7,360.84,361.03,360.98,358.64,365.23
2002-08-27 21:54:00+00:00,L7,360.46,359.22,353.88,343.18,363.96
2002-10-07 21:47:33+00:00,L7,341.48,338.92,335.44,330.71,346.03
2002-10-14 21:53:43+00:00,L7,354.31,371.12,354.11,350.97,358.29
2002-12-26 21:48:11+00:00,L7,350.52,349.50,352.17,350.50,362.66
2003-01-18 21:54:30+00:00,L7,347.04,346.61,337.64,334.52,346.34
2003-02-03 21:54:38+00:00,L7,335.04,323.83,321.66,324.75,330.12
2003-04-01 21:48:34+00:00,L7,342.10,338.90,329.37,331.38,338.42
2003-04-24 21:54:46+00:00,L7,356.27,359.47,353.68,347.85,364.38
2003-05-03 21:48:37+00:00,L7,340.51,333.88,329.93,334.67,341.14
2003-05-10 21:54:46+00:00,L7,355.74,354.12,353.50,341.46,362.98
2003-07-21 21:42:33+00:00,L5,362.39,372.59,362.83,360.20,369.74
2003-08-15 21:36:48+00:00,L5,348.73,329.92,325.74,328.16,332.45
2003-08-23 21:48:14+00:00,L7,350.04,359.65,347.17,343.05,351.19
2003-09-07 21:43:24+00:00,L5,289.24,287.72,304.81,,
2003-10-10 21:47:55+00:00,L7,,336.61,327.40,325.05,332.30
2003-10-17 21:54:15+00:00,L7,346.56,353.59,344.93,,
2003-10-18 21:37:48+00:00,L5,355.28,361.60,347.97,351.05,359.16
2003-10-25 21:44:04+00:00,L5,342.38,349.64,341.98,335.75,341.82
2003-10-26 21:48:14+00:00,L7,339.74,332.84,328.18,325.29,331.30
2003-11-18 21:54:39+00:00,L7,351.21,350.68,340.88,332.89,336.64
2003-11-19 21:38:14+00:00,L5,360.33,368.71,352.30,350.20,360.39
2003-12-29 21:48:45+00:00,L7,351.76,366.18,362.87,357.05,380.65
2004-01-05 21:54:57+00:00,L7,352.34,,,,
2004-01-21 21:55:02+00:00,L7,,344.78,337.84,339.88,339.47
2004-01-22 21:38:40+00:00,L5,341.34,335.13,333.43,330.75,339.55
2004-02-06 21:55:08+00:00,L7,348.35,343.26,335.28,335.39,350.12
2004-03-09 21:55:15+00:00,L7,325.03,319.37,319.04,317.60,319.99
2004-03-17 21:45:08+00:00,L5,352.08,357.12,348.45,339.63,362.63
2004-03-18 21:49:07+00:00,L7,,,,339.38,354.80
2004-03-25 21:55:18+00:00,L7,,332.87,338.98,333.85,338.17
2004-04-02 21:45:18+00:00,L5,365.12,376.74,363.88,359.56,369.70
2004-04-03 21:49:06+00:00,L7,361.25,368.95,359.41,358.14,
2004-04-10 21:55:14+00:00,L7,342.11,347.56,342.21,336.25,
2004-04-18 21:45:49+00:00,L5,347.38,339.82,324.06,326.82,336.45
2004-05-04 21:46:16+00:00,L5,340.31,336.74,324.67,346.72,353.15
2004-05-20 21:46:44+00:00,L5,324.41,326.73,324.69,330.94,329.40
2004-05-28 21:55:11+00:00,L7,340.92,352.07,349.18,339.61,356.04
2004-06-06 21:48:56+00:00,L7,,,,,
2004-06-21 21:47:40+00:00,L5,329.82,338.36,328.45,331.52,334.62
2004-06-22 21:48:52+00:00,L7,341.83,350.70,354.47,352.07,363.71
2004-06-29 21:55:03+00:00,L7,352.63,354.48,351.51,354.87,364.48
2004-06-30 21:41:46+00:00,L5,355.59,352.89,353.58,354.42,370.94
2004-07-07 21:48:09+00:00,L5,346.02,349.70,354.79,355.95,361.64
