dates,nzd0201-0000,nzd0201-0001,nzd0201-0002,nzd0201-0003,nzd0201-0004,satname
1999-09-29 21:52:52+00:00,364.11888888888893,364.3988888888889,364.48,372.22592592592594,375.00882352941176,L7
1999-10-15 21:52:49+00:00,351.99666666666667,354.8566666666667,,,,L7
1999-10-22 21:58:52+00:00,349.84555555555556,361.2055555555555,344.29,351.7203703703704,359.20294117647063,L7
1999-12-02 21:52:40+00:00,330.83,338.76,341.3,,,L7
1999-12-09 21:58:57+00:00,349.55,347.0,349.73,347.04,353.0629411764706,L7
2000-02-04 21:52:37+00:00,359.41555555555556,357.17555555555555,359.02,363.557037037037,378.7035294117647,L7
2000-03-14 21:58:35+00:00,353.81666666666666,362.0966666666667,359.23999999999995,361.9011111111111,365.05764705882353,L7
2000-03-30 21:58:33+00:00,357.8644444444445,361.6744444444445,349.34,353.79962962962964,360.48117647058825,L7
2000-04-24 21:52:10+00:00,349.73888888888894,353.11888888888893,363.26,366.9459259259259,371.96588235294115,L7
2000-05-01 21:58:18+00:00,347.84,357.26,347.96,358.5966666666667,365.80823529411765,L7
2000-05-17 21:58:07+00:00,344.98,355.45,353.85999999999996,366.6633333333333,367.96235294117645,L7
2000-05-26 21:51:48+00:00,340.4033333333333,348.7933333333333,346.62,353.2522222222222,360.8682352941176,L7
2000-07-29 21:51:02+00:00,339.88444444444445,346.09444444444443,330.73,329.66962962962964,351.2047058823529,L7
2000-08-05 21:57:08+00:00,345.3255555555555,340.55555555555554,335.29999999999995,335.2237037037037,339.52764705882356,L7
2000-08-14 21:50:56+00:00,346.34555555555556,344.42555555555555,337.01,338.76037037037037,359.28588235294114,L7
2000-10-17 21:50:01+00:00,365.3277777777778,358.5177777777778,354.1,346.7351851851852,359.6905882352942,L7
2000-10-24 21:56:17+00:00,339.5077777777778,344.0777777777778,334.09999999999997,331.69518518518515,342.17176470588237,L7
2000-11-09 21:56:21+00:00,333.03222222222223,329.47222222222223,326.35999999999996,321.8081481481482,325.7847058823529,L7
2000-11-18 21:50:10+00:00,369.09777777777776,365.29777777777775,358.10999999999996,350.42851851851856,364.48,L7
2000-12-20 21:50:16+00:00,343.10555555555555,348.17555555555555,343.1,340.2437037037037,354.93176470588236,L7
2001-01-05 21:50:16+00:00,354.79888888888894,362.5388888888889,346.38,350.6425925925926,358.7076470588235,L7
2001-01-12 21:56:30+00:00,362.0877777777778,,350.96,344.3818518518518,343.18823529411765,L7
2001-03-10 21:50:10+00:00,353.8288888888889,353.2288888888889,346.83000000000004,345.0125925925926,348.8735294117647,L7
2001-03-26 21:50:01+00:00,357.00444444444446,,,,,L7
2001-06-21 21:55:29+00:00,347.81555555555553,345.2655555555555,348.09000000000003,348.6103703703704,359.9258823529412,L7
2001-06-30 21:49:12+00:00,355.11777777777775,356.8177777777778,342.51,340.70518518518514,354.0117647058824,L7
2001-09-09 21:54:36+00:00,353.77222222222224,357.78222222222223,345.59999999999997,346.6414814814815,349.9929411764706,L7
2001-09-25 21:54:28+00:00,341.4,350.47,346.22,339.03,349.0735294117647,L7
2001-10-20 21:48:09+00:00,364.37444444444446,355.1144444444445,354.01,,,L7
2001-11-05 21:48:14+00:00,349.70222222222225,346.97222222222223,337.34,337.01814814814816,339.8070588235294,L7
2002-01-15 21:54:47+00:00,,,,362.3666666666667,364.48058823529414,L7
2002-01-24 21:48:42+00:00,360.0522222222222,369.6022222222222,362.67,357.8914814814815,365.9635294117647,L7
2002-01-31 21:54:50+00:00,357.30555555555554,350.40555555555557,351.94,350.0737037037037,347.61058823529413,L7
2002-02-25 21:48:47+00:00,358.1644444444445,356.21444444444444,348.77,357.1896296296296,367.0111764705882,L7
2002-03-29 21:48:39+00:00,354.48555555555555,353.37555555555554,356.46999999999997,363.98370370370367,367.68764705882353,L7
2002-04-05 21:54:49+00:00,,330.02222222222224,,,,L7
2002-06-01 21:48:28+00:00,349.38111111111107,361.38111111111107,362.79,364.7374074074074,366.8658823529412,L7
2002-06-24 21:54:28+00:00,357.28444444444443,357.47444444444443,357.78000000000003,356.2696296296296,363.34764705882355,L7
2002-08-27 21:54:00+00:00,373.7933333333333,372.55333333333334,365.88,352.0688888888889,371.01882352941175,L7
2002-10-07 21:47:33+00:00,351.70222222222225,349.14222222222224,344.64,337.5248148148148,351.44176470588235,L7
2002-10-14 21:53:43+00:00,347.4211111111111,364.2311111111111,347.91,346.3774074074074,354.64294117647063,L7
2002-12-26 21:48:11+00:00,357.18666666666667,356.1666666666667,358.17,354.94444444444446,366.1894117647059,L7
2003-01-18 21:54:30+00:00,353.4844444444445,353.05444444444447,343.44,338.8162962962963,349.75176470588235,L7
2003-02-03 21:54:38+00:00,352.37333333333333,341.1633333333333,337.26000000000005,336.30555555555554,339.2964705882353,L7
2003-04-01 21:48:34+00:00,345.8777777777778,342.67777777777775,332.77,333.89851851851853,340.42,L7
2003-04-24 21:54:46+00:00,348.71444444444444,351.9144444444445,346.88,342.812962962963,360.38,L7
2003-05-03 21:48:37+00:00,351.6211111111111,344.9911111111111,339.93,342.0774074074074,347.02235294117645,L7
2003-05-10 21:54:46+00:00,348.18444444444447,346.56444444444446,346.7,336.42296296296297,358.98,L7
2003-07-21 21:42:33+00:00,357.7233333333333,367.9233333333333,358.63,357.0888888888889,367.26941176470586,L5
2003-08-15 21:36:48+00:00,364.5077777777778,345.6977777777778,339.94,338.67851851851856,340.8029411764706,L5
2003-08-23 21:48:14+00:00,337.1511111111111,346.76111111111106,335.57,334.4574074074074,344.3664705882353,L7
2003-09-07 21:43:24+00:00,,,290.81,,,L5
