dates,satname,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016
1999-08-26 22:04:44+00:00,L7,387.54,386.96,387.40,400.59,386.62,383.02,387.52,391.71,381.58,386.84,391.54,398.59,402.35,384.52,390.91,375.85,366.66
1999-09-27 22:04:48+00:00,L7,374.30,379.72,379.84,376.46,380.16,371.24,386.15,385.92,373.67,379.81,368.96,394.54,386.82,370.84,372.00,357.92,352.94
1999-10-13 22:04:48+00:00,L7,365.12,365.28,366.46,,367.59,362.92,366.31,367.14,366.96,369.06,366.22,382.64,383.22,375.88,368.16,355.93,346.97
1999-11-14 22:04:42+00:00,L7,370.37,378.12,381.50,384.64,376.69,375.66,369.12,375.35,373.36,380.99,390.09,392.12,399.51,392.54,373.43,364.21,361.27
2000-07-11 22:03:17+00:00,L7,388.30,393.78,394.58,406.20,397.33,386.90,386.39,393.64,389.07,387.52,393.92,397.81,406.58,395.08,389.65,364.44,375.20
2001-01-03 22:02:12+00:00,L7,389.11,395.88,393.14,393.03,382.59,371.46,381.12,384.82,381.40,384.68,399.11,399.54,,,,,
2001-05-11 22:01:45+00:00,L7,,,,,,,,,363.76,366.80,380.18,367.40,353.01,386.12,364.70,348.65,347.49
2001-07-14 22:01:09+00:00,L7,398.70,407.99,407.69,406.89,405.94,397.54,389.07,397.54,385.96,388.04,400.87,401.85,413.91,406.09,407.64,396.90,379.99
2001-08-15 22:00:38+00:00,L7,395.23,396.86,396.73,399.90,395.16,385.71,384.45,390.25,380.47,386.79,395.12,398.20,406.77,405.05,409.52,389.98,387.40
2001-09-16 22:00:17+00:00,L7,,,,,,350.58,352.96,357.13,354.37,367.90,369.99,382.25,387.13,388.13,,,304.13
2001-10-02 22:00:04+00:00,L7,378.50,380.28,379.43,370.67,369.60,368.22,366.68,367.90,363.02,367.58,377.54,377.73,385.86,381.56,374.22,379.17,358.49
2001-12-05 22:00:18+00:00,L7,363.95,366.55,367.59,358.86,354.49,345.63,346.39,352.70,345.47,353.28,369.07,367.34,370.44,359.53,352.51,347.86,341.43
2001-12-21 22:00:29+00:00,L7,379.00,380.26,368.66,338.89,,347.23,358.59,375.94,367.68,376.31,386.72,390.25,,,,,
2002-01-22 22:00:40+00:00,L7,386.50,390.27,392.22,399.19,389.23,385.43,386.89,394.30,387.50,387.17,398.60,400.20,407.73,405.46,388.55,380.40,370.71
