dates,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016,satname
1999-08-26 22:04:44+00:00,387.42,386.83,387.25,400.44,386.48,382.88,387.39,391.57,381.41,386.71,391.42,398.48,402.21,384.35,390.71,375.63,366.46,L7
1999-09-27 22:04:48+00:00,386.43,391.85,394.76,391.38,394.02,385.10,399.08,399.78,389.84,391.94,380.37,405.32,400.68,387.01,391.40,379.48,372.34,L7
1999-10-13 22:04:48+00:00,376.00,376.15,379.84,,380.02,375.35,377.91,379.57,381.46,379.94,376.46,392.31,395.65,390.38,385.56,375.26,364.37,L7
1999-11-14 22:04:42+00:00,376.00,383.75,388.42,391.56,383.12,382.09,375.12,381.78,380.86,386.62,395.38,397.12,405.94,400.04,382.43,374.21,370.27,L7
2000-07-11 22:03:17+00:00,378.05,383.53,381.96,393.58,385.62,375.19,375.46,381.93,375.40,377.27,384.27,388.70,394.87,381.41,373.25,346.22,358.80,L7
2001-01-03 22:02:12+00:00,386.86,393.63,390.37,390.26,380.02,368.89,378.72,382.25,378.40,382.43,396.99,397.54,,,,,,L7
2001-05-11 22:01:45+00:00,,,,,,,,,376.43,376.30,389.12,375.84,363.87,398.79,379.90,365.54,362.69,L7
2001-07-14 22:01:09+00:00,393.82,403.12,401.69,400.89,400.37,391.97,383.87,391.97,379.46,383.17,396.28,397.52,408.34,399.59,399.84,388.23,372.19,L7
2001-08-15 22:00:38+00:00,383.61,385.24,382.42,385.59,381.87,372.42,372.05,376.96,364.97,375.17,384.18,387.87,393.48,389.55,390.92,369.31,368.80,L7
2001-09-16 22:00:17+00:00,,,,,,345.72,348.43,352.27,348.70,363.65,365.99,378.47,382.27,382.46,,,,L7
2001-10-02 22:00:04+00:00,381.50,383.28,383.12,374.36,373.03,371.65,369.88,371.33,367.02,370.58,380.36,380.40,389.29,385.56,379.02,384.50,363.29,L7
2001-12-05 22:00:18+00:00,375.32,377.93,381.59,372.86,367.49,358.63,358.52,365.70,360.64,364.65,379.78,377.45,383.44,374.70,370.71,368.08,359.63,L7
2001-12-21 22:00:29+00:00,382.75,384.01,373.28,343.51,,351.52,362.59,380.23,372.68,380.06,390.25,393.58,,,,,,L7
2002-01-22 22:00:40+00:00,384.00,387.77,389.14,396.11,386.37,382.57,384.22,391.44,384.17,384.67,396.25,397.98,404.87,402.13,384.55,375.96,366.71,L7
2002-02-23 22:00:43+00:00,391.80,387.88,388.83,395.72,385.72,381.71,383.71,389.85,380.37,385.81,397.21,406.17,410.36,408.43,403.28,388.45,375.81,L7
2002-03-27 22:00:37+00:00,384.04,383.45,377.57,393.38,379.09,373.21,383.52,383.75,373.54,385.03,390.90,394.35,391.18,386.69,384.68,360.30,351.41,L7
2002-07-17 22:00:08+00:00,393.05,394.06,394.51,401.23,392.96,386.92,390.95,393.98,385.28,392.51,399.92,404.86,407.97,404.80,407.95,,342.93,L7
2002-09-19 21:59:35+00:00,381.53,382.74,381.59,388.31,368.32,369.06,372.00,375.96,370.31,371.88,380.92,387.36,389.11,382.82,368.60,334.23,358.48,L7
2002-10-21 21:59:36+00:00,381.13,380.35,378.07,396.82,372.62,378.75,379.06,381.68,380.28,376.51,391.07,396.17,388.47,387.17,369.28,343.79,352.94,L7
2002-12-24 22:00:09+00:00,394.41,393.78,397.71,404.05,395.00,390.32,384.02,391.83,382.43,384.19,400.07,405.63,404.79,398.20,385.64,355.19,355.23,L7
2003-01-25 22:00:18+00:00,,,388.22,396.03,384.70,382.31,384.67,382.08,379.77,382.84,392.74,404.70,405.05,407.62,395.96,374.71,383.40,L7
