dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,satname
1999-07-16 22:13:35+00:00,347.45,,,341.86,343.80,348.91,332.42,320.13,324.26,339.11,343.23,346.99,346.92,353.96,343.81,350.01,343.73,347.18,349.91,360.10,329.33,327.57,329.45,,,,,331.66,335.80,351.29,343.95,332.72,330.74,346.41,321.58,329.68,324.72,327.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,339.23,313.62,311.51,329.64,331.71,333.81,323.31,317.29,324.79,337.12,340.64,338.78,340.80,345.71,340.00,345.86,343.45,345.91,343.67,347.25,332.56,328.40,330.31,335.71,342.01,348.20,349.93,341.01,339.67,345.21,335.91,328.13,326.47,329.94,318.39,322.43,324.34,327.75,331.01,331.68,332.22,336.56,337.68,334.72,338.29,339.70,333.79,331.31,323.48,321.51,317.07,314.83,313.57,309.64,310.79,300.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-30 22:19:45+00:00,335.61,313.19,317.80,327.17,329.64,329.03,321.67,315.65,324.17,336.39,339.22,337.10,338.09,343.68,340.71,346.46,344.37,346.29,343.60,345.15,334.50,330.30,330.37,335.63,343.06,350.07,353.64,344.42,340.77,342.64,336.65,329.00,326.11,327.85,320.73,322.25,324.02,328.40,334.38,336.12,337.68,339.14,337.06,334.12,337.69,341.17,337.61,334.20,325.47,322.31,320.00,317.19,316.34,311.64,309.97,300.93,293.04,287.57,280.60,278.65,278.80,279.31,279.05,277.87,278.84,279.48,283.38,285.27,287.57,287.94,288.71,293.47,292.04,287.56,288.83,289.35,291.33,288.30,286.09,282.16,277.69,271.07,279.14,282.09,293.54,305.11,300.92,298.66,296.08,L7
2000-01-24 22:13:35+00:00,336.67,313.19,317.80,319.83,322.56,335.08,330.38,328.15,333.54,346.37,347.03,340.66,343.75,347.05,349.16,352.01,350.34,349.95,345.01,343.15,342.10,337.17,337.82,342.62,351.79,357.61,360.17,356.12,350.28,338.32,333.00,327.14,323.79,318.57,320.30,318.53,323.67,328.70,334.38,336.12,337.68,339.14,337.06,334.12,337.69,341.17,337.61,334.20,325.47,322.31,320.00,317.19,316.34,311.64,309.97,300.93,293.04,287.57,280.60,278.65,278.80,279.31,279.05,277.87,278.84,279.48,283.38,285.27,287.57,287.94,288.71,293.47,292.04,287.56,288.83,289.35,291.33,288.30,286.09,282.16,277.69,271.07,279.14,282.09,293.54,305.11,300.92,298.66,296.08,L7
2000-02-25 22:13:25+00:00,338.82,316.85,321.48,324.55,322.56,335.08,330.38,328.15,333.54,346.37,347.03,340.66,343.75,347.05,349.16,352.01,350.34,349.95,345.01,343.15,342.10,337.17,337.82,342.62,351.79,357.61,360.17,356.12,350.28,338.32,333.00,327.14,323.79,318.57,320.30,318.53,323.67,328.70,334.38,336.12,337.68,339.14,337.06,334.12,337.69,341.17,337.61,334.20,325.47,322.31,320.00,317.19,316.34,311.64,309.97,300.93,293.04,287.57,280.60,278.65,278.80,279.31,279.05,277.87,278.84,279.48,283.38,285.27,287.57,287.94,288.71,293.47,292.04,287.56,288.83,289.35,291.33,288.30,286.09,282.16,277.69,271.07,279.14,282.09,293.54,305.11,300.92,298.66,296.08,L7
2000-04-20 22:19:15+00:00,339.81,317.78,323.85,326.13,325.08,333.22,329.00,326.51,333.96,347.51,348.42,341.64,343.18,346.60,348.61,351.83,351.44,350.16,345.71,343.29,342.30,337.55,339.76,343.22,353.38,358.36,359.14,355.38,350.41,342.89,337.48,329.84,326.89,321.81,323.25,321.68,326.25,331.54,336.36,339.69,340.75,341.55,338.93,336.99,339.75,343.70,341.14,335.28,329.27,325.63,321.80,319.22,318.02,313.55,312.61,303.33,296.25,291.49,286.97,285.22,283.02,282.48,282.86,282.87,284.82,284.94,286.95,289.65,291.57,289.66,291.78,292.99,291.73,289.17,286.75,290.46,291.00,290.13,288.89,285.18,280.22,276.40,281.51,288.32,298.39,307.93,304.65,302.49,302.15,L7
2000-04-29 22:13:05+00:00,339.49,314.21,322.44,324.72,325.16,330.14,325.96,324.64,333.01,345.21,347.65,341.12,342.04,345.36,346.24,349.27,348.51,349.26,345.21,343.31,341.74,336.92,338.69,343.24,352.93,357.82,359.14,355.38,350.41,342.89,337.48,329.84,326.89,321.81,323.25,321.68,326.25,331.54,336.36,339.69,340.75,341.55,338.93,336.99,339.75,343.70,341.14,335.28,329.27,325.63,321.80,319.22,318.02,313.55,312.61,303.33,296.25,291.49,286.97,285.22,283.02,282.48,282.86,282.87,284.82,284.94,286.95,289.65,291.57,289.66,291.78,292.99,291.73,289.17,286.75,290.46,291.00,290.13,288.89,285.18,280.22,276.40,281.51,288.32,298.39,307.93,304.65,302.49,302.15,L7
2000-05-22 22:18:57+00:00,339.49,314.21,322.44,324.72,325.16,330.14,325.96,324.64,333.01,345.21,347.65,341.12,342.04,345.36,346.24,349.27,346.20,346.50,341.92,339.78,339.25,334.19,338.02,343.24,352.93,357.82,355.84,352.26,348.11,340.59,336.79,328.50,323.51,319.72,319.83,321.18,324.00,329.89,334.22,337.78,338.85,338.00,335.82,334.73,337.21,342.31,339.55,333.03,327.44,323.81,319.47,318.46,315.61,311.78,310.78,300.50,291.35,288.63,284.50,281.36,279.50,279.45,278.98,280.53,283.81,282.38,283.92,287.87,289.73,286.54,288.28,288.78,287.65,286.60,283.59,287.21,287.33,287.20,286.04,282.78,277.26,276.08,279.09,286.55,296.64,305.43,302.36,300.36,298.92,L7
2000-05-31 22:12:42+00:00,340.00,310.11,320.48,323.38,325.16,330.14,325.96,324.64,333.01,345.21,347.65,341.12,342.04,345.36,346.24,349.27,346.20,346.50,341.92,339.78,339.25,334.19,338.02,343.24,352.93,357.82,355.84,352.26,348.11,340.59,336.79,328.50,323.51,319.72,319.83,321.18,324.00,329.89,334.22,337.78,338.85,338.00,335.82,334.73,337.21,342.31,339.55,333.03,327.44,323.81,319.47,318.46,315.61,311.78,310.78,300.50,291.35,288.63,284.50,281.36,279.50,279.45,278.98,280.53,283.81,282.38,283.92,287.87,289.73,286.54,288.28,288.78,287.65,286.60,283.59,287.21,287.33,287.20,286.04,282.78,277.26,276.08,279.09,286.55,296.64,305.43,302.36,300.36,298.92,L7
2000-06-07 22:18:48+00:00,341.21,302.15,321.87,324.32,327.00,333.00,328.90,327.18,334.93,347.74,350.04,343.76,343.88,347.34,348.75,351.16,346.80,346.87,342.82,340.85,339.95,335.18,339.39,345.13,355.66,360.22,357.32,352.73,349.25,341.08,339.76,330.15,323.95,321.80,321.38,323.18,324.02,330.62,335.28,339.82,341.06,338.47,335.20,334.73,336.85,342.85,339.80,331.81,328.05,323.42,317.53,319.67,311.93,308.85,305.74,295.61,287.06,281.01,274.11,281.36,279.50,279.45,278.98,280.53,283.81,282.38,283.92,286.00,288.14,286.72,287.75,287.90,287.50,286.35,284.90,286.75,287.62,287.82,288.21,283.56,281.40,279.72,281.19,288.82,302.50,309.87,305.17,303.59,301.31,L7
