dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,satname
2000-08-19 22:11:49+00:00,,,,,,,,318.46,313.25,331.80,317.23,300.79,298.65,322.02,336.30,329.81,327.06,330.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-27 22:17:24+00:00,330.15,304.62,314.29,317.45,319.34,319.30,317.09,314.61,326.68,336.23,338.40,335.07,332.01,335.18,335.29,340.36,341.18,338.67,334.32,337.39,335.01,333.04,326.85,337.91,354.20,354.44,356.96,350.60,342.63,337.53,331.56,327.55,324.59,319.00,320.26,319.60,322.66,330.59,332.08,336.32,336.18,335.23,331.35,332.37,332.88,339.34,339.07,336.33,330.67,323.17,325.06,317.99,319.03,315.02,311.85,304.59,298.47,292.95,287.15,283.24,284.03,286.06,283.47,283.26,281.00,283.64,288.80,287.54,287.73,290.17,291.72,296.29,296.87,291.25,291.10,295.71,295.74,296.69,294.83,290.80,289.66,283.15,286.34,288.54,300.18,305.07,300.01,297.31,297.97,L7
2000-12-25 22:11:14+00:00,323.71,306.37,310.11,309.58,310.02,298.66,290.53,276.60,299.76,324.85,326.55,326.48,322.34,323.38,322.44,326.93,327.30,324.38,,,,,,,,,,,,,,,,,,,,,,,,329.80,320.57,319.10,327.14,332.24,321.98,321.89,317.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-10 22:11:15+00:00,340.80,325.19,324.42,329.67,330.54,331.38,329.61,324.31,338.24,348.79,349.66,346.44,341.59,346.60,346.37,346.56,349.56,351.38,349.30,343.39,350.18,345.08,347.69,346.27,353.36,356.72,352.12,353.10,349.28,345.12,341.16,334.74,336.52,331.56,329.85,335.46,337.12,340.64,347.48,349.22,353.79,350.83,345.04,345.46,340.80,343.91,346.46,338.85,335.70,331.67,330.15,326.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-22 22:17:09+00:00,332.96,316.30,319.82,329.34,329.09,325.54,324.34,317.97,330.14,342.54,349.91,345.90,344.48,346.32,341.02,343.62,345.14,349.78,342.43,344.97,342.28,344.11,347.79,353.53,357.78,355.28,353.57,352.13,344.32,342.83,338.95,330.62,327.87,322.57,320.55,326.53,335.29,340.45,342.56,345.46,344.73,340.43,338.06,341.64,342.40,354.48,348.15,342.36,335.42,328.69,329.73,324.77,320.08,316.79,314.24,309.15,306.71,300.16,294.37,293.25,288.31,288.11,287.44,288.97,288.17,293.67,297.65,300.29,296.00,298.65,298.54,302.12,302.53,298.85,299.41,303.58,302.60,305.28,303.04,299.74,299.91,293.85,295.69,299.16,312.73,315.61,313.79,306.82,309.76,L7
2001-04-07 22:17:01+00:00,330.33,308.66,323.72,323.89,322.75,317.81,317.57,313.17,329.36,337.89,344.00,336.27,330.87,333.96,336.77,342.52,343.47,341.99,342.19,343.24,343.67,341.23,340.48,345.08,357.35,355.53,358.65,356.06,346.95,344.80,337.64,331.73,332.11,323.55,317.40,322.36,325.21,328.82,335.76,336.57,337.95,341.63,334.51,330.83,335.49,343.46,342.66,338.06,331.36,324.84,326.88,321.93,316.15,312.21,311.13,306.74,301.61,295.56,291.58,287.27,286.55,285.01,284.40,285.74,285.69,289.87,294.47,295.82,293.84,295.34,296.69,299.96,299.50,295.38,294.47,298.32,296.59,299.16,295.43,294.16,291.12,290.95,291.02,296.96,301.15,310.26,305.05,303.04,307.87,L7
2001-04-16 22:10:54+00:00,333.65,313.35,322.22,323.07,319.85,326.24,314.69,308.77,321.54,331.54,338.94,338.53,329.59,337.05,339.67,343.57,344.34,344.84,340.95,345.20,346.81,347.31,341.82,347.24,353.38,355.54,347.74,345.75,335.77,338.60,327.23,324.25,322.45,322.64,318.34,322.90,326.26,332.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-07-05 22:10:09+00:00,354.59,300.64,329.36,327.64,325.98,323.27,322.92,316.53,330.38,342.02,346.12,335.59,338.08,346.01,344.12,344.55,338.17,339.73,339.95,336.71,335.03,335.67,340.57,341.24,,,354.87,345.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-13 22:15:49+00:00,328.43,299.90,316.57,320.35,319.79,324.62,320.95,321.62,328.74,340.23,341.83,338.34,338.01,337.82,344.51,341.64,338.72,341.87,340.77,339.46,342.32,336.52,336.86,,,360.89,360.00,355.15,346.43,338.38,334.77,330.63,329.13,321.99,324.36,324.61,329.75,332.81,337.76,340.34,344.01,341.35,336.36,337.36,341.15,344.99,342.24,334.14,331.95,327.47,322.92,317.22,316.58,312.05,316.11,306.45,300.71,296.01,295.84,286.95,284.44,283.90,283.41,282.35,279.82,282.53,284.58,290.99,290.82,289.70,291.50,293.69,294.90,292.78,288.76,293.43,292.75,295.82,292.30,289.93,281.24,281.57,282.02,290.88,297.83,308.70,303.70,302.44,301.18,L7
2001-11-01 22:15:17+00:00,326.60,308.15,316.61,320.68,319.87,317.70,315.80,312.45,324.36,340.36,341.54,338.00,333.42,335.64,340.10,341.31,341.72,343.75,339.00,337.62,338.02,335.25,332.22,336.78,349.04,348.50,347.13,344.99,344.98,338.78,327.67,322.30,326.56,321.34,314.60,316.91,320.48,322.33,322.36,328.98,332.29,332.20,327.25,326.25,335.72,340.34,336.70,330.08,323.03,317.91,319.96,313.97,312.54,307.98,308.80,300.93,295.12,287.22,282.96,278.07,274.69,275.21,272.79,274.73,277.98,279.18,282.38,284.02,282.36,282.73,282.90,284.89,285.06,280.29,283.08,286.11,286.67,288.35,286.24,,,273.97,278.48,281.98,291.67,297.08,298.22,297.36,293.56,L7
