dates,satname,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088
1999-07-16 22:13:35+00:00,L7,357.18,366.24,361.76,352.56,357.17,360.80,345.01,335.42,340.72,350.37,355.12,362.28,359.51,367.34,354.00,361.90,351.66,357.88,360.10,370.29,339.52,337.30,336.35,,,,,341.39,341.15,358.93,351.88,341.28,339.66,357.11,332.28,338.98,335.98,338.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-07 22:13:41+00:00,L7,328.91,311.43,309.92,315.13,316.73,316.14,311.48,311.17,321.79,332.71,335.50,327.29,331.97,334.59,334.01,339.15,341.47,342.34,335.23,332.22,333.60,327.14,329.70,333.41,339.92,346.50,348.29,348.28,342.39,337.49,326.18,321.71,320.27,311.17,312.91,313.18,321.53,325.41,328.82,329.59,329.80,333.68,334.61,331.65,334.75,336.63,330.50,328.02,320.19,318.22,313.24,311.00,310.03,306.35,307.72,297.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-30 22:19:45+00:00,L7,326.83,311.15,322.92,320.53,323.37,317.58,316.41,309.92,320.29,333.14,334.48,331.29,330.67,337.49,340.49,345.77,344.95,345.35,341.86,339.32,336.76,332.55,329.38,333.86,342.56,350.68,356.14,349.67,342.11,336.30,336.85,329.38,323.98,321.97,323.70,320.41,321.61,327.98,336.12,339.01,341.35,339.60,334.18,331.26,334.47,340.37,339.00,334.66,325.02,320.69,320.10,316.72,316.48,311.21,306.88,298.14,289.95,284.48,277.98,275.82,276.18,276.22,276.43,275.04,276.57,276.39,279.60,281.87,284.74,284.16,285.31,289.22,287.79,284.16,285.05,285.57,287.93,284.52,282.69,278.38,273.44,267.29,275.74,279.26,290.14,301.33,297.52,295.26,292.30
2000-01-24 22:13:35+00:00,L7,360.91,375.49,379.57,392.95,388.83,379.64,371.82,373.77,369.75,380.93,379.22,373.82,377.20,378.18,379.94,379.23,370.02,369.45,364.89,364.86,362.89,358.46,359.10,367.89,379.52,381.07,381.31,377.04,369.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25 22:13:25+00:00,L7,350.82,329.96,333.05,340.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-20 22:19:15+00:00,L7,347.96,324.98,334.13,335.47,335.88,332.72,330.29,328.19,342.30,355.80,357.71,351.15,346.85,351.03,351.34,356.38,358.12,355.42,352.18,348.10,347.26,342.84,348.56,349.62,362.35,364.02,359.32,357.32,353.09,355.32,349.86,338.91,336.91,332.89,333.75,331.98,336.25,341.83,344.70,351.00,351.72,352.11,348.80,348.84,350.96,354.89,354.78,344.01,343.44,338.83,333.06,330.96,328.46,323.95,324.02,315.80,307.83,303.76,300.41,299.46,294.33,294.01,293.75,295.53,296.94,298.76,300.75,303.24,303.24,301.60,304.06,304.00,302.91,299.98,294.89,301.78,299.88,302.18,300.90,298.41,294.24,291.96,293.09,302.22,312.45,320.97,317.58,315.52,318.44
2000-04-29 22:13:05+00:00,L7,331.41,293.16,311.88,311.96,316.51,309.96,305.42,306.98,318.30,328.54,336.65,328.91,329.15,331.53,329.99,331.14,331.56,338.52,336.48,336.62,332.76,327.97,329.82,336.24,344.67,350.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-22 22:18:57+00:00,L7,,,,,,,,,,,,,,,,,340.03,340.01,332.40,329.06,333.77,327.15,339.39,,,,347.87,346.42,342.56,338.91,340.14,330.33,319.46,320.75,316.88,326.03,324.94,332.24,334.74,338.72,340.83,336.46,336.20,337.67,340.80,347.87,345.18,336.73,332.37,328.80,324.65,328.33,319.60,316.89,315.01,304.19,294.80,296.20,290.81,285.80,283.68,286.67,282.45,288.03,291.52,290.54,294.08,298.89,298.21,296.53,295.86,298.62,297.74,296.05,293.49,296.95,294.59,297.56,294.93,294.21,289.60,291.65,288.83,295.18,307.74,316.65,312.38,310.69,308.69
2000-05-31 22:12:42+00:00,L7,333.46,279.51,303.40,306.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-07 22:18:48+00:00,L7,347.55,274.31,325.99,331.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.73,347.53,339.13,338.63,332.65,324.15,,312.57,310.63,302.49,296.15,290.39,274.32,256.60,,226.40,,109.61,64.79,,,,298.21,298.23,307.03,303.96,307.52,309.29,303.40,308.63,305.12,306.27,309.45,312.54,305.66,316.09,310.41,305.32,310.45,337.88,342.97,331.40,331.09,328.24
2000-08-19 22:11:49+00:00,L7,614.09,597.51,492.31,424.62,419.16,,,331.03,326.79,341.58,327.01,313.36,309.00,333.02,344.30,339.59,333.58,338.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-04 22:11:34+00:00,L7,,,,457.39,482.57,424.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
