,dates,nzd0490-0000,nzd0490-0001,nzd0490-0002,nzd0490-0003,nzd0490-0004,nzd0490-0005,nzd0490-0006,nzd0490-0007,nzd0490-0008,nzd0490-0009,nzd0490-0010,nzd0490-0011,nzd0490-0012,nzd0490-0013,nzd0490-0014,nzd0490-0015,nzd0490-0016,nzd0490-0017,nzd0490-0018,nzd0490-0019,nzd0490-0020,nzd0490-0021,nzd0490-0022,nzd0490-0023,nzd0490-0024,nzd0490-0025,nzd0490-0026,nzd0490-0027,nzd0490-0028,nzd0490-0029,nzd0490-0030,nzd0490-0031,nzd0490-0032,nzd0490-0033,nzd0490-0034,nzd0490-0035,nzd0490-0036,nzd0490-0037,nzd0490-0038,nzd0490-0039
0,1999-08-26 22:07:32+00:00,183.77601516066224,125.35238553725878,89.20250462186195,75.6744113720479,102.72282264968224,108.04517430811394,134.2415476341118,149.9525847397825,164.1405472033261,164.59883642815336,163.32826370699678,160.0717271626863,174.34915603539272,171.62685340607894,,165.4344283975242,158.53432683029558,157.7409020931068,163.9582707776643,170.35443359408666,183.59880681928573,187.55184643982292,,194.8224270215497,190.17038156793643,187.7786555537677,192.287359378719,188.9563354082166,184.75023180511843,182.94485801208398,171.27901643289158,166.15944142616942,172.39560116479217,164.4785130033733,160.69160842393768,165.61740575689166,,150.04811933897798,152.30405905896347,
1,1999-10-13 22:07:36+00:00,175.87853459031263,136.94955063734648,107.48635230388057,75.6778185625892,87.71924633013082,97.06723532061677,124.34849953808683,177.8665263763735,171.3464003773104,181.9433864902108,170.0335937385391,162.93754721170455,154.02125331063874,161.3203949915005,165.174693521667,166.47965145431868,166.90878493187498,167.1029942616654,167.67450508292654,174.65431248282314,170.37572118845281,174.78149207143457,174.7113148437844,165.02575362228527,174.08037752694793,187.68041724140903,187.86711775982116,190.95783854215472,,191.8702590663439,,175.6264887300531,169.23476897795112,163.01622363685794,160.4642745646645,152.1678880133272,136.45286000145174,128.1392128979829,,120.85065152278435
2,1999-11-30 22:07:23+00:00,172.7028789823737,151.4780869321885,115.45339272952411,93.58220518965203,90.40270809355123,111.8256781487925,132.53410670902616,,168.61582379940404,171.68196211720527,172.94429461050444,163.25766488169768,156.30407242997032,159.55969275582405,161.77211679267896,155.54904458549711,156.67537017746432,167.00328175549257,,176.00041641504316,183.02846397626516,183.52084367503664,180.42435853264453,182.68129385368928,184.01589976366807,185.67041635577368,192.59511290408275,192.1603997538449,,184.39770844826552,181.36751423064572,171.5591539368464,,159.71826652963654,163.45664453471556,154.51711608702865,154.25567081571677,148.96786297995982,146.041774397329,137.90927758083006
3,1999-12-16 22:07:33+00:00,183.39396762722362,157.6912970777744,123.2964645179863,104.44191237611174,112.03280980300146,127.39093802660739,146.88517480824663,169.9727495305826,181.9406397411713,181.44013378284845,180.87498651781365,170.87393110537843,162.55823927545913,167.04130439007284,169.6677013866654,160.7317979422178,167.08674246580648,172.97181020757756,179.43787094790983,177.340074554536,180.28483660342965,181.17657114646298,176.89475120781862,175.67690706680418,175.57002435320638,191.54632836740362,200.49188073393717,197.80064875542755,187.00971546809868,187.31092011832507,185.46333930826995,173.81018105490276,165.39531852881478,158.7024281665293,165.3871028094053,153.48350919424243,159.5167995338675,149.75778365444978,,133.80880551097616
4,2000-02-02 22:07:23+00:00,,159.68494443122498,112.2298001831909,100.83857714142727,103.64384471401249,130.3274642491968,147.42841367129816,167.88265358500007,162.32314658491768,159.81841850728657,156.12922165892613,149.02419581307072,146.66131864660176,145.71479200020386,153.94419240484442,142.1341238662108,138.89802220032828,145.30321184947564,,152.39741594765184,154.4617163362504,153.92606877116947,148.5316756721672,,143.0191727879731,160.4860858204087,165.57909513449675,177.32402522708227,165.91270238901157,161.95486442265704,161.85483495738282,147.5962769143044,140.08290880938847,136.22588680016105,145.31625187628262,141.08163494320598,154.26223514043556,136.05410371298456,138.06249326092112,136.79742926879388
5,2000-02-18 22:07:16+00:00,,,,120.78110919028738,130.3286228793354,146.47910428525313,164.72776438950103,177.77517572924265,180.4413922428106,,166.7507531524427,164.89445435426944,161.47483693472532,159.4064581708664,172.30113490529516,,180.84366505555747,187.12324742226733,179.23773782898704,183.40369535814355,179.8533306337365,,196.65295547528316,192.09296730726751,190.36615311452712,202.1758017780854,,202.39355813750083,,200.62169012420375,198.85831637863566,,,,168.55578403293853,,158.90772761046517,155.39651178711966,155.3638386654682,159.17086191484182
6,2000-05-08 22:06:44+00:00,203.23510432633134,199.95880211386185,,136.3058109422567,142.09731938770236,154.01343555518244,180.59966998545025,193.14899625832365,204.41566106737363,200.61776195609164,181.68339639142866,166.70466407827968,152.7743591334202,158.90929464985902,162.65783012211267,159.8711375197301,162.64490655413627,172.35067730111493,173.19415359732855,174.95228817822695,,178.98575746681212,173.09241234691493,171.65954969592667,177.092920698672,183.29601136453488,200.9176286958814,192.0896101145561,181.43471567149808,180.03326318636053,180.3628684253378,152.60548025525856,144.26490435460752,146.56901686211427,141.27689979619097,148.1794141677203,132.87738227620898,116.02529234973025,136.10729080049947,125.97038866140048
7,2000-06-25 22:06:19+00:00,,151.29303748369486,121.82493548989778,106.18096225840598,104.07769387640303,117.161690716359,143.8395123763608,167.09025911483712,170.30579137605775,172.47957346028963,176.11588766085617,157.33880369261658,139.82255171917927,143.32201431524763,151.63150574209683,159.62537440590074,160.64589319171944,155.4687134854155,154.40494357675087,,174.36090512873022,,177.29528571067308,177.49056798478293,179.37063756787606,183.50570825531773,,195.928676283777,161.4877372170056,,181.2838562441083,161.5222667477509,137.9153960945004,117.26956645263701,136.08979480453215,155.4439328705044,137.60505816211534,117.18138319066242,,134.15440126896897
8,2000-07-11 22:06:05+00:00,,140.1204264668579,113.65118812902382,93.40858497647872,,,129.27946808588163,,157.54917174483438,146.9703290098434,140.69034324293145,141.76278499647967,132.4904142469565,139.99254867927226,,155.54958684130278,142.82872799309337,115.96269470958917,141.93021764886407,166.39669508738726,176.03365107322756,170.7454767567209,165.27990317569527,167.40512386607463,168.50620239309268,163.43158674018323,,,162.720510540281,149.3124064376712,164.27074275078957,154.59265500858297,130.59439619573115,125.94681897616849,146.57946510676132,147.97792749590533,133.1577984504222,116.20290856932887,131.4577270632495,130.64646320153457
9,2000-07-27 22:05:48+00:00,168.7844903082296,154.338326769458,136.77325150488886,96.9366698151713,107.34735320130807,120.57013676304494,138.82503570164323,150.68281394824302,153.47999468843952,167.67879901282015,168.78166410336044,,143.38180842213734,149.5152337193163,,,149.3303159754462,157.3305447165677,,174.19978632294482,172.9635409249785,178.27996646917188,185.60071466849095,192.09356370464886,191.66403646130598,,199.20957532690343,200.63554494345988,192.01149706809326,188.09426017680573,191.97427261343756,182.73493508585474,181.50291584843796,167.94870425469443,180.99732760878794,184.65139549958874,,129.11954304020844,,164.67235295456254
