dates,satname,sar1383-0000,sar1383-0001,sar1383-0002
1984-04-13 09:27:31+00:00,L5,210.57,209.34,227.89
1984-04-29 09:27:29+00:00,L5,,,
1984-07-02 09:28:52+00:00,L5,,,
1984-07-18 09:29:10+00:00,L5,202.12,218.03,233.44
1984-08-19 09:30:15+00:00,L5,206.79,211.88,217.58
1984-09-04 09:30:25+00:00,L5,204.53,206.69,227.99
1984-09-20 09:30:28+00:00,L5,377.44,229.94,173.29
1984-10-22 09:30:24+00:00,L5,211.70,209.31,213.47
1984-11-07 09:30:17+00:00,L5,216.93,214.89,227.99
1984-12-09 09:30:22+00:00,L5,211.51,226.22,243.01
1985-03-31 09:30:43+00:00,L5,207.83,206.07,234.13
1985-06-03 09:30:28+00:00,L5,207.85,217.64,213.45
1985-06-19 09:30:26+00:00,L5,,,
1985-07-05 09:30:21+00:00,L5,208.32,204.11,228.22
1985-08-22 09:29:56+00:00,L5,207.62,212.39,216.69
1985-09-23 09:29:32+00:00,L5,209.81,207.32,242.55
1985-10-09 09:29:23+00:00,L5,213.62,215.44,229.77
1986-01-13 09:27:46+00:00,L5,210.38,216.80,228.05
1986-03-18 09:26:22+00:00,L5,237.93,263.61,367.66
1986-05-05 09:25:17+00:00,L5,202.40,210.10,214.49
1986-05-21 09:24:51+00:00,L5,216.75,214.93,234.09
1986-07-08 09:23:21+00:00,L5,204.47,207.67,228.07
1986-07-24 09:22:47+00:00,L5,,,
1986-08-09 09:22:13+00:00,L5,214.91,211.52,227.59
1986-08-25 09:21:37+00:00,L5,217.24,214.25,227.63
1986-12-31 09:19:38+00:00,L5,217.44,211.24,228.30
1987-02-01 09:20:35+00:00,L5,213.89,205.24,230.16
1987-04-06 09:23:00+00:00,L5,227.16,213.02,257.66
1987-05-24 09:24:24+00:00,L5,,,
1987-06-25 09:25:08+00:00,L5,214.70,215.54,230.69
1987-07-11 09:25:27+00:00,L5,209.02,209.28,228.01
1987-07-27 09:25:49+00:00,L5,211.56,215.56,227.87
1987-09-13 09:27:09+00:00,L5,210.38,214.82,228.21
1987-10-31 09:28:04+00:00,L5,215.22,210.17,242.99
1987-11-16 09:28:26+00:00,L5,217.89,214.37,228.47
1987-12-02 09:28:42+00:00,L5,217.56,211.71,228.52
1987-12-18 09:28:55+00:00,L5,205.79,210.79,228.80
1988-02-20 09:30:02+00:00,L5,213.55,215.28,227.72
1988-05-26 09:30:48+00:00,L5,203.66,206.28,228.36
1988-06-11 09:30:53+00:00,L5,201.87,208.76,227.58
1988-06-27 09:30:59+00:00,L5,200.00,225.16,213.23
1988-07-13 09:31:03+00:00,L5,207.52,209.73,228.24
1988-07-29 09:31:06+00:00,L5,207.58,205.17,228.16
1988-08-14 09:31:04+00:00,L5,202.95,225.65,212.62
1988-08-30 09:31:09+00:00,L5,201.79,198.98,213.75
1988-11-18 09:30:56+00:00,L5,221.50,216.81,242.89
1989-01-05 09:30:40+00:00,L5,225.07,214.69,279.25
1989-02-06 09:30:23+00:00,L5,87.96,343.84,67.75
1989-03-26 09:29:17+00:00,L5,208.14,211.15,246.02
1989-06-14 09:28:10+00:00,L5,216.84,218.72,227.90
1989-06-30 09:28:02+00:00,L5,196.80,398.44,209.35
1989-07-16 09:27:43+00:00,L5,217.93,224.89,228.32
1989-08-01 09:27:23+00:00,L5,209.03,219.68,215.10
1989-09-02 09:26:41+00:00,L5,218.41,220.48,228.02
1989-09-18 09:26:08+00:00,L5,215.13,215.59,228.06
1989-10-04 09:26:00+00:00,L5,216.57,225.34,213.29
1989-12-23 09:23:34+00:00,L5,220.24,223.20,228.34
1990-02-09 09:22:02+00:00,L5,203.95,218.79,213.37
1990-02-25 09:21:33+00:00,L5,217.90,215.77,313.45
1990-03-29 09:20:28+00:00,L5,212.42,224.65,227.73
1990-06-01 09:20:32+00:00,L5,218.20,218.79,243.01
1990-06-17 09:20:30+00:00,L5,201.85,200.90,234.47
1990-07-03 09:20:30+00:00,L5,202.08,205.54,227.57
1990-07-19 09:20:25+00:00,L5,222.05,215.02,242.66
1990-08-04 09:20:20+00:00,L5,216.95,215.36,227.87
1990-08-20 09:20:18+00:00,L5,205.04,211.64,228.20
1990-09-05 09:20:10+00:00,L5,209.26,218.31,227.69
1990-09-21 09:20:06+00:00,L5,220.29,217.41,228.05
1990-10-07 09:19:54+00:00,L5,,,
1990-11-08 09:19:51+00:00,L5,219.47,209.52,242.63
1990-11-24 09:19:43+00:00,L5,208.56,207.90,228.24
1991-01-11 09:20:27+00:00,L5,218.58,209.18,272.92
1991-02-12 09:21:06+00:00,L5,212.22,204.36,242.65
1991-06-04 09:23:06+00:00,L5,209.73,208.26,235.58
1991-06-20 09:23:18+00:00,L5,208.53,226.92,219.42
1991-07-06 09:23:34+00:00,L5,195.51,206.83,228.02
1991-07-22 09:23:46+00:00,L5,202.85,211.46,213.64
1991-08-07 09:23:52+00:00,L5,212.95,220.24,227.88
1991-08-23 09:23:58+00:00,L5,211.68,212.24,227.76
1991-09-08 09:24:12+00:00,L5,204.14,213.89,227.74
1991-09-24 09:24:18+00:00,L5,211.88,216.24,229.99
1991-10-10 09:24:25+00:00,L5,211.04,215.99,212.93
1991-11-11 09:24:33+00:00,L5,217.08,213.46,242.64
1991-11-27 09:24:41+00:00,L5,211.38,198.32,258.27
1992-02-15 09:24:26+00:00,L5,229.50,219.28,318.10
1992-03-18 09:24:33+00:00,L5,214.35,202.16,243.25
1992-04-19 09:24:18+00:00,L5,208.60,211.64,227.83
1992-07-08 09:23:26+00:00,L5,204.02,219.85,213.03
1992-08-09 09:23:02+00:00,L5,200.32,214.91,217.36
1992-10-12 09:21:52+00:00,L5,211.37,211.93,228.56
1992-11-29 09:21:28+00:00,L5,205.33,219.92,218.41
1993-02-17 09:22:18+00:00,L5,210.34,213.16,228.46
1993-05-08 09:22:49+00:00,L5,201.90,212.23,212.50
1993-05-24 09:22:51+00:00,L5,,,
1993-06-25 09:22:48+00:00,L5,206.99,210.42,231.94
1993-07-27 09:22:44+00:00,L5,211.58,219.97,228.09
1993-08-12 09:22:45+00:00,L5,206.60,220.67,227.98
1993-11-16 09:22:17+00:00,L5,205.39,216.20,243.52
1994-03-08 09:21:04+00:00,L5,227.21,218.93,319.40
1994-03-24 09:20:50+00:00,L5,233.55,223.83,365.94
1994-04-25 09:20:14+00:00,L5,204.65,211.98,227.76
1994-05-11 09:19:55+00:00,L5,203.30,211.33,228.64
1994-05-27 09:19:39+00:00,L5,205.90,219.18,212.76
1994-07-14 09:18:32+00:00,L5,214.76,211.38,242.67
1994-07-30 09:18:04+00:00,L5,204.08,221.38,213.37
1994-08-31 09:17:17+00:00,L5,206.14,207.81,227.87
1994-10-02 09:16:25+00:00,L5,207.89,207.13,219.16
1994-10-18 09:15:55+00:00,L5,209.46,208.80,227.52
1994-12-05 09:14:18+00:00,L5,215.84,221.78,227.58
1995-01-06 09:13:15+00:00,L5,210.20,223.94,227.49
1995-01-22 09:12:39+00:00,L5,229.54,276.32,368.05
1995-02-07 09:12:02+00:00,L5,217.28,225.78,318.92
1995-03-27 09:10:04+00:00,L5,212.12,207.83,228.07
1995-05-30 09:07:16+00:00,L5,204.76,206.87,227.97
1995-06-15 09:06:32+00:00,L5,199.59,214.43,227.56
