,dates,jap0087-0000,jap0087-0001,jap0087-0002,jap0087-0003,jap0087-0004,jap0087-0005,jap0087-0006,jap0087-0007,jap0087-0008,jap0087-0009,jap0087-0010,jap0087-0011,jap0087-0012,jap0087-0013,jap0087-0014,jap0087-0015,jap0087-0016,jap0087-0017,jap0087-0018,jap0087-0019,jap0087-0020
0,1984-08-16 00:44:01+00:00,155.31049313524306,147.2537142101075,141.93369574184706,146.89898087078763,149.01177768392247,154.8205239241221,142.4842509300321,137.77896762746477,133.69426503847126,138.75526405273882,134.91998731839078,139.44674339777612,140.71894527179415,143.82017450263123,136.31267563504505,122.30690858894258,112.00704002621299,120.29483813578575,124.59685244604415,133.9838423229079,135.70449133936165
1,1984-10-10 00:50:30+00:00,166.79935495922163,144.281624556823,146.44132245167907,155.71811042296645,147.56192932938626,149.83315901943118,141.4604198664565,139.23322732435534,144.54972908542447,139.9390417448111,135.5621371076527,138.07165307588878,136.8195380008048,137.89308121991806,132.95258944431345,114.4170849314401,112.37770003766147,126.77701153882128,117.20156795698037,132.20677984272334,139.01432082133311
2,1984-12-13 00:50:28+00:00,,132.59895116424067,128.2887490884356,,,,,,115.46086013508298,123.05782498014008,129.09441551445317,120.51813561330333,117.2576696478788,,,,,,,,
3,1985-01-07 00:44:31+00:00,175.78567219110812,,,,,,,,,,,,,,,,,,,,
4,1985-05-31 00:44:21+00:00,168.64761533601214,147.43896109821299,147.22522590410117,162.9240318176109,162.23819430053467,158.83809481870625,145.32544509783094,133.02061726787514,137.95185343679515,131.42402893827546,132.62824290365964,135.07145389219582,138.91253273666558,142.1546103831762,138.4210098297037,122.79584289187716,119.95499011927261,133.7137947735632,128.11820005606612,135.79705557217648,142.16622303371176
5,1985-06-16 00:44:19+00:00,176.97979373368662,158.3841034520487,160.18929445125787,164.10278408898085,159.8538939002865,162.00011471681643,155.8858264930449,141.48236141096646,148.67972360833534,145.776144282614,150.30821106684968,154.07463122351987,148.66973219364328,149.8077294355794,140.82535757939843,129.7481574478129,126.58080854113109,133.6174162938696,130.65696136426413,147.84519307805968,161.18676210405104
6,1985-08-19 00:43:51+00:00,180.38998511047907,166.30854782353927,166.35073949062036,179.3927745530352,175.31417938282962,176.87520790159033,171.58283866600476,165.84766588676243,175.281763687061,175.70989603312074,170.69137039750348,172.3318529610928,168.46922254476615,165.152673230529,157.38481285302885,149.48515620607034,139.0577223085924,143.43772309052065,143.85436794425067,149.2637793934328,153.6794741391189
7,1985-10-29 00:49:11+00:00,189.1989943195653,170.30463140635794,170.6426352812494,176.04704971302226,171.30936135700787,172.09039751415,164.46099937042584,157.68284135780843,155.12542477018468,154.63517914799445,155.36925628614765,157.42868024373723,155.9418364867086,164.4739722699755,159.15850284069703,157.15335866298,150.82551402947485,166.64751609507408,145.60969956902534,148.20267369524944,150.22190350875744
8,1986-09-30 00:40:30+00:00,160.76814402014688,149.51531931742807,149.72446729579016,158.87253088316433,156.24156745277918,143.14718975254098,138.03775123077344,142.3242773191045,130.90964959922474,137.88180190620804,134.8056536381274,138.26141196925443,145.18894767135743,146.38499055517724,149.90599828818608,145.4421584927898,132.06576314300094,138.64257922415945,,,
9,1986-11-17 00:38:47+00:00,170.93965990201224,157.7139064906647,155.63571513528947,163.22135726472823,151.16581408325374,159.9214376996605,148.60176577952285,154.5743159104207,143.30023543531246,146.06849596333905,148.9039684702422,156.77799653707382,154.730502841045,160.19180096866046,159.98829355391248,150.6367150947451,148.2568363599543,157.83091559309642,154.5495080774116,145.547239513274,140.9741842975111
10,1986-11-26 00:32:28+00:00,,,,,,,,,,,,,,,,,,,,,
