,dates,mex0127-0000,mex0127-0001,mex0127-0002
0,1984-12-23 16:24:48+00:00,217.60990227335887,228.55726080992514,213.07173111173734
1,1984-12-30 16:30:38+00:00,221.03044633165763,227.1151806594674,220.4036739438381
2,1985-01-31 16:30:48+00:00,218.13820646987318,243.1081597361466,230.83644447989187
3,1985-10-30 16:29:10+00:00,214.36367427334028,230.5790832564399,214.8075363686047
4,1986-01-27 16:21:44+00:00,206.6650561935751,217.31961583694442,208.43724771318614
5,1986-03-16 16:20:40+00:00,206.3334125712547,226.22348888975563,211.14410831431655
6,1986-03-23 16:26:19+00:00,208.7923207443392,219.18394775900745,210.17689101316756
7,1986-04-17 16:20:00+00:00,209.325167653161,219.10038294892877,203.9986407330298
8,1986-04-24 16:25:36+00:00,208.58868189743842,215.69447413048934,210.699972622458
9,1986-05-03 16:19:36+00:00,200.70370729603297,207.02549272704127,197.96366688109288
10,1986-05-10 16:25:12+00:00,203.24485785495833,212.9877541102577,197.76959167843307
11,1987-07-16 16:25:35+00:00,196.38558103368408,208.72718932309633,207.1244396602868
12,1987-08-17 16:26:31+00:00,182.0305506121622,191.4626808879641,191.49512202219793
13,1987-09-27 16:21:45+00:00,201.6461861686499,217.60924741305303,207.46695654956227
14,1990-03-11 16:15:17+00:00,205.44620242311493,216.82527066244782,201.30999730638064
15,1990-03-18 16:20:51+00:00,209.33148201267227,214.2540919853998,213.26149674309175
16,1991-02-17 16:21:17+00:00,220.41515120621125,219.36342889363664,214.5071969810319
17,1991-04-06 16:22:08+00:00,203.29535613746026,215.9215554927008,204.8658558200053
18,1991-05-24 16:23:00+00:00,187.88207330538177,201.1488872592758,200.38580810624296
19,1991-11-16 16:24:36+00:00,201.2851000882348,213.12380702381728,203.34955974450975
20,1991-12-02 16:24:50+00:00,195.6809551691083,208.0818482948477,215.86072175717547
21,1992-08-30 16:22:44+00:00,206.84012436627242,219.6912408533558,199.22459136215375
22,1993-01-05 16:21:55+00:00,202.81923499784676,218.7673044424526,210.0173095681668
23,1993-01-14 16:16:15+00:00,207.67505263428671,219.59648109527794,216.18933041161296
24,1993-01-21 16:22:06+00:00,216.47322388066783,218.2233593270184,213.84403443004902
25,1993-01-30 16:16:25+00:00,202.06302828134957,208.15732333181853,203.34156350192276
26,1993-02-15 16:16:34+00:00,204.78627656789848,215.55564103638528,208.13379393509007
27,1993-02-22 16:22:22+00:00,202.96784175314508,222.46721985275263,215.59119477151495
28,1993-03-03 16:16:42+00:00,191.8839117695825,211.20637787207573,200.18080534248767
29,1993-03-10 16:22:34+00:00,214.98073510693882,221.22303019809098,212.7223982138614
30,1993-03-19 16:16:47+00:00,200.72676338152013,214.19069033104014,200.12314800882706
31,1993-03-26 16:22:34+00:00,203.63738596908934,208.47307387637701,198.12920947072496
32,1993-04-04 16:16:52+00:00,192.9641619502448,208.2782318599516,195.29916032073731
33,1993-04-11 16:22:42+00:00,206.39089445486394,219.43550669322286,206.2421854835605
34,1993-04-20 16:17:00+00:00,191.09780867978054,214.53202710774926,199.71615897615624
35,1993-04-27 16:22:50+00:00,207.70241844575258,213.46503833254718,205.16158861391875
36,1993-05-06 16:17:04+00:00,,,
37,1993-05-13 16:22:52+00:00,187.15987062609688,196.88702283421165,192.1859097508422
38,1993-05-22 16:17:07+00:00,188.2398520678648,208.63407517166883,199.4055081490319
39,1993-07-16 16:22:48+00:00,188.0310308776503,189.46429270674537,186.80692118001625
40,1993-07-25 16:17:01+00:00,187.36908345929308,198.82003627178014,195.55351563796438
41,1993-08-01 16:22:47+00:00,188.0224598136464,200.38833323568957,200.31983019797497
42,1993-08-10 16:17:01+00:00,175.55037912390483,195.72043819424994,197.35240966090794
43,1993-08-26 16:16:59+00:00,185.58281931982717,195.13554401874552,192.80004462723764
44,1993-09-02 16:22:46+00:00,202.48883140477164,217.90936725204423,210.83027730352296
45,1993-09-18 16:22:43+00:00,190.00664674040974,208.43965395028863,194.75896210187153
46,1993-10-04 16:22:40+00:00,199.56811416161838,219.95977833844307,201.96015068976317
47,1993-10-20 16:22:33+00:00,199.05540958633094,219.29365682838176,204.42689172004256
48,1993-11-05 16:22:27+00:00,202.4660933276461,216.37786333384153,209.8161014124163
49,1993-11-14 16:16:34+00:00,200.22458248284246,221.5192791589725,203.20896877149454
50,1993-11-21 16:22:19+00:00,200.49123692478088,218.71003219704846,220.205660682102
51,1993-11-30 16:16:31+00:00,206.17116772094957,223.44058762148364,208.8951886018468
52,1993-12-07 16:22:16+00:00,219.8092269109927,232.12521287964876,222.91484009658944
53,1993-12-16 16:16:24+00:00,204.8313554091229,221.37365963910378,205.84567389022797
54,1994-01-01 16:16:13+00:00,208.43004943655362,226.3047337008096,208.6464462398631
55,1994-01-08 16:21:54+00:00,214.22705759642008,221.22560992923042,216.21956259262117
56,1994-01-17 16:15:57+00:00,202.3135334452887,222.74805777939824,206.36839824133392
57,1994-01-24 16:21:40+00:00,215.82665088132273,227.88541614760615,223.8934831093007
58,1994-02-02 16:15:49+00:00,192.94521990086338,210.02109394233264,196.73914554604764
59,1994-02-09 16:21:31+00:00,208.89570374271335,218.75090612535016,207.04817133377077
60,1994-02-18 16:15:36+00:00,200.60096789857192,214.81633051357215,213.97216742922987
61,1994-02-25 16:21:16+00:00,208.9382837206756,224.9573926500409,212.66394775933367
62,1994-03-06 16:15:22+00:00,200.54046570178403,215.06538196209593,200.6396379410156
63,1994-03-13 16:21:02+00:00,206.55008487342468,212.92891175171013,208.44073467315894
64,1994-03-22 16:15:08+00:00,200.74726652847252,208.41966792100027,189.302968879248
65,1994-03-29 16:20:47+00:00,217.74047090158982,226.80907442773568,209.50278564880833
66,1994-04-07 16:14:50+00:00,197.05121732668897,202.89040978229625,196.33637587011378
67,1994-04-14 16:20:28+00:00,201.91547862259577,205.05193037032575,194.5256838189212
68,1994-04-23 16:14:32+00:00,194.6880242060153,208.06118529790302,194.5472894995761
69,1994-04-30 16:20:11+00:00,217.61599580871913,217.7739045729257,198.65413754367623
70,1994-05-09 16:14:14+00:00,201.2508378390255,213.758238260825,201.5788807661188
71,1994-05-25 16:13:58+00:00,201.38682029132895,217.68035232237912,204.67277887002723
72,1994-06-01 16:19:36+00:00,201.80908688998005,211.89960603021294,204.13569830101022
73,1994-06-17 16:19:16+00:00,201.27199661788313,211.95701372467138,202.65788105847963
74,1994-06-26 16:13:17+00:00,200.7934316113493,220.45915799069985,195.53663207567308
75,1994-07-12 16:12:51+00:00,201.33415682376452,219.92446506185638,206.06419253349534
76,1994-07-19 16:18:26+00:00,186.15539764767243,198.51637097498505,193.24182608041747
77,1994-07-28 16:12:23+00:00,202.27049453536665,215.37466147837466,209.3656649822866
78,1994-08-20 16:17:35+00:00,201.90219175228378,213.16547023870294,208.26366772395815
79,1994-09-14 16:11:11+00:00,185.40067976161828,193.7840593202451,193.36504109510022
80,1994-09-21 16:16:46+00:00,207.58553879647968,226.52650643848932,207.75443032312916
81,1994-10-07 16:16:18+00:00,231.21662918897695,234.58194615126158,214.02377591208884
82,1994-10-16 16:10:14+00:00,196.15218991210787,208.52893882405715,195.86826281275862
83,1994-11-01 16:09:41+00:00,202.61116692124142,217.43386486321748,201.66092958117454
84,1994-11-08 16:15:13+00:00,209.03086494923497,227.30643794292487,216.52193168137603
85,1994-11-17 16:09:07+00:00,202.5909976907737,215.75001585109925,208.84673612778852
86,1994-11-24 16:14:40+00:00,208.42235577894414,221.97680114150444,211.25210840658576
87,1994-12-03 16:08:37+00:00,196.8969318527325,212.74990237652082,195.54410305962813
88,1994-12-10 16:14:11+00:00,202.78006261593194,213.96384192222666,198.45107174598238
89,1994-12-19 16:08:07+00:00,193.79830856083913,216.58060545969505,200.64471798175242
90,1994-12-26 16:13:40+00:00,204.58426715081964,216.97251139330754,201.69145676760303
91,1995-01-11 16:13:07+00:00,217.6910458251642,215.9506577558867,208.47596811205537
92,1995-01-20 16:07:00+00:00,219.39927219073616,225.36428694807267,210.97289976626666
93,1995-02-05 16:06:22+00:00,202.98748092037843,216.64710171437082,199.3565753705069
94,1995-02-12 16:11:51+00:00,215.1111978985519,219.9938589502986,211.0912529786902
95,1995-02-21 16:05:43+00:00,208.28888157307227,220.43295895363224,200.21377706898554
96,1995-02-28 16:11:14+00:00,213.22361426845018,219.7948220006869,207.4837665965399
97,1995-03-09 16:05:05+00:00,200.66167946061836,207.01464121998384,196.5108250506882
98,1995-03-16 16:10:34+00:00,212.52363542668226,212.3264829303386,198.61468112330203
99,1995-03-25 16:04:25+00:00,203.20073984425738,204.55766772839496,195.86036429720247
100,1995-04-01 16:09:55+00:00,221.76733886666472,227.35666695299767,210.47234162968547
101,1995-04-10 16:03:46+00:00,202.35159192607813,214.9612230614392,197.94655739543157
102,1995-04-17 16:09:14+00:00,218.20377103174394,222.12564278012138,205.6460233541987
103,1995-05-03 16:08:32+00:00,221.51030084269104,223.18144479675323,200.2939305757057
104,1995-05-19 16:07:49+00:00,195.25693897326659,205.26001078201693,191.92770556714615
105,1995-05-28 16:01:37+00:00,204.13301446483754,213.54413541096673,181.56693196877004
106,1995-06-04 16:07:04+00:00,207.96878753037066,215.72343651380692,201.2071074014338
107,1995-06-29 16:00:10+00:00,205.13567064832648,217.6533123640064,194.35994729621692
108,1995-07-06 16:05:37+00:00,199.82115935290193,209.98492275976673,194.11092880834963
109,1995-07-31 15:58:43+00:00,199.1428185697334,216.28649015244434,199.30158249843998
110,1995-08-23 16:03:26+00:00,201.50080928499293,211.93640973686158,207.21970822107625
111,1995-09-24 16:01:53+00:00,205.47048799199766,212.2206886658492,205.1334646137302
112,1995-10-10 16:01:02+00:00,213.28953304299716,219.611711812926,207.7438768632775
113,1995-10-19 15:54:45+00:00,197.86068567385286,235.26504155644037,183.93011242392257
114,1995-11-11 15:59:51+00:00,222.16830494732858,228.1508973917671,214.2658812151596
115,1995-11-27 16:00:15+00:00,216.21992973603614,219.8640965765718,228.2300928571509
116,1995-12-06 15:55:02+00:00,232.65289948671193,,
117,1996-01-14 16:03:38+00:00,223.3641319820601,220.84619012340124,216.35447205320668
118,1996-01-23 15:58:30+00:00,223.94257466601152,226.29873191636898,219.022904095257
119,1996-01-30 16:04:46+00:00,221.69447998810597,228.26170504405547,213.84789904611645
120,1996-02-15 16:05:52+00:00,223.62818113700644,226.5834235572542,217.961512617994
121,1996-02-24 16:00:41+00:00,218.68967229278766,223.4921645394855,212.36524467261495
122,1996-03-02 16:06:56+00:00,226.02855308545224,225.22200324457447,216.81088645952016
123,1996-03-11 16:01:45+00:00,217.7861363121952,230.0247186780618,209.10253473387365
124,1996-03-18 16:07:59+00:00,216.91254208509028,221.7291094192817,203.6076782157855
125,1996-03-27 16:02:47+00:00,208.21258812607485,219.29888378368173,188.95350999669893
126,1996-04-03 16:09:00+00:00,218.36087072057143,223.63706469153743,199.97606753771845
127,1996-04-12 16:03:46+00:00,201.30766369750444,211.31297809061405,194.86389300834875
128,1996-04-19 16:09:59+00:00,229.77764208492027,223.645480753564,209.268863064151
129,1996-05-21 16:11:51+00:00,222.73630984961045,217.67590846009037,202.27742482897315
130,1996-06-06 16:12:45+00:00,217.69595256114593,218.92459575525493,201.29936909482697
131,1996-06-15 16:07:27+00:00,223.38354235217525,228.9168869418213,214.09405921550717
132,1996-07-24 16:15:18+00:00,187.23177319318847,185.4684043211812,193.8108817262358
133,1996-08-09 16:16:08+00:00,188.63859907343692,196.42367183561726,193.0123363296127
134,1996-09-03 16:11:42+00:00,201.80913825582138,207.44195694569652,200.60839260903276
135,1996-09-19 16:12:35+00:00,205.20855511452044,218.19999968346983,203.17721721135612
136,1996-09-26 16:18:44+00:00,215.16775989440674,228.24958620928777,211.24312892449677
137,1996-10-12 16:19:34+00:00,217.22173363276065,223.77335666330205,205.95404721635737
138,1996-10-21 16:14:15+00:00,206.32940181161982,223.7672978425669,201.30001026046824
139,1996-10-28 16:20:22+00:00,225.16451457639113,232.89811330590922,208.4915077651977
140,1996-11-06 16:15:01+00:00,209.29602496050495,213.4270151687486,199.00192058269442
141,1996-11-13 16:21:07+00:00,220.04739750922957,227.78650396334723,206.32041415046035
142,1996-11-22 16:15:45+00:00,217.53180955907274,,
143,1996-11-29 16:21:53+00:00,235.37091377049114,229.95483136059016,219.9790910969345
144,1996-12-08 16:16:32+00:00,217.83895343441247,218.2820029874552,207.55185960075195
145,1996-12-15 16:22:38+00:00,225.14141790716442,235.55657723214338,219.12827567785723
146,1996-12-24 16:17:17+00:00,234.15016815534236,234.78782962370707,212.60889350047785
147,1997-01-16 16:24:09+00:00,225.70271386980153,229.32007349779505,219.5643533132909
148,1997-01-25 16:18:47+00:00,230.41284733654925,231.12987969483316,217.0638996674884
149,1997-02-01 16:24:52+00:00,219.07222636408954,219.44581854067474,214.48677175494726
150,1997-02-10 16:19:29+00:00,226.49803113788894,233.88363587288438,217.6583538743525
151,1997-02-26 16:20:09+00:00,213.12985904038408,215.57757776186253,201.1387747362385
152,1997-03-05 16:26:13+00:00,229.78132921626417,227.13305330106948,222.07763172392433
153,1997-03-30 16:21:23+00:00,219.65243423436374,223.7230562386653,207.81946176037064
154,1997-04-06 16:27:25+00:00,219.77276836742794,217.28605686970366,213.12805121464436
155,1997-04-15 16:21:57+00:00,204.19508873410302,214.16297626675123,196.64860140102974
156,1997-04-22 16:27:59+00:00,216.34862822366364,217.76534070470836,209.80284105850944
157,1997-05-01 16:22:31+00:00,205.7065651562911,213.7190472007083,195.01197031939518
158,1997-05-17 16:23:03+00:00,191.09164397549847,206.13614593873882,197.47681086391364
159,1997-05-24 16:29:06+00:00,219.686314841094,220.25741725834132,212.72125263789684
160,1997-06-02 16:23:38+00:00,201.44134045259622,202.57950212791627,196.50379581786476
161,1997-06-09 16:29:39+00:00,184.94269926897658,197.624249764915,174.38014446419328
162,1997-06-18 16:24:10+00:00,190.2811398292297,200.97051879210687,196.56792956657594
163,1997-07-04 16:24:44+00:00,194.82185901473048,213.46592503110645,197.82527350372513
164,1997-07-11 16:30:45+00:00,206.73200238122115,227.21306881215963,210.16482010004552
165,1997-08-05 16:25:48+00:00,204.0838345807241,218.57154032024238,203.64514504320144
166,1997-08-12 16:31:48+00:00,186.39366306958016,204.18442721128218,197.8737049241555
167,1997-08-21 16:26:18+00:00,203.6898774492822,216.5243339678934,201.3808972640652
