dates,nzd0379-0000,nzd0379-0001,nzd0379-0002,nzd0379-0003,nzd0379-0004,nzd0379-0005,nzd0379-0006,nzd0379-0007,nzd0379-0008,nzd0379-0009,nzd0379-0010,nzd0379-0011,nzd0379-0012,nzd0379-0013,nzd0379-0014,nzd0379-0015,nzd0379-0016,nzd0379-0017,nzd0379-0018,nzd0379-0019,nzd0379-0020,nzd0379-0021,nzd0379-0022,nzd0379-0023,nzd0379-0024,nzd0379-0025,nzd0379-0026,nzd0379-0027,nzd0379-0028,nzd0379-0029,nzd0379-0030,nzd0379-0031,nzd0379-0032,nzd0379-0033,nzd0379-0034,nzd0379-0035,nzd0379-0036,nzd0379-0037,nzd0379-0038,nzd0379-0039,nzd0379-0040,satname
1999-08-17 22:12:26+00:00,,371.65,383.25,378.38,360.10,354.52,368.80,376.99,376.95,379.27,,,,,,,,,,,,,,,,,,375.10,375.73,389.20,371.24,371.98,378.11,393.84,395.93,391.08,400.81,383.16,376.53,381.41,384.54,L7
1999-08-26 22:06:20+00:00,,385.95,391.49,386.86,369.81,359.60,371.07,376.01,373.80,373.31,366.81,363.90,364.63,372.99,371.95,382.81,375.54,378.08,371.25,383.93,375.87,370.99,370.39,367.10,380.64,381.03,372.11,377.59,381.70,389.17,369.46,376.12,378.25,393.87,397.77,388.00,396.84,373.64,377.27,383.73,380.42,L7
1999-09-18 22:12:27+00:00,428.94,379.29,381.49,376.24,366.61,360.87,372.00,376.58,375.99,376.68,371.31,366.55,366.33,375.98,370.50,376.12,376.67,377.74,377.65,381.65,373.37,367.07,369.21,373.17,380.56,379.65,367.03,374.19,379.80,388.16,368.31,374.25,378.76,391.01,393.65,388.12,395.58,374.12,375.12,383.04,381.86,L7
1999-10-13 22:06:24+00:00,427.54,374.19,375.82,371.17,364.09,359.65,371.19,375.24,375.51,374.44,371.90,366.56,366.65,374.79,371.43,375.48,377.19,375.75,376.88,381.94,375.05,365.78,368.48,371.40,379.73,379.13,368.93,375.52,378.15,385.12,366.84,371.02,376.28,389.21,391.07,388.32,394.91,374.87,374.57,382.70,384.18,L7
1999-11-05 22:12:28+00:00,411.42,376.41,376.71,370.12,361.83,359.34,369.96,374.49,373.94,372.76,371.77,366.45,367.47,374.85,372.10,376.23,376.40,376.36,377.12,381.98,374.59,364.56,367.19,370.41,378.97,380.83,371.75,376.70,380.86,385.74,368.14,370.53,375.54,388.69,390.64,388.24,394.35,375.76,377.45,385.62,384.44,L7
1999-11-21 22:12:24+00:00,402.61,377.70,378.18,371.51,361.94,359.31,370.01,374.55,374.00,372.18,371.51,367.42,367.35,373.66,371.97,377.58,376.46,377.31,378.75,384.40,377.31,366.96,369.22,370.09,379.66,381.56,373.24,377.46,382.42,386.27,369.62,372.01,376.71,389.13,390.26,387.91,394.81,374.90,379.01,386.32,383.09,L7
1999-12-07 22:12:29+00:00,395.62,377.57,378.08,371.39,360.50,358.35,369.05,373.79,373.87,371.12,370.72,366.80,366.82,372.08,371.05,375.07,373.76,375.92,379.35,385.04,377.92,368.29,369.81,369.30,378.77,380.56,372.60,376.37,381.64,384.97,368.00,371.12,375.13,387.92,388.99,387.40,395.46,374.56,379.93,386.38,383.35,L7
2000-03-12 22:12:09+00:00,403.17,380.01,376.07,368.47,356.09,358.03,368.41,374.52,375.48,372.12,372.88,368.37,368.09,372.28,371.53,373.89,374.05,376.72,381.81,384.53,377.36,367.44,369.89,370.44,378.16,378.98,373.29,376.38,381.70,384.48,368.84,370.92,375.79,386.07,385.93,387.37,395.29,376.78,382.42,389.11,386.62,L7
2000-03-21 22:06:01+00:00,409.72,382.38,378.46,371.71,355.62,355.88,366.51,373.17,374.03,368.98,370.31,366.29,365.55,368.61,369.49,372.93,371.55,373.98,377.34,381.78,374.81,366.15,368.05,367.13,376.32,376.94,373.19,374.67,380.90,382.93,367.74,369.86,374.31,385.02,384.05,385.93,393.60,375.20,383.31,389.40,386.26,L7
2000-04-13 22:11:54+00:00,413.56,384.48,380.09,374.44,357.05,357.07,367.54,373.86,374.14,370.39,369.78,366.48,365.02,368.15,369.89,373.69,371.46,375.28,378.15,381.32,373.39,367.12,368.94,367.84,375.51,376.64,372.24,372.72,382.41,383.56,369.11,372.11,377.12,385.71,385.22,386.99,393.77,375.40,385.49,391.39,386.91,L7
