dates,satname,nzd0379-0000,nzd0379-0001,nzd0379-0002,nzd0379-0003,nzd0379-0004,nzd0379-0005,nzd0379-0006,nzd0379-0007,nzd0379-0008,nzd0379-0009,nzd0379-0010,nzd0379-0011,nzd0379-0012,nzd0379-0013,nzd0379-0014,nzd0379-0015,nzd0379-0016,nzd0379-0017,nzd0379-0018,nzd0379-0019,nzd0379-0020,nzd0379-0021,nzd0379-0022,nzd0379-0023,nzd0379-0024,nzd0379-0025,nzd0379-0026,nzd0379-0027,nzd0379-0028,nzd0379-0029,nzd0379-0030,nzd0379-0031,nzd0379-0032,nzd0379-0033,nzd0379-0034,nzd0379-0035,nzd0379-0036,nzd0379-0037,nzd0379-0038,nzd0379-0039,nzd0379-0040
1999-08-17 22:12:26+00:00,L7,460.07,405.25,416.85,406.38,378.77,368.52,381.72,388.99,389.87,392.19,,,,,,,,,,,,,,,,,,387.10,392.53,403.20,385.24,384.90,391.03,407.84,408.85,403.08,412.81,393.66,389.45,395.41,396.54
1999-08-26 22:06:20+00:00,L7,457.02,348.25,347.73,352.00,350.64,343.00,353.34,356.47,350.65,347.36,346.81,343.90,342.96,351.32,350.28,356.81,355.54,358.08,352.68,362.26,354.20,347.35,346.75,350.85,360.64,361.03,352.11,361.50,361.67,367.47,346.01,360.26,358.40,372.22,379.61,366.36,374.30,347.87,358.01,364.38,357.72
1999-09-18 22:12:27+00:00,L7,442.65,385.18,380.69,371.01,370.88,371.41,381.23,384.57,387.74,390.78,383.20,376.59,376.03,386.97,377.04,379.02,385.17,384.78,390.91,387.38,378.87,371.88,376.76,385.23,387.87,385.66,369.34,374.26,385.61,394.15,374.01,377.88,387.15,393.30,392.78,395.22,399.93,381.08,378.21,389.65,391.60
1999-10-13 22:06:24+00:00,L7,431.57,366.49,366.40,362.28,360.73,359.18,371.69,373.93,377.00,370.64,376.00,369.49,370.45,375.58,376.46,378.02,381.17,374.69,378.06,385.67,381.58,366.66,370.48,370.26,380.99,380.99,375.64,382.23,376.99,379.18,365.58,364.28,371.76,386.99,386.26,391.61,395.61,379.50,375.85,384.85,393.86
1999-11-05 22:12:28+00:00,L7,348.32,342.07,337.09,329.93,328.82,340.07,348.43,356.06,351.06,349.41,354.76,349.49,351.95,357.01,356.11,356.87,357.39,361.56,362.42,364.09,355.19,341.23,343.68,353.94,360.05,369.34,363.61,366.00,370.11,370.19,355.37,351.93,355.98,368.59,372.31,372.52,376.67,365.81,372.35,379.31,370.04
1999-11-21 22:12:24+00:00,L7,336.45,328.59,329.93,332.12,331.55,336.04,348.84,355.01,352.93,347.92,349.10,349.94,343.71,345.77,348.27,355.19,355.34,359.76,365.39,370.95,365.04,351.31,352.05,351.42,361.05,363.06,357.82,361.41,362.43,365.78,353.82,358.05,361.18,368.20,366.95,366.40,377.26,353.23,365.39,366.64,356.49
1999-12-07 22:12:29+00:00,L7,337.38,334.37,335.05,335.34,328.32,334.92,347.00,354.05,356.73,348.42,350.42,347.35,346.48,346.48,348.79,341.33,343.94,352.62,367.18,370.54,363.32,355.65,353.53,352.10,357.99,359.25,353.04,354.65,355.77,359.51,340.64,349.44,349.29,362.99,365.11,369.18,384.19,359.28,369.14,369.11,369.74
2000-03-12 22:12:09+00:00,L7,469.77,449.37,433.28,418.49,375.12,375.70,384.77,397.05,398.98,397.06,395.31,388.87,389.09,391.04,391.69,395.91,392.82,398.43,400.47,397.73,389.34,384.24,389.18,386.59,392.51,387.12,391.79,393.32,402.31,407.22,392.78,395.48,400.91,405.52,403.72,402.86,411.64,398.67,405.12,414.26,411.59
2000-03-21 22:06:01+00:00,L7,446.54,349.82,345.42,349.11,340.52,337.85,350.78,358.76,359.92,352.89,348.76,345.08,340.09,344.24,344.13,348.46,351.09,349.30,346.34,350.19,342.90,341.64,343.17,349.88,357.78,354.33,349.69,346.27,356.01,364.20,346.74,352.43,359.21,366.30,362.40,368.88,372.08,356.06,364.44,370.74,371.71
2000-04-13 22:11:54+00:00,L7,446.64,367.84,364.96,369.36,363.07,361.67,373.55,374.08,373.38,374.82,368.46,366.33,362.61,368.17,374.20,376.96,376.32,378.18,378.93,378.26,368.39,367.39,370.73,371.01,371.83,374.92,365.64,366.55,380.43,378.27,369.13,373.47,384.29,386.48,388.97,393.93,392.66,377.22,384.69,392.13,393.74
2000-05-24 22:05:22+00:00,L7,471.29,418.96,437.10,418.02,371.34,369.92,373.59,376.44,375.09,377.96,375.81,361.40,364.34,381.28,376.55,365.75,372.22,378.48,380.56,378.06,371.87,368.17,370.97,376.75,387.74,380.98,374.06,378.68,386.31,383.23,373.68,371.11,380.45,383.89,389.05,391.81,399.75,392.00,397.54,393.38,380.11
2000-05-31 22:11:30+00:00,L7,475.77,342.43,347.69,342.09,328.09,,,,342.18,344.73,338.62,336.98,,,340.28,344.76,338.37,,,341.68,335.79,334.73,343.18,344.87,351.19,344.70,340.05,344.84,349.92,352.02,340.52,330.72,331.29,342.74,346.81,345.80,346.67,345.38,347.60,346.40,216.95
2000-07-27 22:04:36+00:00,L7,,,564.62,620.39,650.86,,342.50,343.94,,,,,,,347.61,353.06,339.13,347.69,337.83,347.24,337.91,,,,,591.01,546.05,517.95,,,,,,352.70,347.07,351.98,340.70,346.99,354.90,358.84,355.13
2000-08-03 22:10:43+00:00,L7,458.07,402.88,419.97,409.69,370.92,372.22,378.96,382.69,386.36,382.85,377.98,374.40,377.58,379.20,384.94,385.42,382.82,385.27,383.73,390.76,383.43,360.53,358.73,369.66,387.05,386.34,386.18,381.99,385.14,387.54,373.26,378.70,381.28,387.17,380.71,384.86,393.61,367.93,387.87,392.30,391.14
2000-08-12 22:04:29+00:00,L7,,,,,,,,,359.18,355.30,350.65,346.16,335.08,342.53,342.81,344.45,,,349.47,,,330.08,327.74,336.67,345.89,349.23,,340.65,347.42,352.36,339.12,354.00,356.88,360.77,352.83,352.16,382.30,338.63,356.46,358.05,357.11
2000-08-19 22:10:38+00:00,L7,,,,,,,376.76,376.44,378.83,382.76,377.69,371.50,370.37,374.46,382.85,381.98,376.42,378.13,379.57,377.25,374.37,362.60,370.31,374.61,388.61,382.91,387.76,382.31,387.38,384.73,373.44,380.11,387.22,399.44,393.66,392.01,400.07,380.81,377.67,391.41,388.89
2000-09-04 22:10:22+00:00,L7,454.67,386.21,404.32,383.15,369.47,369.21,376.18,388.70,387.87,389.63,385.90,379.80,383.48,384.10,378.80,376.75,377.28,386.63,384.59,393.75,385.28,375.23,374.21,372.86,387.23,385.41,388.17,386.63,391.90,388.83,375.81,380.82,389.21,394.84,387.57,397.70,402.38,384.34,379.31,383.07,387.61
2000-09-13 22:04:02+00:00,L7,417.95,329.54,326.91,326.57,329.37,338.61,339.51,350.73,348.35,347.28,343.89,339.67,339.81,348.30,339.47,341.23,335.54,350.50,351.55,349.69,336.90,335.59,334.44,338.25,338.53,351.91,350.31,349.73,347.85,349.62,327.93,330.54,344.33,347.02,340.50,341.63,352.01,340.71,328.73,327.96,327.77
2000-09-20 22:10:03+00:00,L7,430.49,407.34,425.54,385.75,381.66,373.66,379.96,382.88,382.95,385.55,382.73,376.62,379.93,390.65,384.58,376.00,377.16,386.96,397.02,402.05,379.11,368.69,377.62,371.79,396.55,398.25,379.06,376.67,380.25,378.14,367.18,374.88,387.34,387.84,380.87,386.21,383.67,364.94,377.58,383.34,380.62
2000-11-07 22:09:53+00:00,L7,345.56,345.34,348.12,341.78,338.23,337.89,348.11,359.97,360.87,357.73,351.09,348.82,344.72,346.69,345.21,348.17,353.06,361.01,363.82,364.05,358.58,352.55,348.64,357.34,360.29,365.34,360.50,363.61,370.33,367.53,354.85,353.99,357.81,360.79,359.01,362.25,377.01,367.68,363.16,357.47,351.13
