dates,nzd0427-0000,nzd0427-0001,nzd0427-0002,nzd0427-0003,nzd0427-0004,nzd0427-0005,nzd0427-0006,nzd0427-0007,nzd0427-0008,nzd0427-0009,nzd0427-0010,nzd0427-0011,nzd0427-0012,nzd0427-0013,nzd0427-0014,nzd0427-0015,nzd0427-0016,nzd0427-0017,nzd0427-0018,nzd0427-0019,nzd0427-0020,nzd0427-0021,nzd0427-0022,nzd0427-0023,nzd0427-0024,nzd0427-0025,nzd0427-0026,nzd0427-0027,nzd0427-0028,nzd0427-0029,nzd0427-0030,nzd0427-0031,nzd0427-0032,nzd0427-0033,nzd0427-0034,nzd0427-0035,nzd0427-0036,nzd0427-0037,nzd0427-0038,nzd0427-0039,nzd0427-0040,nzd0427-0041,nzd0427-0042,nzd0427-0043,nzd0427-0044,nzd0427-0045,nzd0427-0046,nzd0427-0047,nzd0427-0048,nzd0427-0049,nzd0427-0050,nzd0427-0051,nzd0427-0052,nzd0427-0053,nzd0427-0054,nzd0427-0055,nzd0427-0056,nzd0427-0057,nzd0427-0058,nzd0427-0059,nzd0427-0060,satname
1999-11-21 22:12:47+00:00,368.96,335.08,307.69,285.39,283.66,299.69,314.38,328.11,348.84,374.42,382.67,403.46,420.19,436.19,426.73,421.46,419.00,416.10,414.81,406.69,402.63,396.66,387.32,392.38,382.05,386.43,379.56,384.74,387.39,396.10,392.47,411.88,418.62,419.76,412.38,416.08,410.16,403.19,403.06,393.86,386.94,377.40,372.58,373.94,374.66,377.99,370.33,385.81,387.33,395.55,392.60,392.76,389.91,382.44,381.57,384.49,368.33,364.26,356.81,353.91,346.51,L7
1999-12-07 22:12:53+00:00,375.38,335.08,310.31,280.58,273.05,292.60,309.53,324.11,344.80,369.72,380.16,397.86,415.84,430.78,423.69,420.65,420.06,415.21,411.28,405.32,403.24,398.46,386.56,390.76,381.94,383.93,376.57,378.69,383.76,393.00,392.99,406.02,412.92,416.64,411.76,413.34,408.50,403.64,400.79,394.51,384.93,375.50,370.10,369.38,372.41,375.53,368.37,378.03,386.51,395.51,393.85,399.48,395.47,389.38,386.62,386.38,375.38,368.49,361.87,357.11,354.23,L7
2000-01-24 22:12:47+00:00,378.86,352.87,310.31,280.58,281.20,294.82,308.58,320.95,341.65,364.14,377.74,397.10,418.51,433.73,426.61,421.76,419.60,416.42,412.74,407.59,405.81,399.82,389.36,389.58,383.11,383.36,378.61,380.31,382.85,391.92,393.11,401.46,408.85,412.31,410.27,410.95,406.93,402.67,400.06,396.39,389.75,379.99,373.98,372.08,371.33,370.53,365.65,375.62,386.09,394.11,393.23,398.02,395.50,391.54,390.18,385.50,376.09,368.92,363.39,358.95,355.35,L7
2000-04-13 22:12:18+00:00,378.86,352.87,310.31,280.58,281.20,294.82,315.83,325.95,345.83,367.02,381.73,400.24,421.30,437.32,430.51,425.33,419.60,416.42,417.19,412.22,409.81,403.68,394.59,393.51,388.06,386.19,381.53,383.86,386.33,394.35,396.37,403.44,409.67,412.24,410.19,408.80,405.85,401.77,400.77,397.99,391.18,382.91,378.90,377.06,375.97,377.94,369.76,378.71,386.65,391.89,391.03,393.55,392.63,392.31,391.15,385.94,376.77,370.11,364.85,361.14,358.29,L7
2000-05-31 22:11:54+00:00,383.81,370.65,319.15,287.31,280.80,292.87,317.01,325.23,344.82,361.41,381.42,396.27,420.00,436.59,428.66,424.10,414.74,408.64,411.58,414.06,412.21,406.02,397.02,393.88,390.07,386.11,382.19,383.57,385.98,393.76,397.66,400.63,406.68,400.35,401.83,398.84,394.84,391.78,400.01,391.21,385.57,381.49,379.38,376.18,374.86,376.98,368.20,372.71,379.49,381.64,381.16,384.54,384.08,385.47,394.35,386.43,379.58,372.06,367.53,363.56,362.22,L7
2000-08-19 22:11:01+00:00,,,325.37,298.86,282.47,316.49,327.83,337.00,356.11,364.76,385.39,398.81,423.20,442.03,432.84,426.70,404.44,392.76,414.98,426.52,423.86,414.81,408.81,401.00,398.51,391.40,392.87,395.75,398.60,403.94,409.27,413.27,416.69,400.35,401.28,397.15,393.20,391.50,404.74,391.01,388.05,389.21,389.97,388.63,387.41,389.25,379.60,382.20,379.65,378.66,377.65,377.39,376.85,380.43,393.44,383.67,377.75,370.93,367.76,362.18,360.95,L7
2000-09-20 22:10:27+00:00,,360.04,336.50,322.87,282.47,327.49,332.81,338.99,349.72,359.60,381.50,400.84,425.73,441.55,430.03,424.14,409.55,405.61,413.05,418.74,415.59,407.79,405.03,395.54,392.54,383.64,385.24,387.26,394.26,399.79,403.92,405.68,414.53,401.46,401.92,394.44,391.28,391.28,395.92,391.56,387.88,389.78,391.05,390.11,387.09,387.32,380.25,381.35,380.78,381.53,380.74,379.96,378.24,382.12,392.31,382.67,375.12,370.28,361.81,351.68,350.94,L7
2000-11-07 22:10:17+00:00,361.53,353.45,335.45,319.94,294.24,326.70,334.45,344.15,351.36,358.28,377.67,396.80,421.66,438.48,428.07,423.83,418.54,415.42,416.37,423.19,418.83,405.28,399.49,387.52,383.50,376.78,379.83,382.07,389.48,392.97,399.71,402.22,411.97,399.45,401.94,396.81,392.19,392.16,392.99,390.18,387.97,391.18,393.39,393.19,389.21,388.36,384.56,384.24,382.81,382.91,382.82,383.14,380.00,381.59,391.98,382.07,372.99,368.31,360.45,349.82,347.96,L7
2001-01-10 22:10:27+00:00,379.74,353.45,340.50,330.48,328.31,331.77,334.78,341.80,350.37,363.38,375.81,399.89,421.60,437.96,430.64,424.64,424.69,427.45,427.90,429.97,425.69,414.61,408.80,400.74,395.04,390.14,390.72,393.94,398.06,399.99,403.55,405.56,411.45,408.57,407.97,404.25,402.54,402.64,397.44,400.23,398.67,399.03,400.33,402.10,397.06,396.23,394.76,393.98,394.15,396.27,394.98,394.76,389.89,391.75,393.06,384.49,375.22,370.24,364.39,355.99,355.22,L7
2001-01-26 22:10:30+00:00,373.42,352.30,342.42,332.81,334.58,334.18,335.46,337.19,342.10,363.38,369.37,391.79,413.43,430.59,423.06,417.88,416.35,419.51,423.58,427.39,424.72,415.11,409.71,402.93,397.23,393.04,393.17,395.01,397.84,398.67,400.83,403.80,408.64,405.33,403.25,398.52,397.28,397.21,393.48,397.07,395.09,396.17,396.42,397.94,394.62,393.87,392.48,391.59,391.88,393.91,392.45,392.08,387.20,389.00,390.06,381.70,373.58,367.54,362.68,355.57,356.60,L7
