dates,nzd0303-0000,nzd0303-0001,nzd0303-0002,nzd0303-0003,nzd0303-0004,nzd0303-0005,nzd0303-0006,nzd0303-0007,nzd0303-0008,nzd0303-0009,nzd0303-0010,nzd0303-0011,nzd0303-0012,nzd0303-0013,nzd0303-0014,nzd0303-0015,nzd0303-0016,nzd0303-0017,nzd0303-0018,nzd0303-0019,nzd0303-0020,nzd0303-0021,nzd0303-0022,nzd0303-0023,nzd0303-0024,nzd0303-0025,nzd0303-0026,nzd0303-0027,nzd0303-0028,nzd0303-0029,nzd0303-0030,nzd0303-0031,nzd0303-0032,nzd0303-0033,nzd0303-0034,nzd0303-0035,nzd0303-0036,nzd0303-0037,nzd0303-0038,nzd0303-0039,nzd0303-0040,nzd0303-0041,nzd0303-0042,nzd0303-0043,nzd0303-0044,nzd0303-0045,nzd0303-0046,nzd0303-0047,nzd0303-0048,nzd0303-0049,nzd0303-0050,nzd0303-0051,nzd0303-0052,nzd0303-0053,nzd0303-0054,nzd0303-0055,nzd0303-0056,nzd0303-0057,nzd0303-0058,nzd0303-0059,nzd0303-0060,nzd0303-0061,nzd0303-0062,nzd0303-0063,nzd0303-0064,nzd0303-0065,nzd0303-0066,nzd0303-0067,nzd0303-0068,nzd0303-0069,nzd0303-0070,nzd0303-0071,nzd0303-0072,nzd0303-0073,nzd0303-0074,nzd0303-0075,nzd0303-0076,nzd0303-0077,nzd0303-0078,nzd0303-0079,nzd0303-0080,nzd0303-0081,nzd0303-0082,nzd0303-0083,nzd0303-0084,nzd0303-0085,nzd0303-0086,nzd0303-0087,nzd0303-0088,nzd0303-0089,nzd0303-0090,nzd0303-0091,nzd0303-0092,nzd0303-0093,nzd0303-0094,nzd0303-0095,nzd0303-0096,nzd0303-0097,nzd0303-0098,nzd0303-0099,nzd0303-0100,nzd0303-0101,nzd0303-0102,nzd0303-0103,nzd0303-0104,nzd0303-0105,nzd0303-0106,nzd0303-0107,nzd0303-0108,nzd0303-0109,nzd0303-0110,nzd0303-0111,nzd0303-0112,nzd0303-0113,nzd0303-0114,nzd0303-0115,nzd0303-0116,nzd0303-0117,nzd0303-0118,nzd0303-0119,nzd0303-0120,nzd0303-0121,nzd0303-0122,nzd0303-0123,nzd0303-0124,nzd0303-0125,nzd0303-0126,nzd0303-0127,nzd0303-0128,nzd0303-0129,nzd0303-0130,nzd0303-0131,nzd0303-0132,nzd0303-0133,nzd0303-0134,nzd0303-0135,nzd0303-0136,nzd0303-0137,nzd0303-0138,nzd0303-0139,nzd0303-0140,nzd0303-0141,nzd0303-0142,nzd0303-0143,nzd0303-0144,nzd0303-0145,nzd0303-0146,nzd0303-0147,nzd0303-0148,nzd0303-0149,nzd0303-0150,nzd0303-0151,nzd0303-0152,nzd0303-0153,nzd0303-0154,nzd0303-0155,nzd0303-0156,nzd0303-0157,nzd0303-0158,nzd0303-0159,nzd0303-0160,nzd0303-0161,nzd0303-0162,nzd0303-0163,nzd0303-0164,nzd0303-0165,nzd0303-0166,nzd0303-0167,nzd0303-0168,nzd0303-0169,nzd0303-0170,nzd0303-0171,nzd0303-0172,nzd0303-0173,nzd0303-0174,nzd0303-0175,nzd0303-0176,nzd0303-0177,nzd0303-0178,nzd0303-0179,nzd0303-0180,nzd0303-0181,satname
1999-08-03 21:59:44+00:00,,,,,,,,,,,357.18,360.37,358.27,358.32,353.02,349.30,335.17,334.14,326.70,328.99,,,,,,,,,,,,,,,,319.49,329.91,329.41,332.83,332.67,331.98,335.07,340.91,343.50,346.65,340.29,335.31,331.74,326.69,327.72,327.86,334.25,332.84,331.21,325.25,331.13,331.13,342.17,346.22,336.20,327.97,324.66,333.29,331.26,318.28,317.94,315.97,318.37,308.81,,304.02,329.52,300.54,299.98,307.30,,,300.81,302.75,,326.78,,328.48,330.87,328.69,331.46,325.82,339.45,347.67,337.34,339.79,339.49,334.13,341.17,350.78,353.06,361.89,359.32,361.32,366.49,365.51,366.08,367.38,362.13,359.43,362.51,372.14,,,359.85,352.63,349.18,334.41,332.60,331.10,,343.90,340.70,324.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.84,,,,,,,,,,,,,L7
1999-08-28 21:53:35+00:00,,,389.93,389.88,384.70,382.27,385.10,383.00,381.87,378.36,369.62,370.94,370.12,367.39,364.09,358.00,348.26,348.16,342.77,339.75,350.45,343.40,344.77,348.36,349.04,352.40,353.82,356.85,352.80,352.85,354.74,349.19,348.12,342.85,340.47,331.35,337.80,338.74,340.80,343.31,344.37,347.44,350.92,352.93,351.63,352.51,347.62,344.51,340.57,337.52,339.23,344.61,343.93,344.73,343.90,347.69,348.46,351.34,348.62,339.92,337.52,336.57,341.39,340.81,331.18,330.88,327.93,329.06,324.73,339.48,319.21,332.54,319.81,319.34,322.55,335.21,336.08,320.35,321.34,335.43,333.13,342.56,339.12,342.13,340.92,344.25,343.34,349.52,353.33,349.39,349.50,350.71,349.89,354.50,361.73,363.60,368.62,367.45,369.41,372.38,371.81,373.66,375.78,373.57,372.74,374.64,378.75,383.89,379.42,365.93,363.25,361.01,344.95,340.39,342.48,371.54,360.16,355.59,344.20,358.92,342.87,343.26,355.83,341.14,332.20,341.15,346.90,351.05,350.42,351.34,352.55,347.10,339.76,334.93,334.75,338.70,348.53,359.76,364.80,370.20,373.31,365.41,355.68,341.83,333.50,327.85,326.52,326.99,324.76,322.94,323.15,316.57,310.61,308.63,302.02,303.27,309.14,311.80,305.83,302.08,299.31,310.76,314.12,314.41,328.03,341.80,348.44,348.07,340.32,326.55,335.13,343.10,352.72,357.07,351.79,348.13,357.15,419.99,412.53,404.13,423.91,452.22,L7
1999-09-13 21:53:29+00:00,,,388.88,386.51,385.83,378.00,375.77,374.76,373.61,370.16,368.61,370.25,372.34,367.90,364.41,361.31,356.01,351.82,348.51,347.32,355.42,347.24,346.19,351.50,353.72,354.60,352.47,359.93,353.30,348.85,355.92,352.99,354.78,352.93,347.44,331.35,342.15,348.56,344.27,344.24,347.92,348.05,350.11,351.89,351.56,351.36,348.10,344.14,342.48,339.09,339.85,344.75,342.99,345.12,345.03,349.22,349.99,350.03,346.28,338.11,336.34,334.70,339.86,339.15,330.26,329.14,328.42,329.67,328.73,336.63,322.05,330.46,323.46,322.95,324.11,332.58,333.85,325.60,327.01,340.60,336.75,343.25,342.49,344.05,344.37,346.69,347.26,350.95,354.79,352.62,352.71,354.51,353.50,359.56,365.79,365.92,371.07,370.79,370.52,374.45,374.54,374.53,377.55,375.03,373.49,376.58,378.03,381.20,375.28,365.66,365.12,362.33,348.13,344.81,346.39,365.96,361.56,356.91,347.77,352.83,342.09,338.67,344.70,334.08,327.65,334.70,342.74,347.34,346.88,345.01,348.99,341.90,336.25,331.70,330.28,335.37,345.65,355.68,359.68,364.67,360.88,354.70,348.50,333.81,326.62,321.17,319.51,321.59,324.29,322.75,317.81,309.81,308.35,302.84,298.06,299.11,303.31,308.03,300.00,293.67,299.86,313.99,318.82,321.25,330.56,338.22,343.12,340.07,331.45,324.05,329.26,346.17,349.00,345.92,344.05,344.91,376.48,416.33,414.75,400.63,421.17,448.67,L7
1999-09-29 21:53:40+00:00,365.79,364.98,379.89,378.02,378.10,371.79,371.16,371.37,371.15,368.43,367.91,368.69,370.24,366.20,362.79,358.89,352.84,348.97,345.93,345.95,347.98,342.10,341.15,344.39,348.27,349.32,347.41,354.05,347.43,345.48,349.67,347.51,348.18,346.23,340.89,331.15,340.91,346.09,343.01,343.19,345.17,346.56,349.50,349.70,349.90,348.93,345.94,343.49,342.09,338.36,340.05,342.76,341.87,344.51,345.48,348.84,350.05,349.96,346.26,338.76,336.05,335.69,339.49,338.45,330.23,328.48,327.55,329.07,327.86,331.61,322.32,329.34,323.81,324.29,324.38,332.19,331.91,326.40,329.28,340.44,336.52,341.77,339.73,342.81,343.81,347.53,348.43,348.84,350.68,349.37,353.57,353.80,353.88,360.09,364.28,365.09,369.40,369.22,369.58,372.72,371.87,372.52,375.32,373.95,372.95,373.73,375.09,375.13,371.00,363.88,362.84,360.90,348.92,345.66,349.85,362.32,361.27,359.14,350.17,352.25,339.41,335.32,339.54,334.93,327.02,334.90,343.67,346.75,346.34,343.24,346.76,337.35,330.03,326.16,329.29,337.42,345.84,352.31,357.67,359.17,353.06,351.45,346.71,336.31,329.55,320.07,317.60,317.96,321.32,318.71,311.96,306.90,306.40,301.32,295.81,296.96,303.45,305.32,295.64,298.61,310.62,315.87,318.54,323.74,329.27,332.65,333.95,329.94,325.50,325.75,331.59,342.91,342.64,341.27,343.40,364.75,392.85,418.75,413.04,403.86,424.37,446.85,L7
1999-12-09 21:59:45+00:00,370.39,378.88,383.80,379.65,376.56,372.73,371.66,371.56,371.69,369.75,370.56,371.17,371.37,367.05,362.95,359.37,352.56,349.63,347.22,345.80,347.25,340.74,340.12,342.78,345.85,346.44,346.38,353.07,347.77,345.86,348.34,344.56,344.63,342.65,339.38,332.98,340.34,344.63,342.74,343.82,345.20,346.45,348.76,349.30,349.63,349.09,345.75,344.00,342.44,338.66,340.53,343.88,343.54,346.77,348.38,350.56,351.09,350.91,347.83,339.81,337.50,336.05,339.14,339.76,331.60,330.09,328.48,328.82,328.87,332.90,325.56,329.80,326.09,327.11,327.82,334.79,334.02,329.97,331.61,340.63,337.31,341.52,341.22,345.11,346.32,348.65,349.20,349.06,350.83,350.30,353.14,353.76,354.48,360.45,363.71,365.22,368.68,369.54,370.67,373.14,372.06,372.30,374.95,375.01,372.91,373.30,373.84,373.37,368.93,363.10,363.67,361.66,349.80,346.47,350.69,364.16,363.79,361.28,352.74,353.58,339.38,334.95,339.65,330.25,324.04,335.90,343.25,345.62,343.00,339.70,343.31,334.74,328.78,327.08,329.43,337.35,345.57,351.26,356.14,357.18,354.79,355.41,350.21,338.87,330.71,320.66,317.19,316.23,318.49,317.06,311.88,305.81,303.67,300.43,296.80,298.26,304.61,305.28,298.39,300.68,311.37,314.31,315.06,319.15,326.06,331.18,330.79,326.89,322.72,324.60,328.27,341.56,344.11,348.49,351.37,368.54,392.85,414.60,410.51,404.88,426.27,449.61,L7
2000-01-19 21:53:25+00:00,370.39,380.99,388.49,383.11,377.56,374.40,375.10,374.09,374.47,372.41,373.54,374.70,373.61,369.15,365.01,360.90,353.26,351.26,349.00,346.47,348.11,341.15,340.81,342.42,344.69,345.82,346.25,351.22,347.68,347.14,348.92,344.47,344.50,341.71,338.44,334.01,339.87,345.23,344.53,345.81,347.32,347.28,350.01,352.04,350.65,352.08,347.57,347.00,345.62,340.74,340.53,343.88,343.54,346.77,348.38,350.56,351.09,350.91,347.83,339.81,337.50,336.05,339.14,339.76,331.60,330.09,328.48,328.82,328.87,332.90,325.56,329.80,329.33,330.46,331.67,338.06,336.53,332.69,333.83,341.52,339.07,343.49,343.01,346.80,347.16,349.70,350.19,350.16,351.33,351.27,353.03,353.65,355.35,360.93,363.68,366.09,369.09,370.48,372.22,374.55,373.20,373.14,375.51,376.07,373.60,373.97,374.03,373.64,369.11,364.30,366.02,363.82,351.58,347.55,352.41,368.01,367.25,364.12,356.41,356.60,340.51,336.46,342.34,331.14,324.89,337.23,342.97,345.13,341.76,338.80,343.31,334.74,328.78,327.08,329.43,337.35,345.57,351.26,356.14,357.18,354.79,355.41,352.46,338.81,330.84,321.68,317.19,316.23,318.49,317.06,311.88,305.81,303.67,300.43,296.80,298.26,304.61,305.28,298.39,300.68,311.37,314.31,315.06,319.15,326.06,331.18,330.79,326.89,322.72,325.44,329.49,341.33,346.86,351.20,353.93,367.59,392.85,413.48,409.79,407.65,427.73,451.22,L7
2000-03-14 21:59:23+00:00,369.05,377.11,382.79,377.52,371.26,370.09,371.94,371.89,373.18,373.05,376.06,375.60,372.15,368.87,365.34,358.48,350.54,352.77,350.86,346.44,344.25,339.15,338.69,338.18,340.53,340.64,344.17,346.44,348.00,349.13,346.47,340.68,339.32,337.27,334.82,337.71,341.76,346.02,348.03,348.53,347.98,349.68,352.51,352.84,350.56,351.00,346.71,349.04,348.38,343.46,341.69,343.73,346.87,353.04,354.73,359.42,357.61,355.90,355.43,348.11,345.11,341.58,338.56,340.79,334.91,332.63,328.06,327.55,329.07,329.17,326.03,326.62,328.81,328.81,329.28,333.73,341.25,343.54,344.25,344.91,344.65,346.73,346.94,351.02,351.05,353.18,355.44,353.84,352.67,353.62,356.00,355.46,359.19,364.10,364.29,367.45,367.17,370.94,374.66,376.29,375.81,375.75,376.11,378.19,375.63,372.32,370.51,369.58,366.30,363.34,366.62,364.41,355.50,353.05,359.84,369.37,372.94,371.33,365.05,359.12,339.46,334.98,340.76,329.17,323.05,338.92,343.13,343.66,338.35,334.66,337.63,327.58,321.32,323.90,334.12,343.02,343.87,339.39,349.41,353.10,351.68,357.11,353.98,344.63,336.43,324.04,318.20,312.58,312.19,314.22,309.39,306.73,304.83,305.63,303.42,301.11,307.32,308.93,307.88,317.33,326.71,321.20,317.58,321.00,320.77,320.26,316.67,312.85,315.64,328.64,336.76,347.60,354.43,360.94,368.69,382.70,418.82,414.90,413.04,416.90,436.05,454.27,L7
2000-05-26 21:52:36+00:00,370.68,381.15,389.76,383.02,374.14,373.66,375.27,374.33,375.50,375.75,379.47,379.46,374.89,371.46,367.82,360.77,352.94,356.89,355.10,347.98,347.97,341.60,341.24,340.85,341.58,341.27,346.46,347.82,352.10,352.59,349.57,342.05,340.77,338.75,337.16,340.03,343.29,348.48,350.96,351.37,351.66,352.22,354.12,356.09,352.44,354.12,349.13,351.55,350.87,345.88,342.22,347.20,351.05,358.21,358.69,365.28,361.31,359.00,360.05,351.80,350.07,343.05,338.66,343.00,337.30,335.70,329.62,327.79,332.90,336.77,327.49,326.94,330.14,328.98,330.65,331.68,343.01,348.45,346.97,346.51,347.60,349.36,352.11,355.00,354.01,354.23,356.60,357.62,357.45,358.28,355.95,356.73,360.57,364.91,365.81,369.07,368.09,373.09,377.29,379.22,379.78,378.83,376.29,380.69,377.07,374.70,368.42,371.77,367.59,364.94,366.45,361.24,352.26,350.26,353.82,362.14,379.21,374.08,368.90,363.12,342.16,338.16,346.54,325.45,321.70,340.73,341.92,342.71,334.88,332.14,332.95,326.91,325.03,328.31,337.53,343.77,342.70,336.30,347.30,355.56,358.81,363.18,357.59,345.74,336.78,326.09,320.40,313.52,310.61,316.02,313.95,309.56,306.00,309.31,309.48,305.34,309.12,313.45,318.36,321.75,324.00,321.99,317.39,317.15,317.80,319.63,317.20,314.44,316.66,327.91,336.93,351.34,362.60,370.60,377.56,371.84,412.05,412.00,414.19,419.10,437.82,457.95,L7
2000-07-04 21:58:26+00:00,366.37,375.35,386.87,382.26,375.23,372.72,376.32,375.44,376.59,376.77,374.99,372.57,370.03,367.53,366.56,357.90,349.74,356.27,355.10,348.09,345.30,341.55,337.51,337.44,337.52,339.80,343.45,343.31,348.56,348.11,348.48,343.88,341.64,340.89,338.33,340.80,345.90,353.31,355.63,353.87,354.85,355.31,358.28,360.28,354.39,356.31,351.19,354.30,354.38,348.90,341.99,346.02,351.87,360.63,357.39,361.69,360.81,363.26,365.98,359.60,356.85,348.61,339.59,341.00,337.49,334.86,327.06,,,,316.44,322.26,327.59,324.25,323.32,323.13,337.96,341.98,339.87,339.09,338.83,342.25,340.66,355.34,352.84,354.79,358.76,361.45,360.47,360.41,358.21,358.30,362.41,366.41,368.00,370.73,369.24,374.24,378.41,381.41,383.28,382.53,377.23,377.95,379.24,376.27,364.82,373.62,370.02,367.42,362.30,357.69,347.36,346.33,351.74,356.94,371.58,367.61,374.77,368.69,345.02,342.48,353.11,334.69,328.29,342.56,341.86,343.20,336.80,335.21,,,,326.76,345.19,350.41,340.65,324.48,343.03,359.93,357.63,359.07,356.03,345.33,338.06,327.94,324.86,315.99,311.22,319.93,316.29,316.56,316.51,320.88,319.20,308.51,310.16,321.74,330.06,336.61,334.35,334.35,330.13,328.92,319.18,312.51,313.12,311.15,318.95,331.88,346.24,358.26,369.63,370.82,378.69,363.76,412.05,416.91,419.81,424.68,440.73,457.98,L7
2000-07-13 21:52:07+00:00,366.37,375.35,386.87,382.26,375.23,372.72,376.32,375.44,376.59,376.77,374.99,370.31,369.00,365.97,365.37,356.99,348.16,354.26,355.75,346.22,342.85,340.10,333.82,335.97,335.01,338.54,341.32,340.69,346.15,346.30,349.37,344.48,342.55,341.10,338.33,340.80,345.90,353.31,355.63,353.87,354.85,355.31,358.28,360.28,354.39,356.31,351.19,354.30,354.38,348.90,341.99,344.33,348.82,358.12,354.13,358.33,356.87,356.50,352.62,341.78,338.90,333.88,335.38,335.19,337.31,335.75,334.58,338.52,336.37,323.65,320.47,326.19,328.20,325.39,323.21,322.61,334.18,336.71,339.87,339.09,338.83,342.25,340.66,355.34,352.84,354.79,358.76,361.45,360.47,360.41,358.21,358.30,362.41,366.41,368.00,370.73,369.24,374.24,378.41,379.13,382.56,379.84,375.52,378.47,379.24,376.27,364.11,373.62,370.02,367.42,361.27,356.38,345.68,344.64,349.55,358.39,368.29,365.13,362.52,357.62,345.02,342.48,353.11,334.69,328.29,342.56,341.86,343.20,336.80,335.21,,,,326.76,345.19,350.41,340.65,324.48,343.03,359.93,357.63,359.07,356.03,345.33,338.06,327.94,324.86,315.99,311.22,319.93,316.29,316.56,316.51,320.88,319.20,308.51,310.16,321.74,330.06,336.61,334.35,334.35,330.13,328.92,319.18,312.51,313.12,311.15,318.95,331.88,346.24,358.26,369.63,370.82,378.69,363.76,412.05,416.91,419.81,424.68,440.73,457.98,L7
