dates,satname,nzd0303-0000,nzd0303-0001,nzd0303-0002,nzd0303-0003,nzd0303-0004,nzd0303-0005,nzd0303-0006,nzd0303-0007,nzd0303-0008,nzd0303-0009,nzd0303-0010,nzd0303-0011,nzd0303-0012,nzd0303-0013,nzd0303-0014,nzd0303-0015,nzd0303-0016,nzd0303-0017,nzd0303-0018,nzd0303-0019,nzd0303-0020,nzd0303-0021,nzd0303-0022,nzd0303-0023,nzd0303-0024,nzd0303-0025,nzd0303-0026,nzd0303-0027,nzd0303-0028,nzd0303-0029,nzd0303-0030,nzd0303-0031,nzd0303-0032,nzd0303-0033,nzd0303-0034,nzd0303-0035,nzd0303-0036,nzd0303-0037,nzd0303-0038,nzd0303-0039,nzd0303-0040,nzd0303-0041,nzd0303-0042,nzd0303-0043,nzd0303-0044,nzd0303-0045,nzd0303-0046,nzd0303-0047,nzd0303-0048,nzd0303-0049,nzd0303-0050,nzd0303-0051,nzd0303-0052,nzd0303-0053,nzd0303-0054,nzd0303-0055,nzd0303-0056,nzd0303-0057,nzd0303-0058,nzd0303-0059,nzd0303-0060,nzd0303-0061,nzd0303-0062,nzd0303-0063,nzd0303-0064,nzd0303-0065,nzd0303-0066,nzd0303-0067,nzd0303-0068,nzd0303-0069,nzd0303-0070,nzd0303-0071,nzd0303-0072,nzd0303-0073,nzd0303-0074,nzd0303-0075,nzd0303-0076,nzd0303-0077,nzd0303-0078,nzd0303-0079,nzd0303-0080,nzd0303-0081,nzd0303-0082,nzd0303-0083,nzd0303-0084,nzd0303-0085,nzd0303-0086,nzd0303-0087,nzd0303-0088,nzd0303-0089,nzd0303-0090,nzd0303-0091,nzd0303-0092,nzd0303-0093,nzd0303-0094,nzd0303-0095,nzd0303-0096,nzd0303-0097,nzd0303-0098,nzd0303-0099,nzd0303-0100,nzd0303-0101,nzd0303-0102,nzd0303-0103,nzd0303-0104,nzd0303-0105,nzd0303-0106,nzd0303-0107,nzd0303-0108,nzd0303-0109,nzd0303-0110,nzd0303-0111,nzd0303-0112,nzd0303-0113,nzd0303-0114,nzd0303-0115,nzd0303-0116,nzd0303-0117,nzd0303-0118,nzd0303-0119,nzd0303-0120,nzd0303-0121,nzd0303-0122,nzd0303-0123,nzd0303-0124,nzd0303-0125,nzd0303-0126,nzd0303-0127,nzd0303-0128,nzd0303-0129,nzd0303-0130,nzd0303-0131,nzd0303-0132,nzd0303-0133,nzd0303-0134,nzd0303-0135,nzd0303-0136,nzd0303-0137,nzd0303-0138,nzd0303-0139,nzd0303-0140,nzd0303-0141,nzd0303-0142,nzd0303-0143,nzd0303-0144,nzd0303-0145,nzd0303-0146,nzd0303-0147,nzd0303-0148,nzd0303-0149,nzd0303-0150,nzd0303-0151,nzd0303-0152,nzd0303-0153,nzd0303-0154,nzd0303-0155,nzd0303-0156,nzd0303-0157,nzd0303-0158,nzd0303-0159,nzd0303-0160,nzd0303-0161,nzd0303-0162,nzd0303-0163,nzd0303-0164,nzd0303-0165,nzd0303-0166,nzd0303-0167,nzd0303-0168,nzd0303-0169,nzd0303-0170,nzd0303-0171,nzd0303-0172,nzd0303-0173,nzd0303-0174,nzd0303-0175,nzd0303-0176,nzd0303-0177,nzd0303-0178,nzd0303-0179,nzd0303-0180,nzd0303-0181
1999-08-03 21:59:44+00:00,L7,,,,,,,,,,,373.68,376.87,374.77,372.99,367.69,363.97,349.84,348.81,343.20,343.66,,,,,,,,,,,,,,,,331.49,341.91,342.61,344.83,345.87,348.48,351.57,357.41,362.36,361.32,359.15,351.81,348.24,343.19,342.39,342.53,348.92,347.51,347.71,341.75,345.80,347.63,356.84,362.72,350.87,342.64,339.33,349.79,350.12,334.78,334.44,332.47,333.04,325.31,312.85,320.52,346.02,319.40,318.84,326.16,313.16,314.89,317.31,319.25,,343.28,,344.98,347.37,343.36,347.96,342.32,354.12,362.34,353.84,354.46,354.16,350.63,357.67,365.45,367.73,375.09,371.32,373.32,378.49,377.51,378.08,380.58,376.80,372.63,375.71,385.34,,,370.85,367.30,363.85,343.84,339.93,342.10,348.05,360.40,357.20,341.23,336.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.24,,,,,,,,,,,,
1999-08-28 21:53:35+00:00,L7,350.78,354.66,355.13,360.88,359.84,357.41,360.24,361.25,360.12,359.03,360.30,359.75,360.22,357.13,355.83,347.36,342.03,342.86,337.10,331.19,328.70,324.07,325.44,329.03,329.71,333.07,334.49,335.10,333.47,333.52,335.41,329.86,328.79,325.45,324.65,327.38,329.87,330.66,332.96,336.55,335.01,338.05,339.18,337.49,337.28,339.87,338.19,335.53,332.70,328.00,331.27,335.63,335.69,336.49,340.81,344.91,344.04,341.18,329.28,324.31,327.74,329.14,327.75,325.49,322.33,322.06,318.13,320.41,318.90,317.73,312.65,313.81,314.22,313.83,312.93,310.35,311.22,318.13,318.18,313.68,317.74,320.81,328.01,331.64,333.82,335.30,339.11,340.26,339.65,339.69,339.87,342.59,343.91,346.07,353.35,354.80,357.96,359.77,361.68,362.46,362.30,365.42,366.78,365.68,368.65,369.38,367.95,366.49,362.02,357.50,354.53,353.52,343.06,338.51,339.35,346.68,354.68,348.73,341.92,334.06,325.47,318.40,321.03,306.34,303.20,312.15,322.04,326.19,325.56,326.48,323.55,322.24,318.01,313.18,313.00,313.84,323.67,330.76,335.80,341.20,338.51,330.61,320.88,312.83,304.50,298.85,301.66,302.13,299.90,301.19,298.29,291.71,285.75,283.77,280.27,278.41,280.14,286.94,280.97,277.22,274.45,291.43,296.72,298.59,306.28,312.80,319.44,319.07,311.32,307.46,306.13,314.10,323.72,328.07,326.93,326.38,337.82,390.99,396.71,388.31,406.51,432.89
1999-09-13 21:53:29+00:00,L7,610.73,621.17,379.43,376.15,380.96,367.72,360.45,361.28,360.10,357.29,361.36,363.63,371.52,364.24,360.37,363.28,366.83,354.47,354.74,357.77,355.14,346.41,342.94,349.96,353.72,352.13,346.44,357.75,349.13,340.17,352.43,352.12,356.78,358.80,350.59,,347.04,364.01,347.37,341.90,349.77,344.03,343.24,343.83,346.75,343.06,343.81,338.15,341.04,337.56,336.43,340.36,336.45,340.65,342.02,347.62,347.81,342.75,336.34,329.82,329.31,326.31,331.55,329.84,323.18,320.41,324.16,326.22,331.49,328.53,322.49,321.06,324.77,324.18,321.24,323.95,325.62,330.87,333.11,340.52,338.74,338.68,343.99,342.64,346.59,346.32,349.85,349.15,353.06,353.82,354.46,357.45,355.47,364.44,369.25,365.91,371.76,373.65,368.91,374.77,376.17,372.44,376.88,373.28,370.80,376.25,372.40,374.31,366.95,361.64,364.19,360.28,351.48,351.32,350.73,354.37,359.09,354.30,349.66,340.73,337.11,328.08,325.18,318.63,316.11,321.25,332.57,337.63,337.33,332.69,338.42,330.70,327.49,323.22,320.57,326.04,336.78,344.60,347.56,352.14,340.04,335.58,332.91,318.79,312.74,307.48,306.51,310.18,317.83,317.31,306.47,297.06,300.09,291.05,288.85,288.95,290.49,298.27,288.16,279.26,294.40,312.55,319.32,324.28,327.85,327.64,330.80,325.07,315.59,310.66,316.39,342.24,338.29,327.78,330.31,336.44,391.13,405.66,413.14,393.32,414.23,440.44
1999-09-29 21:53:40+00:00,L7,368.71,370.41,369.50,367.36,368.07,364.80,367.36,369.34,370.97,369.19,370.56,368.77,368.71,365.33,362.14,355.85,347.55,344.64,342.91,346.07,337.85,336.04,335.28,334.41,341.61,342.97,341.53,347.06,339.90,342.97,341.38,340.78,339.20,336.63,331.25,334.20,340.64,342.46,342.70,343.82,341.68,346.82,352.41,348.54,349.14,347.06,344.21,346.27,345.66,340.39,344.84,341.01,342.72,347.44,351.57,351.93,354.96,353.94,350.94,344.95,339.41,342.86,343.12,341.80,334.88,331.25,329.69,331.52,330.00,326.32,327.87,330.73,330.26,333.72,330.61,336.84,333.46,333.54,340.83,344.87,340.56,343.58,336.18,343.84,346.36,354.80,356.70,346.72,342.56,344.39,360.37,355.88,359.78,366.42,363.97,366.82,368.19,367.95,370.21,370.97,367.32,369.94,372.43,374.93,375.11,368.99,370.06,366.79,366.23,361.71,360.23,360.86,354.00,350.31,363.37,360.47,365.15,370.58,362.10,356.54,337.84,334.05,336.81,344.23,332.08,341.64,350.98,351.01,350.70,345.13,348.65,333.67,322.35,319.82,332.05,346.96,351.65,351.90,359.97,354.50,345.02,352.56,350.73,347.64,341.73,324.21,319.21,316.13,320.80,315.39,305.70,306.51,307.92,303.71,296.06,298.08,310.06,305.33,292.36,313.93,337.57,323.84,321.77,332.16,331.44,327.84,321.94,316.01,319.91,338.46,342.59,342.71,336.23,338.30,347.52,409.19,429.81,429.92,413.07,413.76,434.56,447.45
1999-12-09 21:59:45+00:00,L7,363.76,371.91,366.34,360.22,351.10,354.69,352.30,353.85,355.06,357.47,362.91,362.85,357.63,354.23,347.41,345.08,335.21,336.02,334.16,329.00,326.82,320.42,320.83,321.74,322.36,321.59,327.04,331.87,332.57,330.79,328.13,319.49,317.75,317.32,321.56,325.21,324.79,324.21,328.36,331.77,327.05,327.77,327.55,326.83,332.32,328.88,326.75,327.81,325.62,323.64,326.24,332.16,334.02,337.54,341.74,341.22,337.00,338.51,335.86,327.77,327.07,321.27,319.48,324.14,318.85,318.29,313.93,311.57,314.65,318.52,320.29,313.36,314.39,317.56,320.72,321.73,319.48,326.02,322.69,322.97,322.21,322.52,328.92,336.08,340.14,334.85,334.01,333.73,335.19,335.78,335.20,337.37,338.63,343.66,345.19,349.53,351.21,357.54,361.79,361.57,359.52,358.15,358.88,363.03,358.15,356.97,354.24,353.47,348.13,347.79,350.76,348.46,342.88,341.62,341.92,348.82,355.63,351.59,344.78,336.69,324.71,312.98,310.77,287.00,290.78,314.57,321.13,321.35,312.11,308.21,308.62,306.05,306.78,311.61,311.61,316.27,323.89,323.78,327.24,326.86,330.79,338.09,331.52,322.22,309.88,298.08,295.09,290.18,289.13,293.85,290.75,281.69,274.62,276.88,281.50,281.31,283.75,284.30,285.79,286.02,292.78,293.41,290.05,292.11,298.18,302.43,296.96,293.40,290.05,290.76,293.97,313.17,324.20,345.82,354.44,361.66,368.37,377.84,389.67,394.67,417.39,441.67
2000-01-19 21:53:25+00:00,L7,,354.94,364.86,361.60,351.27,350.78,358.59,357.72,359.12,359.53,361.94,365.84,358.29,356.08,351.70,344.96,333.21,335.85,331.38,326.23,325.02,319.26,320.02,317.40,316.51,319.80,322.17,317.34,323.77,328.67,327.69,320.56,320.41,316.77,315.41,318.88,318.21,327.01,334.25,334.58,331.44,324.93,329.74,335.46,332.20,336.74,330.16,335.49,335.01,327.57,,,,,,,,,,,,,,,,,,,,,,,315.21,316.92,320.62,320.87,316.28,319.75,318.43,318.54,321.39,324.86,325.47,328.72,327.80,328.50,328.62,332.09,330.30,329.60,328.92,329.59,333.17,336.80,339.97,346.87,349.92,355.91,360.71,362.31,359.64,358.09,357.12,357.83,355.83,356.12,353.80,353.54,348.60,352.63,354.21,351.09,345.35,341.18,343.31,353.11,358.04,351.81,348.27,338.40,323.82,312.19,310.71,292.29,292.96,307.23,311.57,312.91,306.51,304.92,,,,,,,,,,,,,319.08,303.23,296.04,290.43,,,,,,,,,,,,,,,,,,,,,,,,287.23,299.02,305.11,322.53,326.71,333.89,337.26,342.31,373.68,387.63,399.45,412.34,434.11
2000-03-14 21:59:23+00:00,L7,371.60,375.17,380.07,378.92,378.61,374.08,373.48,375.17,376.06,378.02,377.32,373.43,372.49,371.85,372.12,360.04,358.19,366.57,363.50,356.48,355.82,352.90,350.65,351.18,353.65,350.20,357.95,357.99,367.75,366.09,360.67,353.87,351.92,353.16,348.16,349.63,360.51,365.21,363.91,358.76,360.25,367.70,368.82,364.53,360.58,355.31,354.22,355.11,355.74,354.22,349.55,353.58,359.43,369.13,365.89,380.67,375.87,370.82,374.48,367.16,364.41,356.17,348.09,350.71,345.99,343.36,335.56,,298.49,,324.94,330.76,319.38,311.01,309.17,319.48,359.78,363.33,363.54,361.76,362.96,364.46,365.68,363.96,361.88,363.08,370.91,374.81,374.65,373.22,371.51,371.01,373.66,378.03,380.04,378.59,374.15,379.47,383.02,387.41,393.83,393.89,390.81,388.98,388.24,382.02,378.74,379.30,377.04,370.22,373.28,369.25,361.77,365.08,369.77,,,,,,,,,,,,,,,,,,,335.26,353.69,360.12,350.36,335.81,354.36,371.26,371.23,372.67,364.17,363.43,356.08,341.44,334.57,325.70,320.93,328.43,326.00,326.27,326.22,330.59,327.70,318.22,321.49,331.45,339.77,346.32,344.06,341.91,336.93,335.10,327.68,323.84,324.45,322.48,330.28,347.73,369.46,387.41,392.74,390.93,402.91,413.50,419.61,436.15,438.90,436.83,454.73,465.85
2000-05-26 21:52:36+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.20,349.06,,,,,,,,,,,,,,,,,,,,,,,,,,379.16,,,,367.69,,,,366.21,354.84,345.35,342.50,344.28,347.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-04 21:58:26+00:00,L7,,,,,,,,,,,359.95,352.70,353.56,351.78,352.97,345.82,334.92,343.50,344.68,338.66,329.32,329.60,318.96,320.85,319.52,326.50,327.33,328.86,331.26,326.69,334.19,334.32,329.70,332.14,,,,,,,,,,,,,,,,,,,,,,343.39,346.49,,,,,,,,,,,,,,,,,,310.74,299.55,311.27,317.10,311.89,311.21,306.40,311.67,305.09,,,,,,,,,,,,,,,,,,,,,364.14,,,348.25,,,,343.51,343.60,329.26,330.57,340.61,345.23,350.86,349.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-13 21:52:07+00:00,L7,,,,,,,,,,,,347.78,350.17,347.26,347.81,340.25,329.44,334.25,341.95,326.63,319.75,321.75,308.77,317.56,313.46,320.76,320.96,317.06,324.95,326.86,338.02,332.26,331.27,329.14,,,,,,,,,,,,,,,,,,328.64,331.78,339.86,335.13,337.60,333.24,335.74,323.52,309.96,306.95,305.14,315.42,311.38,321.38,320.88,326.35,324.52,320.62,307.90,308.75,314.38,311.44,309.66,304.86,302.53,301.07,305.15,,,,,,,,,,,,,,,,,,,,,,363.14,369.67,362.99,357.78,366.05,,,348.66,,,,343.13,337.11,329.94,330.87,330.30,344.72,345.96,344.44,334.52,328.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
