,dates,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040
0,1999-07-18 21:58:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1999-08-26 22:04:44+00:00,243.13653659013252,240.17179032599307,244.38782959173378,243.3144997458462,229.22270331010907,234.0075385742604,237.05811852928696,228.62817504779107,218.43640543765866,218.19523265984492,211.76043237690706,216.38005403087683,207.5116801968772,200.56706845999474,198.2659512611125,192.32458217403718,194.728016890302,207.52903998775227,212.2730148357253,214.32036090756742,205.68879408064765,196.2764717653796,195.69205886619153,191.45777651589125,197.7890848912079,195.37105728762708,192.63747125554778,194.83607734469152,201.77738298426888,202.20102270034175,193.3270984449745,197.4774458698064,202.92656752794866,203.35793422240056,205.7480766961948,208.23450633325245,203.0285886309548,199.56307015184663,194.48111895182964,184.25232281545715,184.0401073605233
2,1999-09-27 22:04:48+00:00,231.06463134299008,233.16401805904744,232.27472329842243,228.9584471320937,218.37950512689036,220.4581634898243,216.8672348845741,209.6848981185799,202.70921008475074,197.69003307603643,194.45245804290343,190.44985381231314,190.87725302990853,183.4528842479016,181.9220984938774,178.67746845405688,178.39915466686853,186.2418399842263,191.5315740954402,193.71026478318254,186.1823480889025,178.36841571913786,174.44133023706493,175.16440366012318,173.07233653539205,172.72994063620024,172.9168383131518,175.1425792958937,180.52151462073437,184.12321158798906,176.06803106927168,181.26434343938735,184.17605554217084,189.0374918909826,188.2416009392005,186.34954645283395,184.18114662467178,182.25060220091035,173.50483413146367,168.96261051274269,164.64681471827978
3,1999-10-22 21:58:28+00:00,254.39182339513806,249.01550589565767,253.77425131277815,254.69514341282925,239.83328888957283,248.45834177292494,253.2557688052887,249.68606757300245,230.79790009097565,225.62758120923795,223.32569793307212,217.90425546615623,215.17673178861273,208.0762912092527,203.04219864625836,205.24572823137822,203.79723798627188,212.33050714366385,210.55282418447263,204.0043774566278,204.78815196302924,198.11257355317343,201.36413846014426,204.87283878015748,210.76277377081146,212.82248509574737,,,,223.82436766229057,195.26718595297203,199.76686437919963,206.39156401079083,200.52638321998512,212.35430466955034,221.8486910581541,220.7454722189418,211.446166227586,210.26033593235795,197.4110518578839,174.41098916517365
4,1999-11-14 22:04:42+00:00,231.5855948689076,221.9295678305217,224.03214661021929,225.27453477684028,226.01951575487735,217.76021569061643,227.98065589349653,219.1775392068556,204.26401157917775,197.83767635581862,196.56949469112038,191.14333088191196,189.92623425157888,185.2328644882801,173.827250039286,176.18980443792975,180.41809799166117,186.48995131535307,186.71204214256443,188.55008676133852,186.413800805349,181.08778971840118,186.66183559679172,190.83719383694157,195.09060144514257,181.99061222625318,180.66395343102877,178.68069246479658,185.73831430862637,185.9686562799101,181.4249797335606,182.92998057956638,187.35022416858365,191.39481564818527,189.1521774425027,188.21446181323512,185.53162029464042,178.58713489595067,173.85983149464937,167.99904339712256,165.59363392029226
5,2000-03-14 21:58:11+00:00,252.2914087349542,245.03663769273987,253.80389675620887,254.53427170254602,244.78556762086203,246.80449847197485,250.810766941376,237.02317634687776,233.01344797317554,229.2721952863791,226.1755889544954,225.2698731498214,225.140647921218,218.34525509969546,205.82145568272026,208.7773970484991,207.76793811360903,213.50500861360888,215.1099010207664,215.90172214990002,207.38096423897287,201.90985898427928,204.25403276372356,203.72092873789467,210.0593615488165,214.9264605432677,218.2091066117847,220.83252416178982,227.48664761486103,228.15971752470864,221.61510100247102,226.27418856253675,231.80732254690204,232.82717927587925,238.78298008592378,243.65369607909278,242.58755264755973,239.03664114920224,224.72809205861162,,206.2202756370619
6,2000-03-30 21:58:09+00:00,,,,,,,,,,,,,222.1902894327954,215.9255481066973,206.05721426563008,204.30301967925345,206.36590892191293,210.2838439788295,,,,,,,,,,,224.43126529953994,223.795686318254,220.1668513247463,227.01967120104348,228.0590501831392,230.0430283092569,233.4775873760832,239.3355301040344,235.1326076418613,226.6451488082305,223.89223934424228,213.9888245478313,202.46832746179894
7,2000-04-15 21:57:55+00:00,,,,,,,,,,,,,,,,225.69556939108128,238.6318368884025,,,,199.62259711774104,193.5278386303516,196.5874906191674,198.7243910717736,202.71189853200423,207.81706783792396,217.3911620857672,222.24015576743534,224.36753927595265,225.92756400661796,217.93017911623033,213.60244173824157,219.00633583669452,223.1592456926054,234.26887042368622,235.2694927805102,231.35304159112596,216.21218968555428,211.5219555756545,201.88029491982638,211.74596454661014
8,2000-05-17 21:57:43+00:00,238.7157426049284,233.16079723269308,234.11096936161928,235.29181941844402,218.4139394624552,223.49129908233795,227.65528167199858,229.76291739299552,225.47212016886883,225.17641396708584,211.88684710394696,,,201.85479435810035,180.02419863854027,,,,,,,,,,,,,186.87290079716175,200.0621348164037,201.49690279089114,198.84687854289757,203.25141575972074,205.04756588883845,196.44636186455182,198.3439627469123,208.8496828297666,203.13008246639225,198.71301648557102,190.9890260408377,182.9235925633584,185.5196130325152
9,2000-06-18 21:57:27+00:00,238.61405105408247,236.53338770382604,236.79977042019158,232.38937923547022,243.49083115200662,239.6297385367804,236.82909468845406,228.10350744065894,224.9525097996693,222.74332976628122,217.45217727584256,217.97681921868832,207.7056752667196,201.17392013283785,195.88713801184258,191.23958573814582,191.9844976235964,202.33825784157597,195.33706302690976,201.50171643269053,196.77535016541884,191.57733854575213,191.63168989240495,194.93424349822473,204.89112221050237,200.63284973982164,194.40632807602313,200.90966865977518,191.2107845693555,194.744489667604,189.71793531814552,192.32212495855345,197.28652740763,201.93413587697722,214.84097758489867,217.40486382253312,212.41491533246034,212.30057246734594,204.8636231842273,186.12524610697488,192.01475298460474
