dates,nzd0369-0000,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0025,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0030,nzd0369-0031,nzd0369-0032,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0037,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0042,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0053,nzd0369-0054,nzd0369-0055,nzd0369-0056,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0062,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0066,nzd0369-0067,nzd0369-0068,nzd0369-0069,nzd0369-0070,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0074,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0079,nzd0369-0080,nzd0369-0081,nzd0369-0082,nzd0369-0083,nzd0369-0084,nzd0369-0085,nzd0369-0086,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0090,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0099,nzd0369-0100,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0118,nzd0369-0119,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0130,nzd0369-0131,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152,satname
1999-07-02 21:59:57+00:00,381.34,335.59,319.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.90,,396.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-03 22:00:08+00:00,,,,,,,369.90,367.91,367.37,371.59,376.32,366.10,373.47,379.10,366.16,377.91,373.16,362.71,378.69,374.96,373.46,376.74,373.10,370.08,374.57,368.88,362.55,348.91,370.12,339.13,342.09,338.18,343.13,338.14,320.01,303.54,310.85,319.98,327.42,350.44,352.18,355.59,360.91,355.33,348.09,347.88,367.30,367.14,361.06,351.70,329.94,359.52,369.76,364.26,352.18,335.45,343.75,354.75,372.02,363.55,349.93,337.65,323.13,328.37,317.08,310.67,308.47,314.35,318.46,328.74,334.00,342.22,348.83,357.95,,342.70,336.01,331.31,324.81,315.80,314.64,321.31,334.66,336.04,342.04,344.67,341.79,342.08,346.30,355.62,,362.69,348.46,358.15,339.24,340.05,355.82,341.02,338.47,347.18,368.22,359.87,362.86,371.26,351.54,370.50,377.42,355.97,353.34,354.05,354.73,370.78,361.56,346.89,355.47,341.05,338.73,342.80,349.33,349.39,352.76,341.29,337.67,338.41,336.59,343.71,340.39,342.44,340.24,341.07,347.29,354.71,352.34,347.31,348.93,345.88,347.94,348.35,347.53,343.37,339.66,345.52,354.69,362.88,354.04,352.87,352.68,355.41,358.33,352.96,358.01,361.98,367.82,L7
1999-08-12 21:53:56+00:00,,,,345.59,345.90,353.66,361.01,363.69,364.06,365.76,369.30,362.85,363.16,364.71,350.77,350.71,334.89,349.60,347.64,352.35,345.67,356.41,348.66,344.35,350.76,337.78,328.81,330.71,338.57,344.95,334.84,323.61,333.97,325.03,315.24,306.03,304.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:09+00:00,354.08,346.45,344.92,352.53,348.55,353.59,355.09,356.39,357.27,367.27,360.96,354.30,358.83,366.40,358.08,362.66,354.01,351.99,363.17,360.71,355.10,357.91,355.67,350.59,355.85,346.42,338.03,338.81,351.00,337.63,335.19,329.14,338.79,334.21,318.25,294.79,304.43,304.65,308.50,332.92,335.57,336.66,346.78,338.49,345.81,346.83,361.15,359.76,354.99,349.14,334.44,347.04,347.05,342.79,340.69,326.51,332.92,344.41,357.12,349.54,338.93,330.64,313.43,317.43,306.80,306.63,310.02,309.96,318.28,309.63,316.05,323.58,332.12,345.40,337.80,332.00,333.71,324.50,317.91,314.91,309.68,316.03,330.39,334.67,334.09,335.58,334.09,335.07,339.58,338.96,342.53,348.93,341.76,346.91,341.31,335.27,348.25,336.94,335.99,339.51,350.94,348.20,352.90,352.07,344.13,349.88,361.68,357.60,346.20,345.10,347.37,358.50,343.60,336.40,346.26,337.02,327.52,335.27,333.21,339.86,344.11,342.39,341.40,344.77,340.78,341.67,342.91,343.86,344.89,347.48,345.00,350.69,353.56,351.01,353.35,347.32,351.52,349.56,343.51,341.10,342.32,346.91,353.70,351.11,341.31,339.74,343.09,347.17,345.91,346.62,357.94,361.26,370.66,L7
1999-09-20 22:00:08+00:00,,,,,,,,,,,,,,,,,,,359.80,357.82,352.44,359.80,351.92,350.77,354.43,352.01,340.09,337.82,349.31,346.42,345.17,333.27,338.86,331.34,319.02,298.14,304.22,307.70,311.64,335.50,330.37,336.78,346.34,332.25,338.99,343.42,356.93,352.42,348.18,336.98,330.44,339.59,345.20,337.11,336.07,324.87,332.33,349.03,359.74,350.84,340.77,327.91,318.55,322.54,313.19,307.37,315.32,313.84,318.59,309.77,312.90,328.90,333.63,337.94,336.13,333.94,330.54,325.39,318.84,313.62,309.82,313.72,324.54,329.41,329.36,335.36,327.49,333.58,337.47,340.70,346.70,,,,,,,,,,,,,,,,357.35,357.18,340.09,338.93,341.67,351.56,337.71,336.01,341.23,335.22,319.92,330.38,321.93,321.63,346.05,342.71,339.23,344.33,349.19,347.22,334.53,335.63,340.51,340.67,341.22,349.36,351.36,346.17,348.91,348.90,344.95,349.19,342.91,341.21,343.03,,,,,,,,,,,,,L7
1999-09-29 21:54:04+00:00,,,,,,,,,,,,,381.11,390.39,378.89,394.91,387.84,381.67,395.74,391.34,389.65,391.55,386.29,376.86,387.71,379.49,370.67,361.81,383.51,350.33,357.42,348.42,357.52,347.36,325.95,307.68,308.78,318.11,326.67,358.87,361.49,368.07,370.29,363.00,356.45,358.27,380.56,380.72,374.99,374.42,348.57,376.66,378.52,373.75,366.38,339.49,351.60,365.28,380.54,379.05,366.23,345.09,331.07,342.29,335.25,332.56,332.50,338.27,340.20,330.17,338.25,344.81,353.77,364.04,356.14,351.07,352.57,346.41,334.85,325.81,317.56,324.10,338.34,350.52,357.86,358.69,351.92,350.69,354.50,359.67,353.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:04+00:00,,,,,,,,,,,,,,,,,,,,342.95,346.69,351.95,350.24,344.27,346.80,338.70,318.11,325.03,342.12,351.76,343.52,340.45,353.24,350.95,342.16,296.65,301.39,303.85,315.99,337.38,342.71,350.34,374.03,,333.88,348.70,362.42,389.65,,328.66,328.99,338.00,338.17,350.44,,323.16,330.66,347.84,368.11,362.83,350.47,328.51,319.53,331.40,320.74,315.34,317.73,320.16,324.19,313.36,320.58,330.58,330.82,336.73,331.47,329.89,330.07,322.01,,,,,,,,,,,,,,,,,,,,,,,,,,,336.73,332.64,337.32,356.73,342.72,337.72,348.25,345.96,338.17,340.79,345.05,336.05,335.73,326.24,338.24,337.16,351.10,345.50,350.58,358.30,353.34,349.70,349.28,342.34,347.93,351.72,353.49,353.84,353.82,354.22,353.44,354.20,,,,,,,,,,,,,,,,,,L7
1999-12-09 22:00:09+00:00,,,,,,,,,,,,,364.20,364.87,358.56,359.46,351.91,359.24,366.93,360.26,355.49,362.93,358.89,358.73,361.48,357.25,341.40,346.35,352.92,354.04,350.98,342.52,355.29,343.51,334.51,314.77,320.06,321.13,324.97,346.66,343.01,345.52,351.47,338.20,345.84,348.69,357.74,361.96,356.04,349.47,341.05,353.99,356.13,351.22,346.95,335.27,339.50,348.33,363.26,353.95,347.72,341.08,338.38,353.00,342.18,335.93,330.63,327.93,333.35,329.38,337.38,341.81,345.02,345.81,346.58,342.38,341.07,332.94,323.08,320.95,320.22,325.87,332.82,339.92,347.01,341.70,340.60,341.25,345.10,340.45,345.02,349.28,346.33,350.24,348.03,347.18,354.08,342.69,343.82,349.13,353.77,354.28,355.21,354.95,360.05,359.24,361.58,361.32,353.06,354.21,359.25,367.07,355.58,355.51,365.55,353.20,345.51,341.16,347.93,349.15,352.63,348.01,349.21,353.51,346.62,346.71,343.68,348.24,345.52,346.27,346.36,353.00,353.79,353.13,355.29,345.71,348.78,344.32,343.74,344.09,339.75,345.15,358.22,356.49,350.73,340.72,343.63,347.01,346.30,351.78,359.89,362.25,372.13,L7
1999-12-25 22:00:04+00:00,359.15,356.46,351.68,359.50,353.67,361.92,362.65,366.55,369.94,375.05,370.20,362.63,369.75,375.28,362.47,378.14,369.49,368.92,374.98,372.09,369.78,372.76,367.63,359.59,368.75,358.97,351.02,341.68,365.50,345.11,349.04,337.93,350.84,340.30,324.11,308.54,314.14,316.88,315.21,341.51,346.09,346.78,357.51,349.81,344.44,343.21,366.66,369.34,360.06,358.91,338.53,358.08,364.36,355.05,348.66,333.41,337.01,349.13,366.39,356.67,346.50,341.21,327.28,338.79,327.56,323.58,320.93,327.96,327.38,322.15,327.65,332.14,336.24,346.35,336.26,339.16,334.95,329.18,318.10,314.00,312.44,318.71,331.71,335.21,342.25,340.85,337.78,337.26,341.37,339.64,340.34,345.89,343.78,355.20,342.36,345.59,356.77,339.36,339.12,342.33,356.24,356.08,361.56,365.83,358.65,366.72,371.03,355.52,351.31,346.35,349.43,363.46,350.54,349.50,359.31,342.65,332.72,341.13,334.98,339.04,347.41,340.87,339.96,347.32,342.08,345.11,344.24,338.26,341.70,341.64,340.37,351.31,347.43,346.08,345.12,345.49,343.68,344.98,340.27,340.08,339.18,343.42,361.61,361.83,348.18,345.49,350.93,353.99,356.60,355.17,365.15,365.64,378.70,L7
2000-01-26 22:00:02+00:00,368.43,358.10,357.03,367.73,360.39,364.92,369.20,368.59,377.41,380.96,377.96,375.15,381.93,385.12,372.18,385.80,385.45,381.41,387.57,381.87,368.57,377.33,370.75,374.20,384.76,371.58,363.67,360.51,371.32,347.00,350.07,343.36,356.75,344.20,322.35,308.34,317.05,317.27,315.97,347.41,355.17,357.35,362.92,357.29,353.43,352.47,372.91,375.77,366.91,368.19,346.37,366.45,369.42,367.57,358.45,337.66,345.19,356.98,377.87,371.74,361.28,353.79,331.32,349.13,339.86,331.54,321.13,331.36,327.72,320.98,326.51,333.37,340.52,346.89,346.79,343.43,340.34,333.93,323.33,317.36,315.61,320.53,339.69,342.12,348.16,343.46,343.67,340.57,344.42,342.29,350.90,352.94,346.51,362.38,343.72,351.60,363.36,341.95,341.40,348.44,364.56,361.54,368.03,376.22,368.00,383.21,381.67,360.13,361.43,359.95,364.00,376.86,357.62,355.53,366.68,347.90,343.49,346.27,346.48,351.39,354.64,348.42,356.80,354.12,350.89,349.38,345.78,347.24,348.76,348.18,344.94,355.30,362.96,355.32,350.47,347.47,358.48,354.42,351.73,350.52,351.46,357.93,372.19,369.15,357.63,356.44,357.45,364.96,365.77,368.64,375.69,373.30,389.36,L7
