dates,satname,nzd0369-0000,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0025,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0030,nzd0369-0031,nzd0369-0032,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0037,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0042,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0053,nzd0369-0054,nzd0369-0055,nzd0369-0056,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0062,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0066,nzd0369-0067,nzd0369-0068,nzd0369-0069,nzd0369-0070,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0074,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0079,nzd0369-0080,nzd0369-0081,nzd0369-0082,nzd0369-0083,nzd0369-0084,nzd0369-0085,nzd0369-0086,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0090,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0099,nzd0369-0100,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0118,nzd0369-0119,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0130,nzd0369-0131,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152
1999-07-02 21:59:57+00:00,L7,374.45,330.82,315.20,577.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.17,365.00,,,,,67.37,,,423.35,438.73,453.86,,,,,,,,,,291.48,,,65.71,,,,,,,,,,,129.03,,,,256.26,271.49,394.50,419.90,381.11,627.11,,,,,,305.13,,,,556.09,520.47,,,398.20,,,,,,,,,,,,,,,,,,,131.37,,71.45,86.61,162.78,173.97,171.22,,,,,287.60,,
1999-08-03 22:00:08+00:00,L7,,,,82.11,,,359.13,356.24,354.64,358.86,360.76,350.54,357.91,359.10,346.16,349.91,338.16,342.71,350.69,351.63,350.13,353.41,349.77,346.75,351.24,345.55,334.55,331.41,342.12,333.94,329.36,324.18,329.13,324.14,315.64,298.16,303.85,313.62,320.05,337.71,334.68,335.59,343.41,332.00,335.36,336.21,347.30,343.81,341.06,328.37,319.17,336.19,346.43,340.93,334.68,323.78,333.75,345.42,354.52,346.05,329.93,323.65,319.63,324.48,312.41,306.15,304.47,309.68,313.46,324.22,328.40,337.22,342.16,349.20,,334.46,328.64,323.53,319.21,310.80,309.26,315.22,324.66,327.80,332.71,333.90,331.79,334.30,336.30,343.95,,353.36,340.68,340.65,333.64,335.53,335.82,327.02,327.70,337.85,344.89,345.87,345.36,343.26,334.04,335.50,349.42,350.78,337.78,338.49,339.17,350.78,348.83,336.89,341.47,331.72,327.06,330.07,339.33,339.39,343.43,333.05,330.30,331.41,330.50,338.11,333.02,335.44,334.15,334.07,339.05,347.34,344.10,339.94,341.93,337.64,339.70,340.98,340.53,335.59,329.66,333.85,340.69,347.32,338.48,337.31,337.12,339.85,340.83,338.96,346.34,351.98,357.05
1999-08-12 21:53:56+00:00,L7,,,,351.37,350.23,357.99,365.01,368.02,368.79,370.49,375.08,368.63,368.94,372.14,358.20,361.11,347.89,357.03,358.04,361.02,354.34,365.08,357.33,353.02,359.43,346.45,339.21,337.21,348.97,346.88,339.57,328.81,339.17,330.23,316.86,308.03,307.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-04 22:00:09+00:00,L7,349.86,343.53,342.39,348.31,345.38,350.42,352.17,353.22,353.82,363.82,356.74,350.08,354.61,360.97,352.65,355.06,344.51,346.56,355.57,354.38,348.77,351.58,349.34,344.26,349.52,340.09,330.43,334.06,343.40,336.22,331.74,325.34,334.99,330.41,317.06,293.33,302.53,302.92,306.50,329.47,330.82,331.23,342.03,332.16,342.36,343.66,355.72,353.43,349.56,342.81,331.52,340.71,340.72,336.46,335.94,323.34,330.21,341.88,352.37,344.79,333.50,326.84,312.48,316.37,305.53,305.40,308.93,308.69,316.92,308.40,314.53,322.22,330.31,343.03,335.27,329.76,331.71,322.39,316.39,313.55,308.22,314.38,327.68,332.43,331.56,332.66,331.38,332.96,336.87,335.79,340.63,346.40,339.65,342.16,339.79,334.04,342.82,333.14,333.07,336.98,344.61,344.40,348.15,344.47,339.38,340.38,354.08,356.19,341.98,340.88,343.15,353.07,340.15,333.69,342.46,334.49,324.35,331.82,330.50,337.15,341.58,340.15,339.40,342.87,339.13,340.15,340.91,341.96,343.24,345.58,342.76,348.69,351.32,349.01,351.45,345.08,349.28,347.56,341.61,338.99,339.61,343.74,349.90,346.89,337.09,335.52,338.87,342.95,341.16,342.82,354.77,358.55,367.74
1999-09-20 22:00:08+00:00,L7,,,,,,,,,,,,,,,,,,,363.00,360.49,355.11,362.47,354.59,353.44,357.10,354.68,343.29,339.82,352.51,347.01,346.62,334.87,340.46,332.94,319.52,298.76,305.02,308.43,312.48,336.95,332.37,339.07,348.34,334.92,340.44,344.75,359.22,355.09,350.47,339.65,331.67,342.26,347.87,339.78,338.07,326.20,333.47,350.10,361.74,352.84,343.06,329.51,318.95,322.98,313.72,307.89,315.78,314.37,319.16,310.29,313.54,329.47,334.39,338.94,337.20,334.88,331.38,326.28,319.48,314.19,310.44,314.42,325.68,330.35,330.43,336.59,328.63,334.47,338.61,342.03,347.50,,,,,,,,,,,,,,,,360.55,357.77,341.87,340.71,343.45,353.85,339.16,337.15,342.83,336.29,321.25,331.83,323.07,322.77,347.12,343.65,340.07,345.13,349.89,347.86,335.37,336.43,341.21,341.47,342.16,350.20,352.30,347.01,349.71,349.84,345.89,350.03,343.71,342.10,344.17,,,,,,,,,,,,
1999-09-29 21:54:04+00:00,L7,,,,,,,,,,,,,364.00,368.39,356.89,364.11,349.34,359.67,364.94,365.67,363.98,365.88,360.62,351.19,362.04,353.82,339.87,342.56,352.71,344.63,343.42,333.02,342.12,331.96,321.14,301.76,301.08,311.11,318.56,344.87,342.24,346.07,351.04,337.33,342.45,345.44,358.56,355.05,352.99,348.75,336.72,350.99,352.85,348.08,347.13,326.66,340.60,355.01,361.29,359.80,344.23,329.69,327.22,338.01,330.12,327.59,328.10,333.14,334.70,325.20,332.09,339.31,346.44,354.41,345.87,342.01,344.46,337.85,328.69,320.31,311.64,317.40,327.34,341.46,347.59,346.84,340.92,342.13,343.50,346.84,345.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04+00:00,L7,,,,,,,,,,,,,,,,,,,,363.28,367.02,372.28,370.57,364.60,367.13,359.03,342.51,340.28,366.52,356.28,354.61,352.65,365.44,363.15,345.97,301.34,307.49,309.40,322.41,348.47,357.96,367.77,389.28,,344.97,358.87,379.85,409.98,,348.99,338.37,358.33,358.50,370.77,,333.33,339.37,355.97,383.36,378.08,367.90,340.71,322.58,334.79,324.81,319.28,321.22,324.23,328.55,317.30,325.46,334.94,336.63,344.35,339.60,337.07,336.49,328.79,,,,,,,,,,,,,,,,,,,,,,,,,,,351.98,363.14,361.72,361.25,356.28,351.28,361.81,363.39,349.26,349.50,357.25,344.18,345.90,337.33,346.95,345.87,359.23,352.68,357.00,364.40,358.64,354.58,355.70,348.44,353.23,357.82,360.67,360.26,361.00,360.64,359.54,361.38,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09+00:00,L7,,,,,,,,,,,,,363.98,364.58,358.27,359.06,351.41,358.95,366.53,359.93,355.16,362.60,358.56,358.40,361.15,356.92,341.00,346.10,352.52,353.97,350.80,342.32,355.09,343.31,334.45,314.69,319.96,321.04,324.86,346.48,342.76,345.23,351.22,337.87,345.66,348.52,357.45,361.63,355.75,349.14,340.90,353.66,355.80,350.89,346.70,335.10,339.36,348.20,363.01,353.70,347.43,340.88,338.33,352.94,342.11,335.87,330.57,327.86,333.28,329.32,337.30,341.74,344.92,345.68,346.45,342.26,340.96,332.83,323.00,320.88,320.14,325.78,332.68,339.80,346.88,341.55,340.46,341.14,344.96,340.28,344.92,349.15,346.22,349.99,347.95,347.12,353.79,342.49,343.67,349.00,353.44,354.08,354.96,354.55,359.80,358.74,361.18,361.25,352.84,353.99,359.03,366.78,355.40,355.37,365.35,353.07,345.34,340.98,347.79,349.01,352.50,347.89,349.10,353.41,346.53,346.63,343.57,348.14,345.43,346.17,346.24,352.89,353.67,353.02,355.19,345.59,348.66,344.21,343.64,343.98,339.61,344.98,358.02,356.27,350.51,340.50,343.41,346.79,346.05,351.58,359.72,362.11,371.98
1999-12-25 22:00:04+00:00,L7,347.37,348.31,344.61,347.72,344.84,353.09,354.50,357.72,360.30,365.41,358.42,350.85,357.97,360.14,347.33,356.94,342.99,353.78,353.78,354.42,352.11,355.09,349.96,341.92,351.08,341.30,329.82,328.43,344.30,341.18,339.40,327.33,340.24,329.70,320.80,304.46,308.84,312.06,309.63,331.87,332.84,331.64,344.26,332.14,334.80,334.38,351.52,351.67,344.92,341.24,330.38,340.41,346.69,337.38,335.41,324.58,329.44,342.06,353.14,343.42,331.36,330.61,324.63,335.85,324.03,320.16,317.90,324.43,323.59,318.73,323.41,328.35,331.19,339.72,329.19,332.92,329.37,323.29,313.86,310.21,308.36,314.10,324.14,328.97,335.18,332.70,330.21,331.37,333.80,330.81,335.04,338.82,337.89,341.95,338.12,342.17,341.63,328.76,330.97,335.26,338.57,345.48,348.31,344.63,345.40,340.22,349.83,351.59,339.53,334.57,337.65,348.32,340.90,341.93,348.71,335.58,323.89,331.49,327.41,331.47,340.34,334.63,334.38,342.02,337.47,340.87,338.66,332.96,337.09,336.34,334.13,345.73,341.19,340.50,339.82,339.25,337.44,339.40,334.97,334.19,331.61,334.59,351.01,350.05,336.40,333.71,339.15,342.21,343.35,344.57,356.32,358.07,370.55
2000-01-26 22:00:02+00:00,L7,350.43,345.64,346.23,349.73,346.89,351.42,356.74,355.09,362.68,366.23,359.96,357.15,363.93,361.98,349.04,353.40,344.95,358.27,355.17,354.87,341.57,350.33,343.75,347.20,357.76,344.58,331.27,340.26,338.92,341.00,335.34,327.16,340.55,328.00,317.29,302.11,308.95,309.91,307.44,332.68,334.92,334.21,342.67,330.29,338.70,338.97,349.77,348.77,343.77,341.19,333.91,339.45,342.42,340.57,338.20,324.16,333.62,346.18,357.62,351.49,338.14,337.59,327.27,344.63,334.46,326.31,316.50,325.96,321.93,315.75,320.03,327.58,332.81,336.77,335.99,333.90,331.81,324.93,316.85,311.57,309.38,313.49,328.12,332.59,337.36,331.00,332.10,331.57,332.85,328.79,342.80,342.14,337.51,342.13,337.24,346.37,340.22,325.75,328.94,337.64,337.56,345.34,347.78,343.82,347.75,342.71,349.27,354.13,343.43,341.95,346.00,353.72,342.89,343.96,350.48,337.10,329.99,331.54,334.91,339.82,343.84,338.89,348.27,346.02,343.85,342.90,337.25,339.14,341.72,340.08,335.41,346.77,353.43,346.79,342.37,337.94,348.95,345.89,343.63,341.52,339.89,344.43,355.99,351.15,339.63,338.44,339.45,346.96,345.52,352.44,362.19,361.73,376.90
