dates,nzd0369-0000,nzd0369-0001,nzd0369-0002,nzd0369-0003,nzd0369-0004,nzd0369-0005,nzd0369-0006,nzd0369-0007,nzd0369-0008,nzd0369-0009,nzd0369-0010,nzd0369-0011,nzd0369-0012,nzd0369-0013,nzd0369-0014,nzd0369-0015,nzd0369-0016,nzd0369-0017,nzd0369-0018,nzd0369-0019,nzd0369-0020,nzd0369-0021,nzd0369-0022,nzd0369-0023,nzd0369-0024,nzd0369-0025,nzd0369-0026,nzd0369-0027,nzd0369-0028,nzd0369-0029,nzd0369-0030,nzd0369-0031,nzd0369-0032,nzd0369-0033,nzd0369-0034,nzd0369-0035,nzd0369-0036,nzd0369-0037,nzd0369-0038,nzd0369-0039,nzd0369-0040,nzd0369-0041,nzd0369-0042,nzd0369-0043,nzd0369-0044,nzd0369-0045,nzd0369-0046,nzd0369-0047,nzd0369-0048,nzd0369-0049,nzd0369-0050,nzd0369-0051,nzd0369-0052,nzd0369-0053,nzd0369-0054,nzd0369-0055,nzd0369-0056,nzd0369-0057,nzd0369-0058,nzd0369-0059,nzd0369-0060,nzd0369-0061,nzd0369-0062,nzd0369-0063,nzd0369-0064,nzd0369-0065,nzd0369-0066,nzd0369-0067,nzd0369-0068,nzd0369-0069,nzd0369-0070,nzd0369-0071,nzd0369-0072,nzd0369-0073,nzd0369-0074,nzd0369-0075,nzd0369-0076,nzd0369-0077,nzd0369-0078,nzd0369-0079,nzd0369-0080,nzd0369-0081,nzd0369-0082,nzd0369-0083,nzd0369-0084,nzd0369-0085,nzd0369-0086,nzd0369-0087,nzd0369-0088,nzd0369-0089,nzd0369-0090,nzd0369-0091,nzd0369-0092,nzd0369-0093,nzd0369-0094,nzd0369-0095,nzd0369-0096,nzd0369-0097,nzd0369-0098,nzd0369-0099,nzd0369-0100,nzd0369-0101,nzd0369-0102,nzd0369-0103,nzd0369-0104,nzd0369-0105,nzd0369-0106,nzd0369-0107,nzd0369-0108,nzd0369-0109,nzd0369-0110,nzd0369-0111,nzd0369-0112,nzd0369-0113,nzd0369-0114,nzd0369-0115,nzd0369-0116,nzd0369-0117,nzd0369-0118,nzd0369-0119,nzd0369-0120,nzd0369-0121,nzd0369-0122,nzd0369-0123,nzd0369-0124,nzd0369-0125,nzd0369-0126,nzd0369-0127,nzd0369-0128,nzd0369-0129,nzd0369-0130,nzd0369-0131,nzd0369-0132,nzd0369-0133,nzd0369-0134,nzd0369-0135,nzd0369-0136,nzd0369-0137,nzd0369-0138,nzd0369-0139,nzd0369-0140,nzd0369-0141,nzd0369-0142,nzd0369-0143,nzd0369-0144,nzd0369-0145,nzd0369-0146,nzd0369-0147,nzd0369-0148,nzd0369-0149,nzd0369-0150,nzd0369-0151,nzd0369-0152,satname
1999-07-02 21:59:57+00:00,381.34,335.59,319.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.90,,396.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-03 22:00:08+00:00,381.34,335.59,319.33,,,,369.90,367.91,367.37,371.59,376.32,366.10,373.47,379.10,366.16,377.91,373.16,362.71,378.69,374.96,373.46,376.74,373.10,370.08,374.57,368.88,362.55,348.91,370.12,339.13,342.09,338.18,343.13,338.14,320.01,303.54,310.85,319.98,327.42,350.44,352.18,355.59,360.91,355.33,348.09,347.88,367.30,367.14,361.06,351.70,329.94,359.52,369.76,364.26,352.18,335.45,343.75,354.75,372.02,363.55,349.93,337.65,323.13,347.55,317.08,310.67,308.47,314.35,318.46,328.74,334.00,342.22,348.83,357.95,,342.70,336.01,331.31,324.81,315.80,314.64,321.31,334.66,336.04,342.04,344.67,341.79,342.08,346.30,355.62,,362.69,348.46,358.15,339.24,340.05,355.82,341.02,338.47,347.18,368.22,359.87,362.86,389.08,351.54,383.56,377.42,355.97,353.34,354.05,354.73,370.78,361.56,346.89,355.47,341.05,338.73,342.80,349.33,349.39,352.76,341.29,337.67,338.41,336.59,343.71,340.39,342.44,340.24,341.07,347.29,354.71,352.34,347.31,348.93,345.88,347.94,348.35,347.53,343.37,339.66,345.52,354.69,362.88,354.04,352.87,352.68,355.41,358.33,352.96,358.01,361.98,367.82,L7
1999-08-12 21:53:56+00:00,381.34,335.59,319.33,345.59,345.90,353.66,365.45,365.80,365.72,368.67,372.81,364.48,368.32,371.90,358.47,364.31,354.02,356.15,363.16,363.65,359.56,366.58,360.88,357.22,362.66,353.33,345.68,339.81,354.35,342.04,338.46,330.89,338.55,331.58,317.62,304.78,307.70,319.98,327.42,350.44,352.18,355.59,360.91,355.33,348.09,347.88,367.30,367.14,361.06,351.70,329.94,359.52,369.76,364.26,352.18,335.45,343.75,354.75,372.02,363.55,349.93,337.65,323.13,347.55,317.08,310.67,308.47,314.35,318.46,328.74,334.00,342.22,348.83,357.95,,342.70,336.01,331.31,324.81,315.80,314.64,321.31,334.66,336.04,342.04,344.67,341.79,342.08,346.30,355.62,,362.69,348.46,358.15,339.24,340.05,355.82,341.02,338.47,347.18,368.22,359.87,362.86,389.08,351.54,383.56,377.42,355.97,353.34,354.05,354.73,370.78,361.56,346.89,355.47,341.05,338.73,342.80,349.33,349.39,352.76,341.29,337.67,338.41,336.59,343.71,340.39,342.44,340.24,341.07,347.29,354.71,352.34,347.31,348.93,345.88,347.94,348.35,347.53,343.37,339.66,345.52,354.69,362.88,354.04,352.87,352.68,355.41,358.33,352.96,358.01,361.98,367.82,L7
1999-09-04 22:00:09+00:00,367.71,341.02,332.12,349.06,347.23,353.62,362.00,362.66,362.90,368.21,368.86,361.08,365.15,370.07,358.34,363.76,354.02,354.77,363.17,362.67,358.08,363.69,359.14,355.01,360.39,351.03,343.13,339.48,353.23,340.57,337.37,330.31,338.63,332.46,317.83,301.45,306.61,312.31,317.96,341.68,343.88,346.12,353.85,346.91,346.95,347.36,364.23,363.45,358.02,350.42,332.19,353.28,358.40,353.52,346.44,330.98,338.34,349.58,364.57,356.55,344.43,334.14,318.28,337.51,311.94,308.65,309.25,312.15,318.37,319.19,325.02,332.90,340.48,351.67,337.80,337.35,334.86,327.90,321.36,315.36,312.16,318.67,332.52,335.36,338.06,340.12,337.94,338.57,342.94,347.29,342.53,355.81,345.11,352.53,340.27,337.66,352.03,338.98,337.23,343.35,359.58,354.03,357.88,376.74,347.84,372.33,369.55,356.79,349.77,349.58,351.05,364.64,352.58,341.64,350.87,339.03,333.12,339.03,341.27,344.62,348.44,341.84,339.53,341.59,338.68,342.69,341.65,343.15,342.56,344.27,346.14,352.70,352.95,349.16,351.14,346.60,349.73,348.96,345.52,342.24,340.99,346.22,354.19,357.00,347.68,346.31,347.88,351.29,352.12,349.79,357.98,361.62,369.24,L7
1999-09-20 22:00:08+00:00,367.71,341.02,332.12,349.06,347.23,353.62,362.00,362.66,362.90,368.21,368.86,361.08,365.15,370.07,358.34,363.76,354.02,354.77,362.32,361.46,356.67,362.72,357.34,353.95,358.90,351.27,342.37,339.06,352.25,342.03,339.32,331.05,338.69,332.18,318.13,300.62,306.01,310.78,315.85,339.62,339.37,343.01,351.34,342.02,344.30,346.04,361.79,359.77,354.74,345.94,331.61,348.72,354.00,348.05,342.98,328.94,336.33,349.40,362.96,354.64,343.21,332.07,318.37,333.76,312.36,308.22,311.27,312.72,318.44,316.05,320.98,331.57,338.19,347.10,336.97,336.21,333.42,327.07,320.52,314.78,311.38,317.02,329.86,333.37,335.16,338.54,334.46,336.91,341.12,345.09,344.62,355.81,345.11,352.53,340.27,337.66,352.03,338.98,337.23,343.35,359.58,354.03,357.88,376.74,347.84,372.33,365.48,356.92,346.54,346.03,347.92,360.28,347.62,339.77,347.65,337.76,328.72,336.15,334.82,336.96,347.64,342.13,339.43,342.50,342.19,344.20,339.28,340.64,341.88,343.07,344.50,351.59,352.42,348.16,350.40,347.37,348.14,349.03,344.65,341.89,341.67,346.22,354.19,357.00,347.68,346.31,347.88,351.29,352.12,349.79,357.98,361.62,369.24,L7
1999-09-29 21:54:04+00:00,367.71,341.02,332.12,349.06,347.23,353.62,362.00,362.66,362.90,368.21,368.86,361.08,369.14,375.15,363.48,371.55,362.48,361.49,369.01,367.44,363.26,368.48,363.13,358.53,364.66,356.92,348.03,343.61,358.50,343.69,342.94,334.52,342.45,335.22,319.69,302.04,306.56,312.61,318.56,344.43,344.90,349.27,356.08,347.27,347.33,349.10,366.49,365.01,359.81,353.06,335.85,355.70,360.13,354.48,348.83,331.58,340.15,353.37,367.36,360.75,348.97,335.32,321.55,335.47,318.08,314.31,316.58,319.11,323.88,319.58,325.30,334.88,342.09,351.33,343.36,339.93,338.21,331.90,324.10,317.54,312.93,318.79,331.98,337.66,340.84,343.57,338.82,340.36,344.46,348.74,347.52,355.81,345.11,352.53,340.27,337.66,352.03,338.98,337.23,343.35,359.58,354.03,357.88,376.74,347.84,372.33,365.48,356.92,346.54,346.03,347.92,360.28,347.62,339.77,347.65,337.76,328.72,336.15,334.82,336.96,347.64,342.13,339.43,342.50,342.19,344.20,339.28,340.64,341.88,343.07,344.50,351.59,352.42,348.16,350.40,347.37,348.14,349.03,344.65,341.89,341.67,346.22,354.19,357.00,347.68,346.31,347.88,351.29,352.12,349.79,357.98,361.62,369.24,L7
1999-10-22 22:00:04+00:00,367.71,341.02,332.12,349.06,347.23,353.62,362.00,362.66,362.90,368.21,368.86,361.08,369.14,375.15,363.48,371.55,362.48,361.49,369.01,363.36,360.50,365.73,360.98,356.15,361.69,353.88,343.04,340.51,355.77,345.04,343.04,335.51,344.25,337.84,323.44,301.14,305.70,310.86,318.04,343.02,344.46,349.49,359.67,347.27,344.64,349.02,365.67,369.94,359.81,348.18,334.48,352.16,355.74,353.67,348.83,329.90,338.25,352.26,367.51,361.16,349.27,333.96,321.14,334.79,318.61,314.51,316.81,319.32,323.94,318.33,324.36,334.02,339.83,348.41,340.38,337.92,336.58,329.92,324.10,317.54,312.93,318.79,331.98,337.66,340.84,343.57,338.82,340.36,344.46,348.74,347.52,355.81,345.11,352.53,340.27,337.66,352.03,338.98,337.23,343.35,359.58,354.03,357.88,376.74,344.13,362.41,358.44,356.87,345.59,343.95,348.00,356.70,345.26,340.02,347.00,337.34,330.48,333.67,335.68,337.01,348.50,342.97,342.22,346.45,344.97,345.57,341.78,341.07,343.39,345.24,346.75,352.15,352.77,349.68,351.16,349.07,348.14,349.03,344.65,341.89,341.67,346.22,354.19,357.00,347.68,346.31,347.88,351.29,352.12,349.79,357.98,361.62,369.24,L7
1999-12-09 22:00:09+00:00,367.71,341.02,332.12,349.06,347.23,353.62,362.00,362.66,362.90,368.21,368.86,361.08,368.15,373.09,362.49,369.13,360.36,361.04,368.66,362.91,359.79,365.33,360.68,356.52,361.66,354.36,342.81,341.35,355.36,346.32,344.17,336.51,345.83,338.65,325.02,303.09,307.75,312.57,319.20,343.63,344.22,348.83,358.30,345.45,344.84,348.96,364.35,368.61,359.05,348.39,335.57,352.47,355.81,353.26,348.45,330.79,338.46,351.61,366.80,359.96,349.01,335.15,324.01,337.39,322.54,318.08,319.11,320.75,325.51,320.18,326.53,335.32,340.70,347.98,341.62,338.66,337.33,330.43,323.90,318.22,314.38,320.21,332.15,338.11,342.07,343.20,339.18,340.53,344.59,347.08,346.90,353.63,345.52,351.77,342.86,340.83,352.72,340.22,339.43,345.27,357.64,354.12,356.99,371.29,348.11,361.77,359.07,357.76,347.08,346.00,350.25,358.77,347.32,343.12,350.71,340.51,333.48,335.17,338.13,339.44,349.33,343.98,343.62,347.86,345.30,345.80,342.16,342.50,343.82,345.44,346.67,352.32,352.97,350.37,351.98,348.40,348.30,347.86,344.42,342.44,341.19,345.86,355.54,356.83,348.69,344.44,346.47,349.86,350.18,350.45,358.61,361.83,370.20,L7
1999-12-25 22:00:04+00:00,364.86,346.17,338.64,352.54,349.37,356.39,362.16,363.63,364.66,369.92,369.19,361.47,368.42,373.46,362.49,370.63,361.88,362.36,369.56,364.06,361.03,366.26,361.55,356.90,362.54,354.94,343.83,341.39,356.63,346.17,344.78,336.69,346.45,338.86,324.91,303.77,308.55,313.19,318.63,343.33,344.49,348.53,358.19,346.18,344.79,348.14,364.68,368.71,359.22,349.90,335.99,353.27,357.03,353.52,348.49,331.17,338.25,351.25,366.74,359.49,348.65,336.01,324.48,337.57,323.26,318.87,319.37,321.78,325.78,320.46,326.69,334.86,340.06,347.75,340.73,338.73,336.99,330.25,322.93,317.52,314.06,319.96,332.08,337.63,342.10,342.81,338.94,339.99,344.05,345.84,345.59,351.70,345.08,352.62,342.74,342.02,353.73,340.00,339.35,344.54,357.29,354.61,358.13,370.20,350.22,362.60,361.06,357.39,347.79,346.06,350.12,359.56,347.86,344.18,352.14,340.87,333.36,336.16,337.60,339.37,349.01,343.46,343.01,347.77,344.77,345.69,342.50,341.80,343.46,344.81,345.62,352.15,352.05,349.65,350.84,347.92,347.37,347.28,343.59,341.97,340.79,345.25,357.06,358.08,348.56,344.71,347.58,350.89,351.79,351.63,360.25,362.78,372.33,L7
2000-01-26 22:00:02+00:00,360.55,353.67,351.21,356.34,352.13,358.52,363.57,364.63,367.21,372.13,370.95,364.21,370.35,375.12,363.87,372.80,365.25,365.08,371.81,366.04,361.87,367.49,362.57,358.83,365.01,356.79,346.04,343.51,358.26,346.26,345.37,337.43,347.60,339.45,324.62,304.28,309.50,313.70,318.30,343.84,345.82,349.64,358.78,347.77,345.87,348.68,365.71,369.59,360.32,352.18,337.29,354.92,358.58,355.27,349.91,331.98,339.12,351.97,368.13,361.02,350.23,338.24,325.34,335.37,325.33,320.45,319.59,322.98,326.02,320.52,326.66,334.68,340.12,347.64,341.60,339.32,337.41,330.71,322.99,317.49,314.28,320.04,333.16,338.27,342.97,342.90,339.62,340.07,344.11,345.33,346.47,351.95,345.37,354.58,342.93,343.94,355.66,340.39,339.76,345.32,358.75,355.99,360.11,364.07,353.18,360.37,364.01,357.78,349.74,348.04,352.10,362.03,349.25,345.80,354.22,341.87,334.80,337.61,338.87,341.09,349.81,344.17,344.98,348.68,345.64,346.21,342.97,342.57,344.22,345.29,345.52,352.60,353.61,350.46,350.79,347.85,349.22,348.47,344.95,343.39,342.57,347.79,360.08,360.29,350.38,347.05,349.56,353.71,354.58,355.03,363.34,364.89,375.73,L7
