dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055
2002-02-16 21:54:54+00:00,L7,377.15,373.52,369.51,370.80,375.99,377.36,371.19,365.30,346.94,323.70,326.69,330.47,331.48,330.11,334.50,343.97,345.94,346.73,347.53,344.56,336.93,319.01,326.35,349.76,343.65,353.75,358.77,367.33,369.84,370.58,371.07,373.09,384.07,386.98,395.78,395.32,389.51,389.29,388.94,389.77,385.52,381.14,388.71,389.75,384.87,372.99,373.39,367.78,361.11,369.59,373.47,374.54,371.51,381.99,396.03,403.68
2002-03-20 21:54:48+00:00,L7,377.28,377.37,378.82,384.91,388.23,386.63,374.84,359.13,347.96,334.73,329.52,327.91,327.91,327.68,329.96,326.27,327.19,316.61,305.22,294.22,,312.50,304.09,292.01,346.43,364.97,368.85,365.76,361.15,362.14,337.25,363.43,377.56,381.21,390.84,394.85,396.49,387.26,380.94,360.57,349.64,367.56,321.41,295.80,348.62,301.83,354.11,366.27,344.11,352.75,341.01,317.37,395.47,377.04,369.70,325.94
2002-08-27 21:54:00+00:00,L7,340.84,345.75,317.24,311.86,319.83,313.82,318.35,322.01,302.69,292.56,292.91,290.70,296.53,303.21,297.99,303.70,317.15,321.74,320.43,318.27,309.52,300.76,303.26,297.54,319.26,333.65,323.58,322.18,316.91,329.79,339.26,342.11,354.82,351.30,359.04,357.54,357.06,353.75,352.39,349.28,355.26,358.59,361.10,358.96,357.96,354.93,340.52,333.03,342.39,329.18,330.83,344.04,343.24,353.14,357.42,365.85
2002-10-14 21:53:43+00:00,L7,400.35,392.71,388.03,375.43,363.88,352.16,353.73,357.62,346.51,336.38,330.70,325.60,333.22,348.88,349.98,338.42,346.27,347.22,370.19,376.57,378.19,342.75,369.32,337.00,351.02,363.80,370.12,374.65,371.07,361.20,364.59,369.30,369.48,365.23,376.08,380.30,385.68,388.28,398.85,398.11,386.29,377.02,372.53,374.22,381.54,387.30,393.67,377.60,378.99,383.42,398.46,394.63,401.12,390.09,375.91,375.65
2003-01-18 21:54:30+00:00,L7,312.96,303.56,311.10,309.97,313.74,309.98,299.77,302.35,290.21,286.08,289.24,285.33,283.37,281.41,277.26,280.08,283.11,277.74,269.79,271.88,281.71,285.87,286.35,280.08,231.69,289.77,301.08,304.69,312.72,322.04,330.13,330.46,333.16,334.04,333.00,332.64,330.49,330.95,337.06,340.21,337.84,333.05,328.18,328.12,330.30,318.47,321.77,320.99,321.55,305.18,327.10,334.04,325.47,333.70,333.22,339.06
2003-04-08 21:54:47+00:00,L7,377.92,377.54,369.23,365.23,358.19,349.96,351.76,344.56,343.95,333.53,320.45,317.10,316.10,324.22,328.21,322.06,326.89,326.98,334.99,346.25,335.89,324.24,326.93,331.45,336.85,357.40,358.32,367.06,362.79,361.97,354.53,358.69,357.24,367.65,379.76,386.09,389.25,396.13,385.89,372.21,361.68,358.75,373.01,381.88,377.58,375.03,369.99,360.07,370.67,377.91,375.20,373.01,384.30,378.12,373.59,381.73
2003-04-24 21:54:46+00:00,L7,378.03,376.88,373.31,363.81,357.37,359.28,358.22,351.80,346.65,341.67,330.17,324.43,326.00,328.02,325.36,319.28,327.03,324.42,336.73,352.72,342.97,330.30,330.24,335.11,348.83,357.60,364.27,364.66,364.37,362.83,366.00,359.34,365.43,379.92,389.92,393.80,392.99,394.77,391.27,380.69,376.92,359.86,370.28,376.93,379.18,377.12,373.85,363.90,366.88,364.87,363.43,368.85,386.46,380.82,383.30,367.68
2003-07-29 21:54:29+00:00,L7,297.37,,,,306.51,293.45,287.97,296.29,287.56,282.44,283.46,282.61,285.42,291.68,,,,,,,,,,,,,,296.00,315.27,,,323.06,326.70,327.39,336.18,345.96,343.25,336.27,324.62,330.36,320.42,313.23,317.92,,207.88,305.30,309.00,310.26,293.07,267.10,294.85,316.44,196.48,,,
2003-10-25 21:44:04+00:00,L5,291.25,305.96,318.13,303.40,301.70,293.16,291.06,289.11,284.62,280.27,284.40,280.82,274.36,278.42,282.62,277.71,260.98,254.61,265.92,270.00,269.48,258.28,239.92,219.32,256.54,268.69,283.82,284.97,304.09,316.42,318.16,322.14,322.80,326.19,324.87,324.79,326.26,335.49,333.70,333.25,327.72,318.78,321.15,319.01,310.13,294.01,303.09,304.25,299.60,281.94,304.34,320.17,318.55,323.63,335.59,342.83
2003-11-18 21:54:39+00:00,L7,381.70,383.98,384.18,377.89,367.58,360.90,,,349.76,339.89,332.87,325.56,331.57,339.33,335.87,321.09,320.19,328.13,339.17,342.53,,,339.39,313.94,349.15,352.48,376.21,388.86,375.67,367.31,373.00,385.63,386.35,374.66,,,382.47,400.91,407.99,386.30,369.88,361.63,367.44,367.92,378.13,370.70,363.84,,,,360.28,364.18,381.82,393.52,400.15,408.45
2003-12-04 21:54:43+00:00,L7,332.86,353.13,357.19,348.36,340.22,335.61,335.81,329.11,,,298.71,299.19,305.81,316.69,306.73,297.10,295.50,300.89,306.52,321.78,320.75,,,,297.03,319.93,330.55,341.11,348.07,348.08,353.20,365.67,367.57,360.22,347.30,,,,378.52,370.15,358.02,345.60,341.42,345.94,353.38,349.62,331.30,321.72,330.40,,,,347.39,370.43,370.49,379.57
2004-03-01 21:45:02+00:00,L5,345.30,358.83,362.33,355.17,349.14,342.18,338.21,333.54,331.81,307.83,291.81,297.26,305.29,325.23,330.70,325.37,309.82,309.37,305.78,319.78,324.91,326.46,356.43,374.74,375.61,352.32,354.61,351.79,351.75,357.53,368.26,364.79,353.81,356.13,355.70,354.24,353.93,359.96,359.90,363.10,368.70,367.16,369.69,361.94,349.79,339.07,330.97,333.08,,,,,,,,
2004-03-09 21:55:15+00:00,L7,323.73,323.49,,,,317.70,322.64,323.21,311.11,290.82,282.13,279.86,280.40,291.88,302.34,294.17,,,285.81,293.78,295.13,288.81,289.36,255.36,298.13,311.90,320.82,322.72,329.36,334.24,,,340.76,337.10,340.69,338.16,336.99,339.88,337.87,335.02,338.45,350.46,344.13,,,,320.09,317.40,320.40,306.65,327.38,340.35,332.00,330.91,335.02,332.74
2004-03-17 21:45:08+00:00,L5,311.27,328.08,335.27,322.51,315.92,318.71,321.55,315.21,305.95,295.02,278.22,269.73,271.98,289.47,300.15,292.29,281.53,277.89,278.86,293.44,295.76,294.23,276.88,237.56,284.00,299.64,303.27,318.31,325.27,330.91,334.61,340.32,343.61,339.06,336.07,337.87,331.13,334.57,333.45,330.14,336.93,343.04,340.81,331.73,322.25,313.46,320.09,315.16,314.85,310.09,324.78,342.05,333.76,339.25,334.78,329.11
2004-03-25 21:55:18+00:00,L7,,,333.43,328.34,328.35,326.38,324.24,325.30,319.29,310.82,307.19,284.48,274.27,,,,297.26,286.93,286.56,293.27,,306.02,296.44,321.34,314.95,318.92,320.28,,,,327.79,333.00,331.84,328.56,326.15,333.84,331.59,336.73,345.32,347.81,352.02,,,,347.90,333.38,328.23,316.73,321.48,306.16,318.12,325.13,321.26,344.21,345.36,
2004-04-18 21:45:49+00:00,L5,299.51,308.40,313.83,310.38,315.76,310.99,304.87,303.96,294.16,290.79,285.44,268.21,270.26,268.55,280.69,287.88,288.36,281.35,285.18,283.47,283.58,280.66,277.77,266.63,290.40,296.13,306.20,308.19,321.48,325.68,331.47,335.17,332.06,335.92,338.02,329.17,329.42,328.12,325.99,320.65,319.86,321.30,329.59,333.64,334.10,330.62,333.86,335.82,323.76,298.35,318.49,327.02,325.87,330.83,338.41,334.75
2004-05-04 21:46:16+00:00,L5,271.84,272.44,289.30,288.14,284.19,277.11,276.60,280.72,274.78,270.18,270.25,260.45,251.78,253.46,255.03,254.21,250.12,238.57,232.79,231.32,,246.37,79.47,125.02,245.50,274.30,270.75,280.28,291.08,300.13,308.95,310.73,315.08,306.78,317.25,323.78,321.21,316.12,316.27,314.37,309.72,309.78,306.15,301.11,293.44,279.06,305.24,303.03,301.27,269.67,290.70,315.13,312.43,316.84,320.32,309.15
2004-05-12 21:55:13+00:00,L7,366.07,365.46,359.15,352.98,353.95,352.13,354.46,,,336.54,326.48,324.27,314.66,304.41,315.44,313.48,327.12,321.70,331.92,339.58,,,294.40,343.69,362.19,353.87,379.66,372.57,365.26,361.09,359.70,364.63,358.64,351.39,,,375.33,370.65,371.29,357.29,354.91,362.49,376.78,377.53,374.43,367.21,376.94,369.18,,,,357.83,377.98,373.41,387.08,385.31
2004-06-05 21:47:12+00:00,L5,275.13,282.10,293.90,307.24,310.18,291.07,286.51,290.58,291.41,281.79,278.62,267.87,265.22,265.99,,,,,,,,,,,,,,,,,309.84,321.16,304.70,292.08,,,,,,,,,,,,,314.79,322.18,329.93,348.76,324.24,293.76,289.48,301.86,324.90,313.58
2004-07-23 21:48:33+00:00,L5,109.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.99,367.86,367.07,,353.32,349.48,,,,,,,,,,
