dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
1999-12-25 21:58:52+00:00,349.82,347.48,347.75,338.29,341.34,343.40,335.20,330.82,326.04,315.46,311.08,303.65,300.88,303.38,311.25,317.57,314.17,310.07,308.42,306.56,302.02,298.44,295.97,281.21,316.92,325.07,318.56,320.48,333.56,344.48,356.02,362.17,366.96,364.18,356.70,355.17,358.60,359.38,358.92,362.74,369.16,365.75,364.46,356.90,357.79,354.63,358.16,345.88,349.74,345.82,351.97,358.93,349.89,362.48,361.23,370.39,L7
2000-01-10 21:58:52+00:00,350.23,358.42,362.66,360.04,356.22,355.08,347.99,338.50,335.42,332.66,326.86,322.80,317.49,317.40,321.28,324.94,324.11,326.68,315.26,321.82,311.08,313.39,313.56,306.15,322.97,336.54,339.12,337.15,344.64,355.37,358.38,363.71,374.07,374.47,368.30,357.09,348.62,349.96,360.77,376.32,373.07,365.00,355.05,351.56,362.16,363.97,368.94,355.81,360.13,350.20,356.90,359.90,345.71,361.14,371.14,374.62,L7
2000-03-30 21:58:33+00:00,348.06,355.78,353.51,345.90,344.48,343.42,336.06,339.98,338.76,332.33,319.84,316.30,317.77,320.31,321.53,318.55,322.34,327.04,337.83,341.44,335.25,329.62,316.17,322.00,312.13,320.08,328.27,340.30,344.94,354.31,350.88,357.76,367.05,366.35,367.62,365.80,369.27,364.88,360.70,358.98,364.01,362.58,358.81,360.36,357.87,356.54,366.40,360.93,360.99,354.40,366.08,362.57,365.27,372.89,383.29,382.43,L7
2000-05-17 21:58:07+00:00,344.82,335.46,350.66,335.24,340.58,331.47,326.74,330.34,325.53,319.81,322.58,316.39,306.10,297.98,301.62,302.70,305.66,306.52,298.36,314.23,299.62,303.80,298.74,286.43,,337.88,331.24,,327.35,341.20,345.07,353.13,359.92,355.11,363.75,365.06,364.95,364.63,365.24,359.77,358.03,371.38,362.64,332.51,348.92,340.25,351.76,346.07,350.56,337.98,353.49,360.69,350.59,359.23,359.52,355.43,L7
2000-08-05 21:57:08+00:00,341.55,344.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.89,341.95,342.45,349.23,349.55,355.59,344.69,349.67,354.19,355.24,364.56,364.75,357.11,354.86,355.98,353.64,345.54,352.37,345.04,338.15,332.09,348.51,348.72,362.12,357.00,368.44,366.05,L7
2000-08-21 21:57:02+00:00,355.43,372.14,366.92,357.84,347.33,338.98,340.91,343.76,343.05,340.28,347.80,346.86,336.24,319.48,306.79,307.20,320.13,345.73,346.66,352.37,360.42,340.37,312.25,,294.91,323.39,356.69,359.59,352.77,344.45,345.49,358.57,358.48,347.20,357.67,358.55,365.89,370.99,369.26,371.73,355.53,350.02,358.51,363.95,369.18,378.68,383.41,368.07,355.34,347.10,355.41,,,,,,L7
2001-03-17 21:56:16+00:00,378.55,384.34,373.27,371.32,366.45,359.45,358.73,350.76,347.73,337.82,335.63,342.90,351.38,338.83,320.62,317.43,339.14,351.66,352.02,354.47,364.77,335.00,328.35,,,342.12,359.77,375.60,386.67,387.19,382.65,378.63,371.02,364.55,365.02,368.23,376.91,379.28,366.30,358.54,369.75,373.86,377.42,381.69,374.03,361.62,369.78,362.15,357.37,353.08,369.68,362.75,377.41,370.34,376.45,379.46,L7
2001-06-05 21:55:40+00:00,355.33,359.76,352.52,338.12,335.45,339.71,335.68,325.16,319.73,316.86,320.87,318.71,312.05,310.69,313.02,311.13,332.25,332.11,334.68,335.03,331.44,330.78,322.51,305.23,290.64,350.87,332.91,,352.39,352.12,364.18,356.59,357.80,363.37,355.38,365.98,368.02,360.42,354.35,346.45,340.57,347.10,356.43,338.36,350.39,347.54,346.93,358.07,374.95,356.39,346.69,350.12,337.94,343.03,353.73,351.61,L7
2001-08-24 21:54:48+00:00,,,,306.53,308.68,,299.78,303.75,302.30,304.78,312.47,300.84,305.71,300.99,299.16,295.71,295.88,296.29,303.81,303.90,291.58,,319.35,283.14,297.74,306.82,324.25,336.31,336.60,337.88,349.19,353.97,347.51,336.83,337.17,333.66,334.03,342.15,352.97,314.42,345.94,357.37,346.79,351.43,314.35,326.06,340.03,337.46,,,325.13,336.80,356.57,363.74,358.98,344.41,L7
2001-09-09 21:54:36+00:00,384.72,373.07,378.00,375.85,368.14,361.33,350.76,344.78,351.52,352.70,340.01,331.08,336.69,336.28,334.91,342.92,346.32,347.41,350.93,349.10,336.08,,,,321.76,336.54,372.54,380.98,366.09,363.84,370.18,379.07,382.94,380.80,375.84,373.72,382.09,381.11,384.19,378.69,379.96,372.03,372.32,381.26,376.11,371.20,368.57,369.26,361.93,361.62,362.45,355.46,384.15,377.08,396.86,402.75,L7
