dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
1999-12-25 21:58:52+00:00,345.15,352.15,347.75,338.29,341.34,340.90,335.20,328.32,326.04,315.46,311.08,303.65,304.38,304.94,314.75,321.07,314.17,310.07,308.42,303.23,305.35,308.94,299.30,285.88,316.92,332.07,333.56,328.25,337.06,345.75,356.02,364.50,364.23,360.95,358.64,355.17,356.66,357.44,356.98,364.68,369.16,365.75,360.02,356.90,355.29,357.13,356.22,343.05,345.30,349.15,355.47,353.10,353.39,364.42,370.56,382.83,L7
2000-01-10 21:58:52+00:00,346.36,356.62,355.21,349.17,348.78,347.27,341.60,332.69,330.73,324.06,318.97,313.23,311.94,311.62,319.01,324.00,319.14,318.38,311.84,311.58,309.17,314.16,307.38,297.35,319.95,336.31,340.62,334.92,341.85,350.93,357.20,364.77,368.37,366.78,364.02,356.13,352.09,353.14,358.32,371.06,371.12,365.38,356.26,354.23,358.01,361.26,362.02,348.62,351.44,350.62,357.19,354.84,350.55,363.34,373.51,382.28,L7
2000-03-30 21:58:33+00:00,347.21,356.05,354.64,348.08,347.35,346.14,339.75,335.28,333.41,326.82,319.26,314.25,313.66,314.42,319.64,321.97,320.21,321.26,320.50,321.74,317.65,318.67,310.10,305.28,317.34,330.46,335.58,336.23,342.66,351.97,355.09,362.29,368.10,366.84,365.10,359.35,357.93,357.18,359.23,366.91,368.75,364.44,357.39,356.27,358.12,359.54,363.60,352.90,354.90,351.68,359.93,357.77,355.24,366.40,376.20,381.56,L7
2000-05-17 21:58:07+00:00,344.43,353.08,353.64,344.87,345.65,341.31,336.50,332.87,331.44,325.06,320.09,314.78,313.41,311.03,316.77,318.79,316.57,317.58,314.97,318.30,314.71,319.86,308.82,302.75,317.34,335.59,341.51,336.23,340.47,349.88,352.59,361.09,364.77,362.39,365.68,360.78,358.78,358.13,359.83,366.04,366.07,366.18,356.62,350.33,354.65,355.88,359.73,349.87,351.74,349.81,359.96,355.77,355.71,365.52,376.39,380.85,L7
2000-08-05 21:57:08+00:00,343.75,346.28,352.08,340.57,342.53,335.34,331.40,333.05,332.14,326.07,321.21,316.34,314.88,310.45,314.52,313.57,314.00,316.78,318.09,325.02,320.25,325.56,310.26,308.14,312.13,334.88,342.39,338.86,339.09,350.42,345.97,351.65,358.11,356.26,362.77,358.52,360.85,360.79,359.95,361.55,362.26,363.69,357.75,349.62,352.90,348.02,356.40,350.04,348.88,342.25,356.83,355.99,360.13,363.49,372.55,370.82,L7
2000-08-21 21:57:02+00:00,347.78,351.63,357.03,346.33,344.13,337.35,334.57,337.42,335.78,330.81,330.07,326.52,320.89,312.97,310.83,310.33,316.04,326.43,327.62,335.20,332.57,327.15,309.86,315.36,303.52,328.82,342.37,345.50,342.54,348.62,345.85,352.82,358.85,354.77,361.03,358.52,362.57,363.80,362.74,363.63,360.58,360.27,359.00,353.20,357.57,355.09,363.62,355.22,351.56,342.67,355.63,355.99,360.13,363.49,372.55,370.82,L7
2001-03-17 21:56:16+00:00,382.42,380.47,373.27,371.32,366.45,361.52,358.73,352.83,347.73,337.82,335.63,342.90,348.48,337.54,317.72,314.53,339.14,351.66,352.02,357.23,362.01,326.30,325.59,352.85,,336.32,347.34,369.16,383.77,386.14,382.65,376.70,373.28,367.23,363.41,368.23,378.52,380.89,367.91,356.93,369.75,373.86,381.10,381.69,376.10,359.55,371.39,364.49,361.05,350.32,366.78,367.58,374.51,368.73,368.72,369.15,L7
2001-06-05 21:55:40+00:00,364.48,374.51,362.89,354.72,350.95,348.26,347.21,336.64,333.73,327.34,328.25,330.80,333.56,325.58,318.67,316.13,335.69,341.88,343.35,342.99,349.87,338.44,327.19,333.44,290.64,350.19,354.27,359.14,371.38,370.33,373.41,368.85,362.97,362.25,361.23,367.11,371.44,368.82,359.30,353.52,355.16,360.48,364.58,360.02,360.89,355.90,357.32,358.62,363.81,356.50,360.03,353.35,359.52,357.72,370.02,372.12,L7
2001-08-24 21:54:48+00:00,364.48,374.51,362.89,338.66,336.86,332.46,331.40,326.64,323.25,319.82,322.99,320.82,322.93,316.78,310.82,307.97,322.42,326.69,330.17,331.24,349.87,338.44,323.29,314.87,294.19,333.04,354.27,348.53,358.44,359.02,365.34,362.99,358.87,355.03,352.46,355.96,359.72,360.68,357.94,339.74,352.09,359.44,360.36,357.16,346.34,344.99,352.31,352.65,363.81,356.50,347.05,350.08,357.19,358.97,362.74,372.12,L7
2001-09-09 21:54:36+00:00,372.62,372.63,367.93,347.95,344.68,340.24,336.24,331.74,330.32,328.04,327.25,323.38,325.58,321.31,316.05,315.92,328.40,331.87,335.36,336.46,344.27,347.21,323.29,314.87,303.38,332.34,355.86,354.89,359.56,359.94,366.55,366.48,365.50,362.20,357.87,360.40,365.75,366.23,364.94,349.04,359.06,362.59,364.35,363.19,354.35,350.98,356.81,357.44,364.52,357.21,350.11,352.74,363.14,363.06,369.17,378.59,L7
