dates,nzd0250-0000,nzd0250-0001,nzd0250-0002,nzd0250-0003,nzd0250-0004,nzd0250-0005,nzd0250-0006,nzd0250-0007,nzd0250-0008,nzd0250-0009,nzd0250-0010,nzd0250-0011,nzd0250-0012,nzd0250-0013,nzd0250-0014,nzd0250-0015,satname
1999-07-18 21:58:49+00:00,,,,212.58,138.19,,,,,,,,,,,347.53,L7
1999-09-20 21:59:20+00:00,,,,212.65,152.52,,,,,,,,,,,347.53,L7
1999-12-25 21:59:16+00:00,322.38,297.26,,228.53,152.52,,,297.24,,,,,,,,332.11,L7
2000-02-27 21:59:04+00:00,335.30,316.99,335.06,268.17,166.85,360.29,340.62,314.96,340.18,352.17,351.47,340.49,347.37,349.15,360.24,340.59,L7
2000-03-14 21:58:59+00:00,347.44,319.51,339.52,284.89,241.70,344.75,337.99,325.83,345.49,352.58,359.69,349.64,353.09,359.72,367.09,354.93,L7
2000-03-30 21:58:33+00:00,345.78,319.77,331.19,308.12,313.59,339.30,331.48,325.52,341.58,344.06,351.02,345.22,348.54,353.96,361.08,355.56,L7
2000-04-15 21:58:43+00:00,348.19,323.00,328.64,310.00,319.13,338.76,330.12,325.96,337.02,339.54,344.68,341.90,344.69,351.31,360.76,358.09,L7
2000-07-04 21:58:02+00:00,353.11,328.75,323.78,318.72,316.56,333.91,326.78,327.53,330.71,334.20,344.68,329.10,341.25,346.46,353.70,368.44,L7
2000-08-05 21:57:08+00:00,346.12,328.75,323.78,318.72,318.44,331.91,323.84,324.02,325.47,325.90,333.33,326.84,338.05,343.62,349.61,358.07,L7
2000-11-09 21:56:45+00:00,336.55,327.60,311.63,312.64,322.76,323.50,313.69,309.36,307.83,304.13,314.65,312.25,328.47,328.81,328.77,327.32,L7
2001-03-01 21:56:45+00:00,336.08,323.08,318.94,321.37,333.51,334.06,318.46,316.49,318.73,315.14,341.35,343.32,335.91,329.96,331.75,338.04,L7
2001-03-17 21:56:40+00:00,336.08,328.94,330.10,330.81,338.92,342.84,334.04,332.93,335.75,329.23,335.87,337.02,341.19,347.69,341.21,346.50,L7
2001-05-20 21:56:16+00:00,301.31,328.83,341.26,340.25,344.34,351.62,349.62,349.36,352.76,343.32,330.38,330.72,346.46,365.42,350.66,354.97,L7
