dates,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0051,nzd0528-0052,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056,satname
1999-08-17 22:13:37+00:00,304.19,283.54,293.25,327.10,332.34,338.05,336.32,333.82,334.29,336.14,339.42,345.13,347.33,337.44,334.07,325.65,333.97,336.22,325.67,330.72,334.26,331.04,328.04,330.94,338.57,334.01,328.02,328.95,338.28,353.37,350.04,341.16,345.24,346.01,346.39,345.18,346.48,336.15,337.30,336.53,334.46,335.59,334.35,329.94,324.96,326.83,338.10,337.30,334.33,344.43,347.47,354.57,359.23,369.46,369.88,375.30,371.88,L7
1999-09-27 22:07:36+00:00,318.44,316.00,322.75,317.18,320.35,330.88,331.64,321.03,327.40,328.73,336.79,335.04,333.51,333.44,337.46,330.68,328.17,330.98,336.08,338.70,335.08,333.86,334.86,336.47,330.56,334.33,322.97,319.93,331.44,338.96,334.48,336.32,324.42,327.48,331.64,334.94,335.92,332.83,334.24,333.27,332.27,329.20,315.76,316.60,321.17,326.36,328.94,330.11,325.64,332.27,337.00,342.82,346.68,360.58,356.98,356.18,345.04,L7
1999-12-07 22:13:41+00:00,338.23,332.41,345.31,344.95,353.08,354.52,351.66,351.19,351.27,345.51,345.69,342.25,338.05,331.00,339.44,355.46,354.98,359.32,359.53,357.51,348.22,,,,,,,,,,,,,,,,,,360.75,370.69,370.16,359.94,349.97,348.90,344.63,343.37,344.02,339.44,330.63,336.57,347.84,350.65,347.58,345.34,340.98,333.65,342.12,L7
2000-02-02 22:07:23+00:00,324.80,319.77,335.31,337.10,345.57,341.31,338.09,328.34,324.80,322.33,325.47,323.40,327.98,332.65,334.37,332.05,332.03,335.32,329.75,325.93,331.88,333.40,334.46,331.96,324.19,330.80,327.04,327.83,330.75,335.05,322.42,327.17,322.73,322.05,325.66,340.86,335.33,326.61,326.66,338.02,338.23,343.45,326.33,325.24,315.37,311.91,318.97,316.30,319.57,329.15,335.03,334.03,336.24,335.71,336.72,340.91,342.65,L7
2000-03-21 22:07:12+00:00,343.10,335.87,352.44,360.54,363.20,365.99,366.66,365.59,357.08,358.10,356.96,355.98,346.77,348.94,346.08,350.32,348.21,348.89,351.10,353.52,347.45,344.96,349.60,363.96,368.26,364.55,352.88,345.67,345.69,348.82,344.29,350.45,346.77,349.57,357.30,354.03,345.65,347.62,349.52,349.79,350.92,345.01,337.86,335.28,333.84,336.58,342.27,345.58,344.69,351.44,343.60,348.20,357.97,362.73,367.26,364.18,360.12,L7
2000-05-08 22:06:44+00:00,322.67,341.40,352.40,357.54,359.86,363.80,357.84,359.04,357.05,349.96,350.47,346.65,338.52,339.12,341.05,347.33,338.70,340.94,339.77,338.97,338.22,338.56,335.39,334.15,336.70,340.06,334.72,331.65,331.66,348.35,347.63,344.18,350.34,345.31,346.08,340.73,335.41,332.69,339.56,361.04,362.69,357.67,342.32,331.64,327.14,329.73,338.66,334.63,332.39,336.69,341.90,346.25,346.85,339.99,338.69,346.61,351.39,L7
2000-05-31 22:12:42+00:00,,,,,,,,,,,,,,,,,,,,,,328.08,334.78,334.02,333.01,337.21,331.30,329.28,315.36,327.90,331.12,,,,,,,,,,,,,,,,,,,321.77,,,,,,,,L7
2000-06-16 22:12:38+00:00,290.93,,339.39,,,352.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-12 22:05:41+00:00,308.15,325.45,343.31,347.57,351.74,348.75,342.23,340.77,337.51,338.73,344.33,345.42,348.19,352.21,343.75,338.46,339.63,342.79,345.32,335.34,327.29,330.15,331.23,309.11,301.55,315.76,311.23,321.36,327.26,319.53,323.89,328.64,332.75,352.13,343.98,,,,,,,,,,,,,,,,336.53,338.34,332.08,324.40,328.92,320.45,326.42,L7
2000-08-19 22:11:49+00:00,,325.05,,,,,,,349.75,,,352.90,350.32,344.75,345.81,,,,,,335.25,344.25,337.87,345.06,339.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,316.65,292.61,311.13,323.37,331.43,338.22,339.37,332.71,334.87,329.60,339.72,343.17,346.07,343.08,338.70,338.22,341.11,344.40,344.94,340.01,342.30,343.86,345.65,346.31,344.29,343.00,343.50,347.49,344.57,349.82,345.90,336.07,334.06,333.23,335.95,333.97,328.74,331.21,332.27,332.30,337.95,334.89,330.99,327.42,330.11,333.44,336.07,335.36,332.94,334.92,352.91,350.81,350.20,357.79,370.91,362.62,376.49,L7
2000-11-16 22:04:56+00:00,310.56,304.84,324.67,336.65,343.78,337.50,337.00,331.78,330.15,327.82,330.45,321.63,324.29,326.87,324.61,328.17,335.67,338.45,335.37,326.03,326.41,329.32,329.17,333.63,330.78,332.20,327.02,323.45,326.97,342.60,333.53,322.95,318.65,322.60,320.00,318.44,317.58,322.46,329.30,336.17,337.14,331.14,328.55,323.16,322.22,323.99,328.05,331.01,332.32,338.83,338.98,345.23,347.69,347.57,348.37,357.32,364.98,L7
2000-12-25 22:11:14+00:00,342.50,334.57,349.59,350.63,356.64,353.63,346.40,345.13,348.37,343.22,345.60,340.17,340.07,334.40,330.07,331.96,329.73,331.90,330.29,334.15,336.07,334.11,338.30,336.99,341.55,340.83,324.30,322.60,328.10,329.80,320.73,324.66,324.37,331.59,340.28,341.29,337.17,333.99,339.68,342.72,342.72,337.20,334.44,,,,,,,,,,,,,,,L7
2001-01-03 22:05:00+00:00,,359.25,346.91,356.05,357.62,360.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.77,350.15,347.06,343.45,335.49,337.78,341.10,346.87,342.76,339.24,344.15,354.84,350.94,,,,,,L7
2001-07-14 22:03:57+00:00,318.24,,364.37,,,368.24,359.09,361.07,358.10,356.40,337.63,353.79,350.69,344.01,342.23,334.60,341.90,342.57,335.34,323.00,330.26,329.62,316.19,307.12,,,309.01,320.45,332.30,297.31,355.76,354.68,349.26,346.94,344.61,338.02,343.54,347.59,337.38,343.21,350.05,347.27,342.91,337.88,338.01,329.10,334.89,335.27,334.89,340.53,,,351.44,358.93,357.42,357.40,369.18,L7
2001-08-15 22:03:26+00:00,321.67,334.88,344.89,350.52,352.58,356.78,356.49,351.47,346.20,353.52,350.94,354.23,343.69,335.38,334.42,339.42,344.48,341.85,341.69,328.33,331.92,339.21,331.25,326.98,321.54,321.78,319.79,321.28,332.24,350.17,348.05,340.64,344.10,341.91,347.35,350.55,344.60,338.78,342.01,346.42,358.13,346.10,328.00,326.07,329.80,338.73,343.42,339.38,337.78,344.60,350.23,352.50,355.84,365.93,364.06,355.34,353.34,L7
2001-08-31 22:03:17+00:00,312.88,,321.89,320.83,326.06,336.45,345.81,352.17,359.34,361.35,360.79,357.03,354.89,342.30,320.21,331.30,332.71,337.67,336.87,335.74,333.50,339.55,344.20,344.71,333.94,329.28,322.49,330.29,330.28,332.20,330.74,332.04,331.66,333.55,337.63,344.14,348.14,336.82,340.13,344.77,343.73,343.67,335.15,325.69,320.22,325.33,339.89,344.60,328.93,333.81,342.80,353.72,357.86,359.10,366.55,365.93,361.29,L7
2002-01-29 22:09:33+00:00,332.42,328.57,343.19,344.02,349.98,355.25,351.00,349.23,351.43,349.23,352.33,349.72,353.73,351.65,349.46,347.33,340.59,345.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-05-05 22:09:37+00:00,309.07,304.20,338.83,326.69,336.00,345.38,339.96,333.49,332.91,331.28,334.64,329.69,325.76,312.91,323.36,327.46,330.30,326.19,327.44,326.57,327.59,331.37,326.31,330.84,329.90,327.65,317.93,321.07,326.69,333.40,346.85,335.34,329.21,326.72,332.05,338.38,343.95,336.14,335.03,345.14,343.56,336.61,332.10,324.96,320.89,314.96,321.30,324.89,323.25,322.20,337.51,340.71,346.84,341.46,333.53,341.54,364.21,L7
2002-05-14 22:03:19+00:00,,318.08,343.22,351.19,355.88,360.32,355.29,356.88,351.50,355.96,353.64,340.49,339.17,340.57,334.26,336.94,339.75,347.10,343.62,345.34,339.26,343.72,346.76,345.36,345.26,342.95,339.71,332.78,343.56,353.53,353.25,355.90,340.20,343.99,353.23,361.05,352.11,351.58,355.09,352.62,350.76,350.65,344.89,332.74,327.67,327.87,333.62,344.04,338.91,342.69,346.28,356.00,363.10,348.50,356.64,376.48,379.96,L7
2002-06-15 22:03:07+00:00,298.92,278.47,338.11,,,360.41,357.89,,,348.30,341.19,341.35,,,,,,,,,,342.83,339.36,,,,332.34,328.56,328.96,325.23,343.42,,347.41,355.26,,,355.81,369.37,361.92,346.33,344.56,341.44,328.51,319.14,325.07,332.51,333.87,337.95,339.78,344.18,,,,,376.18,388.24,393.27,L7
2002-07-08 22:09:12+00:00,303.55,297.28,348.05,,,367.26,,,,,,,,,,,,,,,,,,,336.65,347.72,341.04,336.16,,,346.21,,347.02,342.54,350.72,361.08,362.71,372.44,,348.23,344.09,,,,,341.51,353.75,356.81,349.76,349.69,,,,,400.96,,,L7
2002-09-10 22:08:43+00:00,324.55,317.19,333.71,340.94,353.56,356.48,353.08,348.44,346.09,342.30,344.16,340.09,339.96,332.81,328.11,328.74,322.45,325.51,334.92,340.63,342.69,349.07,343.22,342.08,342.71,344.32,337.82,336.00,340.04,343.67,339.63,341.00,336.31,342.61,349.00,350.68,343.96,348.22,349.07,341.94,337.64,331.86,325.88,326.53,338.34,349.57,348.86,353.90,347.25,350.92,359.80,370.81,366.07,364.37,362.56,370.79,396.44,L7
2003-02-01 22:09:21+00:00,335.67,329.39,344.47,355.85,363.71,367.55,357.73,350.37,347.89,341.62,342.53,341.92,342.46,335.89,336.33,336.41,333.97,342.85,349.41,353.42,347.40,348.19,353.19,355.95,353.94,360.00,350.23,341.63,339.76,344.91,344.32,351.40,349.46,357.77,353.66,346.68,345.21,346.72,356.59,360.21,353.24,352.52,342.61,339.49,339.39,348.00,361.36,369.12,361.46,358.89,365.85,375.88,374.88,376.13,376.17,370.56,369.89,L7
2003-05-01 22:03:22+00:00,303.85,316.57,333.48,337.75,353.08,361.47,355.19,349.81,347.22,339.79,347.66,348.13,350.87,341.39,338.47,344.75,337.29,337.38,346.24,347.40,346.10,350.60,351.65,354.91,353.11,352.13,344.15,347.87,352.32,352.63,355.18,359.84,353.02,348.69,359.37,364.45,351.38,338.23,336.08,335.48,349.58,355.02,345.45,337.55,336.90,343.56,350.85,350.02,347.38,354.79,359.43,369.17,366.41,365.11,358.44,357.33,359.70,L7
