dates,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0051,nzd0528-0052,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056,satname
1999-08-17 22:13:37+00:00,304.19,283.54,293.25,327.10,332.34,338.05,336.32,333.82,334.29,336.14,339.42,345.13,347.33,337.44,334.07,325.65,333.97,336.22,325.67,330.72,334.26,331.04,328.04,330.94,338.57,334.01,328.02,328.95,338.28,353.37,350.04,341.16,345.24,346.01,346.39,345.18,346.48,336.15,337.30,336.53,334.46,335.59,334.35,329.94,324.96,326.83,338.10,337.30,334.33,344.43,347.47,354.57,359.23,369.46,369.88,375.30,371.88,L7
1999-09-27 22:07:36+00:00,311.31,299.77,308.00,322.14,326.35,334.47,333.98,327.42,330.85,332.44,338.11,340.09,340.42,335.44,335.76,328.16,331.07,333.60,330.88,334.71,334.67,332.45,331.45,333.71,334.56,334.17,325.50,324.44,334.86,346.16,342.26,338.74,334.83,336.75,339.01,340.06,341.20,334.49,335.77,334.90,333.37,332.39,325.06,323.27,323.06,326.60,333.52,333.71,329.99,338.35,342.24,348.69,352.96,365.02,363.43,365.74,358.46,L7
1999-12-07 22:13:41+00:00,320.29,310.65,320.44,329.74,335.26,341.15,339.87,335.35,337.65,336.79,340.63,340.81,339.63,333.96,336.99,337.26,339.04,342.17,340.43,342.31,339.19,332.45,331.45,333.71,334.56,334.17,325.50,324.44,334.86,346.16,342.26,338.74,334.83,336.75,339.01,340.06,341.20,334.49,344.10,346.83,345.63,341.58,333.36,331.81,330.25,332.19,337.02,335.62,330.20,337.76,344.10,349.35,351.16,358.46,355.95,355.04,353.01,L7
2000-02-02 22:07:23+00:00,321.42,312.93,324.15,331.58,337.83,341.19,339.43,333.59,334.44,333.18,336.84,336.45,336.72,333.63,336.33,335.96,337.29,340.46,337.76,338.22,337.36,332.77,332.45,333.12,331.11,333.05,326.01,325.57,333.49,342.46,335.65,334.88,330.80,331.85,334.56,340.33,339.24,331.86,339.74,344.63,343.78,342.04,331.60,330.17,326.53,327.12,332.51,330.79,327.54,335.61,341.83,345.52,347.43,352.77,351.14,351.51,350.42,L7
2000-03-21 22:07:12+00:00,331.14,326.01,338.95,339.94,345.55,348.18,347.01,341.54,340.14,338.67,341.23,339.17,336.58,336.51,339.34,342.13,340.85,343.63,344.12,343.91,340.66,337.41,339.64,344.13,341.00,343.23,334.30,331.14,335.96,340.94,333.73,337.98,331.31,333.03,338.20,343.28,338.97,335.69,342.79,347.94,347.89,344.40,332.48,331.50,328.75,329.56,333.55,332.86,330.13,337.36,340.87,343.93,347.12,351.09,350.49,348.73,347.48,L7
2000-05-08 22:06:44+00:00,332.20,332.36,346.37,350.03,355.43,356.40,353.56,351.04,347.55,343.98,344.65,342.07,337.83,337.93,340.24,346.29,343.48,346.12,345.04,343.98,341.44,338.97,339.82,343.36,343.05,345.14,338.21,335.05,336.03,344.07,338.11,340.60,339.95,338.98,343.01,345.21,338.80,335.64,344.12,354.88,355.50,351.52,339.12,335.26,330.25,330.40,335.98,333.99,331.82,338.46,342.09,344.78,347.16,345.94,345.91,346.34,349.07,L7
2000-05-31 22:12:42+00:00,332.20,332.36,346.37,350.03,355.43,356.40,353.56,351.04,347.55,343.98,344.65,342.07,337.83,337.93,340.24,346.29,343.48,346.12,345.04,343.98,341.44,336.25,338.56,341.02,340.54,343.16,336.49,333.61,330.87,340.03,336.37,340.60,339.95,338.98,343.01,345.21,338.80,335.64,344.12,354.88,355.50,351.52,339.12,335.26,330.25,330.40,335.98,333.99,331.82,335.12,342.09,344.78,347.16,345.94,345.91,346.34,349.07,L7
2000-06-16 22:12:38+00:00,320.38,332.35,344.88,351.73,356.21,355.84,354.20,350.99,346.31,343.46,344.30,342.01,337.76,340.24,340.50,343.23,339.65,341.72,340.21,339.47,339.18,336.25,338.56,341.02,340.54,343.16,336.49,333.61,330.87,340.03,336.37,340.60,339.95,338.98,343.01,345.21,338.80,335.64,338.58,349.62,350.61,348.71,335.50,330.72,325.45,326.07,333.30,332.17,332.22,334.76,340.18,342.83,347.02,346.14,347.56,350.57,351.39,L7
2000-08-12 22:05:41+00:00,316.21,334.24,346.88,355.22,358.27,357.70,355.58,355.13,350.55,348.93,350.59,349.35,344.49,346.76,343.63,345.37,342.18,344.21,345.40,342.61,337.65,335.44,337.75,335.31,334.88,339.40,332.53,331.99,329.99,336.15,336.73,341.09,343.29,349.00,349.12,347.38,340.53,340.15,344.54,355.41,356.81,351.34,340.09,333.46,330.49,333.15,340.47,340.10,338.54,336.63,340.68,344.26,345.63,342.37,344.96,343.75,345.98,L7
2000-08-19 22:11:49+00:00,316.21,331.94,346.88,355.22,358.27,357.70,355.58,355.13,350.35,348.93,350.59,350.24,345.95,346.25,344.17,345.37,342.18,344.21,345.40,342.61,337.05,337.20,337.77,337.26,335.71,339.40,332.53,331.99,329.99,336.15,336.73,341.09,343.29,349.00,349.12,347.38,340.53,340.15,344.54,355.41,356.81,351.34,340.09,333.46,330.49,333.15,340.47,340.10,338.54,336.63,340.68,344.26,345.63,342.37,344.96,343.75,345.98,L7
2000-09-20 22:11:14+00:00,309.60,321.13,336.56,342.83,347.68,350.75,346.48,344.17,344.80,339.43,344.84,347.03,345.77,344.79,342.33,341.34,339.81,342.71,343.34,338.11,335.76,336.98,336.98,333.73,330.92,334.01,330.19,332.44,329.71,336.40,337.13,336.30,339.05,343.56,342.00,337.35,332.08,331.95,335.91,346.67,350.32,346.28,336.65,329.53,328.62,331.59,337.37,335.00,332.66,331.13,343.78,345.13,343.04,340.73,346.17,343.23,351.43,L7
2000-11-16 22:04:56+00:00,306.57,311.99,329.62,335.86,342.32,344.18,339.53,335.09,338.07,332.05,338.17,340.78,342.22,341.73,338.22,334.95,338.80,341.88,341.88,333.79,332.81,335.13,335.74,333.63,329.74,332.04,328.26,330.39,328.54,334.96,333.61,329.22,328.49,335.99,333.31,326.21,323.16,326.83,330.78,334.24,337.54,333.01,329.77,325.29,326.17,328.72,332.06,333.19,332.63,331.84,342.81,344.79,343.32,343.25,349.40,346.80,355.96,L7
2000-12-25 22:11:14+00:00,319.46,316.50,332.18,339.56,345.90,344.53,341.25,337.60,340.13,334.84,340.02,340.66,341.79,340.26,336.59,334.20,336.53,339.38,338.98,333.88,333.46,336.34,336.44,334.22,331.44,332.95,326.51,328.73,331.73,335.44,331.01,328.08,327.46,334.89,335.05,331.23,327.83,329.22,333.75,337.06,339.27,334.41,331.33,325.29,326.17,328.72,332.06,333.19,332.63,336.88,342.81,344.79,343.32,343.25,349.40,346.80,355.96,L7
2001-01-03 22:05:00+00:00,319.46,323.63,335.12,342.85,348.24,347.70,341.25,337.60,340.13,334.84,340.02,340.66,341.79,340.26,336.59,334.20,336.53,339.38,338.98,333.88,333.46,336.34,336.44,334.22,331.44,332.95,326.51,328.73,331.73,335.44,331.01,328.08,327.46,334.89,335.05,331.23,327.83,329.22,333.75,340.49,341.99,337.57,334.36,328.69,330.04,332.84,337.00,336.38,334.83,339.30,345.81,346.33,343.32,343.25,349.40,346.80,355.96,L7
2001-07-14 22:03:57+00:00,318.24,,364.37,,,368.24,359.09,361.07,358.10,356.40,337.63,353.79,350.69,344.01,342.23,334.60,341.90,342.57,335.34,323.00,330.26,329.62,316.19,307.12,,,309.01,320.45,332.30,297.31,355.76,354.68,349.26,346.94,344.61,338.02,343.54,347.59,337.38,343.21,350.05,347.27,342.91,337.88,338.01,329.10,334.89,335.27,334.89,340.53,,,351.44,358.93,357.42,357.40,369.18,L7
2001-08-15 22:03:26+00:00,319.96,334.88,354.63,350.52,352.58,362.51,357.79,356.27,352.15,354.96,344.28,354.01,347.19,339.69,338.33,337.01,343.19,342.21,338.51,325.66,331.09,334.41,323.72,317.05,321.54,321.78,314.40,320.87,332.27,323.74,351.90,347.66,346.68,344.43,345.98,344.28,344.07,343.18,339.69,344.81,354.09,346.69,335.46,331.98,333.90,333.92,339.15,337.32,336.33,342.56,350.23,352.50,353.64,362.43,360.74,356.37,361.26,L7
2001-08-31 22:03:17+00:00,317.60,334.88,343.72,335.67,339.32,353.82,353.80,354.90,354.55,357.09,349.79,355.02,349.76,340.56,332.29,335.11,339.70,340.70,337.97,329.02,331.89,336.13,330.55,326.27,327.74,325.53,317.10,324.01,331.61,326.56,344.85,342.45,341.67,340.80,343.20,344.24,345.43,341.06,339.84,344.80,350.64,345.68,335.35,329.88,329.34,331.05,339.40,339.75,333.87,339.65,346.51,353.11,355.05,361.32,362.68,359.56,361.27,L7
2002-01-29 22:09:33+00:00,322.32,331.73,336.66,338.46,342.87,349.49,351.10,350.96,352.32,354.70,354.69,353.66,350.77,343.11,334.70,339.35,339.26,341.60,339.28,332.03,332.71,339.38,337.73,335.84,327.74,325.53,321.14,325.78,331.26,341.19,339.39,336.34,337.88,337.73,342.49,347.35,346.37,337.80,341.07,345.60,350.93,344.88,331.57,325.88,325.01,332.03,341.66,341.99,333.35,339.21,346.51,353.11,356.85,362.51,365.30,360.64,357.31,L7
2002-05-05 22:09:37+00:00,320.75,316.38,341.01,335.36,342.99,350.31,345.48,341.36,342.17,340.25,343.49,339.71,339.75,332.28,336.41,337.39,335.44,335.73,327.44,326.57,327.59,331.37,326.31,330.84,329.90,327.65,317.93,321.07,326.69,333.40,346.85,335.34,329.21,326.72,332.05,338.38,343.95,336.14,335.03,345.14,343.56,336.61,332.10,324.96,320.89,314.96,321.30,324.89,323.25,322.20,337.51,340.71,346.84,341.46,333.53,341.54,364.21,L7
2002-05-14 22:03:19+00:00,320.75,316.95,341.75,340.63,347.29,353.65,348.75,346.53,345.28,345.49,346.87,339.97,339.55,335.04,335.69,337.24,336.88,339.52,335.53,335.95,333.42,337.55,336.53,338.10,337.58,335.30,328.82,326.92,335.12,343.46,350.05,345.62,334.70,335.36,342.64,349.72,348.03,343.86,345.06,348.88,347.16,343.63,338.50,328.85,324.28,321.41,327.46,334.47,331.08,332.44,341.89,348.36,354.97,344.98,345.08,359.01,372.08,L7
2002-06-15 22:03:07+00:00,313.47,307.33,340.84,340.63,347.29,355.34,351.03,346.53,345.28,346.19,345.45,340.31,339.55,335.04,335.69,337.24,336.88,339.52,335.53,335.95,333.42,339.31,337.48,338.10,337.58,335.30,329.99,327.47,333.07,337.39,347.84,345.62,338.94,341.99,342.64,349.72,350.62,352.36,350.68,348.03,346.29,342.90,335.17,325.61,324.54,325.11,329.60,335.63,333.98,336.36,341.89,348.36,354.97,344.98,355.45,368.75,379.15,L7
2002-07-08 22:09:12+00:00,310.99,305.32,342.28,340.63,347.29,357.72,351.03,346.53,345.28,346.19,345.45,340.31,339.55,335.04,335.69,337.24,336.88,339.52,335.53,335.95,333.42,339.31,337.48,338.10,337.27,339.44,332.75,329.64,333.07,337.39,347.43,345.62,340.96,342.13,345.33,353.50,353.64,357.38,350.68,348.08,345.74,342.90,335.17,325.61,324.54,329.21,335.63,340.92,337.93,339.69,341.89,348.36,354.97,344.98,366.83,368.75,379.15,L7
2002-09-10 22:08:43+00:00,309.02,303.04,340.38,339.61,348.48,357.97,351.56,346.27,343.50,344.46,343.41,337.90,334.96,328.76,328.58,331.05,330.83,332.93,335.33,337.51,336.51,341.75,338.91,339.43,338.63,340.66,333.77,330.91,334.81,338.96,345.87,344.08,340.03,342.22,346.25,352.80,351.71,355.55,350.28,346.85,344.12,340.14,332.85,325.84,327.99,333.28,338.28,343.52,339.79,341.94,347.86,355.84,358.67,351.44,365.97,369.26,383.47,L7
2003-02-01 22:09:21+00:00,330.11,323.29,339.09,348.39,358.63,362.01,355.40,349.40,346.99,341.96,343.35,341.00,341.21,334.35,332.22,332.58,328.21,334.18,342.17,347.02,345.04,348.63,348.21,349.01,348.32,352.16,344.02,338.81,339.90,344.29,341.98,346.20,342.88,350.19,351.33,348.68,344.58,347.47,352.83,351.07,345.44,342.19,334.25,333.01,338.87,348.78,355.11,361.51,354.36,354.90,362.83,373.35,370.48,370.25,369.37,370.68,383.16,L7
2003-05-01 22:03:22+00:00,319.76,322.98,338.98,346.80,358.39,364.51,356.46,350.09,347.56,340.71,345.10,345.02,346.66,338.64,337.40,340.58,335.63,340.12,347.83,350.41,346.75,349.39,352.42,355.43,353.52,356.06,347.19,344.75,346.04,348.77,349.75,355.62,351.24,353.23,356.51,355.56,348.29,342.48,346.33,347.85,351.41,353.77,344.03,338.52,338.14,345.78,356.11,359.57,354.42,356.84,362.64,372.52,370.64,370.62,367.31,363.94,364.79,L7
