dates,satname,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0051,nzd0528-0052,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056
1999-08-17 22:13:37+00:00,L7,297.75,279.91,290.61,323.69,329.70,335.63,334.09,331.06,331.97,333.38,336.66,342.23,344.69,334.39,331.31,322.43,329.83,333.17,322.91,329.27,332.11,328.28,325.72,329.49,337.00,332.56,325.26,325.54,334.41,347.57,344.24,337.94,341.10,341.87,342.25,341.31,342.61,331.69,333.16,332.39,330.32,331.72,329.52,326.07,320.82,322.96,334.23,333.89,330.46,341.02,342.20,350.70,355.82,365.84,366.01,371.16,368.26
1999-09-27 22:07:36+00:00,L7,340.22,328.25,331.66,328.71,329.26,339.05,339.18,330.36,335.24,338.06,346.12,344.84,342.42,343.76,346.79,341.57,342.17,341.30,345.41,343.60,342.34,343.19,342.70,341.37,335.86,339.23,332.30,331.46,344.51,358.56,354.08,347.21,338.42,341.48,345.64,348.01,348.99,347.91,348.24,347.27,346.27,342.27,332.09,329.67,335.17,339.43,342.01,341.64,338.71,343.80,354.82,355.89,358.21,372.83,370.05,370.18,357.29
1999-12-07 22:13:41+00:00,L7,352.01,340.16,350.95,352.24,358.72,359.69,356.43,357.09,356.23,351.41,351.59,348.45,343.69,337.53,345.34,362.35,363.84,365.85,365.43,360.61,352.81,,,,,,,,,,,,,,,,,,369.61,379.55,379.02,368.21,360.30,357.17,353.49,351.64,352.29,346.73,338.90,343.86,359.11,358.92,354.87,353.09,349.25,342.51,349.87
2000-02-02 22:07:23+00:00,L7,328.58,321.90,336.86,339.10,347.12,342.73,339.40,329.96,326.16,323.95,327.09,325.10,329.53,334.44,335.99,333.94,334.46,337.11,331.37,326.78,333.14,335.02,335.82,332.81,325.11,331.65,328.66,329.83,333.02,338.45,325.82,329.06,325.16,324.48,328.09,343.13,337.60,329.23,329.09,340.45,340.66,345.72,329.16,327.51,317.80,314.18,321.24,318.30,321.84,331.15,338.12,336.30,338.24,337.84,338.99,343.34,344.78
2000-03-21 22:07:12+00:00,L7,364.43,347.87,361.17,371.83,371.93,373.99,374.04,374.73,364.76,367.24,366.10,365.58,355.50,359.05,355.22,360.99,361.92,359.00,360.24,358.32,354.56,354.10,357.28,368.76,373.45,369.35,362.02,356.96,358.49,368.02,363.49,361.12,360.48,363.28,371.01,366.83,358.45,362.39,363.23,363.50,364.63,357.81,353.86,348.08,347.55,349.38,355.07,356.87,357.49,362.73,361.05,361.00,369.26,374.73,380.06,377.89,372.12
2000-05-08 22:06:44+00:00,L7,324.67,342.53,353.22,358.60,360.68,364.55,358.53,359.90,357.77,350.82,351.33,347.55,339.34,340.07,341.91,348.33,339.99,341.89,340.63,339.42,338.89,339.42,336.11,334.60,337.19,340.51,335.58,332.71,332.86,350.15,349.43,345.18,351.63,346.60,347.37,341.93,336.61,334.07,340.85,362.33,363.98,358.87,343.82,332.84,328.43,330.93,339.86,335.69,333.59,337.75,343.54,347.45,347.91,341.11,339.89,347.90,352.52
2000-05-31 22:12:42+00:00,L7,,,,,,,,,,,,,,,,,,,,,,329.32,335.82,334.67,333.71,337.86,332.54,330.81,317.09,330.50,333.72,,,,,,,,,,,,,,,,,,,323.30,,,,,,,258.95
2000-06-16 22:12:38+00:00,L7,305.15,283.59,345.21,,,357.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:41+00:00,L7,311.04,327.08,344.49,349.10,352.92,349.83,343.23,342.01,338.55,339.97,345.57,346.72,349.37,353.58,344.99,339.90,341.49,344.16,346.56,335.99,328.25,331.39,332.27,309.76,302.25,316.41,312.47,322.89,328.99,322.13,326.49,330.08,334.61,353.99,345.84,,,,,,,,,,,,,,,,338.89,340.07,333.61,326.03,330.65,322.31,328.04
2000-08-19 22:11:49+00:00,L7,,329.67,637.34,,,,,,352.71,,,356.60,353.68,348.64,349.33,,,,,,337.99,347.77,340.83,346.91,341.05,,,,,,,,,,,,,,,,,,,,,,,445.33,,,,,,,,,
2000-09-20 22:11:14+00:00,L7,304.65,285.86,306.22,317.02,326.52,333.72,335.22,327.57,330.55,324.46,334.58,337.77,341.16,337.40,333.56,332.22,333.40,338.72,339.80,337.31,338.30,338.72,341.33,343.61,341.37,340.30,338.36,341.14,337.37,339.02,335.10,330.07,326.35,325.52,328.24,326.77,321.54,322.90,324.56,324.59,330.24,327.69,321.99,320.22,322.40,326.24,328.87,329.01,325.74,328.57,343.09,343.61,343.85,351.04,363.71,354.91,369.74
2000-11-16 22:04:56+00:00,L7,308.34,303.59,323.76,335.47,342.87,336.67,336.23,330.83,329.35,326.87,329.50,320.63,323.38,325.82,323.66,327.06,334.24,337.40,334.42,325.53,325.67,328.37,328.37,333.13,330.24,331.70,326.07,322.27,325.64,340.60,331.53,321.84,317.22,321.17,318.57,317.11,316.25,320.92,327.87,334.74,335.71,329.81,326.88,321.83,320.79,322.66,326.72,329.83,330.99,337.65,337.16,343.90,346.51,346.32,347.04,355.89,363.73
2000-12-25 22:11:14+00:00,L7,357.83,343.20,355.86,358.75,362.91,359.38,351.71,351.70,353.89,349.79,352.17,347.07,346.34,341.66,336.64,339.63,339.59,339.16,336.86,337.60,341.18,340.68,343.82,340.44,345.28,344.28,330.87,330.72,337.30,343.60,334.53,332.33,334.23,341.45,350.14,350.49,346.37,344.61,349.54,352.58,352.58,346.40,345.94,,,,,,,,,,,,,,
2001-01-03 22:05:00+00:00,L7,,351.50,341.27,348.76,351.98,355.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.91,341.29,338.79,333.12,327.22,328.92,332.83,338.60,335.47,330.97,336.86,343.57,342.67,,,,,
2001-07-14 22:03:57+00:00,L7,305.35,277.91,359.10,,,363.41,354.63,355.55,353.46,350.88,332.11,347.99,345.42,337.90,336.71,328.16,333.61,336.46,329.82,320.10,325.96,324.10,311.55,304.22,269.38,,303.49,313.63,324.57,285.71,344.16,348.24,340.97,338.65,336.32,330.29,335.81,338.67,329.09,334.92,341.76,339.54,333.24,330.15,329.72,321.37,327.16,328.45,327.16,333.71,,,344.62,351.68,349.69,349.11,361.93
2001-08-15 22:03:26+00:00,L7,310.56,328.63,340.34,344.64,348.03,352.61,352.64,346.71,342.20,348.76,346.18,349.23,339.14,330.12,329.66,333.86,337.34,336.59,336.93,325.83,328.22,334.45,327.25,324.48,318.84,319.28,315.03,315.40,325.57,340.17,338.05,335.08,336.96,334.77,340.21,343.88,337.93,331.09,334.87,339.28,350.99,339.43,319.67,319.40,322.66,332.06,336.75,333.50,331.11,338.72,341.14,345.83,349.96,359.68,357.39,348.20,347.09
2001-08-31 22:03:17+00:00,L7,318.88,290.07,324.34,324.01,328.51,338.70,347.89,354.74,361.50,363.92,363.36,359.73,357.34,345.14,322.78,334.30,336.57,340.51,339.44,337.09,335.50,342.12,346.36,346.06,335.40,330.63,325.06,333.47,333.88,337.60,336.14,335.04,335.52,337.41,341.49,347.74,351.74,340.97,343.99,348.63,347.59,347.27,339.65,329.29,324.08,328.93,343.49,347.78,332.53,336.99,347.71,357.32,361.04,362.47,370.15,369.79,364.66
2002-01-29 22:09:33+00:00,L7,355.75,341.70,352.74,356.37,359.53,364.00,359.08,359.23,359.83,359.23,362.33,360.22,363.28,362.70,359.46,359.00,355.59,356.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-05 22:09:37+00:00,L7,296.85,297.33,333.83,320.22,331.00,340.80,335.73,328.25,328.51,326.04,329.40,324.19,320.76,307.12,318.12,321.35,322.44,320.40,322.20,323.82,323.52,326.13,321.91,328.09,326.93,324.90,312.69,314.60,319.36,322.40,335.85,329.23,321.35,318.86,324.19,331.05,336.62,327.68,327.17,337.28,335.70,329.28,322.93,317.63,313.03,307.63,313.97,318.42,315.92,315.73,327.51,333.38,340.37,334.59,326.20,333.68,357.34
2002-05-14 22:03:19+00:00,L7,,326.58,349.40,359.19,362.06,365.99,360.52,363.36,356.94,362.44,360.12,347.29,345.35,347.73,340.74,344.50,349.46,354.26,350.10,348.74,344.30,350.20,352.20,348.76,348.94,346.35,346.19,340.78,352.63,367.13,366.85,363.46,349.91,353.70,362.94,370.12,361.18,362.04,364.80,362.33,360.47,359.72,356.22,341.81,337.38,336.94,342.69,352.04,347.98,350.69,358.64,365.07,371.10,357.00,365.71,386.19,388.46
2002-06-15 22:03:07+00:00,L7,301.14,279.72,339.02,,,361.24,358.66,,,349.25,342.14,342.35,,,,,,,,,,343.78,340.16,,,,333.29,329.74,330.29,327.23,345.42,,348.84,356.69,,,357.14,370.91,363.35,347.76,345.99,342.77,330.18,320.47,326.50,333.84,335.20,339.13,341.11,345.36,,,,,377.51,389.67,394.52
