dates,nzd0554-0000,nzd0554-0001,nzd0554-0002,nzd0554-0003,nzd0554-0004,nzd0554-0005,nzd0554-0006,nzd0554-0007,nzd0554-0008,nzd0554-0009,nzd0554-0010,nzd0554-0011,nzd0554-0012,nzd0554-0013,nzd0554-0014,nzd0554-0015,nzd0554-0016,nzd0554-0017,nzd0554-0018,nzd0554-0019,nzd0554-0020,nzd0554-0021,nzd0554-0022,nzd0554-0023,nzd0554-0024,nzd0554-0025,nzd0554-0026,nzd0554-0027,nzd0554-0028,nzd0554-0029,nzd0554-0030,nzd0554-0031,nzd0554-0032,nzd0554-0033,satname
1999-07-16 22:13:35+00:00,,,,,,,,,,,,,,,,,251.61,,,,,,,,,,,,,,,,,,L7
1999-08-17 22:13:37+00:00,277.94,278.48,273.47,271.20,273.90,283.96,292.56,,,,287.30,285.79,290.37,287.54,281.18,280.22,280.93,278.23,271.37,277.88,284.32,290.67,300.97,305.40,312.03,311.26,311.05,314.56,307.55,311.87,307.86,302.24,296.05,280.49,L7
1999-11-05 22:13:40+00:00,275.54,271.51,259.34,258.76,261.42,273.49,284.34,,,,285.46,294.30,289.67,283.26,273.32,266.70,269.66,266.77,260.08,272.32,290.15,298.69,307.36,313.51,317.31,318.58,315.58,314.04,306.03,289.71,285.19,278.28,272.90,271.27,L7
1999-12-07 22:13:41+00:00,282.16,280.19,277.29,264.63,265.36,267.12,278.96,309.73,313.51,305.85,294.55,298.13,308.98,301.24,284.57,275.15,274.30,267.79,273.12,289.47,308.04,310.94,305.60,309.03,317.41,322.42,323.57,327.15,311.39,291.02,286.70,280.00,263.12,251.33,L7
1999-12-16 22:07:33+00:00,301.83,279.98,262.08,261.11,260.16,272.74,297.04,301.75,296.39,294.61,299.84,301.79,308.37,299.13,292.31,284.12,278.45,281.49,283.89,296.82,303.00,314.38,317.32,321.51,333.35,330.44,330.80,335.25,322.93,320.52,301.28,288.68,284.75,,L7
2000-01-24 22:13:35+00:00,288.26,255.73,252.63,259.20,293.40,300.70,305.88,324.43,318.20,323.71,323.53,323.95,311.61,291.59,304.47,307.33,275.77,273.19,296.54,306.85,316.77,311.60,318.59,343.65,349.57,353.64,349.84,345.99,319.03,290.53,288.03,285.46,256.87,,L7
2000-02-02 22:07:23+00:00,271.61,273.17,272.94,267.10,279.55,289.40,304.29,307.04,302.02,300.20,305.25,310.69,309.94,301.57,295.29,290.12,288.16,,,,,,,,,,,,,,,,,,L7
2000-06-25 22:06:19+00:00,292.55,290.08,268.72,259.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,255.69,260.64,258.17,256.14,252.15,266.71,288.45,284.27,281.87,286.27,292.60,293.08,293.32,293.02,292.17,291.76,288.35,289.84,287.95,290.64,291.98,300.17,310.00,318.96,327.85,321.22,328.47,334.48,313.37,304.27,291.27,288.73,278.21,278.56,L7
2000-10-15 22:05:07+00:00,300.16,307.34,304.23,300.09,306.72,316.74,303.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
