,dates,per0014-0000,per0014-0001,per0014-0002,per0014-0003,per0014-0004,per0014-0005,per0014-0006,per0014-0007,per0014-0008,per0014-0009,per0014-0010,per0014-0011,per0014-0012,per0014-0013,per0014-0014,per0014-0015,per0014-0016,per0014-0017,per0014-0018,per0014-0019,per0014-0020,per0014-0021,per0014-0022,per0014-0023,per0014-0024,per0014-0025,per0014-0026,per0014-0027,per0014-0028,per0014-0029,per0014-0030,per0014-0031,per0014-0032,per0014-0033,per0014-0034,per0014-0035,per0014-0036,per0014-0037,per0014-0038,per0014-0039,per0014-0040,per0014-0041,per0014-0042,per0014-0043,per0014-0044,per0014-0045,per0014-0046,per0014-0047,per0014-0048,per0014-0049,per0014-0050,per0014-0051,per0014-0052,per0014-0053,per0014-0054,per0014-0055,per0014-0056,per0014-0057,per0014-0058,per0014-0059,per0014-0060,per0014-0061,per0014-0062,per0014-0063,per0014-0064
0,1985-09-03 15:03:06+00:00,152.20503071441726,145.78450225754466,143.27919824067504,131.28520147992703,134.48258670007704,147.43738832455517,157.4246232126334,164.49715162552005,155.62748996448633,142.33635051890877,137.27039516656149,134.90215766067055,132.0679994519814,136.76060307734457,135.84343806891127,136.00363669346098,139.6001808870521,143.49918352558888,144.21944550567173,151.1785506537401,159.03414620925201,162.45980384614856,166.01431255649038,175.85243551273197,182.53719732146294,187.49262637594313,193.28674945975936,203.43514080811363,211.12090092116375,215.866565909209,219.0491620502432,223.85666826408902,233.68082848215153,248.28897945408954,257.5675240170559,,263.8772009871342,262.9131487454962,258.90777653016454,240.10229829157544,237.3106730264881,238.12352663560296,244.77604659072065,247.9964911582599,256.31492188769823,261.13192768149844,254.08540115113453,251.7286294981983,252.74578273099905,226.9925881582881,209.2975338979514,199.1875024625015,199.1495385474674,202.58281372821594,197.10521662860606,192.7695216525547,180.70009010834866,179.56665728501997,185.8695573650691,180.03664440031278,193.88564652385472,210.11391420278136,214.5211743305133,229.98533883435138,236.49320557111736
1,1985-10-05 15:02:44+00:00,148.15420087676384,143.01833647190105,133.14501646852227,129.45722527451633,131.48232499883997,140.48502858712573,150.18431822553183,154.15931968533562,145.50684469461095,135.07855665853316,125.14230667209874,124.46083603041674,126.17107834323264,129.6810928581774,125.2480792539296,130.0105892567171,132.14061468754906,138.100291465425,142.18098970847723,145.3666427191246,151.00411273192844,163.66663671812927,165.30614800196213,176.65207478873003,183.37090729689868,183.6519954853888,194.78175653551307,204.16158756555222,211.6951214567995,211.0862966539349,213.07422192242038,217.26491458001962,229.83361209643516,241.50326537921683,250.5070217719625,,,,,,,,,,257.1038840574927,262.66381220116307,257.17216694174,252.1399565627533,254.5629470229101,228.19535662207898,212.68705821883884,203.58814483995423,202.94195243890954,206.4014029890714,200.68637608035303,199.90636327836842,181.9202053584984,178.9186930182945,189.8494621956798,187.25328681525724,200.2970449347295,212.47326272437473,213.86712536806826,226.38857630762834,233.72659784227903
2,1985-12-08 15:01:45+00:00,,,,,,,,,,,,,,,,,99.07283604905649,,,,,,,,,,,,178.2038582182486,192.70460131802972,205.00921902127394,213.40111100480078,220.6165025544372,217.08934509555587,,,,,,,,,,231.69982551564547,246.14302779374532,250.65812517579312,239.28254733788316,229.50355909803915,220.36243142096373,201.37351273642523,187.34280024464545,181.7920989302952,182.21351005459422,183.621063593465,180.15069406053092,174.94950554537866,177.5109492406171,190.4598836218127,182.70528920237666,167.36271476277923,174.42633122906926,189.10827257989337,203.3500420676701,204.7676879240965,200.9894737811632
3,1986-03-14 14:59:46+00:00,158.0858787871961,144.76003877072253,134.77787430497884,135.50144302490656,142.54354477429928,148.05594757351002,163.48828394303305,184.65800734881526,179.88418310271638,172.099957177891,166.12941067903455,160.52794257490825,160.4012709470648,152.91567091626627,150.07139166360344,147.11533279718358,145.99939989264573,146.8346428843447,148.78921033153085,143.42277881523475,145.15297396280184,145.4330779148716,151.95105083648042,155.19871047509798,161.21038826845495,168.47992664892155,173.1555303644139,179.92728582808417,180.9359026293102,184.8319896139953,194.3618321951623,205.00509664596532,214.29340125702072,214.25521026199743,214.50353564059935,218.63956126004973,231.8564077340831,238.2135825742057,231.39733006011082,227.83480260032442,225.5470294390789,223.889436012633,230.2794007558191,237.794627157124,248.58016240608782,253.17363374924608,246.03480179470193,235.33443164150705,219.10833243989072,204.93811705406674,189.3834122973752,177.44067049252138,180.20750281677647,184.81519685281964,178.59078087673674,169.71180803491,169.8330121645949,183.30370160222665,169.06364006550916,156.69467174847492,153.63328664019957,152.94635102522085,,,186.33791430524252
4,1986-05-17 14:58:17+00:00,156.58353087537444,147.90514823866022,142.78245178648302,143.57515048692676,152.0898077911025,160.7003825924107,176.92578134871076,188.0581431234474,184.53529207151144,174.30725044827375,163.25443362488636,149.39582324688678,150.86542245938227,152.74553906589094,152.6508623729976,152.03141906303634,149.65828768195922,147.43464613118226,148.7110976344925,153.05026488328116,157.33778977471735,164.1306749438381,159.5252749053324,165.1779890670366,171.81817107896546,175.89636056187572,180.43663212907845,189.53417089759614,198.42490509454905,203.35663867484737,209.2209177194901,214.1329957164296,217.0660553756177,223.0716044438371,223.36087468432515,228.83127923362144,227.51182977834526,225.27272136838747,227.43196006632576,217.26126572746878,212.09203888786305,221.09698608187506,221.193162087087,222.0385707390861,226.82374245255312,237.74256809706765,234.71664605299108,224.33511459406014,221.97172252549097,209.77276171622657,193.7481790229058,183.7978465011119,181.44355530656185,177.8458777889699,176.50276734377456,166.97231012783874,155.62741387973276,155.96559429744764,162.29856853950008,148.3999655644488,154.12275186858648,159.8293818837812,,169.40881853304873,189.13126475885088
5,1986-07-04 14:56:48+00:00,165.7464888525519,155.07383996531456,148.77440070617678,151.1249281270721,155.4656549981775,168.2888404805947,179.8077813737587,189.70096795285053,189.00940524126395,175.5291457177261,165.66708490231224,156.83033861028878,151.9427906617152,152.06378185097384,156.5461615691626,155.40642539676307,155.1841038810199,155.66556164203897,161.46579435308348,161.41162438044074,170.68374137570206,176.44084125255284,176.66242701054986,182.44270429235036,191.0952906927647,197.5292235932185,206.69754696661033,214.3561271075596,227.78933806755464,225.91895782450743,232.4255107928053,237.47988345073915,242.07120248795195,250.16665296261561,251.80509527992768,252.21800639762046,253.03969749737797,252.6692765712961,250.39393677830105,240.6209077312156,229.74105295009673,234.19526421314492,239.91289990231144,238.3929180758932,243.97122287116022,249.39168963281344,246.3588133637022,241.98201169384328,238.96094788417452,223.9690453001872,212.43534818301174,201.39474851308375,203.3412938801954,197.38825257875368,195.12498724056832,189.41548555987913,180.04700986233632,183.8839699391658,188.49358789257008,176.38998056759698,189.28535206994667,199.25836301700753,200.61955945579038,212.90497781682384,220.89406456183562
6,1986-07-20 14:56:15+00:00,172.78880694381039,162.316292274043,152.2182664364669,153.64169845698197,159.72511803165906,172.44054738853958,179.25368435821377,194.4274609501362,190.15286777263026,173.4859124681083,164.78750497147487,160.01017496616277,157.1504923011764,155.62502315158517,159.46280881498933,155.75521052228805,159.54359616423503,156.89261786481245,163.22483167846582,163.49308020026288,166.37942960499674,172.6624699179917,177.877598961343,187.45242512153925,192.88476250120073,199.83923466315872,207.49437643292487,217.39966846356538,232.3832989173149,233.10733145560957,228.89973796554312,237.16028843371063,241.51062031535406,250.09642215226089,254.56064933600427,256.48857891754056,260.92279129622784,258.80023044490565,262.50329563028504,247.1027392436094,234.5902047002333,235.47110578852744,236.02208536164244,243.0905498152702,248.02530677701213,252.93684182490676,254.04947165597008,248.03554659666494,246.07939596855803,231.4618194691219,214.00679395570867,199.90980351243581,194.8971242165607,201.73416270692962,203.7023128680009,199.93373637284924,183.47843877873765,189.52449824226886,190.64490254051444,180.0074619424324,195.59388493734582,209.5598955873242,205.43647760560017,216.92499382782682,235.56684954997723
7,1986-08-05 14:55:41+00:00,173.4522352885651,165.51589223466888,152.81045411450117,150.37804911406383,157.13686017562532,167.6804579686625,178.86305678043203,187.00816858389967,180.751023995225,169.96805012770005,161.78330636381895,152.43007041038163,152.40122664251734,150.0249294221513,145.23059364367066,145.21511358600213,147.509916713988,150.9191118830115,153.39402159028606,154.23622095872076,159.4408532458188,164.99159473959762,166.17260646502314,176.7899452036821,184.79709752375055,186.8276478798267,199.29368058911217,209.64435401576435,217.94697713399137,219.94514741152412,226.56278221768338,230.44524889323878,234.12249615645422,243.6151327133476,242.77314063556517,239.25557866294412,245.60615440204202,241.3529720172333,242.9255098788226,230.27467258660184,222.86843674804692,223.30775037681866,231.8266819727102,228.28842962280146,239.11896987473256,241.17536433654487,237.77617190767336,236.0717746618001,239.38100665420382,224.7155544232224,210.81707513099974,197.26237103244875,192.7943822689579,198.6840711301163,194.43284997073232,194.73050329117106,176.530140910797,174.49485693874908,180.73633865745447,167.6458525432203,183.07792379414514,197.60803026544778,196.2210875058905,208.28940681461535,221.67039372810652
8,1986-09-06 14:54:29+00:00,176.04062036384857,163.9795955973891,148.24414581787144,144.98164383138587,150.02287534808968,161.82963215712985,174.40375829733694,183.35140264396787,178.63665564122113,161.0121967333763,147.412433610712,142.24435357189859,140.43184973959293,142.05634046493762,135.4751798024971,133.57405717236276,136.98646123678682,140.24971654590178,139.53685766961246,146.25640867156412,152.9019267717896,154.0176673613265,159.95269121051302,167.77507436336236,178.27355518228762,180.0516234927125,188.9219076337708,204.16701894834952,213.01751768487375,215.5906104652757,222.38132949095007,227.71089394796198,234.4433285997377,246.89911380532885,249.1296934155598,251.0613373893006,252.99635147158997,245.1888958621542,251.5706330327565,236.92400785926284,222.4396625283327,220.6808485430569,229.785878791613,229.89740973479826,243.0358215287957,245.36454180868446,241.05515643725374,235.87511851389053,238.47391244653167,224.11704270860213,201.99194238259403,191.7138151532824,195.2494004176608,195.93018864935976,194.43695234987666,191.2266376657969,173.7276934588872,166.46154506898927,175.8308231713028,169.63788955511615,183.43705585010815,194.47796322373148,204.14224994990724,214.44951010395442,228.0157289006932
9,1986-11-09 14:52:21+00:00,147.6994283561815,128.52530357396043,123.38806816943563,122.50569673498224,127.01284117414718,136.90713056136065,144.70798130702488,149.5161463821508,147.25983702564184,135.41048096359145,128.4981185034021,122.75922713690721,118.3054803004805,113.5018949149629,116.83868316986609,115.94840249796292,121.19585454945013,121.63442236637832,116.89224847307813,128.37287572648654,131.79240918894112,136.14600135911527,139.2737004348599,143.89518477062086,150.17324406886434,161.5213448075871,172.35179256837534,181.8868722670084,184.4034265769974,186.50259043427894,199.770709297093,210.88502922399346,213.87999438144612,213.72655644286777,209.6789752634188,216.55299399882182,223.045595361371,231.17602821533495,215.63413665645706,207.49969251325075,201.00452787558385,197.8769256419246,201.47153415331536,211.50833749772096,219.81325197542213,229.75576869188023,226.13289574984378,212.55370827771804,204.286292638996,187.05696228128153,175.34732180649775,172.78969886169563,171.59157814167304,174.48952731116427,167.1103241365047,167.18095723524092,159.698373739797,174.66258441894212,163.40806151638435,135.6599593713612,168.91678813187323,182.44357665448763,183.5776808102305,,
