dates,nzd0325-0000,nzd0325-0001,nzd0325-0002,nzd0325-0003,nzd0325-0004,nzd0325-0005,nzd0325-0006,nzd0325-0007,nzd0325-0008,nzd0325-0009,nzd0325-0010,nzd0325-0011,nzd0325-0012,nzd0325-0013,nzd0325-0014,nzd0325-0015,nzd0325-0016,nzd0325-0017,nzd0325-0018,nzd0325-0019,nzd0325-0020,nzd0325-0021,nzd0325-0022,nzd0325-0023,nzd0325-0024,nzd0325-0025,nzd0325-0026,nzd0325-0027,nzd0325-0028,nzd0325-0029,nzd0325-0030,nzd0325-0031,nzd0325-0032,nzd0325-0033,nzd0325-0034,nzd0325-0035,nzd0325-0036,nzd0325-0037,nzd0325-0038,nzd0325-0039,nzd0325-0040,nzd0325-0041,nzd0325-0042,nzd0325-0043,nzd0325-0044,nzd0325-0045,nzd0325-0046,nzd0325-0047,nzd0325-0048,nzd0325-0049,nzd0325-0050,nzd0325-0051,nzd0325-0052,nzd0325-0053,nzd0325-0054,nzd0325-0055,nzd0325-0056,nzd0325-0057,nzd0325-0058,nzd0325-0059,nzd0325-0060,nzd0325-0061,nzd0325-0062,nzd0325-0063,nzd0325-0064,nzd0325-0065,nzd0325-0066,nzd0325-0067,nzd0325-0068,nzd0325-0069,nzd0325-0070,nzd0325-0071,nzd0325-0072,nzd0325-0073,nzd0325-0074,nzd0325-0075,nzd0325-0076,nzd0325-0077,nzd0325-0078,nzd0325-0079,nzd0325-0080,nzd0325-0081,nzd0325-0082,nzd0325-0083,nzd0325-0084,nzd0325-0085,nzd0325-0086,nzd0325-0087,nzd0325-0088,nzd0325-0089,nzd0325-0090,nzd0325-0091,nzd0325-0092,nzd0325-0093,nzd0325-0094,nzd0325-0095,nzd0325-0096,satname
1999-08-28 21:53:59+00:00,353.07,348.33,346.17,345.47,341.74,344.43,338.06,344.87,352.08,355.12,357.12,356.95,352.95,355.12,362.62,352.22,359.65,353.26,348.44,345.96,356.87,361.72,367.29,370.46,371.44,366.35,360.89,359.90,353.29,359.54,354.70,361.38,365.44,365.09,358.65,362.53,369.30,381.41,384.91,376.32,368.02,360.86,357.04,356.22,362.87,362.30,361.07,358.70,355.51,352.56,346.66,341.08,336.58,334.72,327.88,319.44,316.87,317.00,319.14,319.52,315.84,322.33,314.98,319.12,314.10,309.74,311.45,322.27,327.44,333.43,336.87,351.10,353.28,354.43,354.75,350.59,337.42,319.34,328.48,341.35,349.74,344.60,346.89,348.92,354.29,356.37,357.03,362.84,365.75,368.80,372.51,368.13,377.91,383.75,389.48,399.69,393.99,L7
1999-09-29 21:54:04+00:00,353.31,347.12,346.09,347.62,345.56,346.06,339.29,344.97,350.38,352.65,355.77,355.39,352.66,356.81,359.97,353.29,357.64,354.01,349.16,346.88,355.90,359.76,362.45,364.97,362.84,356.99,356.00,356.24,352.75,356.00,355.61,359.18,365.10,366.91,363.70,367.00,371.83,379.30,381.56,374.69,368.91,362.69,357.12,358.38,363.80,364.40,362.22,360.62,356.47,352.51,347.36,340.66,335.33,333.33,329.08,319.38,315.42,316.86,316.56,316.73,316.62,319.77,314.90,314.40,312.52,309.51,306.79,315.71,324.99,330.47,337.94,351.14,350.90,354.22,355.51,350.56,333.22,316.64,324.26,335.03,341.65,338.62,339.30,342.45,344.21,348.36,351.68,359.17,360.99,362.62,364.81,366.56,371.98,377.00,384.91,393.14,388.31,L7
1999-11-16 21:53:56+00:00,353.83,347.18,346.16,346.89,346.94,346.11,341.04,344.56,349.34,354.01,356.56,356.05,353.79,356.72,358.05,352.95,355.49,353.05,348.23,345.64,355.63,357.71,360.76,362.71,359.91,353.99,352.64,353.80,351.76,353.63,354.49,357.58,362.72,365.01,364.10,368.40,373.68,377.72,379.17,374.54,369.14,362.11,356.10,358.27,360.16,361.68,360.15,357.84,355.20,353.33,347.28,339.86,335.08,332.79,327.58,317.51,312.15,314.68,315.08,313.83,314.01,315.52,313.60,313.60,308.82,308.24,305.15,312.10,322.21,327.43,335.40,346.40,347.93,349.90,351.07,348.63,332.76,314.17,320.86,332.20,334.69,332.31,333.17,336.43,338.12,341.62,347.18,353.76,354.60,355.55,358.80,363.57,367.59,371.65,378.92,387.64,384.27,L7
2000-01-19 21:53:49+00:00,354.99,349.53,349.62,351.18,350.07,350.16,343.67,346.14,350.58,355.68,358.06,357.40,356.59,357.75,359.50,355.27,357.75,356.28,349.81,347.58,357.23,359.83,362.56,361.77,359.35,352.35,352.07,353.94,351.74,354.59,356.94,359.60,364.30,366.30,362.71,365.33,372.61,377.45,378.58,374.32,368.19,361.16,355.75,358.19,361.28,361.98,360.41,358.09,355.13,353.31,347.00,338.04,334.75,331.54,327.06,316.39,313.51,315.73,316.22,314.38,313.93,316.68,313.55,311.21,304.26,306.05,303.72,310.88,318.02,325.85,334.51,342.74,345.98,347.38,349.40,347.13,330.14,312.20,317.67,328.80,334.94,331.85,334.04,337.90,339.65,343.17,349.44,354.92,356.21,356.61,360.22,363.88,369.62,371.44,377.83,387.09,383.62,L7
2000-03-14 21:59:23+00:00,355.84,349.54,350.95,352.81,352.60,351.90,344.59,345.91,349.99,355.44,358.18,357.60,357.68,358.93,358.76,356.40,357.85,357.41,350.87,348.92,358.69,358.71,360.67,359.39,355.49,349.04,350.30,352.48,352.31,352.67,357.67,357.64,363.73,365.87,364.11,365.44,373.44,375.91,375.23,372.62,367.98,360.87,355.41,357.66,358.65,360.39,358.62,356.75,353.63,350.77,345.79,336.40,333.66,329.90,325.86,315.41,310.73,314.12,313.57,311.55,310.92,312.66,312.10,308.03,300.99,305.13,301.31,307.02,316.02,325.50,334.58,340.28,345.25,345.23,347.69,344.43,326.46,309.82,314.06,324.61,330.01,327.60,329.76,334.23,334.78,338.77,346.91,352.28,353.03,352.55,356.12,362.46,366.85,367.34,373.95,382.89,380.16,L7
2000-03-30 21:59:21+00:00,353.97,348.46,351.19,351.40,352.98,351.48,344.50,345.08,349.70,355.45,357.60,356.18,356.76,356.93,357.68,355.39,358.59,358.29,351.22,348.47,359.65,358.45,361.24,360.00,356.58,351.01,350.94,353.66,354.52,353.62,357.80,358.03,361.71,364.54,363.43,363.76,371.62,375.90,374.69,372.75,367.20,360.66,355.94,356.59,356.81,358.49,355.91,353.85,351.72,348.53,343.99,335.54,333.89,330.46,324.50,314.25,310.36,312.90,312.62,310.17,306.94,310.10,308.37,303.25,293.88,299.48,298.03,308.00,314.76,324.88,333.11,336.64,344.17,342.31,344.82,342.39,325.61,307.76,311.07,322.57,328.23,325.07,328.79,333.36,335.10,337.98,347.20,350.67,351.43,350.60,355.63,361.20,367.25,365.88,370.75,381.03,378.93,L7
2000-05-01 21:59:06+00:00,352.90,346.94,350.40,349.71,350.89,350.94,343.15,344.93,348.77,354.34,356.94,354.51,354.45,355.42,357.14,353.33,356.72,356.79,351.28,348.19,358.79,358.27,362.17,360.80,357.16,351.39,352.09,354.93,355.87,354.70,358.15,359.23,363.15,365.22,362.58,362.52,370.65,376.15,377.12,372.98,366.57,361.80,355.76,357.27,357.89,359.13,356.50,354.36,351.83,348.98,343.87,336.66,334.84,330.84,324.74,315.25,310.78,313.27,313.44,310.73,307.70,309.79,308.38,304.51,296.48,299.98,298.52,307.53,313.27,324.68,332.06,337.18,344.15,342.95,344.89,341.15,325.21,306.59,311.94,321.82,330.49,327.26,331.18,334.87,338.65,341.10,348.27,352.21,353.38,353.42,358.41,362.42,367.53,368.24,371.97,381.56,377.96,L7
2000-05-17 21:58:55+00:00,351.99,343.78,350.66,349.44,348.83,351.07,342.06,343.60,345.83,352.06,356.15,352.31,353.13,354.12,357.86,352.23,354.96,356.69,351.43,346.43,358.12,357.53,360.94,360.26,357.32,350.47,353.45,355.30,356.17,354.04,357.11,358.77,364.00,366.22,359.94,355.40,367.11,375.94,378.05,371.82,366.00,361.43,354.67,355.95,357.96,358.93,354.65,354.26,351.06,346.30,342.43,335.24,333.93,329.83,324.37,314.31,311.27,313.44,311.99,310.74,308.43,309.23,308.08,303.26,295.54,299.31,297.94,308.29,311.48,322.70,331.44,335.55,342.99,342.57,343.59,337.82,323.09,303.48,309.93,319.89,337.00,331.31,336.83,340.46,345.77,347.26,351.96,355.88,357.31,358.77,364.87,364.98,370.61,372.42,374.92,382.17,379.77,L7
2000-05-26 21:52:36+00:00,349.95,342.52,349.39,349.16,347.76,350.40,341.04,344.34,345.49,352.56,355.21,351.90,351.26,354.50,356.96,350.85,354.32,355.94,351.94,346.84,358.14,358.56,360.62,360.28,356.45,350.65,353.16,355.10,355.39,354.34,356.94,358.50,363.32,365.19,360.76,356.20,366.71,375.72,376.70,370.83,364.60,360.44,354.24,356.15,357.29,358.54,354.32,353.37,352.24,346.70,342.29,335.10,333.62,330.27,323.96,314.13,310.69,312.86,312.31,310.58,309.41,310.25,308.92,304.98,295.81,302.09,299.68,309.18,313.35,324.69,332.63,339.53,346.47,344.81,345.68,339.00,323.19,303.48,309.93,319.89,337.00,331.31,336.83,340.46,345.77,347.26,351.96,355.88,357.31,358.77,364.87,364.98,370.61,372.42,374.92,382.17,379.77,L7
2000-06-18 21:58:39+00:00,348.01,342.52,346.90,346.39,344.50,348.88,339.21,343.41,343.61,351.36,354.15,350.26,349.35,353.12,356.19,349.43,352.60,353.14,349.06,345.35,357.04,357.10,359.44,358.64,355.46,347.19,347.68,350.45,350.63,351.18,353.60,355.26,363.32,365.19,358.09,353.74,363.79,373.22,374.04,367.45,362.13,358.53,352.44,354.33,355.82,356.82,353.30,352.53,350.82,345.59,341.37,334.08,332.54,328.89,323.17,313.57,310.18,312.20,311.59,309.64,309.33,308.90,308.17,303.93,296.02,300.85,299.19,308.54,311.94,323.05,332.12,338.22,345.12,343.51,342.83,336.28,320.80,303.19,310.25,321.05,337.63,332.41,337.80,341.67,345.64,347.37,352.11,355.40,357.63,358.97,364.72,365.28,371.20,373.06,374.92,382.17,379.77,L7
