dates,satname,nzd0325-0000,nzd0325-0001,nzd0325-0002,nzd0325-0003,nzd0325-0004,nzd0325-0005,nzd0325-0006,nzd0325-0007,nzd0325-0008,nzd0325-0009,nzd0325-0010,nzd0325-0011,nzd0325-0012,nzd0325-0013,nzd0325-0014,nzd0325-0015,nzd0325-0016,nzd0325-0017,nzd0325-0018,nzd0325-0019,nzd0325-0020,nzd0325-0021,nzd0325-0022,nzd0325-0023,nzd0325-0024,nzd0325-0025,nzd0325-0026,nzd0325-0027,nzd0325-0028,nzd0325-0029,nzd0325-0030,nzd0325-0031,nzd0325-0032,nzd0325-0033,nzd0325-0034,nzd0325-0035,nzd0325-0036,nzd0325-0037,nzd0325-0038,nzd0325-0039,nzd0325-0040,nzd0325-0041,nzd0325-0042,nzd0325-0043,nzd0325-0044,nzd0325-0045,nzd0325-0046,nzd0325-0047,nzd0325-0048,nzd0325-0049,nzd0325-0050,nzd0325-0051,nzd0325-0052,nzd0325-0053,nzd0325-0054,nzd0325-0055,nzd0325-0056,nzd0325-0057,nzd0325-0058,nzd0325-0059,nzd0325-0060,nzd0325-0061,nzd0325-0062,nzd0325-0063,nzd0325-0064,nzd0325-0065,nzd0325-0066,nzd0325-0067,nzd0325-0068,nzd0325-0069,nzd0325-0070,nzd0325-0071,nzd0325-0072,nzd0325-0073,nzd0325-0074,nzd0325-0075,nzd0325-0076,nzd0325-0077,nzd0325-0078,nzd0325-0079,nzd0325-0080,nzd0325-0081,nzd0325-0082,nzd0325-0083,nzd0325-0084,nzd0325-0085,nzd0325-0086,nzd0325-0087,nzd0325-0088,nzd0325-0089,nzd0325-0090,nzd0325-0091,nzd0325-0092,nzd0325-0093,nzd0325-0094,nzd0325-0095,nzd0325-0096
1999-08-28 21:53:59+00:00,L7,343.84,339.10,335.26,335.47,334.24,333.52,330.06,337.37,341.17,347.12,350.45,349.45,344.38,345.89,352.62,340.22,346.32,339.93,335.11,335.96,347.64,349.72,355.29,357.13,354.30,346.35,336.89,342.76,336.15,342.40,339.70,344.24,345.44,345.09,347.74,350.53,355.97,364.27,364.91,361.32,353.02,343.72,342.04,341.22,345.73,345.16,346.07,343.70,340.51,337.56,333.33,326.08,319.44,317.58,310.74,304.44,296.87,297.00,299.14,299.52,295.84,302.33,294.98,295.12,284.10,285.74,287.45,298.27,307.44,313.43,316.87,331.10,333.28,334.43,334.75,330.59,317.42,299.34,304.48,317.35,319.74,320.60,322.89,324.92,330.29,332.37,337.03,342.84,345.75,348.80,352.51,350.99,360.77,366.61,372.34,379.69,373.99
1999-09-29 21:54:04+00:00,L7,354.17,346.53,346.73,350.45,349.87,348.43,341.06,345.56,349.40,350.71,354.86,354.33,352.94,359.12,357.99,355.15,356.53,355.66,350.78,348.48,355.55,358.61,358.40,360.37,355.37,348.96,352.70,353.72,353.36,353.59,357.52,358.12,366.08,370.06,369.48,372.27,375.25,378.33,379.54,374.07,370.80,365.65,358.20,361.53,365.87,367.64,364.37,363.55,358.43,353.47,348.95,341.25,335.23,333.08,331.42,320.32,315.30,318.04,315.32,315.27,318.74,318.54,316.15,311.28,312.94,310.89,303.74,310.75,323.87,328.83,340.34,352.51,349.85,355.34,357.61,351.87,330.34,315.27,321.65,330.31,335.57,334.25,333.31,337.58,335.73,341.95,347.67,356.84,357.55,357.78,358.45,366.12,367.19,371.40,381.48,387.93,383.96
1999-11-16 21:53:56+00:00,L7,359.32,351.76,351.58,350.25,353.34,351.48,348.41,347.36,352.54,360.61,361.36,360.98,360.19,361.00,359.04,358.08,357.63,357.56,352.80,347.98,359.55,359.40,363.19,364.63,362.36,357.67,357.52,357.21,358.07,357.18,359.51,362.68,367.64,370.87,370.16,377.00,383.81,382.86,384.05,381.48,376.84,369.25,361.32,365.31,361.16,364.53,363.26,359.52,359.92,362.21,353.55,345.49,342.87,339.99,332.87,321.01,315.28,320.01,321.78,317.69,318.45,316.69,320.67,323.61,315.92,317.28,313.47,316.49,326.33,331.02,339.99,346.59,351.65,350.92,351.84,354.42,341.53,318.89,325.64,338.13,335.27,331.28,332.51,336.00,337.55,339.75,347.83,352.60,351.50,351.06,356.44,365.89,367.10,369.22,375.23,386.31,385.85
2000-01-19 21:53:49+00:00,L7,348.62,346.73,348.35,353.37,351.45,350.66,343.03,342.90,342.67,352.14,355.43,353.45,355.83,350.99,353.20,349.42,350.30,351.74,340.35,342.74,352.19,353.38,355.18,344.74,339.35,326.08,324.79,336.09,333.36,339.19,348.28,347.35,347.71,348.84,346.91,343.32,355.17,358.34,355.49,357.65,349.36,340.03,338.71,341.94,346.35,344.58,345.18,342.83,338.93,337.24,331.93,316.58,315.48,309.50,307.23,297.05,296.28,297.53,298.29,294.72,292.34,298.84,292.05,278.43,258.59,273.90,273.81,281.60,284.10,299.77,310.51,310.44,318.82,318.52,323.07,321.31,300.94,284.97,282.49,293.00,303.69,304.86,311.06,316.71,318.65,322.21,334.91,337.08,339.70,338.48,343.15,346.51,357.40,352.53,356.27,364.09,360.35
2000-03-14 21:59:23+00:00,L7,359.87,351.74,355.49,355.69,354.62,355.38,344.64,346.70,353.69,357.11,360.05,360.52,360.48,363.21,363.32,361.16,364.95,362.68,357.55,355.00,366.08,361.66,364.12,365.81,362.30,360.45,362.60,360.31,361.89,358.15,363.12,359.84,370.49,370.69,368.26,367.38,377.51,381.53,378.85,375.05,372.67,366.00,361.15,359.63,358.63,362.23,359.43,358.84,354.99,347.92,346.72,340.02,338.49,334.45,329.36,321.02,313.04,317.89,315.88,315.51,311.13,313.58,316.53,315.19,312.01,314.84,310.62,315.63,326.79,339.38,344.49,348.57,357.70,353.15,355.22,347.10,330.02,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:21+00:00,L7,345.90,341.44,346.79,343.97,350.76,345.85,340.06,341.63,347.35,350.06,351.98,348.01,348.53,350.36,352.83,350.10,,,351.05,345.80,358.63,356.54,359.65,361.70,358.31,355.19,353.24,357.03,360.76,355.94,356.78,358.25,356.35,363.09,365.86,364.56,366.90,376.87,375.71,373.34,366.41,363.38,359.09,355.98,357.10,358.60,352.28,350.70,349.55,343.26,340.66,336.56,334.74,333.91,324.54,314.43,312.18,311.50,309.86,308.09,301.20,306.62,299.55,290.15,281.99,286.28,288.61,312.69,317.18,324.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:06+00:00,L7,340.46,332.72,337.58,334.11,335.94,339.15,330.66,337.68,335.39,342.86,348.44,341.21,337.65,341.24,346.12,334.47,339.32,340.50,339.75,338.27,347.17,346.95,355.29,352.24,344.35,335.25,335.48,344.89,346.12,343.89,346.30,348.88,351.24,350.26,349.53,346.96,354.99,362.02,369.19,360.63,350.80,351.21,341.79,346.73,347.05,346.56,345.61,343.17,339.02,337.51,331.62,327.88,323.46,317.21,310.55,306.01,294.78,297.09,299.06,295.31,293.04,290.88,290.77,288.39,280.40,280.81,279.30,284.44,289.61,306.17,311.24,321.13,326.44,327.21,327.44,319.77,306.34,286.57,292.49,299.12,308.51,310.45,314.77,316.71,324.56,326.14,332.75,337.61,339.60,341.38,346.31,349.72,352.96,357.84,359.27,364.96,358.36
2000-05-17 21:58:55+00:00,L7,339.26,320.43,334.56,332.08,330.39,333.76,329.51,328.10,319.51,335.72,346.20,337.38,339.17,338.94,345.85,332.42,328.16,334.71,331.14,322.36,340.66,335.51,336.84,339.49,334.31,319.40,323.93,330.18,330.72,325.04,329.06,331.52,338.22,,338.58,321.18,343.63,352.94,354.99,350.44,348.75,338.51,330.61,333.45,332.67,334.68,328.77,333.74,330.82,323.56,323.90,313.15,309.46,306.10,302.16,291.03,284.05,287.18,280.87,284.08,288.42,280.23,285.51,276.95,260.73,273.52,270.16,279.87,283.72,287.45,303.83,306.40,313.31,315.75,312.95,307.43,299.37,275.90,279.21,291.96,304.29,303.01,309.05,312.37,318.49,317.83,325.21,329.95,329.62,333.46,342.16,344.72,347.47,352.90,355.21,354.45,357.59
2000-05-26 21:52:36+00:00,L7,344.65,341.13,348.83,353.09,346.43,352.86,340.22,352.04,349.60,359.35,354.05,353.85,346.49,361.36,357.79,350.32,358.86,360.05,361.58,354.23,363.19,370.09,365.47,367.47,361.25,362.21,364.54,363.26,360.66,364.97,364.11,366.32,370.61,371.75,370.67,366.59,371.84,383.79,380.65,373.89,365.62,364.68,360.08,365.17,363.06,365.75,360.67,356.95,366.15,356.73,348.71,342.43,341.26,341.58,331.04,321.23,318.50,320.65,324.55,320.46,325.02,326.04,323.80,326.38,313.13,328.82,321.19,326.45,333.36,345.32,348.08,366.09,371.06,364.42,364.71,354.40,334.28,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:58:39+00:00,L7,327.95,,321.99,320.58,318.04,329.75,320.90,330.92,322.34,336.84,341.67,333.53,330.01,336.38,342.38,329.94,331.79,326.93,319.54,327.21,341.94,337.35,341.35,336.57,333.76,308.12,292.75,306.85,306.35,316.48,319.82,320.09,,281.58,332.10,328.02,334.02,342.45,339.75,333.37,333.57,331.36,327.92,329.63,331.32,330.79,333.41,333.72,328.54,325.14,323.61,314.19,310.33,304.93,302.76,296.46,288.79,289.89,288.94,285.63,290.47,282.42,285.33,275.62,269.82,271.36,274.23,282.71,285.13,294.86,311.26,313.37,320.05,318.70,310.24,304.36,290.52,283.98,289.20,302.52,312.04,313.72,318.71,323.29,323.26,325.69,334.24,335.62,340.27,341.24,345.91,350.46,357.26,359.25,,,
