,dates,mex0497-0000,mex0497-0001,mex0497-0002,mex0497-0003,mex0497-0004,mex0497-0005,mex0497-0006,mex0497-0007,mex0497-0008,mex0497-0009,mex0497-0010,mex0497-0011,mex0497-0012,mex0497-0013,mex0497-0014,mex0497-0015
0,1986-04-21 17:30:52+00:00,214.1270635359878,207.32911075222668,204.7431689244315,216.22911636441052,227.18647189406366,225.340732023686,224.23835447632888,224.60034250597653,227.15247353849722,232.16723045841925,229.9766340478117,221.7178263470873,219.19030685676728,220.99597082193006,215.3925477458325,219.0078456387403
1,1987-07-20 17:37:02+00:00,215.89930750828142,205.97098964342283,209.31014293309966,212.35217004143794,218.4460962200159,215.35399606570905,219.46440470337816,226.74105825369202,234.247326208217,236.82725678824372,223.3985193480465,220.20219283984426,222.89719626489827,219.1650272436976,201.48261932480912,218.79181270432505
2,1990-05-02 17:25:42+00:00,242.80295386465582,236.55095596058288,237.30818801329022,245.53083926036572,262.4003369792886,,,,,,,,,,,
3,1991-04-03 17:27:15+00:00,223.22563298005522,217.76578116105205,222.88201967770803,232.93719773011108,239.22217902590535,245.51915976559718,241.0924017914978,245.00335736124,256.10928044676314,260.19802584810225,254.8407300893104,255.2176069620421,253.96503149330354,,,
4,1992-08-27 17:27:58+00:00,225.97916714376663,220.82684786355284,218.3249935497794,219.60388139895406,223.5912245502635,226.47957542651952,228.41319452109852,230.24444295164025,244.97198683342899,249.02378140174545,244.40545152036952,243.81694211609772,244.79615614583514,242.88030776309455,230.46014592821703,235.2524461493785
5,1992-09-03 17:34:03+00:00,223.11794016021852,221.21215447039188,223.82993468222307,226.29127475245562,228.5410207899366,230.78638275600335,232.49280298784026,235.74529196127338,246.04550537695016,249.5882718433403,254.74765309919928,250.74476154839215,252.53709256342412,249.69264224959105,234.79411667219293,241.36127359747402
6,1993-02-03 17:27:27+00:00,222.83144680202133,219.9160177433821,220.11978451078033,229.831601519578,240.70429201178445,248.22201560942864,245.0026304716213,252.8089158750178,268.9852363394271,274.1186572069564,273.2269776549144,274.2860501193622,270.46103615098843,261.48032166142053,256.92039047829707,266.23743621190334
7,1993-03-07 17:27:44+00:00,215.50451009637524,215.26142667928204,218.8372804455982,222.68766039461497,230.27442513202973,232.12518660596334,231.85651198276003,235.39883706738976,248.05840507999338,254.34413401816482,249.66505278862277,251.34779190563373,247.01818981661754,241.23134586306185,239.3534049276458,236.97701666077273
8,1993-03-14 17:33:57+00:00,223.51856492360898,215.3438443626594,215.74529579781054,222.64624384768763,231.691579646199,235.91506527851698,228.59715510801425,235.37971930693132,240.93253684605588,249.0191275346428,248.90502123307562,246.62059660450694,236.11591780356665,228.36030508693742,232.54119702404827,229.41916222980862
9,1993-03-30 17:33:59+00:00,217.97322485146046,209.08415658603977,212.45844775159432,224.0222438501246,236.48657881748494,238.45531534489822,233.71745597381903,236.8431867618953,241.0848674482082,247.19814123161527,244.30612385783732,247.50776463410156,246.13606120864284,243.15561609470208,238.41290357217437,232.5714706960038
