dates,nzd0334-0000,nzd0334-0001,nzd0334-0002,nzd0334-0003,nzd0334-0004,nzd0334-0005,nzd0334-0006,nzd0334-0007,nzd0334-0008,nzd0334-0009,nzd0334-0010,nzd0334-0011,nzd0334-0012,nzd0334-0013,nzd0334-0014,nzd0334-0015,nzd0334-0016,nzd0334-0017,nzd0334-0018,nzd0334-0019,nzd0334-0020,nzd0334-0021,nzd0334-0022,satname
1999-08-21 21:47:44+00:00,320.08,327.18,349.81,362.45,361.79,347.43,339.05,342.32,341.01,347.40,344.37,354.35,357.15,341.69,338.72,342.62,339.22,348.15,345.95,341.83,336.18,334.16,344.95,L7
1999-08-28 21:53:59+00:00,320.08,327.18,348.31,360.16,359.44,348.80,340.98,346.54,339.76,344.58,348.31,360.49,363.76,345.94,346.62,350.46,344.38,350.83,349.01,345.22,336.18,334.16,344.95,L7
1999-09-22 21:47:48+00:00,320.08,342.00,355.27,368.21,365.06,356.04,350.48,353.94,345.78,345.56,346.01,361.13,368.61,350.95,354.99,350.46,344.38,360.30,356.36,349.22,343.34,345.75,358.85,L7
1999-09-29 21:53:40+00:00,334.47,342.64,357.06,369.18,365.90,359.36,353.59,355.99,348.14,349.18,349.10,362.00,368.48,354.23,357.24,364.83,349.05,361.21,356.99,351.04,345.34,346.84,358.14,L7
1999-10-24 21:47:44+00:00,334.47,346.22,360.45,370.48,365.97,360.13,356.33,358.71,350.05,349.12,348.37,361.15,367.86,355.83,355.67,379.98,349.05,362.24,356.32,350.93,345.54,348.18,358.64,L7
1999-11-16 21:53:56+00:00,344.26,352.33,363.97,371.02,366.09,359.53,356.74,360.44,352.88,350.29,348.87,360.97,366.83,356.16,356.32,379.98,349.37,361.62,355.48,350.18,344.30,347.06,356.93,L7
2000-01-19 21:53:25+00:00,344.26,352.33,365.79,373.25,368.09,360.18,355.20,358.74,353.01,351.74,349.70,359.90,368.05,355.82,354.26,390.00,349.37,361.06,354.50,350.29,343.69,346.92,355.66,L7
2000-04-17 21:47:08+00:00,363.86,366.86,377.43,378.67,371.00,361.28,357.36,362.41,359.49,355.17,350.51,357.11,367.49,357.95,350.29,425.59,350.30,360.85,351.19,349.30,342.03,346.99,353.19,L7
2000-05-03 21:47:07+00:00,363.86,368.15,370.00,370.99,369.35,361.07,354.27,357.62,359.82,359.59,357.03,355.00,361.30,351.98,349.03,416.06,344.98,356.13,349.23,348.09,340.44,343.44,350.69,L7
2000-05-19 21:46:55+00:00,339.89,364.61,364.43,367.30,367.90,362.30,356.85,354.46,353.61,360.44,357.29,353.00,357.08,347.66,346.92,399.23,343.94,353.81,347.74,348.57,342.52,341.28,347.64,L7
2000-05-26 21:52:36+00:00,348.32,369.92,366.45,367.04,365.71,363.27,359.55,357.66,356.28,363.47,359.22,356.48,357.15,349.29,349.37,392.02,346.47,353.38,347.93,347.88,342.18,342.36,348.26,L7
