dates,satname,nzd0577-0000,nzd0577-0001,nzd0577-0002,nzd0577-0003,nzd0577-0004
2003-08-30 21:55:34+00:00,L7,,,,225.77,223.09
2003-09-14 21:50:54+00:00,L5,224.51,222.05,224.92,218.46,216.87
2003-09-30 21:50:42+00:00,L5,355.80,222.12,227.21,220.99,217.98
2003-10-16 21:51:19+00:00,L5,240.88,234.08,226.78,218.89,215.01
2003-10-17 21:55:27+00:00,L7,,,,,227.56
2003-11-09 22:01:30+00:00,L7,211.64,208.82,213.11,204.98,200.48
2003-11-17 21:51:45+00:00,L5,236.16,238.11,240.56,232.32,211.03
2003-11-18 21:55:51+00:00,L7,,224.61,228.99,223.44,223.43
2003-11-26 21:45:42+00:00,L5,218.70,216.15,222.71,214.35,212.64
2003-12-03 21:51:31+00:00,L5,231.16,224.13,224.48,214.13,215.81
2003-12-04 21:55:54+00:00,L7,,,,,
2003-12-19 21:51:39+00:00,L5,212.21,212.27,219.45,213.22,206.18
2004-01-04 21:52:10+00:00,L5,219.21,222.10,223.28,219.99,216.29
2004-01-21 21:56:14+00:00,L7,214.90,216.24,230.74,,
2004-02-05 21:52:16+00:00,L5,208.89,204.31,205.14,199.69,198.72
2004-02-13 22:02:31+00:00,L7,230.96,224.87,237.35,,
2004-02-14 21:46:09+00:00,L5,353.75,214.81,222.01,215.61,209.67
2004-02-21 21:51:58+00:00,L5,209.43,218.73,217.12,196.87,196.27
2004-03-09 21:56:27+00:00,L7,219.52,214.98,224.35,208.05,220.37
2004-03-25 21:56:30+00:00,L7,337.87,243.08,,,
2004-04-01 22:02:40+00:00,L7,221.64,217.98,225.41,212.55,211.74
2004-04-09 21:52:55+00:00,L5,242.71,225.16,231.01,217.27,216.95
2004-04-18 21:47:01+00:00,L5,227.17,221.81,229.06,217.80,223.20
2004-05-03 22:02:35+00:00,L7,215.43,227.40,,,
2004-05-04 21:47:27+00:00,L5,214.06,202.90,209.39,194.75,195.13
2004-05-19 22:02:35+00:00,L7,336.18,,236.76,231.13,226.67
2004-05-28 21:56:22+00:00,L7,342.82,250.22,,,
2004-06-05 21:48:24+00:00,L5,363.32,229.87,230.65,218.96,217.98
2004-06-29 21:56:14+00:00,L7,,,,,
2004-07-07 21:49:21+00:00,L5,258.36,240.42,238.10,229.41,226.00
2004-07-14 21:55:18+00:00,L5,226.90,217.63,223.18,211.41,200.78
2004-07-22 22:02:20+00:00,L7,241.91,227.55,233.60,236.59,
2004-07-23 21:49:45+00:00,L5,363.92,232.05,,,
2004-07-30 21:55:39+00:00,L5,356.49,225.27,227.86,219.84,210.57
2004-07-31 21:56:03+00:00,L7,,,,,302.27
2004-08-07 22:01:48+00:00,L7,,,,,
2004-08-15 21:56:25+00:00,L5,222.86,218.00,222.46,212.83,210.34
2004-08-16 21:56:01+00:00,L7,218.66,222.33,226.54,215.89,
2004-08-23 22:02:11+00:00,L7,,228.58,234.64,225.96,227.66
2004-08-24 21:50:29+00:00,L5,356.20,225.83,229.86,220.82,218.87
2004-09-16 21:56:53+00:00,L5,221.70,221.11,224.50,211.92,209.66
2004-09-24 22:01:37+00:00,L7,231.40,220.49,226.80,216.23,213.02
2004-09-25 21:51:19+00:00,L5,222.59,222.38,226.20,216.09,214.86
2004-10-02 21:57:14+00:00,L5,228.89,225.16,229.89,218.36,216.69
2004-10-10 22:01:32+00:00,L7,223.72,218.98,224.57,212.16,209.71
2004-10-18 21:57:59+00:00,L5,339.98,226.86,233.87,221.88,221.31
2004-10-19 21:55:55+00:00,L7,,,235.75,228.93,227.07
2004-10-26 22:02:12+00:00,L7,207.38,212.44,213.33,199.30,203.67
2004-11-03 21:58:18+00:00,L5,224.72,,,,
2004-11-04 21:56:07+00:00,L7,222.75,224.94,225.71,214.35,223.10
2004-11-19 21:58:07+00:00,L5,239.27,232.91,236.23,227.56,208.66
2004-11-20 21:56:13+00:00,L7,,,,,
2004-11-27 22:02:05+00:00,L7,206.34,204.81,209.77,201.07,
2004-12-06 21:56:23+00:00,L7,233.89,227.16,231.09,225.02,221.38
2004-12-13 22:02:35+00:00,L7,,,,216.66,220.22
2005-01-06 21:59:00+00:00,L5,338.05,232.18,239.81,229.14,210.15
2005-01-14 22:02:48+00:00,L7,229.24,224.26,230.23,221.60,214.35
2005-01-15 21:53:21+00:00,L5,338.54,222.24,225.70,218.72,210.52
2005-01-23 21:56:37+00:00,L7,,,,,
2005-01-31 21:53:33+00:00,L5,247.50,237.87,243.47,231.59,229.14
2005-02-08 21:56:46+00:00,L7,211.49,215.29,213.89,203.56,
2005-02-15 22:02:37+00:00,L7,231.63,221.15,225.18,,
2005-02-23 22:00:07+00:00,L5,226.67,218.73,222.75,217.45,216.12
2005-02-24 21:56:53+00:00,L7,225.19,227.05,,,
2005-03-03 22:03:05+00:00,L7,,,,,224.26
2005-03-04 21:54:04+00:00,L5,340.86,223.56,229.88,223.42,220.83
2005-03-11 21:59:55+00:00,L5,222.89,220.04,222.78,215.67,214.44
2005-03-12 21:56:56+00:00,L7,224.20,216.06,217.42,207.18,204.04
2005-03-19 22:03:06+00:00,L7,,,232.90,225.46,223.62
2005-03-20 21:54:13+00:00,L5,231.10,227.25,229.41,225.86,217.43
2005-03-27 22:00:03+00:00,L5,231.38,228.64,225.92,208.40,205.74
2005-03-28 21:56:54+00:00,L7,223.00,222.03,223.95,206.00,200.36
2005-04-04 22:03:03+00:00,L7,,,232.03,214.78,224.13
2005-04-05 21:54:19+00:00,L5,224.33,225.24,224.11,214.55,218.18
2005-04-12 22:00:30+00:00,L5,225.19,223.76,226.56,217.38,221.49
2005-04-13 21:56:48+00:00,L7,234.53,225.82,229.90,213.15,220.62
2005-04-20 22:02:56+00:00,L7,236.40,224.15,226.02,219.43,217.13
2005-04-21 21:54:22+00:00,L5,359.32,224.23,230.57,223.82,220.43
2005-04-28 22:00:11+00:00,L5,358.27,225.87,227.24,220.61,217.92
2005-05-06 22:03:01+00:00,L7,,,,224.99,220.28
2005-05-22 22:02:36+00:00,L7,223.96,222.74,227.47,209.80,215.95
2005-05-23 21:54:36+00:00,L5,224.35,226.00,230.78,210.29,210.06
2005-05-30 22:00:51+00:00,L5,358.90,233.91,236.80,229.38,218.49
2005-05-31 21:56:47+00:00,L7,261.42,,176.70,,
2005-06-07 22:02:31+00:00,L7,233.36,228.23,235.48,228.82,227.95
2005-06-08 21:54:44+00:00,L5,359.25,231.54,238.70,232.10,231.10
2005-06-15 22:00:58+00:00,L5,357.67,233.90,,,
2005-06-23 22:02:49+00:00,L7,226.19,223.40,,,
2005-06-24 21:54:49+00:00,L5,250.34,211.08,218.96,220.72,212.38
2005-07-01 22:00:38+00:00,L5,356.50,231.82,237.82,227.21,219.54
2005-07-09 22:02:26+00:00,L7,336.98,225.29,235.20,226.84,226.13
2005-08-03 21:56:37+00:00,L7,245.96,250.98,,,
2005-08-26 22:02:15+00:00,L7,329.54,227.29,230.96,225.26,222.81
2005-08-27 21:55:20+00:00,L5,356.48,234.26,240.48,222.53,218.90
2005-09-11 22:02:29+00:00,L7,242.74,229.51,236.06,229.54,226.49
2005-09-12 21:55:22+00:00,L5,359.33,225.40,230.59,222.27,219.27
2005-09-19 22:01:08+00:00,L5,210.87,204.73,212.50,198.32,199.94
2005-09-20 21:56:18+00:00,L7,217.31,215.42,218.90,206.81,212.42
2005-09-28 21:55:20+00:00,L5,340.32,223.24,233.53,227.06,215.53
2005-10-05 22:01:29+00:00,L5,212.43,209.73,215.63,201.97,209.14
2005-10-06 21:56:13+00:00,L7,219.29,220.04,224.54,214.84,210.08
2005-10-13 22:02:06+00:00,L7,233.36,221.07,227.04,214.12,216.28
2005-10-22 21:56:27+00:00,L7,227.95,223.29,237.92,,
2005-10-30 21:55:15+00:00,L5,338.90,209.93,220.03,210.00,214.13
2005-11-07 21:56:39+00:00,L7,,,,230.92,228.12
2005-11-14 22:02:53+00:00,L7,,,,204.53,204.43
2005-11-22 22:01:58+00:00,L5,357.76,223.30,225.33,220.04,228.19
2005-12-09 21:56:50+00:00,L7,,,215.26,210.69,212.10
2006-01-01 22:02:46+00:00,L7,209.40,202.68,206.65,198.50,198.04
2006-01-10 21:57:04+00:00,L7,217.50,213.41,223.31,,
2006-01-25 22:03:29+00:00,L5,229.37,218.53,224.03,222.62,222.67
2006-01-26 21:57:12+00:00,L7,230.06,223.80,233.16,217.72,227.66
2006-02-02 22:03:25+00:00,L7,222.44,218.21,224.70,210.31,215.69
2006-02-11 21:57:16+00:00,L7,214.16,215.65,218.80,202.44,205.20
2006-02-18 22:03:05+00:00,L7,,220.92,225.98,215.01,216.19
2006-02-19 21:57:51+00:00,L5,338.37,230.82,233.76,228.07,225.04
2006-02-26 22:04:11+00:00,L5,214.31,210.56,212.32,207.79,210.50
2006-02-27 21:57:19+00:00,L7,,,,,
2006-03-06 22:03:30+00:00,L7,235.68,224.44,228.18,219.34,221.93
2006-03-15 21:57:19+00:00,L7,227.73,217.95,225.21,209.16,205.95
2006-03-22 22:03:30+00:00,L7,242.36,226.68,229.87,222.42,225.92
2006-05-09 22:03:04+00:00,L7,224.38,221.42,224.34,217.41,216.45
2006-05-17 22:05:09+00:00,L5,357.50,225.76,224.41,221.73,214.14
2006-05-18 21:57:18+00:00,L7,,,,231.16,230.01
2006-06-19 21:57:12+00:00,L7,253.44,234.47,238.24,226.42,226.40
2006-06-26 22:03:20+00:00,L7,240.24,228.13,229.99,222.50,
2006-06-27 22:00:00+00:00,L5,358.83,234.01,234.91,229.02,225.40
2006-07-12 22:02:49+00:00,L7,227.72,221.64,232.21,,
2006-07-13 22:00:14+00:00,L5,363.27,229.77,232.18,224.30,225.00
2006-07-21 21:56:57+00:00,L7,237.10,228.32,226.23,213.00,
2006-07-28 22:02:42+00:00,L7,231.80,226.82,233.69,225.72,224.26
2006-08-13 22:02:41+00:00,L7,,232.77,236.58,233.18,229.44
2006-08-21 22:06:31+00:00,L5,364.37,230.57,234.56,226.94,225.72
2006-08-22 21:56:53+00:00,L7,219.12,219.83,214.32,,
2006-08-29 22:02:38+00:00,L7,230.71,224.87,229.94,219.01,223.34
2006-09-07 21:56:48+00:00,L7,215.66,213.53,215.83,,
2006-09-15 22:01:03+00:00,L5,357.92,223.26,231.59,225.09,223.81
2006-09-22 22:06:54+00:00,L5,224.03,221.43,219.87,208.87,206.97
2006-10-08 22:07:05+00:00,L5,207.29,209.24,212.15,196.04,192.47
2006-10-16 22:02:31+00:00,L7,,224.14,230.69,217.94,222.72
2006-10-24 22:07:14+00:00,L5,219.39,220.50,226.84,216.65,212.56
2006-10-25 21:56:53+00:00,L7,,,,,
2006-11-01 22:02:46+00:00,L7,217.63,215.46,231.97,,
2006-11-02 22:01:32+00:00,L5,228.84,223.80,227.60,220.72,221.57
2006-11-10 21:57:06+00:00,L7,,,,,
2006-11-26 21:57:16+00:00,L7,223.13,218.64,228.50,,
2006-12-04 22:01:49+00:00,L5,210.08,,,,
2006-12-11 22:08:04+00:00,L5,229.17,231.90,236.10,228.95,229.15
2006-12-12 21:57:23+00:00,L7,230.46,226.14,231.50,226.76,219.52
2006-12-28 21:57:26+00:00,L7,329.90,221.14,226.42,221.96,
2007-01-05 22:02:04+00:00,L5,217.70,219.56,221.24,206.50,205.06
2007-01-21 22:02:09+00:00,L5,222.92,223.35,220.38,203.46,205.16
2007-02-05 22:03:23+00:00,L7,217.73,216.20,,,
2007-02-13 22:07:59+00:00,L5,224.67,222.83,224.54,218.89,218.77
2007-02-14 21:57:39+00:00,L7,220.54,222.46,225.17,217.40,207.26
2007-02-21 22:03:28+00:00,L7,216.34,212.69,215.55,207.95,205.53
2007-03-18 21:57:45+00:00,L7,211.49,213.23,212.81,205.97,
2007-03-25 22:03:32+00:00,L7,330.12,225.85,230.37,220.44,221.50
2007-04-19 21:57:43+00:00,L7,217.92,220.59,225.74,210.58,217.49
2007-05-12 22:03:47+00:00,L7,218.54,222.22,226.36,209.82,214.33
2007-05-28 22:03:40+00:00,L7,244.92,242.01,,,
2007-08-09 21:57:18+00:00,L7,340.47,226.14,233.90,225.05,226.32
2007-08-25 21:57:11+00:00,L7,222.14,222.11,225.62,216.29,
