dates,satname,nzd0531-0000,nzd0531-0001,nzd0531-0002,nzd0531-0003,nzd0531-0004,nzd0531-0005,nzd0531-0006,nzd0531-0007,nzd0531-0008,nzd0531-0009,nzd0531-0010,nzd0531-0011,nzd0531-0012,nzd0531-0013,nzd0531-0014,nzd0531-0015,nzd0531-0016,nzd0531-0017,nzd0531-0018,nzd0531-0019,nzd0531-0020,nzd0531-0021,nzd0531-0022,nzd0531-0023,nzd0531-0024,nzd0531-0025,nzd0531-0026,nzd0531-0027,nzd0531-0028,nzd0531-0029,nzd0531-0030,nzd0531-0031,nzd0531-0032,nzd0531-0033,nzd0531-0034,nzd0531-0035,nzd0531-0036,nzd0531-0037,nzd0531-0038,nzd0531-0039,nzd0531-0040,nzd0531-0041,nzd0531-0042,nzd0531-0043,nzd0531-0044,nzd0531-0045,nzd0531-0046,nzd0531-0047,nzd0531-0048,nzd0531-0049,nzd0531-0050,nzd0531-0051,nzd0531-0052
1999-08-17 22:13:37+00:00,L7,401.79,401.34,391.42,393.17,387.29,389.21,389.69,376.25,370.05,368.14,376.56,384.57,391.31,404.48,,,,424.40,428.24,435.27,443.17,453.14,457.52,456.15,449.73,449.29,444.59,439.22,437.71,438.35,434.13,432.22,431.74,422.14,417.00,411.63,401.04,400.85,399.38,400.80,406.96,418.98,429.13,427.39,432.46,433.21,429.85,423.47,417.64,411.01,402.56,392.85,388.99
1999-12-07 22:13:41+00:00,L7,390.57,420.33,437.13,431.58,407.21,409.62,411.78,405.49,402.39,399.44,396.96,405.03,406.47,408.15,,,,437.97,443.51,448.32,465.55,477.29,475.13,467.80,453.15,445.57,447.41,451.71,453.96,450.35,448.72,449.00,445.20,440.10,437.30,435.30,438.56,436.51,436.12,424.49,427.66,428.73,430.80,425.73,427.58,428.81,428.54,425.89,415.05,409.12,398.71,392.32,395.70
1999-12-16 22:07:33+00:00,L7,,65.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02 22:07:23+00:00,L7,404.79,441.11,438.71,429.33,411.50,404.56,396.90,392.03,389.51,382.90,380.72,384.64,382.94,384.71,,,,402.92,415.35,436.69,439.24,442.20,442.42,431.77,426.10,428.43,426.88,432.30,425.71,424.72,419.97,419.14,421.51,418.26,412.37,415.72,410.87,413.20,418.88,424.61,428.08,418.64,413.26,402.36,400.67,404.75,405.03,403.63,391.11,381.12,377.76,373.55,375.75
2000-03-21 22:07:12+00:00,L7,416.76,419.55,418.08,415.59,410.14,402.42,405.09,400.18,401.78,401.55,402.82,398.57,402.80,402.91,406.41,412.04,417.95,423.47,434.02,438.23,450.35,459.91,463.04,458.52,450.32,451.94,449.86,448.40,446.96,445.68,447.19,444.22,445.27,439.71,433.31,435.48,435.25,431.66,429.57,433.35,436.40,433.29,424.86,415.71,411.04,411.18,410.31,413.12,395.13,378.84,382.34,372.76,380.20
2000-05-08 22:06:44+00:00,L7,415.76,411.33,409.90,410.78,410.94,406.92,410.98,408.77,405.39,403.33,404.45,402.55,407.53,405.32,,,,425.07,427.24,434.56,450.20,460.61,463.43,460.20,451.90,168.59,111.72,,,,,,,,,,,,,,438.09,436.08,428.43,423.19,411.38,411.38,410.70,412.92,403.03,389.13,387.44,381.50,386.78
2000-05-31 22:12:42+00:00,L7,361.54,389.39,402.11,408.47,412.02,406.68,405.37,399.06,394.02,388.73,378.49,386.84,390.67,396.91,,,,142.78,,,,,,,,,,,,,,,,,,,,,,,425.13,416.48,410.39,412.59,399.71,407.37,406.02,396.62,399.72,,384.29,393.43,387.02
2000-08-12 22:05:41+00:00,L7,406.32,403.88,401.20,396.22,391.37,387.58,384.56,368.50,361.40,357.41,355.48,355.03,366.75,378.95,,,,411.43,421.34,434.91,442.32,447.21,449.88,441.00,441.39,444.19,444.22,439.05,437.32,432.09,426.74,424.55,429.95,428.16,423.88,422.84,422.69,424.11,422.28,426.23,428.96,425.93,428.46,416.22,410.99,413.28,411.74,418.52,408.85,404.83,397.39,400.14,399.30
2000-09-20 22:11:14+00:00,L7,391.51,397.24,380.98,371.67,366.20,369.26,364.60,348.96,353.69,359.94,358.93,359.30,367.81,375.37,,,,399.46,413.32,425.12,426.71,436.17,441.23,438.27,435.70,434.08,434.68,439.18,435.65,434.11,436.71,437.49,439.63,428.28,425.88,420.73,418.68,418.10,418.14,419.99,420.35,423.00,425.69,424.22,421.38,423.58,428.66,426.48,420.92,397.11,387.67,379.73,378.19
2000-12-18 22:05:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,,418.96,350.87,77.16,93.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:11:15+00:00,L7,415.44,423.42,418.95,423.39,422.24,418.67,417.56,410.64,404.47,398.95,396.57,398.52,398.47,404.06,,,,431.44,439.62,445.13,454.47,466.63,470.22,465.35,460.04,461.93,460.43,462.57,461.30,456.53,456.99,456.19,457.15,450.62,443.99,435.09,428.16,426.47,429.79,423.17,425.98,427.75,432.75,438.93,445.59,454.15,458.46,457.27,439.48,422.77,412.27,400.96,399.12
2001-07-14 22:03:57+00:00,L7,387.28,402.79,401.27,409.23,407.92,407.83,407.40,398.62,393.53,386.47,385.11,383.94,382.78,377.88,,,,405.31,413.68,420.89,426.69,438.39,436.51,432.75,427.51,427.34,425.45,416.83,418.86,413.64,411.55,414.80,416.75,407.38,405.19,401.82,398.23,396.54,397.98,396.04,393.94,395.27,394.44,396.47,397.90,396.27,402.54,398.88,391.85,381.41,371.34,370.97,372.58
2001-08-15 22:03:26+00:00,L7,391.77,395.82,397.61,397.25,397.55,396.40,392.61,384.58,381.01,375.16,370.37,356.48,357.91,353.33,,,,381.42,388.45,399.00,411.46,414.12,430.56,429.34,423.84,421.18,413.14,407.67,404.87,404.91,405.14,405.48,408.37,391.94,389.29,389.28,386.22,387.87,385.43,388.37,387.44,384.60,383.55,377.11,387.95,383.03,384.97,376.13,364.70,360.90,346.88,339.15,344.15
2002-01-29 22:09:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.42,441.36,437.10,430.78,420.47,408.17,399.94,394.54
2002-04-03 22:09:32+00:00,L7,,,,,,,,,,346.70,345.78,334.17,195.48,210.73,247.25,,,350.11,329.20,391.21,373.04,418.93,423.16,425.15,425.55,418.53,407.67,403.93,403.56,403.94,426.25,432.87,427.16,417.01,409.75,413.09,417.37,411.61,393.69,389.89,392.70,398.59,400.72,402.62,405.30,406.41,415.06,416.37,401.86,389.55,381.62,372.51,371.46
2002-05-05 22:09:37+00:00,L7,391.40,387.35,379.96,376.81,370.19,368.69,359.71,354.38,347.03,345.76,341.62,336.58,329.82,333.94,,343.62,,357.48,371.79,378.27,376.78,393.31,401.51,405.32,397.51,387.49,347.69,371.66,388.45,399.01,405.96,409.34,412.09,407.34,406.73,399.34,392.40,385.96,386.09,397.04,395.19,383.29,378.94,382.56,376.90,380.31,185.18,,,,,,
2002-05-14 22:03:19+00:00,L7,409.08,410.10,405.68,400.16,400.72,396.18,389.79,384.24,380.46,377.68,372.69,369.23,371.48,371.47,378.28,388.88,388.99,398.17,411.46,413.13,416.92,442.10,447.88,446.76,430.20,419.25,413.30,418.59,426.85,437.07,444.38,454.69,458.83,454.08,446.68,449.09,444.07,440.73,438.01,435.64,425.30,420.66,415.45,416.34,419.68,429.03,438.95,443.75,433.14,428.91,413.79,403.10,393.12
