dates,nzd0531-0000,nzd0531-0001,nzd0531-0002,nzd0531-0003,nzd0531-0004,nzd0531-0005,nzd0531-0006,nzd0531-0007,nzd0531-0008,nzd0531-0009,nzd0531-0010,nzd0531-0011,nzd0531-0012,nzd0531-0013,nzd0531-0014,nzd0531-0015,nzd0531-0016,nzd0531-0017,nzd0531-0018,nzd0531-0019,nzd0531-0020,nzd0531-0021,nzd0531-0022,nzd0531-0023,nzd0531-0024,nzd0531-0025,nzd0531-0026,nzd0531-0027,nzd0531-0028,nzd0531-0029,nzd0531-0030,nzd0531-0031,nzd0531-0032,nzd0531-0033,nzd0531-0034,nzd0531-0035,nzd0531-0036,nzd0531-0037,nzd0531-0038,nzd0531-0039,nzd0531-0040,nzd0531-0041,nzd0531-0042,nzd0531-0043,nzd0531-0044,nzd0531-0045,nzd0531-0046,nzd0531-0047,nzd0531-0048,nzd0531-0049,nzd0531-0050,nzd0531-0051,nzd0531-0052,satname
1999-08-17 22:13:37+00:00,403.66,402.83,395.05,394.62,390.19,394.48,396.13,382.69,376.49,373.94,381.83,387.62,393.63,407.38,,,,428.86,434.04,438.68,444.62,454.59,459.84,459.56,451.96,451.44,446.52,440.67,439.16,439.80,435.58,433.67,434.06,424.90,419.32,415.04,405.87,404.72,401.25,405.26,415.25,424.78,431.89,430.15,433.91,435.97,436.29,429.27,421.05,417.45,406.19,397.68,393.13,L7
1999-12-07 22:13:41+00:00,395.12,409.99,412.22,411.55,395.60,396.42,397.06,387.20,382.55,380.49,383.76,393.06,397.57,404.66,,,,428.64,432.58,439.86,453.53,464.39,465.00,460.03,450.17,446.21,444.90,444.64,445.01,443.52,440.60,439.78,437.15,429.55,425.83,421.52,417.05,416.48,416.69,410.11,412.60,420.55,428.39,424.99,429.20,429.44,425.52,421.38,414.40,406.39,398.57,389.84,389.99,L7
2000-02-02 22:07:23+00:00,397.97,420.07,420.34,417.19,400.33,398.10,395.75,387.55,383.61,380.16,381.72,389.66,392.24,397.45,,,,419.20,425.70,438.13,448.49,456.71,457.02,449.95,441.71,439.86,438.52,440.24,438.29,436.97,433.44,432.62,431.48,425.25,420.89,418.92,414.05,414.63,417.05,414.07,416.14,418.78,422.81,416.91,419.40,420.67,417.43,414.33,405.97,396.71,390.93,383.46,384.43,L7
2000-03-21 22:07:12+00:00,400.25,423.99,423.97,422.57,403.75,394.87,391.55,386.19,384.85,382.90,382.83,389.90,392.71,392.72,,,405.82,412.43,419.23,434.18,448.78,456.87,455.50,445.80,438.68,437.63,437.47,441.20,439.28,437.32,435.69,434.52,432.63,427.10,422.97,421.93,418.45,419.30,424.40,418.46,413.95,415.15,417.39,409.01,410.16,409.33,401.59,402.48,393.53,376.65,378.93,369.77,375.50,L7
2000-05-08 22:06:44+00:00,403.97,420.70,420.14,419.50,405.30,397.43,395.85,391.28,389.43,387.50,387.78,392.80,396.22,395.62,,,405.82,415.20,420.73,433.98,449.01,457.68,457.29,449.10,441.79,437.63,437.47,441.20,439.28,437.32,435.69,434.52,432.63,427.10,422.97,421.93,418.45,419.30,424.40,418.46,419.27,419.88,419.91,412.32,410.34,409.60,403.31,404.59,395.61,379.22,380.75,372.28,377.96,L7
2000-05-31 22:12:42+00:00,403.97,414.30,416.21,417.16,406.38,398.80,397.18,392.26,389.77,387.23,385.45,391.34,394.90,395.62,,,405.82,415.20,420.73,433.98,449.01,457.68,457.29,449.10,441.79,437.63,437.47,441.20,439.28,437.32,435.69,434.52,432.63,427.10,422.97,421.93,418.45,419.30,424.40,418.46,419.70,418.68,417.76,412.13,408.09,408.91,403.27,402.48,396.13,379.22,381.13,376.08,379.40,L7
2000-08-12 22:05:41+00:00,410.39,404.34,403.70,406.12,402.82,394.90,394.17,386.79,383.31,381.15,379.31,382.27,389.30,392.72,,,405.82,413.89,419.60,431.23,445.64,453.93,455.61,448.57,444.82,444.02,443.40,441.00,439.42,436.16,434.24,431.66,433.25,428.75,424.24,422.75,419.88,420.62,422.41,421.40,422.72,421.35,419.89,413.79,406.63,407.66,402.36,403.69,397.80,382.12,383.74,381.45,383.61,L7
2000-09-20 22:11:14+00:00,405.20,400.69,399.11,397.01,395.58,393.43,392.38,382.32,379.63,378.25,375.16,376.40,383.55,389.59,,,,413.57,422.70,432.75,440.26,448.51,452.34,447.71,443.79,440.65,440.81,440.14,437.51,434.12,432.75,432.04,436.43,430.17,426.52,424.20,424.10,423.84,421.53,426.26,429.42,426.27,423.67,419.49,411.09,414.33,415.28,414.53,408.66,399.32,389.76,389.45,388.46,L7
2000-12-18 22:05:01+00:00,400.24,401.61,393.65,384.97,380.83,382.15,379.14,363.28,362.10,362.77,360.94,359.32,368.92,379.21,,,,408.60,421.43,432.43,435.54,436.21,447.19,442.05,440.13,440.65,440.81,440.14,437.51,434.12,432.75,432.04,436.43,430.17,426.52,424.20,424.10,423.84,421.53,426.26,430.51,428.56,429.03,422.17,417.21,420.38,424.75,426.60,417.30,405.52,395.10,393.35,391.67,L7
2001-01-10 22:11:15+00:00,402.96,407.02,397.54,395.96,391.00,387.72,383.87,371.00,368.15,367.57,366.21,368.57,375.86,383.86,,,,410.62,420.23,432.39,440.03,442.45,451.96,445.54,443.97,445.06,444.93,445.80,443.62,439.78,439.01,438.28,440.43,433.53,429.44,423.56,419.40,419.87,421.94,419.64,418.62,421.03,426.81,424.30,424.85,428.18,427.92,429.56,420.42,403.20,396.28,389.83,388.97,L7
2001-07-14 22:03:57+00:00,391.02,405.76,408.52,412.13,413.72,418.38,420.29,411.51,406.42,398.07,395.66,390.05,387.42,383.68,,,,414.23,425.28,427.71,429.59,441.29,441.15,439.57,431.97,431.64,429.32,419.73,421.76,416.54,414.45,417.70,421.39,412.90,409.83,408.64,407.90,404.27,401.72,404.96,410.51,406.87,399.96,401.99,400.80,401.79,415.43,410.48,398.67,394.30,378.59,380.64,380.87,L7
2001-08-15 22:03:26+00:00,393.01,402.07,406.19,405.94,408.13,411.94,412.00,403.60,399.27,391.62,387.56,375.89,374.67,371.00,,,,401.67,411.87,416.29,421.77,428.96,437.86,437.39,429.83,428.26,422.89,414.95,414.56,411.98,411.04,412.84,416.88,404.80,401.56,401.90,401.23,399.40,395.19,400.51,406.12,400.74,394.13,391.93,395.62,394.79,405.75,398.31,384.62,383.15,365.86,364.06,366.08,L7
2002-01-29 22:09:33+00:00,395.00,398.38,403.86,399.75,402.55,405.49,403.72,395.69,392.12,385.16,379.46,361.74,361.91,358.33,,,,389.11,398.45,404.88,413.96,416.62,434.56,435.22,427.69,424.88,416.47,410.17,407.37,407.41,407.64,407.98,412.37,396.70,393.29,395.16,394.55,394.54,388.66,396.06,401.73,394.60,388.31,381.87,390.45,407.11,407.05,401.12,394.50,384.57,374.09,364.96,365.42,L7
2002-04-03 22:09:32+00:00,,,,,,,,,,354.30,352.69,338.17,,,,,,355.96,,395.68,374.94,420.83,426.20,429.62,428.47,421.34,410.20,405.83,405.46,405.84,428.15,434.77,430.20,420.63,412.79,417.56,423.70,416.68,396.14,395.74,403.56,406.19,404.34,406.24,407.20,418.23,420.76,420.04,412.38,397.56,390.71,380.64,378.22,L7
2002-05-05 22:09:37+00:00,394.95,390.17,386.83,379.56,375.69,378.69,371.93,366.60,359.25,355.53,352.15,340.27,334.22,339.44,,350.09,,360.95,382.79,390.21,377.24,408.44,416.06,420.71,415.11,406.45,410.20,390.12,398.33,403.80,418.43,423.43,423.35,416.61,411.96,411.69,412.63,404.99,392.89,400.62,407.23,400.24,394.26,397.02,393.42,407.33,420.76,420.04,412.38,397.56,390.71,380.64,378.22,L7
2002-05-14 22:03:19+00:00,399.82,398.39,392.00,388.16,384.81,381.25,373.31,367.87,362.30,358.38,354.88,347.54,350.13,352.06,370.28,365.49,380.49,369.87,390.33,395.18,389.33,418.53,424.85,426.72,418.39,409.04,409.49,398.48,406.70,413.76,425.95,432.72,433.36,426.94,421.72,421.49,419.34,413.88,406.47,408.81,406.78,402.51,399.16,401.30,401.04,411.14,421.79,423.41,416.63,402.98,395.57,384.35,379.95,L7
2002-06-15 22:03:07+00:00,395.94,399.14,394.62,390.48,384.56,380.88,376.07,369.86,364.91,360.38,356.57,349.98,349.70,351.16,359.91,361.51,367.45,368.86,385.16,391.57,389.50,415.95,422.43,423.79,418.35,412.66,414.22,404.05,410.49,415.56,425.79,433.18,434.49,426.69,423.72,423.01,420.01,415.56,409.79,409.43,407.20,404.57,400.45,402.70,403.55,411.83,421.68,422.52,415.27,404.15,396.54,383.68,378.97,L7
2002-06-22 22:09:15+00:00,387.75,394.82,391.93,387.16,381.79,377.76,371.91,367.62,362.18,358.32,353.88,348.15,346.07,348.10,359.91,355.80,358.64,363.96,376.64,385.41,387.21,410.65,417.68,417.38,413.50,410.59,411.01,403.11,408.21,413.11,421.65,428.53,430.42,423.81,420.73,418.85,415.68,412.18,407.02,407.35,405.15,403.52,399.43,400.83,401.20,408.79,417.60,419.14,411.72,400.49,392.48,379.14,374.17,L7
2002-07-01 22:03:02+00:00,386.39,393.87,391.84,385.48,381.33,378.37,372.33,368.80,363.71,358.46,354.28,350.97,344.73,347.83,359.91,355.80,358.35,361.83,373.17,380.68,384.96,408.14,414.56,415.01,412.91,412.16,411.01,403.11,408.21,413.11,421.65,428.53,430.42,423.81,420.73,418.85,415.68,412.18,407.02,407.35,405.15,403.52,399.43,400.83,401.20,408.79,417.60,419.14,411.72,400.49,392.48,379.14,378.77,L7
2002-07-08 22:09:12+00:00,387.38,393.80,393.19,386.52,383.06,379.08,373.56,370.34,365.60,360.70,355.74,353.65,348.41,347.77,362.34,357.54,358.99,362.64,373.75,382.21,387.07,409.04,416.74,416.72,415.68,416.07,416.39,408.87,413.23,417.50,423.74,432.46,434.19,425.95,423.36,420.53,417.71,415.17,410.41,410.76,408.43,407.44,403.22,403.51,405.39,411.96,419.92,419.92,412.94,401.62,394.89,378.65,378.30,L7
2002-08-09 22:08:57+00:00,384.20,390.79,388.45,383.24,379.68,374.83,369.43,366.93,363.41,360.12,356.39,355.49,350.46,349.45,360.75,358.21,359.84,364.26,375.48,384.81,391.33,411.35,417.82,417.47,417.34,417.57,417.39,411.07,413.92,416.80,422.43,432.67,434.19,424.91,423.09,420.08,416.45,414.23,411.17,409.47,408.43,402.49,402.76,404.96,407.00,410.79,417.27,417.48,410.32,393.88,394.86,377.90,378.10,L7
2002-09-10 22:08:43+00:00,381.62,388.08,385.75,381.27,376.74,371.69,366.33,363.74,360.33,358.36,355.11,354.46,350.55,349.47,359.53,358.38,360.72,364.97,375.98,385.19,392.17,410.82,416.51,415.66,415.87,417.00,416.49,411.16,413.62,416.00,421.15,431.06,431.90,423.00,420.91,417.78,415.05,412.97,410.84,408.78,407.38,403.42,404.37,406.38,408.01,410.97,414.76,415.42,408.93,392.38,392.33,376.04,376.55,L7
