dates,nzd0531-0000,nzd0531-0001,nzd0531-0002,nzd0531-0003,nzd0531-0004,nzd0531-0005,nzd0531-0006,nzd0531-0007,nzd0531-0008,nzd0531-0009,nzd0531-0010,nzd0531-0011,nzd0531-0012,nzd0531-0013,nzd0531-0014,nzd0531-0015,nzd0531-0016,nzd0531-0017,nzd0531-0018,nzd0531-0019,nzd0531-0020,nzd0531-0021,nzd0531-0022,nzd0531-0023,nzd0531-0024,nzd0531-0025,nzd0531-0026,nzd0531-0027,nzd0531-0028,nzd0531-0029,nzd0531-0030,nzd0531-0031,nzd0531-0032,nzd0531-0033,nzd0531-0034,nzd0531-0035,nzd0531-0036,nzd0531-0037,nzd0531-0038,nzd0531-0039,nzd0531-0040,nzd0531-0041,nzd0531-0042,nzd0531-0043,nzd0531-0044,nzd0531-0045,nzd0531-0046,nzd0531-0047,nzd0531-0048,nzd0531-0049,nzd0531-0050,nzd0531-0051,nzd0531-0052,satname
1999-08-17 22:13:37+00:00,403.66,402.83,395.05,394.62,390.19,394.48,396.13,382.69,376.49,373.94,381.83,387.62,393.63,407.38,,,,428.86,434.04,438.68,444.62,454.59,459.84,459.56,451.96,451.44,446.52,440.67,439.16,439.80,435.58,433.67,434.06,424.90,419.32,415.04,405.87,404.72,401.25,405.26,415.25,424.78,431.89,430.15,433.91,435.97,436.29,429.27,421.05,417.45,406.19,397.68,393.13,L7
1999-12-07 22:13:41+00:00,386.57,417.15,429.38,428.48,401.01,398.35,398.00,391.71,388.61,387.04,385.69,398.50,401.51,401.95,,,,428.43,431.11,441.03,462.45,474.19,470.17,460.51,448.38,440.98,443.28,448.61,450.86,447.25,445.62,445.90,440.24,434.20,432.34,428.01,428.23,428.24,432.12,414.95,409.95,416.33,424.90,419.83,424.48,422.91,414.76,413.49,407.76,395.34,390.96,381.99,386.84,L7
2000-02-02 22:07:23+00:00,403.69,440.24,436.58,428.48,409.80,401.47,393.12,388.25,385.73,379.50,377.63,382.85,381.58,383.01,,,,400.30,411.95,434.69,438.39,441.35,441.06,429.77,424.79,427.17,425.75,431.45,424.86,423.87,419.12,418.29,420.15,416.64,411.01,413.72,408.04,410.93,417.78,421.99,423.22,415.24,411.64,400.74,399.82,403.13,401.25,400.23,389.11,377.34,375.63,370.72,373.32,L7
2000-03-21 22:07:12+00:00,410.50,414.58,405.95,410.74,400.44,384.78,383.53,378.62,380.22,382.15,385.18,388.36,395.04,393.21,,,405.82,408.55,414.62,426.82,445.50,455.06,455.28,447.11,442.86,444.75,443.39,443.55,442.11,440.83,442.34,439.37,437.51,430.47,425.55,424.07,419.08,418.73,423.31,418.43,408.69,413.89,415.62,406.47,406.19,401.94,388.75,393.72,383.72,357.28,370.21,356.59,366.34,L7
2000-05-08 22:06:44+00:00,415.11,410.82,408.65,410.28,409.94,405.10,408.76,406.55,403.17,401.33,402.63,401.50,406.73,404.32,,,,423.53,425.24,433.38,449.70,460.11,462.63,459.02,451.13,,,,,,,,,,,,,,,,435.23,434.08,427.48,422.24,410.88,410.43,408.48,410.92,401.85,386.91,386.19,379.83,385.35,L7
2000-05-31 22:12:42+00:00,,388.72,400.49,407.82,410.72,404.32,402.48,396.17,391.13,386.13,376.13,385.47,389.63,395.61,,,,,,,,,,,,,,,,,,,,,,,,,,,421.42,413.88,409.15,411.35,399.06,406.13,403.13,394.02,398.19,,382.67,391.26,385.16,L7
2000-08-12 22:05:41+00:00,405.55,403.26,399.70,395.62,390.17,385.40,381.89,365.83,358.73,355.01,353.30,353.77,365.79,377.75,,,,409.58,418.94,433.50,441.72,446.61,448.92,439.59,440.47,443.30,443.42,438.45,436.72,431.49,426.14,423.95,428.99,427.02,422.92,421.43,420.69,422.51,421.51,424.38,425.53,423.53,427.32,415.08,410.39,412.14,409.07,416.12,407.44,402.16,395.89,398.14,397.59,L7
2000-09-20 22:11:14+00:00,394.93,399.96,387.61,374.32,371.50,378.90,376.38,360.74,365.47,370.54,368.57,364.88,372.05,380.67,,,,407.61,423.92,431.36,429.36,438.82,445.47,444.51,439.78,438.01,438.21,441.83,438.30,436.76,439.36,440.14,443.87,433.33,430.12,426.97,427.51,425.17,421.56,428.14,435.49,433.60,430.74,429.27,424.03,428.63,440.44,437.08,427.16,408.89,394.30,388.56,385.76,L7
2000-12-18 22:05:01+00:00,,,,,,,,,,,,,,,,,,,,,,423.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-10 22:11:15+00:00,408.41,417.83,405.32,417.94,411.34,398.85,393.34,386.42,380.25,377.15,376.75,387.05,389.75,393.16,,,,414.67,417.82,432.31,449.02,461.18,461.50,452.53,451.66,453.86,453.16,457.12,455.85,451.08,451.54,450.74,448.43,440.24,435.27,422.27,409.99,411.94,422.76,406.40,394.84,405.95,422.37,428.55,440.14,443.77,434.24,435.47,426.66,398.55,398.64,382.79,383.55,L7
