dates,satname,nzd0583-0000,nzd0583-0001,nzd0583-0002,nzd0583-0003,nzd0583-0004,nzd0583-0005,nzd0583-0006,nzd0583-0007,nzd0583-0008,nzd0583-0009,nzd0583-0010
1999-07-16 22:13:35+00:00,L7,426.72,450.93,495.89,501.08,429.65,517.87,447.01,488.27,,469.06,448.12
1999-11-05 22:13:40+00:00,L7,296.15,435.25,472.22,242.87,210.60,214.88,226.21,243.84,236.89,234.43,251.86
1999-12-07 22:13:41+00:00,L7,472.26,492.55,486.27,254.18,213.47,221.64,241.16,253.86,237.44,236.66,269.40
2000-05-15 22:12:54+00:00,L7,271.02,399.59,354.68,218.11,219.07,218.77,243.54,264.47,247.89,244.90,208.78
2000-05-31 22:12:42+00:00,L7,268.99,433.91,430.95,325.48,218.05,229.79,237.86,248.69,246.43,239.48,236.29
2000-06-16 22:12:38+00:00,L7,,396.59,473.49,234.07,217.26,228.47,226.71,244.21,227.21,217.85,205.72
2000-09-04 22:11:34+00:00,L7,200.10,210.46,202.19,200.05,206.00,218.58,228.64,241.43,240.72,235.22,270.51
2000-09-20 22:11:14+00:00,L7,198.03,208.29,200.71,194.15,206.78,214.37,220.67,237.91,237.71,232.67,232.94
2001-01-10 22:11:15+00:00,L7,464.85,451.92,235.66,216.03,205.36,206.36,224.09,241.04,231.98,226.78,262.32
2001-02-11 22:11:12+00:00,L7,205.33,221.94,222.44,218.02,211.37,214.52,223.20,240.67,238.31,233.06,261.20
2001-02-27 22:11:06+00:00,L7,231.69,231.69,224.61,221.03,211.39,219.86,233.63,248.03,239.36,231.91,262.97
2001-04-16 22:10:54+00:00,L7,200.14,207.65,201.36,204.40,340.82,354.21,351.49,301.29,304.14,247.03,350.24
2001-07-05 22:10:09+00:00,L7,,,466.61,,217.15,219.70,225.39,251.84,236.83,226.30,226.03
2001-11-26 22:09:21+00:00,L7,204.32,397.17,399.11,402.46,469.93,291.62,500.70,,,493.43,413.12
2002-05-21 22:09:29+00:00,L7,205.13,215.70,211.83,201.26,213.88,211.80,211.21,230.99,237.62,234.76,232.27
2002-08-25 22:08:48+00:00,L7,218.48,210.93,345.03,255.98,239.31,248.17,222.84,229.03,240.44,246.10,226.81
2002-10-12 22:08:26+00:00,L7,,,,,175.10,207.42,211.10,235.31,241.41,229.21,216.58
2003-03-21 22:09:27+00:00,L7,323.71,368.77,221.75,219.29,212.02,219.57,230.96,244.94,240.97,237.55,286.27
2003-05-24 22:09:28+00:00,L7,197.48,205.33,202.16,201.09,210.91,224.45,255.55,260.07,241.87,241.43,296.86
2003-08-12 22:09:11+00:00,L7,204.02,340.96,498.79,237.09,211.86,215.37,219.04,239.67,240.10,234.38,259.27
2003-08-20 21:57:50+00:00,L5,192.63,201.86,194.29,196.02,207.00,311.26,308.93,269.50,238.77,240.42,291.75
2003-10-07 21:58:35+00:00,L5,335.07,486.58,477.78,323.98,212.19,259.94,269.94,268.02,242.92,239.02,418.42
2003-10-15 22:08:58+00:00,L7,205.08,224.51,226.20,234.92,213.20,317.93,312.48,290.28,248.96,251.71,334.90
2003-11-16 22:09:23+00:00,L7,196.30,213.19,191.73,188.46,203.27,216.68,230.10,246.86,238.96,230.28,245.48
2003-12-26 21:59:30+00:00,L5,190.64,221.05,236.03,250.86,332.55,349.37,351.37,311.77,304.63,263.97,401.86
