,dates,usa_CA_0057-0000,usa_CA_0057-0001,usa_CA_0057-0002,usa_CA_0057-0003,usa_CA_0057-0004,usa_CA_0057-0005,usa_CA_0057-0006,usa_CA_0057-0007,usa_CA_0057-0008,usa_CA_0057-0009,usa_CA_0057-0010,usa_CA_0057-0011,usa_CA_0057-0012,usa_CA_0057-0013,usa_CA_0057-0014,usa_CA_0057-0015,usa_CA_0057-0016,usa_CA_0057-0017,usa_CA_0057-0018,usa_CA_0057-0019,usa_CA_0057-0020,usa_CA_0057-0021,usa_CA_0057-0022,usa_CA_0057-0023,usa_CA_0057-0024,usa_CA_0057-0025,usa_CA_0057-0026,usa_CA_0057-0027,usa_CA_0057-0028,usa_CA_0057-0029,usa_CA_0057-0030,usa_CA_0057-0031,usa_CA_0057-0032,usa_CA_0057-0033,usa_CA_0057-0034,usa_CA_0057-0035,usa_CA_0057-0036,usa_CA_0057-0037,usa_CA_0057-0038,usa_CA_0057-0039,usa_CA_0057-0040,usa_CA_0057-0041,usa_CA_0057-0042,usa_CA_0057-0043,usa_CA_0057-0044,usa_CA_0057-0045,usa_CA_0057-0046,usa_CA_0057-0047,usa_CA_0057-0048,usa_CA_0057-0049,usa_CA_0057-0050,usa_CA_0057-0051,usa_CA_0057-0052,usa_CA_0057-0053,usa_CA_0057-0054,usa_CA_0057-0055,usa_CA_0057-0056,usa_CA_0057-0057,usa_CA_0057-0058,usa_CA_0057-0059,usa_CA_0057-0060
0,1984-04-27 17:55:28+00:00,,,,,,,,,167.27943423215063,160.94021710564422,159.82219526022732,153.73603880554407,154.0900498021867,161.76969668274396,163.93029398115993,162.52086253106665,165.26013834679875,173.7957820879163,149.43334224828365,137.1627555918054,134.2246434075148,136.5555905749798,155.21940890803197,174.6645556728411,166.82816789196335,143.80791919177818,166.82902576668937,178.59382211935073,200.93182509560268,188.007780143159,190.3450160771708,196.15061085812204,177.77616575337083,,,,,165.72725170113213,165.68701199990255,167.62852060167043,159.87512302229823,144.34263292752254,144.83078476893687,147.09137370398687,133.14675711206016,142.04727419856212,145.7696106017036,166.15315814894984,164.88242721781674,159.03872704531972,151.8497350514779,150.04393491492996,140.65235009773147,143.85448615416774,139.70194497395536,130.8396716671452,128.54777460639215,124.95169658293901,129.6262872027769,133.38060153928012,150.69086713624995
1,1984-06-30 17:56:50+00:00,185.80762133090735,184.92335613532398,189.07412880347434,187.1290626756065,187.77046664421385,181.66965875202686,178.5881472639404,175.14486526764796,175.94502753600136,176.60744245174473,176.1446870200704,176.0558225570309,177.25522794442702,174.5377483309635,174.89799027394497,175.6512075841462,174.98569154158392,178.83365909453076,159.29299639667897,142.75068551134362,143.15444454431204,147.4200928290828,154.11883317335437,182.1433658471909,176.81135513286998,174.8219647765561,178.08778343180768,195.0689072536267,205.98903815019855,188.1464103908724,201.22158683651958,192.6942273528865,184.4270963506311,177.83138949623944,174.54674464568703,170.35807068573746,172.27617249771762,167.78452422226636,171.42150773254528,173.8384649449213,166.99384507531448,160.57450178817578,156.50564554161483,154.41699833010472,157.3622513069379,167.70260277759687,167.3873128237008,167.40650690916632,173.68621104029933,169.78020171169172,164.4631155777053,155.62641350225536,150.7936314894375,143.84522681706028,140.91219013347188,137.60149951306084,134.77190552100856,132.38179964716926,131.6914640175146,138.28960072714477,148.50872302805968
2,1984-07-16 17:57:29+00:00,182.24898294804515,183.26127181227565,178.7678885331332,179.71893168007668,184.97451940966428,175.23931249752883,173.99659283832773,170.80844587479857,180.71101356078617,178.82348328933867,180.20029857995235,180.07921411522128,182.05140520781,183.44734033597297,184.67883865835182,188.26527562394753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1984-11-21 17:58:36+00:00,160.88978398553257,161.49378683676596,155.46250556291128,157.12155371738865,159.7111051148133,154.1522129460075,151.32111429834248,149.59558162990308,152.14208702005004,155.77442852494212,154.31850884422263,151.84319695514978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1984-12-07 17:58:44+00:00,,168.1518989012477,162.91157629178102,167.13454002065782,170.17883436926766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1985-01-08 17:58:37+00:00,,172.3721028085121,166.68257526813375,165.76276538983635,172.46949991964917,164.19681426266766,161.19117498554922,169.2302386555315,165.47225835672697,166.97572632310067,166.09320155400158,159.45876764834367,160.9695138440745,161.19194293994883,165.6992529562588,167.32097584199698,167.9667461403326,180.20743170291288,,120.3526730169526,135.58642920018372,145.09270744391702,157.9900533510809,181.87124702186546,171.71071649098113,168.12470744635183,166.5703298569547,175.96300674195,193.30155050153334,,176.84625425366534,176.90639006229964,164.2359616256445,163.17007650822012,158.8381825693865,155.9699993296304,156.80977320212423,161.06526478778972,162.43461663031388,159.05555254537683,153.99958490474663,153.59898142792989,149.4875493990365,143.3157187106237,143.71156728239507,152.94118601055408,155.09629558177951,156.1859073775515,156.11307311979033,155.87115443953007,154.31801791708855,148.9813557260123,147.84825143835306,134.8518523360077,132.2529607897072,124.88573530195748,117.30539629045617,117.35303839335958,126.9545535452856,130.76586102999008,143.85904400665655
6,1985-03-29 17:58:42+00:00,189.54082098310167,184.9322490506276,186.5925226377013,188.51222703699943,192.4018949124623,186.16738854792968,183.76846763720212,178.8831669960561,176.63218947299254,181.40251606243666,174.34431948816172,174.2805292764449,170.1791672419723,168.90152834048266,170.68885340103012,172.44063888660833,178.79302281619837,181.6454279876294,157.93319586560895,147.28969413055756,142.4586118878378,143.25579130650138,161.74402023133032,189.70709203935198,178.47114663232756,173.5838346936275,172.433363562808,187.7225170988424,199.78297656204887,,221.46114932971696,216.99533883490602,203.07362247720886,193.6814583820731,188.96476981574511,182.33168559896762,177.9267421420335,181.9466531497455,185.33980143834214,188.54426496952698,178.31802259349791,174.33994278965122,163.4656078010924,156.4281889643942,168.2038084919757,178.7000563663293,176.1502554825389,174.1875249134071,175.04540248087218,175.23263413039592,165.07677488436332,161.46257194538083,160.61940753319476,161.43999242888023,154.39088760611222,149.8819762413837,141.65671006395584,146.99461477633005,144.94459772606308,151.5510497613069,167.19154201270956
7,1985-06-17 17:58:24+00:00,184.4106260206507,191.48957144765072,188.27924110688173,185.59081572548422,177.03041974125512,163.32469617796093,156.79121696140265,163.95053067113767,167.4653803455247,167.44040465304994,167.99302873037928,171.95766524256064,171.63955290545564,173.4435502650991,173.46057047946687,184.09196084054864,187.30776170919037,195.62916667846068,171.6678766672251,162.93336730653633,170.68577203504307,173.83118659990734,177.55700545995953,177.88025264185464,168.73554800746646,166.83798533406608,178.7047031169418,199.86549955651589,212.34734263809287,204.0621207831024,213.61729815515145,202.05853237559293,192.21953681646212,182.36473482141696,176.72642252319991,175.45442096315904,173.01230027482472,178.54104409114933,176.3384029784617,180.02345399475394,169.9401563692301,162.03132357463224,167.21111666386972,166.60519015289753,168.63059444609826,171.43422127951808,171.4448695933508,168.60024672736677,174.50341435279483,173.5036590744976,170.5686113720031,164.94119052873748,158.68913032729637,155.23360973191868,148.73030853135762,144.70566029309953,141.1874980015553,143.47399379809025,143.19680312628503,154.17432136856658,162.0605496994392
8,1985-09-21 17:57:31+00:00,168.6796227081756,176.59423523626913,168.70590160824847,169.53970517222967,165.08690852157463,149.24082451905295,146.2039890329884,152.344128484638,162.77883818422828,167.84314898417531,171.73090233237792,167.87927263642578,169.44358375687236,175.11067156313166,179.89268515276007,189.48290522022248,198.47955120210545,210.25862261107363,200.08692244848217,191.116734759843,203.86567326200944,212.40545968256816,221.12249627127355,193.98317265745843,195.7238838517634,195.92002014858016,202.4499620310224,223.05288035491733,239.46261222245107,221.48719181513664,208.81024172202748,197.85175845033572,189.8145602414862,181.77435919423306,178.06198592370188,177.7812929323524,179.88304394887356,183.81515556233174,187.49345956196223,192.06743128650172,183.51576634602856,182.35698782796922,180.02135047797077,185.08518861884968,181.1410105097051,179.22605134257404,177.57592688988862,176.0328069220174,181.1537818273523,176.97879701169714,177.05945872819544,169.78473040234928,167.0303306232873,161.34165103921828,160.17373303460144,155.95932672884834,153.81317819636422,155.9724921829068,156.55791711863458,163.17277572671898,176.0262425851107
9,1985-10-07 17:57:22+00:00,,171.5150167208704,167.330403573701,165.93267010337146,159.2397055740785,146.2280664279119,147.17769627561316,154.45284995521604,155.6732704020647,167.41154231827207,171.40885705164084,169.34379532209329,180.1011587320528,181.2513146868207,185.95558866927297,197.61941732702974,,,,,208.88423798602633,221.61246088366482,225.6411916366586,206.13559278351968,214.12492298340322,219.61510607021307,228.69770833434825,236.3588114043509,247.92446651818793,234.12136644956124,215.0487552868692,,199.59314182590558,191.7352901483174,185.2302577787649,177.9456800849023,,194.87812966529805,191.21139335971165,196.9435413679041,187.91322523325584,188.27755823395196,187.9102362678154,189.5362040767757,180.006522566375,177.55396302232458,174.86896594636946,178.2629095395469,181.53360402051436,185.37166609834503,175.06447421572219,171.0269606882389,168.80097949436498,162.56211230194208,156.69157584414455,158.88593526168853,163.52860617863988,156.80847182508802,158.17133612735608,160.6574952110855,177.5140303547652
