,dates,nzd0253-0000,nzd0253-0001,nzd0253-0002,nzd0253-0003,nzd0253-0004,nzd0253-0005,nzd0253-0006,nzd0253-0007,nzd0253-0008,nzd0253-0009,nzd0253-0010,nzd0253-0011,nzd0253-0012,nzd0253-0013,nzd0253-0014,nzd0253-0015,nzd0253-0016,nzd0253-0017,nzd0253-0018,nzd0253-0019,nzd0253-0020
0,1999-08-05 21:46:35+00:00,163.00474899706808,,143.54035159367777,150.8798637331021,,137.58562148617085,132.90087909088754,140.85449727004502,146.9989262528132,154.9324147478526,161.1173495828662,164.63052362194207,165.48350984210225,178.1867489180425,186.95764442456297,177.5239130169947,164.09084538868152,152.2073850156033,150.7238546660597,148.79686510060125,158.0947071790989
1,1999-08-21 21:46:33+00:00,171.9269925363786,159.95064389279224,149.51172926396137,158.79801971564777,158.7555461364168,148.89166323629627,150.4995784088867,154.37140762915686,160.31751393128076,172.442691277879,179.11350226278464,175.73973222390765,181.16562450291005,197.2190044169321,199.96294008191438,189.5396873506891,172.63828389468995,160.9136580567505,155.46682199733883,151.76541933090982,157.77425287956643
2,1999-09-06 21:46:59+00:00,193.5043160090478,,161.703265910316,,,158.7366121540547,,,167.96430612368775,170.27283438518748,169.95848272404734,172.41046168930492,180.51859206666268,186.8313545761734,194.51185575529377,191.09773456039167,173.5174816807177,153.0584087821685,157.14439631448448,151.08625035789294,157.5982705657922
3,1999-09-22 21:46:36+00:00,182.42410432278362,168.29724227727408,164.76650072614936,161.93325976221428,153.12854991632668,155.9817743667837,163.67675505006602,157.27988654834758,167.68864184146096,168.84444034146688,178.85901410490058,178.50769238255234,175.7582858814973,195.1028561069462,198.22251577336064,183.37919630223954,173.43259004760293,159.86055424868354,158.25541888873985,158.06477142893235,164.54841999733415
4,1999-10-24 21:46:32+00:00,187.17112543095564,175.8047611692959,164.9328518900223,160.77825722245365,156.373733458668,157.67749769807713,166.69153171442537,167.35083171134178,169.164132903909,177.0293830390007,176.08742047473436,188.23759911610955,186.7937492936822,187.19966952897752,195.30843690869952,188.136910133183,173.66403133545754,156.50690258425317,154.5032913919468,150.15717392593027,149.22097482701164
5,2000-04-01 21:46:10+00:00,182.99070194681863,,156.30242276338657,155.90879834986814,159.52538857369893,165.5089686217461,155.70691483681028,155.1126698681171,164.02282582220914,172.59396959957297,175.0119349480417,184.52487268016102,186.15120296382693,197.8590447342948,215.6441242328644,201.8982872991047,178.09922215714306,163.0651481355256,160.88172679482477,166.81600590949355,171.45106896637
6,2000-05-03 21:45:55+00:00,,,,,,,161.33743562926998,160.84850821356252,,188.56593304780085,174.56541848596856,177.3256851918269,179.3589966770936,195.08228787178595,202.45812576054763,,184.86460323386027,173.5149692426284,173.76193604582446,171.14755102263697,178.54060657267547
7,2000-05-19 21:45:43+00:00,191.49784835019406,172.70106242772187,166.54120227151003,163.7221683524449,165.8918830113268,166.04663808107495,165.2862288144456,166.97702773472304,176.66439716154386,190.27730283339633,184.99405766487425,184.23404764406507,188.76187418026473,199.34366441839853,207.68778686434007,196.9873124263308,194.15666437781312,178.68414933411145,175.94222010660945,175.9122607209709,172.86634406064601
8,2000-08-07 21:44:45+00:00,,163.35518740110948,155.76745256259684,158.8193424775246,151.18820288884484,156.61189388942273,159.19865618136478,164.96472923195958,138.43010408210117,141.26185221117262,146.18672498307666,167.63848805723066,172.3931902961726,169.29268009432488,195.30551309612358,179.6710167657103,180.9393552526855,173.79842315129278,167.24253420440638,159.12044240112854,162.433435846955
9,2000-10-26 21:44:22+00:00,191.42756758795892,168.42252750677204,,153.6293275348186,145.22864687268626,148.93191731884346,154.18767975993003,158.03146020888025,145.3793963398149,152.9091132747633,158.99384455281478,162.87918999038624,162.0224066881254,169.51286154916926,189.4353646759235,177.0944653760019,165.15156000666843,150.98863558547606,149.2920595413768,153.90703120866166,152.83274269168643
10,2000-11-27 21:44:26+00:00,191.29147205910468,177.04454785695248,,156.19413830804777,,157.17234706479994,163.0685355939273,159.36807839954216,156.62752125192068,163.38538350524553,172.07894194152104,171.40299510202254,169.33625094109576,179.24595739622984,191.3706951367636,183.9793550408895,168.27570937262294,156.8503880556924,149.93900561426543,152.26574519429556,151.35371664986292
11,2000-12-13 21:44:28+00:00,,,155.92116094006963,,148.11680861598367,152.2263814277943,148.74473004966543,153.81386182281676,150.9685544271014,159.51698866733844,163.06234521153425,171.44358197833157,162.06450224191067,173.9496383749657,188.18439181909605,175.73488134068495,165.8390184156756,151.98798951567844,151.58905816477616,149.1116541744535,147.6378584191605
12,2001-04-04 21:44:06+00:00,177.14820278709666,166.89095818423755,154.87377757706105,,148.47591278887597,154.43679617215093,169.59260368190834,170.1612493783409,167.75878102314857,180.3726761051971,183.6588583723591,185.15713353876745,184.21720546266042,185.82783073590508,191.46525782966623,184.7915689233462,180.9391139416134,171.6847434451796,166.07422331282834,159.11865101985865,165.0068328841604
13,2001-04-20 21:43:46+00:00,183.28197047710094,173.99121056288092,165.88205174144178,165.5429784455816,167.87726345532022,171.0897187464549,179.35848688516361,176.6251688640322,180.32590059166418,188.63342695403182,188.36568695990664,190.0257274256099,189.23199409096705,185.31883962287384,198.2350171482235,,184.95743177200183,171.23886203418328,174.1819005444352,167.39680252032133,168.6242487392568
14,2001-05-22 21:43:30+00:00,174.67937819079356,160.6042801960271,,165.84850250065773,158.11924601673596,154.7806736797298,160.66929863715941,171.8395083370613,171.19958719338413,177.81328869761225,181.3561133469681,188.52804094186783,178.6877874438403,183.81520433762336,193.64394119357507,181.32887987478344,177.77928021886513,168.7031480814794,170.61888149555446,167.03965600681616,167.87310272971988
15,2001-07-25 21:42:54+00:00,,,168.38280882923132,170.5237121791091,,166.04123707828475,170.9898209162381,174.5838737283784,179.97773680263572,189.10112489728135,181.62371084706592,184.04162103512823,187.90974828010786,188.0826776329286,201.05333388400118,189.21749804614657,177.9364796738407,173.30806885785984,170.47933206618225,163.75513328388664,174.78666911871872
16,2001-08-10 21:42:36+00:00,,150.77144377415087,155.9316927839196,,149.3291364506218,152.1193024769193,162.50276799572492,165.44347307229492,171.7804785637603,172.53377852922847,171.11278101061313,168.58526095351613,168.653148434367,171.34184516915116,183.3093705093919,173.08662716632398,161.13508828261752,154.20647431105883,152.8142536945171,150.3631233487257,156.11067819251377
17,2001-08-26 21:42:25+00:00,178.91272584406173,,145.90357785117095,158.8877403900726,162.51850057545587,163.64107688458066,163.28758188238263,166.55307920314968,175.8616950853038,180.17609507543426,177.9096568934726,182.70420221192776,179.3430937237653,187.87883734902718,193.5792446868277,181.39136221344737,168.63047761445466,149.50826265470752,150.67462232435764,153.49969133001028,156.22873759475274
18,2001-09-11 21:42:38+00:00,189.4645442852092,,165.46655379592912,176.17207802607996,177.00703760228484,179.5981692363088,174.91862563833539,173.79268338090012,178.39683773208617,185.68789615357903,,,205.4411811671115,,,,181.16059329249967,,,163.09267697278608,169.58125067849744
19,2001-09-27 21:42:05+00:00,180.9607351561708,,168.69065695267176,179.967063932226,177.71634501415804,181.0207586739649,180.03223022895338,163.05735272438116,170.0737350092639,178.73798457815056,179.97355554175454,181.9955248609094,176.17875934335848,183.6247461860086,198.38314873448024,180.09380756209774,168.94540078553953,159.3932281503714,156.71604329105216,152.58571018564083,159.35337666082629
20,2001-10-13 21:41:51+00:00,176.00570750833919,,161.89815065970248,158.01749173959382,146.02169327245701,148.63525045523141,169.0559704987612,157.5961159159985,159.49993525400203,165.5482574914701,162.9845818477753,166.73876042780245,158.94307388610565,175.28354379742984,181.4640652366084,184.38588476823938,167.24814161610666,153.64135685644436,149.06588139753276,146.1443748530792,164.13661148986165
21,2001-10-29 21:41:57+00:00,195.3866182821195,170.4811735632809,166.87835550588164,170.21231349610417,156.69067141060148,170.12926979454426,171.2452553073727,167.80394120303885,178.95042779144165,182.66634337195484,174.71398063758622,184.09285741414243,183.93036514425404,189.02862872996738,205.31933972564514,181.6153769631425,167.89229708154943,159.8809710294492,156.764793811596,157.22370843750656,156.34259226788822
22,2002-01-17 21:42:52+00:00,,178.15294869993267,168.01790597997373,162.53893574897322,160.71226541396024,170.95573715778463,175.00882745728165,183.4199125582247,188.5180704170087,192.624303528276,190.80345642390333,194.2875820196122,188.1299035765867,186.21469006615104,198.00409949923267,,177.3823759468914,172.3343143486508,174.18288998979602,165.16770013657148,155.65777442262825
23,2002-02-18 21:42:54+00:00,,160.42853146862214,159.70455428187194,166.9116501792668,161.923122830209,160.46209064742112,163.4788004495645,160.85920204442647,173.84165950487397,185.30572690967372,182.0555240199267,180.6381878310163,183.05330553541833,188.75081803354934,205.40028371655222,191.03161704102476,171.48136361298486,157.67410356961824,159.7745883873711,161.0361671160069,160.12921680074658
24,2002-04-07 21:42:28+00:00,182.8303195388811,176.03160674928841,166.11406518711976,175.96015324105755,165.05066667205196,163.55672873471065,160.22977714671907,161.34739347081126,164.8274176852416,167.3871477959369,171.4512551144253,180.75065654212773,172.34917354576206,177.45776544522994,183.68523551825976,178.05177232110614,163.8830163772791,152.5541488524672,152.97224996203687,152.44480512368744,162.4909965190573
25,2002-08-29 21:42:03+00:00,187.4685617771896,178.75294607933617,179.79489459240526,165.52051285758608,,,213.04054618648198,161.94204800193918,,178.05905665739834,161.66411002273435,162.8954211178036,166.4633177454773,,,,,,,,
26,2002-09-14 21:41:31+00:00,187.39638294511556,166.1164166194096,165.90299876891737,,155.72055152023117,,160.02557177683667,165.26124949312512,160.02039579158185,164.8978426234885,170.7369969323857,180.81745906038037,176.05323756611904,181.80918196105765,192.6091034209595,178.04199961660368,169.77952653995462,166.30316264622286,166.88524094258034,168.1309578256805,172.98279103466567
27,2002-11-01 21:41:54+00:00,,,163.2261622908368,,148.91554763157282,150.20750481647877,154.99113584192017,157.2649509278118,160.59726901595505,168.0307285439918,167.1874484942153,167.30339406843157,162.90574622075326,175.65197876553464,186.43705175393126,176.7907343236571,156.93950232880798,147.40547241629403,143.9873479660801,135.49405603635586,138.155273811371
28,2003-01-20 21:42:33+00:00,,162.3744648652274,155.58404526091124,152.89205810420327,144.0949145342351,152.4346936560196,161.60764240089816,166.40868655765095,164.72566416989315,170.3291468145598,171.24351193967448,178.53688517651807,180.38085535475565,176.14618015684664,190.43364706323393,176.74029559851232,161.0881519846306,150.04929338713674,149.0206993651173,145.07061957129383,147.08212443530027
29,2003-02-05 21:42:41+00:00,161.19684316543194,158.26766224598288,149.3924625663521,144.20116505426472,143.66945251089527,144.5070836040985,152.44964743067774,,157.42756004690105,165.92344429532318,170.72861717175138,182.2267653743121,182.44745470594503,182.84591659350244,188.3205902390707,176.29673756270694,164.2214066314239,152.40426613931155,148.83790491902639,145.0635962069579,149.5459816829515
