dates,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0007,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0018,nzd0001-0019,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0029,nzd0001-0030,nzd0001-0031,nzd0001-0032,satname
1999-08-17 22:10:26+00:00,,,,354.08,362.96,371.03,386.48,391.82,381.47,369.32,361.56,358.57,348.16,346.64,345.75,345.14,341.55,338.39,335.82,338.47,343.45,346.10,343.53,342.18,337.25,333.16,324.03,323.12,325.95,325.10,328.04,329.36,331.27,L7
1999-10-04 22:10:38+00:00,339.76,352.69,345.82,349.79,358.36,372.24,386.17,394.97,384.93,383.95,380.43,359.66,356.77,355.52,359.75,356.88,,,,,,,,,,,,,,,,,,L7
2000-04-29 22:09:53+00:00,,,,,,,,,,,386.93,381.24,375.81,373.29,372.47,366.63,362.02,354.66,354.90,352.88,359.16,363.69,362.66,355.50,349.52,345.40,344.68,343.40,352.79,350.09,345.79,352.82,354.87,L7
2000-06-16 22:09:26+00:00,,354.13,351.62,356.08,370.90,382.57,402.74,407.01,391.57,386.33,375.09,365.37,358.15,356.47,355.51,352.28,352.44,347.56,345.60,347.29,350.86,362.83,356.26,346.98,337.00,330.40,332.94,339.34,332.04,328.41,328.75,337.53,336.89,L7
2000-08-03 22:08:44+00:00,378.79,376.00,374.04,382.76,388.57,396.79,408.73,415.49,404.76,397.80,388.87,371.18,368.66,360.41,357.61,350.46,349.77,341.94,345.65,353.48,356.74,357.68,343.66,340.36,333.72,333.77,335.56,336.54,333.78,331.67,332.96,338.62,340.99,L7
2000-10-06 22:07:59+00:00,339.37,346.63,355.30,346.87,361.29,376.65,395.61,409.00,400.87,396.77,388.38,374.30,373.00,370.93,369.04,361.17,349.23,343.46,339.23,341.96,354.00,361.19,354.29,346.05,345.74,334.69,341.51,343.08,356.92,341.99,344.07,353.76,355.42,L7
2001-04-16 22:07:42+00:00,358.34,351.85,358.70,353.15,362.85,368.67,391.41,392.54,386.98,378.04,371.04,360.36,355.94,355.19,349.42,346.46,340.46,336.88,334.93,338.64,344.32,348.20,346.28,341.73,331.07,330.59,331.17,331.98,339.58,335.45,337.88,342.97,342.47,L7
2001-05-18 22:07:26+00:00,,,,,403.15,418.39,399.02,408.15,398.79,383.44,371.07,362.16,356.99,353.86,357.49,344.25,336.46,333.54,332.83,336.15,341.07,344.00,343.39,344.96,337.52,320.60,318.10,328.46,327.53,327.11,323.39,326.49,334.41,L7
2001-06-03 22:07:16+00:00,367.92,374.56,372.68,375.98,375.53,389.56,403.82,413.94,405.54,389.89,376.96,369.45,367.72,366.92,363.52,356.31,350.50,340.64,345.39,346.83,347.22,355.59,355.59,350.72,344.69,335.65,331.97,331.75,339.66,335.57,330.80,337.22,342.67,L7
2001-06-19 22:07:05+00:00,359.40,362.16,370.68,363.99,374.52,392.50,405.11,410.51,401.45,386.50,374.97,364.66,361.95,362.18,363.17,355.17,348.16,343.22,338.20,339.45,345.99,347.65,345.55,340.74,333.05,329.73,330.50,328.34,334.86,330.94,331.34,335.14,340.01,L7
2001-08-22 22:06:23+00:00,,332.62,332.14,346.10,353.61,358.53,376.80,386.54,375.35,366.38,361.05,358.08,347.72,345.52,345.75,338.26,331.96,320.79,,,,,,,,,,,,,,315.26,,L7
2002-01-29 22:06:21+00:00,346.04,342.62,342.67,358.22,370.39,376.20,395.95,405.59,389.50,381.70,369.58,366.33,364.44,359.33,353.31,349.57,347.29,342.66,343.73,346.81,347.14,357.32,341.62,348.53,341.64,335.53,330.33,330.90,335.08,327.30,335.12,339.10,337.63,L7
2002-02-14 22:06:29+00:00,355.99,360.91,365.49,375.73,385.84,394.28,412.24,416.55,403.21,399.36,391.89,384.51,375.87,375.00,371.40,366.94,354.89,351.13,355.57,358.68,357.86,368.14,357.18,359.02,354.00,348.27,341.76,343.30,343.38,340.75,344.85,345.33,350.81,L7
