dates,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0007,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0018,nzd0001-0019,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0029,nzd0001-0030,nzd0001-0031,nzd0001-0032,satname
1999-08-17 22:10:26+00:00,,,,354.08,362.96,371.03,386.48,391.82,381.47,369.32,361.56,358.57,348.16,346.64,345.75,345.14,341.55,338.39,335.82,338.47,343.45,346.10,343.53,342.18,337.25,333.16,324.03,323.12,325.95,325.10,328.04,329.36,331.27,L7
1999-10-04 22:10:38+00:00,339.76,352.69,345.82,351.94,360.66,371.63,386.33,393.39,383.20,376.63,371.00,359.12,352.47,351.08,352.75,351.01,341.55,338.39,335.82,338.47,343.45,346.10,343.53,342.18,337.25,333.16,324.03,323.12,325.95,325.10,328.04,329.36,331.27,L7
2000-04-29 22:09:53+00:00,,,,,,,,,,,386.93,381.24,375.81,373.29,372.47,366.63,362.02,354.66,354.90,352.88,359.16,363.69,362.66,355.50,349.52,345.40,344.68,343.40,352.79,350.09,345.79,352.82,354.87,L7
2000-06-16 22:09:26+00:00,,354.13,351.62,356.08,370.90,382.57,402.74,407.01,391.57,386.33,381.01,373.31,366.98,364.88,363.99,359.45,357.23,351.11,350.25,350.09,355.01,363.26,359.46,351.24,343.26,337.90,338.81,341.37,342.42,339.25,337.27,345.17,345.88,L7
2000-08-03 22:08:44+00:00,378.79,365.06,362.83,369.42,379.74,389.68,405.74,411.25,398.16,392.06,383.63,372.60,367.54,363.39,361.86,356.46,354.74,348.05,348.72,351.22,355.59,361.40,354.19,347.61,340.08,336.52,337.73,339.76,339.54,336.72,335.83,342.99,344.25,L7
2000-10-06 22:07:59+00:00,359.08,358.92,360.32,361.90,373.59,385.34,402.36,410.50,399.07,393.63,384.82,373.02,368.90,365.28,363.66,357.63,353.37,346.90,346.35,348.90,355.19,361.35,354.22,347.22,341.50,336.06,338.67,340.59,343.88,338.04,337.89,345.68,347.04,L7
2001-04-16 22:07:42+00:00,358.34,351.85,358.70,353.15,362.85,368.67,391.41,392.54,386.98,378.04,371.04,360.36,355.94,355.19,349.42,346.46,340.46,336.88,334.93,338.64,344.32,348.20,346.28,341.73,331.07,330.59,331.17,331.98,339.58,335.45,337.88,342.97,342.47,L7
2001-05-18 22:07:26+00:00,358.34,351.85,358.70,353.15,383.00,393.53,395.22,400.35,392.88,380.74,371.06,361.26,356.47,354.52,353.46,345.36,338.46,335.21,333.88,337.39,342.69,346.10,344.83,343.35,334.29,325.60,324.63,330.22,333.55,331.28,330.63,334.73,338.44,L7
2001-06-03 22:07:16+00:00,363.13,363.21,365.69,364.56,380.51,392.21,398.08,404.88,397.10,383.79,373.02,363.99,360.22,358.66,356.81,349.01,342.47,337.02,337.72,340.54,344.20,349.26,348.42,345.80,337.76,328.95,327.08,330.73,335.59,332.71,330.69,335.56,339.85,L7
2001-06-19 22:07:05+00:00,361.89,362.86,367.35,364.37,379.01,392.28,399.84,406.28,398.19,384.47,373.51,364.16,360.65,359.54,358.40,350.55,343.89,338.57,337.84,340.27,344.65,348.86,347.70,344.54,336.58,329.14,327.94,330.13,335.41,332.27,330.85,335.46,339.89,L7
2001-08-22 22:06:23+00:00,361.89,355.30,358.55,359.81,373.93,385.53,395.23,402.34,393.62,380.85,371.02,362.94,358.06,356.73,355.87,348.09,341.51,335.01,337.84,340.27,344.65,348.86,347.70,344.54,336.58,329.14,327.94,330.13,335.41,332.27,330.85,331.42,339.89,L7
2002-01-29 22:06:21+00:00,346.04,337.62,337.40,352.16,362.00,367.37,386.38,396.06,382.43,374.04,365.31,362.20,356.08,352.42,349.53,343.91,339.62,331.73,343.73,346.81,347.14,357.32,341.62,348.53,341.64,335.53,330.33,330.90,335.08,327.30,335.12,327.18,337.63,L7
