,dates,aus0107-0000,aus0107-0001,aus0107-0002,aus0107-0003,aus0107-0004,aus0107-0005,aus0107-0006,aus0107-0007,aus0107-0008,aus0107-0009,aus0107-0010,aus0107-0011,aus0107-0012,aus0107-0013,aus0107-0014,aus0107-0015,aus0107-0016,aus0107-0017,aus0107-0018,aus0107-0019,aus0107-0020,aus0107-0021
0,1987-05-22 23:06:56+00:00,221.3223460960234,184.7453225232305,180.4654911549209,193.0090384150192,210.17793018919375,197.9080388650525,192.71885331508835,202.3090633477061,194.76338137170927,193.9881517332349,187.3750382973817,192.40720472979083,209.32860061585743,209.8528117546257,206.510792608263,211.75195213846857,211.34525753859614,207.00920360949473,207.03505137030595,209.5355365840299,196.52377475843483,194.6707180009809
1,1987-09-11 23:09:41+00:00,243.81403440406595,206.6328482253967,203.20227268212182,199.7465149644227,209.0729426364844,205.834900647553,204.6755775765678,208.74151427026356,203.05768035695226,190.1114922638356,190.20403790832106,199.23051652327655,207.01080370263224,207.46476822669246,210.05325679652623,209.96743558680583,207.40843521659275,206.0022708674869,201.14731225027214,200.83711833558868,191.16639966766098,189.95863214933303
2,1987-09-27 23:10:03+00:00,263.31729516466874,220.920659403521,213.4565042956731,220.45337772737963,220.7724428847227,223.0591052757447,223.72807442967868,228.33292501513705,217.2477096303102,211.69280208973078,195.3723068488388,205.95026710104113,212.97888206829947,215.5002045252355,219.0290528899005,222.1685655169399,216.34380821237647,205.98562000047508,207.46743303072475,209.3562311066853,201.01402220168364,193.54397676228277
3,1987-10-06 23:04:03+00:00,267.1157325757282,208.87014859730073,208.17175930402058,213.71137083644902,217.86939409649966,213.0800449308619,211.7185773946977,218.08574307718897,209.2810764962626,203.78877336503012,196.49948976296236,201.83295895827757,209.34510889878317,209.05314513514435,217.27207873469035,221.59563139014938,212.3028137948003,208.3891620595164,205.40525323634978,201.9124965884007,196.44792835968593,190.84178651395553
4,1987-12-16 23:11:29+00:00,280.9832547829998,220.78110333305057,220.21763862936126,225.30994218246005,225.6271968153417,224.24243531957285,225.28374295995934,215.38071264168283,210.44982139912406,211.96949016943304,204.29909606507616,207.9844990214056,217.49161452517825,217.51111183105638,216.8121335077016,222.29312082769698,218.97882978589064,211.97998113364216,208.80569282846335,202.6490041352896,196.47229442701288,192.90256530739015
5,1988-01-17 23:12:02+00:00,249.22308716524094,194.28044806596975,192.0089262831173,187.52999866901317,187.5756691496939,188.51070332450146,188.71618995194976,194.15645792401745,186.19571757586863,175.78227232084802,181.39527658247263,193.55207522449808,192.163294481988,184.64033444767307,186.15021124982377,192.54931704165278,192.0503350379037,190.42903388062294,188.3841312495911,186.42913496418316,178.10685435235675,169.48800547770895
6,1988-02-18 23:12:35+00:00,269.6813107026877,199.32996008262205,196.83914483257465,203.7038452929737,212.47880772804677,202.36345844023128,212.0725375003711,207.30141672300493,199.12962064594797,193.5813479989161,196.611351358851,204.96323381178868,204.43131437340716,201.61762862484989,193.6981990102957,203.19102964470633,216.11383004355153,205.59356112380053,203.0194657760022,201.00101112215518,196.89296029507952,181.79801050264962
7,1988-04-22 23:13:04+00:00,220.04012015786938,173.21899866504415,167.09173210786565,180.40173069978277,187.21166990093585,189.84070615817782,178.58144738215285,185.2585950918197,190.39320457391312,192.37194078662588,189.265608720781,199.56611926162512,191.12814117376868,196.87257513068838,207.11124329154552,209.6270570368671,206.897680385205,210.56737898229224,197.78241373561377,188.15480304766467,188.20215886011553,188.4663909783736
8,1988-05-08 23:13:14+00:00,219.5223742153704,177.6333099417468,173.03492154870997,177.64031989578214,184.6198895164728,184.74832991709988,194.69579971954977,185.90825020130833,190.01344241904198,185.9729849197892,200.82730628251463,204.48171223379592,212.57516721060088,207.80384194727765,217.15082661213617,221.08367702666973,215.0294399522902,209.63290392067063,199.67636128062688,189.0173951203882,199.3698743343547,195.379678736332
9,1988-05-24 23:13:21+00:00,217.91237491143525,182.22195440074935,185.04762805516927,182.22429481242148,185.2989657296206,193.82402940283652,209.02861611887423,202.9461900899465,185.21751021583358,186.45115231745302,194.60210134402428,203.8172735506779,205.1650863579838,205.6764249199429,216.00250546141478,213.57893614844505,229.11094508230707,220.66809714457625,214.34850755266433,205.94619617281137,198.33112816558386,195.40785384344912
