,dates,chi0241-0000,chi0241-0001,chi0241-0002,chi0241-0003,chi0241-0004
0,1985-07-27 14:08:29+00:00,224.94644501208353,226.4576045891954,214.14914711812253,214.84971371826572,206.00131204593453
1,1986-02-04 14:05:35+00:00,245.97907569354408,230.89183706687658,224.06253642696447,217.514342390802,
2,1986-07-30 14:00:28+00:00,235.38434014102393,227.1496080431172,215.2938795988793,217.59962480636,210.11848467584355
3,1986-08-15 14:00:17+00:00,232.0493038909682,228.23447603610387,212.41301811190908,213.96439197236526,205.11522328106463
4,1986-08-31 13:59:41+00:00,221.39506513537907,210.14547006526055,213.82627228829568,211.6829395336641,199.50962354355443
5,1986-09-16 13:58:46+00:00,228.98007744216218,215.32094824125718,207.26433348541667,207.85733284715025,210.27332291906362
6,1986-10-18 13:58:08+00:00,223.08102347347034,201.07808654770037,208.04483222114112,206.61732177393048,194.4380542418501
7,1986-11-03 13:57:34+00:00,228.8765653502175,215.49232265064663,206.52991236419973,204.3476907583128,198.41366615016142
8,1987-01-06 13:58:06+00:00,237.59970833429614,223.81265083050954,212.86892604843553,,
9,1987-02-07 13:59:09+00:00,228.02422471997917,219.47808509761268,,,
10,1987-03-27 14:00:57+00:00,247.43675630666417,226.16067403184604,218.50603285089164,212.83120836483937,214.38581438782967
11,1987-11-06 14:06:32+00:00,224.49144811003964,213.20244591118205,203.21097855314184,198.1184100669332,196.2066686081265
12,1988-04-30 14:08:52+00:00,217.9009156048409,208.68415567948168,204.24192324558675,212.21143299859162,205.78828019335748
13,1988-06-01 14:09:09+00:00,173.3474898919465,171.06257270672296,194.74386795563254,200.0630278337989,202.2236918842657
14,1988-06-17 14:09:14+00:00,208.10798144247883,202.416740347992,200.47135186808765,197.90632876254062,190.31420824438845
15,1988-08-20 14:09:24+00:00,232.7508711091106,226.2507384499568,223.13574305503334,221.14503454361213,214.254134876673
16,1988-09-05 14:09:27+00:00,233.3477474183153,224.1810679571067,221.97372569062154,219.9161292460124,207.24789090345791
17,1988-09-21 14:09:22+00:00,232.67968579355684,230.16157887694317,219.36258959773397,220.6686654553944,211.37398956636014
18,1988-10-23 14:09:12+00:00,,,,,
19,1989-05-03 14:07:25+00:00,223.4878522083305,221.8776626460766,212.2674788890756,213.80487588847024,205.59242328732608
20,1989-08-07 14:05:09+00:00,224.20090436300325,214.2706660998037,214.2462264599613,210.09167882607915,197.4812654785868
21,1989-08-23 14:05:11+00:00,243.02994539659358,229.427381028987,219.74989915628362,221.85390080800676,208.35216835043792
