,dates,aus0001-0000,aus0001-0001,aus0001-0002,aus0001-0003,aus0001-0004,aus0001-0005,aus0001-0006,aus0001-0007,aus0001-0008,aus0001-0009,aus0001-0010,aus0001-0011,aus0001-0012,aus0001-0013,aus0001-0014,aus0001-0015,aus0001-0016,aus0001-0017,aus0001-0018,aus0001-0019,aus0001-0020,aus0001-0021,aus0001-0022,aus0001-0023,aus0001-0024,aus0001-0025,aus0001-0026,aus0001-0027,aus0001-0028,aus0001-0029,aus0001-0030,aus0001-0031,aus0001-0032,aus0001-0033,aus0001-0034,aus0001-0035,aus0001-0036,aus0001-0037,aus0001-0038,aus0001-0039,aus0001-0040,aus0001-0041,aus0001-0042,aus0001-0043,aus0001-0044,aus0001-0045,aus0001-0046,aus0001-0047,aus0001-0048,aus0001-0049,aus0001-0050,aus0001-0051,aus0001-0052,aus0001-0053,aus0001-0054,aus0001-0055,aus0001-0056,aus0001-0057,aus0001-0058,aus0001-0059,aus0001-0060,aus0001-0061,aus0001-0062,aus0001-0063,aus0001-0064,aus0001-0065,aus0001-0066,aus0001-0067,aus0001-0068,aus0001-0069,aus0001-0070,aus0001-0071,aus0001-0072,aus0001-0073,aus0001-0074,aus0001-0075,aus0001-0076,aus0001-0077,aus0001-0078,aus0001-0079,aus0001-0080,aus0001-0081,aus0001-0082,aus0001-0083,aus0001-0084,aus0001-0085,aus0001-0086,aus0001-0087,aus0001-0088,aus0001-0089,aus0001-0090,aus0001-0091,aus0001-0092,aus0001-0093,aus0001-0094,aus0001-0095,aus0001-0096,aus0001-0097,aus0001-0098,aus0001-0099,aus0001-0100,aus0001-0101,aus0001-0102,aus0001-0103,aus0001-0104,aus0001-0105,aus0001-0106,aus0001-0107,aus0001-0108,aus0001-0109,aus0001-0110,aus0001-0111,aus0001-0112,aus0001-0113,aus0001-0114,aus0001-0115,aus0001-0116,aus0001-0117,aus0001-0118,aus0001-0119,aus0001-0120,aus0001-0121,aus0001-0122,aus0001-0123,aus0001-0124,aus0001-0125,aus0001-0126,aus0001-0127,aus0001-0128,aus0001-0129,aus0001-0130,aus0001-0131,aus0001-0132,aus0001-0133,aus0001-0134,aus0001-0135,aus0001-0136,aus0001-0137,aus0001-0138,aus0001-0139,aus0001-0140,aus0001-0141,aus0001-0142,aus0001-0143,aus0001-0144,aus0001-0145,aus0001-0146,aus0001-0147,aus0001-0148,aus0001-0149,aus0001-0150,aus0001-0151,aus0001-0152,aus0001-0153,aus0001-0154,aus0001-0155,aus0001-0156,aus0001-0157,aus0001-0158,aus0001-0159,aus0001-0160,aus0001-0161,aus0001-0162,aus0001-0163,aus0001-0164,aus0001-0165,aus0001-0166,aus0001-0167,aus0001-0168
0,1987-07-16 23:12:41+00:00,186.79901099439314,229.05225480246247,230.19187299600233,215.23558442892485,203.03748375686797,187.6836421535999,187.80181220477965,180.90090907837137,160.02096809092973,152.16417373511712,142.93245734954363,135.43024972212638,129.56970772054368,113.51612996937975,104.8613173272975,106.47325318573017,117.59693934100603,121.21326292507582,120.7870273131554,125.51439391413125,122.6998013100838,116.82524031773215,126.10689171536383,124.53954479772814,128.20158813639688,124.95957411968472,130.86389141538257,133.77805163381237,135.2429365300384,132.4868949013374,121.85309658170608,122.02308142158977,129.78858798555507,131.63584368731864,135.79894399089258,139.45814767412256,144.63535162310095,145.13796109450925,144.10680061251938,150.3349196997977,146.3434642065738,144.98846292135198,146.74496539976377,148.92095202896604,155.18766942764043,154.22758495779146,151.73608044399379,159.49329087997654,166.66468714703055,163.83786194865303,160.97635738164988,162.97959358598996,157.24656988957076,158.91410257378297,170.1858998950405,171.98931747777925,165.06572988090224,171.98995194570608,171.89488435323696,176.89521061410113,179.11982657299896,179.92445402891576,172.99064329361804,170.4173238350571,168.5309184804917,171.6383489173891,171.8546152207439,175.7920241394881,182.43854956571792,175.91221652149437,180.77976655399874,186.7010783085451,182.10702888428136,182.78835226822846,186.71971562761811,189.37034172160935,183.29454530849154,191.3251237470028,192.40658461299046,192.80302253925998,193.7628396084438,198.14226155371,197.10284497827797,195.9757461447468,193.31726333320123,189.82623384586736,185.8996664020034,185.8571800142742,183.67664157600328,182.53242167822702,181.61135066235053,179.28104798435945,179.24792164516975,184.59117271773113,189.49427386252324,192.67233983718813,192.68831753422154,194.2161200288942,196.50069815789226,198.91414880745117,192.42314707812784,189.7096259181715,187.78749781136275,191.65244595932165,194.4271127454842,191.49899641934195,193.4125159356819,186.67917827729784,191.2099849995558,188.15952349177837,185.69946206695778,180.84624107607792,177.57493032884398,176.26870451051516,173.49165455966408,172.18183006467623,169.63130134352127,167.39301472298717,170.54447922291823,171.71828162268423,177.33726985977196,179.07715271492657,180.97425285321088,176.98479831227507,178.94663651691266,182.21181484916505,179.1790739505615,179.45736298778158,174.6271701453499,168.62033832612207,165.8149113599306,165.26648629665027,172.16360452633586,177.20782434547957,176.5275462927759,170.32982996816946,167.15662028466926,167.2145075068158,166.99425461504748,168.91675224314298,169.80087652156362,171.99920861372956,169.64078000413963,167.01229699915712,170.62380168617392,172.3129498452004,166.29745501647227,170.72784420755653,171.90417156947348,170.27114916475614,185.01615898010442,187.37249632754708,185.16413786214684,182.84335375339367,175.28503181315847,176.72864782536794,180.89170761633034,174.15069505554104,184.05648430246498,180.6751199629256,167.63887907825043,163.65655713009423,180.61186762686071,186.48242877048804,189.3615048418452,191.27846818027962,194.70201167404448,186.18232752744646,195.58605193417696
1,1987-08-17 23:13:36+00:00,168.1502091911892,207.2745914277854,205.10714634083106,204.02415660777848,198.24381943148688,186.643668207079,187.62247695768085,171.3824516589221,160.31781232520794,151.30492284995756,153.19470107123465,144.16022533262262,117.70903705968499,110.69084780233162,111.32192103557199,119.74925943344277,120.3957909578421,118.31584746700238,117.70104709440244,123.33071883414206,116.46520922861748,134.37047389139872,136.4889870972736,129.0577238102046,120.62840611455651,110.29822636221672,120.84713848933926,124.06542267129333,124.36537064421844,124.02711927196543,128.24265134198748,132.21302995602213,137.44777938621263,135.26891284243464,135.9699261648302,136.39748386559546,139.07314431558726,139.7622187193725,148.46337640825755,147.9103629766681,153.2315218386364,149.2717345335133,151.45872234529122,154.00925261308964,154.72821261666542,158.39920030159274,168.18861092709665,163.7306769761924,151.5265440959024,160.16026781718227,162.56877134095242,167.34129441147186,160.27168078733172,154.26542534026214,161.49962871652838,168.34259009441195,172.8706351357623,178.0359141865677,174.95458509338494,169.71925356248778,168.16707222852114,174.16807418773305,171.23973287433807,176.96306199545282,173.50681936551166,172.39243462229194,167.92556169379094,171.90773299723705,172.93935077340686,170.38800688507126,174.2425735320901,175.11839165289575,187.90977125548756,194.51516810373363,190.33979669431213,188.22156844232126,180.37316509609983,183.56685848480083,185.57938994962117,184.90469442328396,189.97075098244042,188.511055269894,199.5131073009658,191.3224889093341,191.1100341817617,188.79407344835602,192.85305244897194,190.324310332121,181.3075077877942,180.5912008458551,178.63391122421058,169.54498844046879,172.14690889777904,171.6728838049026,177.60890827082656,174.9797696993162,181.17051271752933,185.55359696521555,190.51901612085453,196.68927893561994,197.89635937844253,188.64573615141558,176.92798213625844,171.6182777780724,180.95726600026313,185.720593560949,187.32621986530907,181.74057875631036,184.853764763598,188.57108197268354,182.5675019834983,180.38106401701776,182.93419585127893,176.92746689004107,180.8575628346365,177.3352951702445,172.1299031358742,176.81871568350388,171.93993989519612,171.4450520595807,174.22903719775678,179.19455475965458,186.23969907131186,174.74374594762665,178.4833052270035,178.51094688767296,181.32021784646645,173.26787458243692,167.45462957127972,165.1526905265328,162.84270162905426,160.7189806681302,162.48583856635187,162.87978472110402,158.19515612895694,163.83225268472734,161.61943937625375,164.59602229456377,169.70548560519433,178.3387205179564,175.34080519591822,170.08258433518358,176.66272631557663,172.04454362011396,172.86964312267406,183.68871222804367,176.6039376266266,179.07311766311295,184.7282912216844,182.28264708566505,180.378134988071,183.0726671333333,179.1975722729148,180.15568720551317,177.08189077117189,178.1221385098067,178.63407607686236,179.22103432398163,178.03975508902866,173.566945273928,171.1986388493662,166.98467406280594,175.57676454878032,178.1743083510333,183.2413529109479,184.72183504832617,194.96154953950835,188.5719983275207,188.17797730654164
2,1987-09-02 23:14:02+00:00,198.9964645835865,218.35739237557667,215.4418333024849,204.84558464093243,200.82551930854294,188.38167440496332,187.62972488544892,183.4301443397475,173.76151360145906,166.08985489167392,158.6127636090962,144.88091221010356,126.55803559349036,122.14130803253356,112.76473581078848,132.45832375573843,128.8470905609536,131.5053947365468,128.57110604885855,123.30768767773456,130.18183545349152,137.012683663057,138.10145158570307,140.04325582770204,120.58967686522732,133.49722969400523,127.72980728748976,131.0501995321892,134.7526593761662,141.19222858361974,132.80679759558834,140.02330696947047,138.31761063756747,145.4264647788411,145.6213107626676,136.66704307437595,140.63923175695896,152.38273365044108,155.2191007121142,163.54632635047275,158.42550491871032,154.96916565791707,160.89524476993174,166.62901925531082,155.49613741341471,163.8631535659967,174.02098419630025,171.26088487898943,164.9147586615244,167.8101270908786,170.87112796210474,178.3600985825698,171.85817055019325,158.11969525440728,164.3420156104234,177.8731714537778,187.27706345851567,188.38361316329383,178.7496984101729,171.7694417001502,173.4765381992184,174.59513835712792,183.48318860393348,189.2589340399666,186.40048862997634,184.3535098782203,174.23412126280192,173.27983050817642,180.14938245954647,174.21634475062413,170.90739042419708,183.5699739575516,196.12786662501907,194.49491543540566,195.94654250197826,197.25689151255455,193.18426832461012,187.71353374618243,191.81053854765594,188.40870889082007,193.31414732231394,198.6843865675817,203.1804751681837,190.74702210875716,188.95559670994365,192.4903687916106,194.022501724565,187.00313399067613,191.63668407035038,181.7372140537742,182.17543083324642,181.79542214440704,178.4305219447643,178.53325049580167,185.7490104148682,186.87236049216,187.54885852697282,189.08909203098824,197.36097676105956,195.8897952006573,197.3387474557082,195.17468893742517,189.26658702908028,180.99493879163538,197.11902541486145,195.25360442987946,186.78049665693814,184.97042651123408,185.6204922814805,187.802980485292,179.90946444649805,185.97311591345752,181.59490770662254,181.5507194008551,182.96147954640574,176.386827859132,172.58875734854897,176.36761998837187,172.02899914256415,171.6037977404558,173.48688874701824,187.86224810313243,185.4844935963506,182.3330377675088,177.51595784553825,180.5910602337188,187.07932964983928,185.61941400983957,175.0079439583353,171.1928116903145,170.88541744942063,168.8290470835157,166.01410922637768,165.3075581904984,169.3465878891485,171.02472640635276,178.96502731248216,185.3632789951193,180.11166027956642,179.16481225593884,175.00174194756795,172.36955368490825,168.14872443876595,176.0631117683866,180.4449283543304,187.40054486543204,178.29205780494897,179.15261604497303,182.32405758811925,183.46223008950975,184.74382566223875,183.50149657757407,183.28319491496484,186.16069390674573,186.03571557499993,180.93912484154302,177.84687391656942,186.63249739710375,183.71245805787254,179.56308140833255,182.19241255763245,178.37051670884816,182.4520004959087,186.2654201571263,198.8361729892776,198.33838375618143,201.76712277203578,205.09375427333305,190.2421112376971
3,1987-09-18 23:14:26+00:00,193.81304105947578,224.4960526631949,220.26397418436872,215.16642788345996,202.10557620180992,194.39371367724837,191.0155336594582,185.57473297140947,180.1629575954746,163.328751827014,160.76299355267506,137.54350398191508,138.95396289030725,121.00086810846162,120.62084995641031,139.08391523012585,143.32008186581126,142.42238292016637,131.5226365647128,129.8608871352638,135.04224959323554,134.37396462229816,143.99113842622558,145.74889372928044,139.8652158840255,138.10617620111142,135.5184674737866,130.62065277135764,135.26197637565198,147.33731162421535,143.02382452632116,142.97975243794303,148.4381016523548,145.8635206667338,142.85043324239638,137.9762260644939,149.85904091130726,156.9716760801754,166.52863954982166,167.47078661692927,164.7772980804028,165.09509923554677,169.03042414790264,169.47467906666193,169.9093790033684,174.27908447587814,174.76221534104448,175.44881874835554,169.70262244800819,169.2693553193029,178.81375815305444,186.5233370531699,174.7444288870928,172.9420553767354,181.45994956092832,192.96102601192078,199.64538266544585,193.89377150168306,188.44412102584315,174.47282994492696,178.75737584053962,180.45197703279408,190.60636596940654,187.76045658527315,186.31571195211652,187.01585669195254,180.07042621132243,181.37715317173027,189.69788403147328,179.7082930939873,191.18524486118332,194.36431522295138,201.2441933512903,208.6984156308699,205.88850035937978,206.12184528483024,202.6422307654988,193.29678667175025,196.5662600697479,194.38003701656552,204.36235866508824,209.23262564175687,214.7652338210623,206.35615123969578,202.66703377464447,205.76851404080105,207.00836114250944,204.43910332541444,205.58535538560292,191.5030763677797,193.90802388253118,192.30249292365224,182.64545438134883,186.19923397225685,188.33305324150268,193.31275119384748,189.97450502247108,196.01319738543404,204.5832568069547,212.49340432135432,204.60396244000933,195.04706007158586,187.52255487832207,197.81735847128235,204.89719956851704,207.43975014724387,195.01607609416524,199.13937463636793,191.98313059903,192.51377276043252,197.98869358159865,198.17375726606107,195.64281310841955,190.72468790716042,185.01956544526044,184.8312109158888,175.44044825688215,178.09525141705916,174.86079228742886,184.48744251908997,185.87055172791932,181.95388799154279,186.1970573428733,185.8367930780269,181.11344074594084,186.81194603735585,184.77827551185825,178.3402545686529,172.3694872206212,172.04760268724817,175.08197457069357,173.57557225333872,169.31934089434634,177.61111417397336,186.4807680894512,189.81756758441577,183.03803861001202,184.84984767090597,181.45026465403436,179.8082052339852,179.59835436684773,174.74954293841296,182.1106193381562,194.13072475753728,197.22989009904254,191.19267078493831,191.11714452887497,193.79007005867925,190.85877371159617,186.90616966274396,190.41169021025706,191.9242700348423,189.99455495845237,187.05970578334401,183.86573002679515,184.0904483814402,188.2571138716564,185.08961777376732,185.42943499253016,177.3397863283759,182.42366465676614,176.304368837017,181.41881607076883,193.85419075668975,202.4973177608422,201.52213089229923,208.04316955696865,205.07584686671493,200.95792949910646
4,1987-10-04 23:14:46+00:00,185.89857710579832,229.9089435648646,230.64351106133466,222.83563778753975,201.85147591618514,176.95397634014398,180.01088680195426,182.14287640895864,175.28699447816092,163.05905006113431,157.64338043648485,142.2820701311565,136.70025669077557,131.4495656915307,132.70267666788794,130.8829962163047,131.48094799754014,127.5882296650407,126.38592450400671,138.6447269587616,140.99199354252946,143.57654954938585,141.39034469880642,134.86691148937902,128.97238280908903,132.86443606040515,138.0417962423269,134.1672899664334,142.82577431886912,144.58927263157327,149.97345378235218,150.4656357763068,143.8400881870297,147.1338553322086,143.32964531053423,148.642514785795,149.60810431068754,152.20290605831835,151.04764041234694,,,,159.28146393163811,157.5090539605376,159.07658425345844,164.36874043041806,170.56884199852678,182.64286150513644,186.1606385123107,179.98461776515555,172.40195972826962,175.2134852440891,195.11667417938688,180.1801880182685,181.25381607492952,182.076145149723,183.50041041414667,188.2739324032036,183.6585801346395,,,,,,,,,,179.68754713843742,186.56297441437513,193.7009433698678,197.34136774718576,204.37323050670872,204.9572897928458,200.24994732870974,194.71785582693227,197.45955749051103,200.94221253624076,210.65860516685686,196.78888747177766,197.97264988194166,207.33993748111604,,187.6197993765869,198.16350976432204,195.16277688071742,192.3235740170633,198.8479483868346,196.15150839748503,,,,,,,,,,,,,,,,,,,,,,,,,,183.8767907062967,179.26229674772495,178.65185218280868,180.80690383977634,180.3510768227423,187.86277896036566,,,,,,176.36724297896384,177.70661823493316,168.93459677597477,168.67738246637444,174.37875713994828,168.51955278310905,174.39688592628818,171.96577117446574,151.62229441732106,164.92608432489223,176.25842760594838,178.29623141059858,184.00729884444098,182.6725020972159,184.74713116064603,,183.1074150640046,187.64035582309793,185.61929916145164,186.69186423471868,188.337562899055,190.73845016948584,191.66736721783613,187.6391592098819,190.87308698827584,187.22923382519372,189.32858937490906,186.72912940059734,185.94422725124937,183.63512708463387,182.0582567552994,177.70959980218964,178.65506797657906,180.16524275514925,181.287171105752,178.11450543034897,182.1473609248666,181.8046495740758,188.1466267321377,191.4172965716272,197.52582197153558,207.72969327954488,201.38436723713633,194.14294969507247
5,1987-10-20 23:15:03+00:00,192.16047166853446,237.3129907940326,236.89852486669122,227.55774539876634,200.45989451185778,186.3288918813514,180.760113592518,186.8275318191589,182.2236504149013,167.25038230145836,156.5759295003341,147.94007325315906,138.812250016874,136.2515411919835,135.444971701748,133.45002433235467,129.3684354947041,127.25328920144084,129.77299462979695,133.74112433264636,144.0020894459251,145.7594753701657,139.97268453631472,131.95869345064492,131.61931364929538,137.83785139250335,138.87662137939353,140.89338989770627,143.90222872632657,145.88387678295652,154.75703932475162,145.66169399695485,146.61484424386228,146.72301756490785,148.4052601750934,150.0288959876161,156.25275996332064,166.48496457060398,155.03127813217162,170.760942153805,165.56498022166798,169.61850184048552,162.5884257815384,164.06985800108677,165.6424675475799,172.04710844731224,184.5252997142299,182.51551576058708,183.3266386001269,176.31332424962415,183.2269678085816,171.0359848621767,168.00019436176495,175.75789496156122,180.6892253298287,188.08452816945203,182.8506665475531,190.78822741899197,189.36957865104327,186.47417445638987,181.28756149439087,180.1446612687458,190.3310319136607,195.68064877312713,186.0215967078782,191.85678280076377,193.31226094226898,178.9646846768214,176.214353474269,189.35948463935833,195.31467144794632,207.2362413024098,208.356995757645,207.03892936184198,205.05328971106132,199.02719915445758,203.84850425214216,205.66975006363313,205.60679231135086,211.60909154977804,211.56415838219453,200.97250075477783,200.08133223697595,194.14405661200666,199.22871684743248,203.16443120175944,204.8498082266417,202.17866796608166,200.8207435779973,189.54510322578156,197.88743539182798,194.05717094704653,184.4372085210049,182.28386690011132,182.88008489833194,187.27217611989906,194.4483349470321,202.3979042728487,208.24477424326307,212.73913769907128,208.82611693050436,207.48426186426389,198.71025710431184,200.76115219071377,206.04128049096775,201.8192749486834,199.55656380605302,204.32097502507068,206.6530524758848,199.54912116216022,194.58435967830277,191.98700520984005,187.26687985712056,182.85638299010816,187.2516236834403,183.79915802724594,180.91280862070812,180.66369139137603,190.59601439181742,191.29958113780796,188.31242386366986,195.6574305045149,191.55343306295495,187.0417118419957,184.25102573880318,188.5021810474097,185.9260322058348,191.23429382293534,190.1876933429485,180.84120930574807,178.2891717037567,182.84058992480135,179.71869087352522,185.2196575898706,192.0765565683925,187.4665380114064,180.1841210748995,179.9551384800358,190.35374946906924,186.97853380827635,177.94500035577437,173.62766617147034,186.4865267027116,189.71283429065167,198.17160543369923,192.9074758025475,198.67270170656272,194.72336281060464,196.2299072876845,192.91426593325838,192.06515604782416,196.74107284828187,193.79299239267797,195.4223669012914,189.6025167067982,187.9416837991391,193.2111059340724,181.0586119970767,185.35055332481784,191.43124561817797,190.1842945257329,189.9874671843095,190.40855377283245,195.07781202357182,204.75649538400378,205.90989367371188,211.24157596310616,210.78241454783617,204.01947966470212
6,1987-11-21 23:15:42+00:00,184.20397078469762,226.4649574820231,235.85245696497458,218.975751758218,204.759178192438,177.67167422343474,179.9905384619407,191.22997571039653,182.65050330722988,154.07260439408697,148.4551482789421,134.58539947525801,129.8742000607018,127.04532804524237,126.15405201551768,101.14122968955891,115.03277763157924,128.10019922825717,130.85753173899448,129.24884369578368,126.83352536304034,141.24058175692625,139.45060075373533,128.8649847808966,120.60080880638886,116.31770105750218,124.6416363728331,139.96371945198504,134.2460272929159,136.4885848259975,140.82576423375662,149.12647421992844,143.54777661373092,138.91958603247687,142.55078861216194,142.08275719874374,132.97088510594415,147.21943368397822,154.97471246590266,154.00691667745207,164.09375432735177,151.30578472223877,143.80538979588422,152.79977026928051,153.99244521089665,163.25709065415967,157.01411729955993,163.67570485470574,169.11323326883596,173.40830360610627,167.4753185206269,168.07769052814055,173.58514925765581,169.10192692917315,166.44713034115026,163.58344817478266,167.72533411658296,188.16803226572637,173.51779294756642,172.69464090391406,174.16580535254866,172.88310689049553,173.39720804487413,185.18806835174567,176.34647829766536,164.99635256430398,176.53410843246857,177.68705152834679,179.14409833534046,185.90833523543654,184.9837336877444,194.09317693855112,196.36858589538133,202.554443249247,200.62413624225184,191.4423618724304,191.83950614206927,198.81092705156655,207.7654072681757,200.68614477074908,200.73618057066415,200.6586536666465,198.38828026812413,200.1189524812264,203.82197143582363,198.7453018686882,197.74532575178068,194.1540734254886,192.90190253005088,190.94722367438038,188.50378962162674,192.10435630375216,183.03034551727274,182.55469606029695,184.32130494141626,189.04672375966155,192.64985295915113,195.80471097938747,208.98831162377908,211.7532253513742,203.57123627157793,201.99042496667545,196.72711979759507,200.9575061946533,196.51293751836695,194.7767092825506,200.106760889041,199.07070383465384,202.34682941930768,196.73592246702617,195.88316227030532,190.72171569460792,184.4344191900885,179.95064333943495,177.97448031588837,180.88546429054628,181.30537686152758,177.02052985007316,185.7050007748208,183.91259561882464,186.5855739324961,184.3885433217851,187.38329905655598,182.40486556830788,181.34945729846828,186.69386496304702,193.64697763119125,195.1852686913942,186.01302825105483,177.48534021293096,175.13131964166996,173.85943703158208,175.44915052332175,181.2074484474415,179.30654356616517,186.64386133379185,180.4465487720237,179.10093333055585,189.47782315642118,186.16127262892127,179.5509292538348,178.43646456396385,174.44996141169935,180.65629057739886,196.01472859976738,197.39560872101362,200.53432353078793,193.63825148576137,197.36812994422084,190.06466587045216,189.86100594119998,191.03480674969296,186.26651688438142,187.8830899183786,185.62239796978037,184.78272542173704,182.19944362490745,181.3520105751958,181.2591732851155,187.3202732942185,181.84082942535636,185.92302516857143,179.9008426678221,180.47483722000536,189.77681904635844,198.16024899347138,211.2925327226336,208.53446575086832,197.4356016954079
7,1987-12-07 23:15:55+00:00,,,,,,182.83663827035633,186.39204468766243,189.6639022596117,189.67610711308816,180.78510971153776,165.8210715635836,152.45640561478464,150.4241315499096,147.6151091436182,139.79912817842091,137.51551854470205,138.83229481583192,140.23179629795555,139.7994822508752,141.3768517025441,145.25590860740036,154.27566335053808,149.64875261294486,144.31278503348076,146.28065994371357,143.80401351025756,141.26317762687526,139.6233407420251,136.62594377168767,135.45059240462814,137.54034528058332,147.0757242348448,149.1714732860052,148.2003628730919,149.56482788254868,148.21173878570656,150.89854245674758,158.4587903094956,161.43260481214676,165.4165611371893,174.4253713569304,173.98323222975563,171.9037166743679,176.94946748334942,173.8390224231007,173.06150503781834,172.77203390751572,181.96552233662334,178.97126576734883,181.85219635369785,186.08554265338407,186.80939129926637,194.59112997499338,188.59271174308253,181.66751439079357,193.7273598786218,188.15252241570425,190.9278164999244,186.54037557277724,186.39220616177408,184.8532144746471,188.407997009893,197.65353864101363,203.8375581890119,201.4457844910936,190.60035480228308,199.07352819088553,191.44223896636944,188.13913201855453,187.59034996252603,200.73709333048944,207.63177602825974,215.07123429678327,209.34500544070798,209.00164767649812,202.79355869673228,207.58101467140625,206.24422312566313,211.54380431391803,213.3232463083583,214.13682143198457,206.44543470950066,203.61593863229615,205.38866198678542,209.90382647520414,205.22291939586157,211.76009750444175,209.51720195513641,197.03272513103389,196.67355898218165,204.68692028834374,200.29118712250863,199.01601049897326,190.26792693031658,197.9901198708131,197.6125626765555,198.86291095021994,205.18490507234466,210.2127219545729,204.72328648918213,208.13605538284705,212.8548869290227,205.82666075406814,206.39523361642964,201.75642409852716,198.17175015355193,199.66045361712906,201.5239290137322,196.46686986423333,192.1130561062974,191.15222100969922,190.03691096361922,189.33516761876308,183.15900303120293,182.4982122766234,178.6437446994561,181.83588549011702,186.0815615096701,190.18966150601292,191.67488330840226,186.4161616636266,188.59260299238667,189.1827915347538,190.11130392488755,189.73494136168887,194.61560099071588,194.37045194560955,201.01444812179696,196.9172683715231,187.38739094689552,186.89391201273628,183.95234669839954,175.53615626995966,183.4590331284726,180.2065813056122,176.80431085549495,175.6878845224818,180.63933041320408,188.33988403882162,177.95208263561304,185.67018625734002,182.82189791857178,178.58702994379527,194.86793909738915,195.55377708388644,201.92716492246078,196.83318989726766,196.29811698620725,190.91901110827024,189.31681456195716,195.55602282583868,192.0487105420592,178.65346324862205,193.9136885992358,190.9230579176997,186.8628448138255,188.2404534273809,187.6797677914121,190.37663167047575,191.8089982374242,196.21638346111385,194.8910788707327,188.15361938873377,192.59345010628118,195.4578735032796,202.67975771818394,215.61553987758649,212.6170869763471,204.17954671210703
8,1988-06-16 23:18:05+00:00,178.65516585260073,222.84106637930338,216.88632364620645,202.74582837464843,198.17365820080255,176.65384169863765,170.32319218749709,173.23174528026667,174.4129060329392,163.6103991244709,162.4984478328978,137.41283873358927,130.7609670993138,113.05877261250663,114.72471833192903,118.95662264379108,114.68879616359688,121.44095542029245,130.48540465311135,123.41544472431741,129.96086405237898,134.10022699868105,134.80519354505367,125.89533767145866,129.17176810318983,128.85053635040944,127.9152236404199,126.29103999254238,122.49661282770589,128.71510075735304,121.81375615449907,126.06134063776283,119.60903495310984,123.53539369907085,136.97677229953547,133.41294601329253,130.22725585606517,135.56446818841414,138.42027122986153,134.24484001527816,140.97096908210526,150.54934997135686,153.91249393548108,157.91518099643545,158.97959009748982,151.42887020224762,143.4683369484128,155.54069684922743,159.05086935920565,160.77400764628993,157.90459826273357,159.85486680408474,156.65193871784678,162.56237204087034,156.67202996997406,153.7568771522793,156.61358592301528,165.0371914788076,152.6651278297515,164.1419806042678,172.5175882707568,172.73881874285746,173.18417922330318,167.0185697520076,181.18909055003004,179.68821745279277,174.04639384673837,177.93344720498175,181.27389598747553,181.35208269156573,186.08760574820116,181.97942463160348,177.27350886264034,184.12463128304802,186.37045354893186,176.48506745734386,171.07524604304922,180.85104392862428,178.97488259850067,174.13122999516696,175.53442362882217,180.78831423332616,184.6730034606489,190.1601957776684,188.88571706381393,187.6336120862677,181.42723768440845,168.226702996431,172.7118585751203,174.38812821839147,179.78734885563162,162.13189972606278,161.94533747523377,162.96988843857878,170.27272949020144,179.6284895406272,185.31876801889914,187.47484165797383,194.8741835644036,183.59523460753394,174.72316926642338,181.56979364244089,183.170280363779,178.04810839075304,192.0100789888353,190.20141365805623,190.29685958256403,188.19693556349523,188.38974920764915,182.75201374360614,179.50294781944027,172.46615283717904,170.9897794076345,171.0340562717283,172.9873998473584,165.4759997211622,169.74935868700118,163.44116042312055,173.46804405885396,168.10087785365403,182.89176476221402,179.2096206523633,173.37104771090014,182.57044007566498,170.11697769750572,168.03632121147987,174.3277557707505,174.0729949637462,173.60914581540143,170.04720295997927,167.57470854930247,,,,,,,,,,,,,,161.32991883330143,168.5295010915296,167.6923996170665,179.13715946689547,175.19346548979962,173.77923710835316,178.13260423170018,181.76633438294618,176.0260206026303,180.88223282327928,,,,,,,,,,,,,,,
