,dates,mex0135-0000,mex0135-0001,mex0135-0002,mex0135-0003,mex0135-0004,mex0135-0005,mex0135-0006,mex0135-0007,mex0135-0008,mex0135-0009,mex0135-0010,mex0135-0011,mex0135-0012,mex0135-0013,mex0135-0014,mex0135-0015,mex0135-0016,mex0135-0017,mex0135-0018,mex0135-0019,mex0135-0020,mex0135-0021,mex0135-0022,mex0135-0023,mex0135-0024,mex0135-0025,mex0135-0026,mex0135-0027,mex0135-0028,mex0135-0029,mex0135-0030,mex0135-0031,mex0135-0032,mex0135-0033,mex0135-0034,mex0135-0035,mex0135-0036,mex0135-0037,mex0135-0038,mex0135-0039,mex0135-0040,mex0135-0041,mex0135-0042,mex0135-0043,mex0135-0044,mex0135-0045,mex0135-0046,mex0135-0047,mex0135-0048,mex0135-0049,mex0135-0050,mex0135-0051,mex0135-0052,mex0135-0053,mex0135-0054,mex0135-0055,mex0135-0056,mex0135-0057,mex0135-0058,mex0135-0059,mex0135-0060,mex0135-0061,mex0135-0062,mex0135-0063,mex0135-0064,mex0135-0065,mex0135-0066,mex0135-0067,mex0135-0068,mex0135-0069,mex0135-0070,mex0135-0071,mex0135-0072,mex0135-0073,mex0135-0074,mex0135-0075,mex0135-0076,mex0135-0077,mex0135-0078,mex0135-0079,mex0135-0080,mex0135-0081,mex0135-0082,mex0135-0083,mex0135-0084,mex0135-0085,mex0135-0086,mex0135-0087,mex0135-0088,mex0135-0089,mex0135-0090,mex0135-0091,mex0135-0092,mex0135-0093,mex0135-0094,mex0135-0095,mex0135-0096,mex0135-0097,mex0135-0098,mex0135-0099,mex0135-0100,mex0135-0101,mex0135-0102,mex0135-0103,mex0135-0104,mex0135-0105,mex0135-0106,mex0135-0107,mex0135-0108,mex0135-0109,mex0135-0110,mex0135-0111,mex0135-0112,mex0135-0113,mex0135-0114,mex0135-0115,mex0135-0116,mex0135-0117,mex0135-0118,mex0135-0119,mex0135-0120,mex0135-0121,mex0135-0122,mex0135-0123,mex0135-0124,mex0135-0125,mex0135-0126,mex0135-0127,mex0135-0128,mex0135-0129,mex0135-0130,mex0135-0131,mex0135-0132,mex0135-0133,mex0135-0134,mex0135-0135,mex0135-0136,mex0135-0137,mex0135-0138,mex0135-0139,mex0135-0140,mex0135-0141,mex0135-0142,mex0135-0143,mex0135-0144,mex0135-0145,mex0135-0146,mex0135-0147,mex0135-0148,mex0135-0149,mex0135-0150,mex0135-0151,mex0135-0152,mex0135-0153,mex0135-0154,mex0135-0155,mex0135-0156,mex0135-0157,mex0135-0158,mex0135-0159,mex0135-0160,mex0135-0161,mex0135-0162,mex0135-0163,mex0135-0164,mex0135-0165,mex0135-0166,mex0135-0167,mex0135-0168,mex0135-0169,mex0135-0170,mex0135-0171,mex0135-0172,mex0135-0173,mex0135-0174,mex0135-0175
0,1984-09-09 16:30:29+00:00,133.92467131836997,142.68869555316525,150.87118833554337,156.59735183545672,164.9541481656541,169.91008424922657,167.4641439526878,171.11667001423643,172.44280909453846,168.92315182855293,169.45268263890088,171.10317824475268,173.62172054733776,174.36211480313446,177.45604536778677,173.70380617528963,171.56577704481515,173.48635774934507,172.44599442683116,179.29841846949617,183.17080742372545,179.1293446222222,192.18860371284808,192.8139839174251,196.49791237044084,198.99738757813105,201.475851222689,201.36616752538407,202.01849264195678,204.3538874179873,210.13556887013064,206.41380914814746,212.91369383909415,206.91331695046895,206.2522429934977,204.60343672015492,209.07808082920678,199.66120102135554,201.64483169948076,199.88782507904105,204.8100270650051,206.84622911076013,212.35302836131433,203.16463020362974,208.11744737663295,207.70992417020867,209.3188950060973,208.29152090090525,211.8571572052595,208.72833354139107,203.25063370755677,199.2773906040829,195.1371624486419,196.9215667620422,200.71168110400853,210.4090825524053,210.87756531602278,204.22245457656243,205.50995638813686,205.9196154569502,210.4736131151543,211.070876752205,211.35763032301367,203.2234440737965,199.13020402257416,199.602981985447,195.01757224062646,198.23085649788615,204.01023184518317,194.74625188305163,197.7033967350774,191.53385902014998,182.78675798363176,191.43309632306898,191.51259237884491,188.19602392864337,192.00813055055784,191.67208374474058,192.35288347538574,189.43090997446325,195.14532385059334,196.74513357843017,202.0323137157257,197.37969268865538,197.46011572990997,196.37534098632338,200.79157662293176,198.14522556128526,208.57216146852562,206.98164392957648,211.83446772961773,213.85808611352,208.42967420097216,207.2739838648282,212.9947594421237,213.84507936377705,212.2992474376574,207.46958926490836,201.5313488105828,198.98734921738688,201.2377249183807,209.8787498851227,211.78990833801072,209.08899507002374,210.23107701469587,206.00503474431378,213.0637619967795,208.98485613559666,216.7873976582116,219.02274846136763,216.2726889613971,214.7678327125007,216.80058019636783,214.26820527503256,213.37251158484406,216.2159815107217,215.69848131926918,222.11947885961564,220.57716044634677,223.3533627567903,217.83700216832935,221.5658711411629,222.67004437052714,226.08218947312204,222.30970422095584,227.36894876655765,225.75293035143417,226.5900308991802,221.27078509433957,222.786153244816,218.55221520081034,217.38066148870672,218.41984240336257,219.51183759615242,218.96701557966227,221.50435593978747,223.6429034748688,219.29019812025837,217.58756217489554,212.43678678759386,207.62269340228443,205.3517738404392,207.36159929165072,195.7946689138435,192.16595260935915,185.41292462109394,183.93010682745665,186.25874116232586,196.74189075323744,193.7957173801041,194.21345114812559,191.17981334086124,190.91344674101984,185.83060558476853,186.00957480793255,187.91384288783243,184.29280184768078,186.82980283637738,182.51094812493068,186.004927655052,184.61778290585065,186.05255921096324,178.6743377680969,178.7332550266555,181.27886383540994,185.40641347908172,194.58228213548784,193.39667653654985,201.5481467020319,201.9174088813634,202.90721743115208,200.659571967845,203.8624342258631,201.7023009964998,203.11752518340316,211.3158314748522
1,1984-12-30 16:30:38+00:00,98.49923850518788,142.2849851233863,149.3575550407623,155.54408925703382,177.28384313283945,165.43760299969605,145.7658048215405,182.85769546935597,184.79846125583543,158.47438842592442,173.66884188031497,184.34293093195677,183.9346378403714,170.991460024699,172.4032662398456,174.9332437212127,171.37619942500538,192.19527850352407,179.33398474889464,191.22161617623462,188.8389555343757,199.58047414723143,190.94519196644137,199.40318373433735,194.55394137670015,208.58299245864708,208.53818820501942,213.422846898398,203.00036223707815,195.22303394805908,200.88691758601794,194.66473122648523,201.11328782584638,206.93381749342117,196.2891659317964,204.12784289135237,210.8748646306272,201.5862194163328,198.41905644813284,198.35606538686787,195.08141862971183,197.8913649029585,200.1909570509918,207.15255650512023,205.66779612015932,204.9573844394227,199.06516188865606,205.61532780349177,210.23786520691021,205.33656788512857,204.83967966633932,200.69317027556534,198.18352152332864,198.5768395472177,201.2804735275187,202.20343613606494,195.50048280937105,196.445502830923,202.45244939127377,208.37624977810745,211.99371946639997,214.63008335700476,210.10147791460207,211.2770264213025,210.5879826746337,210.93670557040917,206.73939237689353,204.21766774776017,200.42736506537764,201.84036483642598,195.4851073052973,202.44376993927096,194.02701712378288,191.54284844554988,191.14712146834844,189.46788207105178,182.13408835345226,188.87035545965261,193.95780068786104,194.5953714354609,190.92969480803714,199.31141153882453,202.0578817592228,206.94716197616071,204.88882685537118,210.62308136335687,209.68310738123364,208.6689977899297,208.4214350592647,213.19172346185013,215.55606376288588,214.50554462030107,203.08381120837407,204.722014601684,203.45517926407138,208.8999029654876,206.75385882617095,208.8461793608197,208.43474809120605,208.3064070286124,211.21097853970878,216.37224630217267,215.2473631907007,207.62166100096172,215.54210207950652,221.49922413090158,219.5160504813286,209.25626283507634,219.80440668480446,221.75295411548387,220.1543275846998,213.76319331663632,218.7139671818709,215.78791681388157,225.1722907450074,227.22329015499105,227.83062188612158,221.77819261130008,218.1728772629989,222.49265541640466,228.18012612892815,229.15437132604305,225.67558279668938,219.46063757917608,231.07237858600774,230.66233357785515,230.47961093380667,232.49426897747205,229.06151270394594,229.72078605458654,228.81537828930055,230.21701454865388,223.19648842317056,225.9720309699975,220.16149232855068,217.9486654179652,214.7478056832202,213.34548311655277,210.46562166615246,213.38419683006165,202.95814891168686,206.485185985677,200.74315000230035,192.71818270778152,190.08325515503122,191.51709665683654,189.44169023753466,184.99418000026984,185.56319010029264,190.26069631776156,188.4578196445621,190.79956575669837,192.44452346673174,186.22281658767338,187.11491228385862,188.45673507293958,193.46068046610014,187.3522229815764,184.4377014722331,183.77524938131938,177.066372610752,181.8914627287319,179.24035651598746,182.71033838749497,189.015217766854,191.28208099945306,193.84129790215826,200.27357477028943,203.5707401858537,195.0767682219868,201.2017505831662,203.00398243641914,214.16206289929755,207.22679515100037,211.8709856065844,228.45456923895165
2,1985-01-31 16:30:48+00:00,138.80210439963398,152.97821391991576,148.81538386473736,172.15436749142197,180.0881413785799,168.0588812754968,171.29206257010838,189.46231733622355,170.25984827156321,176.63553142868975,188.6972034106455,192.3659142864302,187.02274423075517,196.26877116754483,185.20112755279794,197.17995230017237,195.62672138162554,200.30181833811395,198.55741426698245,206.42345106391565,207.37392468237164,200.8136069031503,210.4873761554923,202.19922587809327,220.3898528135444,220.8168940243751,224.57685622973233,223.31117571977808,223.40600377590758,229.08749257245626,222.65246246872596,225.73409828192837,224.4376466953026,217.48959542110856,220.23870123456166,221.93994583482583,220.616202374958,216.3792018033767,217.34970068782096,216.47179563290487,215.32586186805636,223.35837269625276,220.56026087066525,224.38012850376919,219.2023719452663,224.24707633921233,225.7337543649488,232.68268110250193,227.80507199180684,230.95221107169027,225.57782718219306,227.02834047239034,227.2444879583256,225.53090845588423,224.13587376537237,229.1835109641973,229.22606532562673,230.4152339710708,228.25302158070122,234.09306756123564,230.5306826289864,230.76672736161282,223.95133632956043,226.05735657896935,221.58290100402778,221.80833387758213,220.88239350579468,217.91959679636707,215.75846197093963,220.0992112063519,216.85458862922593,218.50927532635157,215.22938610889278,214.5152255416691,208.6860343516181,207.3053766550561,202.04262575657887,205.04105332776234,204.55640957848402,208.6676429601394,207.47062585008536,212.78374431100875,209.4632469036401,216.16108854078274,216.76267911406336,219.54487946087417,221.9091087347224,236.49456865686506,233.9284809035284,233.87687376074615,233.56114279746512,236.09442227056073,237.29993434517445,229.41622878397706,225.06718016553575,221.6279743686863,225.6709003416311,231.21010522105533,228.33867599026658,230.07328112215603,233.0026305214446,228.82275942339618,228.6510296395293,232.83805452925878,242.45967469057217,240.96789299724298,232.00382450181158,235.52479759851252,249.44447656290322,243.32763237285775,239.64359580833468,232.24937699702818,238.2863369543261,244.63151033697795,251.68489338482672,250.4091883241947,249.11432503409281,246.71853678212207,252.06034082943933,253.2853006308552,259.35975105313526,252.80951826488703,254.91595114568656,254.1729959242225,255.94895891044337,252.37847605792822,254.94324213886193,254.71570446150645,253.6094467523599,252.05098442230044,249.50397393995848,252.0719364122931,245.57803825575425,245.04111826493397,240.89073380837505,241.44995313231107,234.76554002574844,235.91916004185236,226.68142491481808,231.83573454368866,221.85500777493968,223.14761776384313,218.92769825599026,211.12455858493468,209.25252234717,210.57918152539648,207.26925270078976,213.83585976109083,214.50700121781807,217.07391506200685,220.88594031310495,216.25698862795429,218.5617435570121,209.9412487269025,207.43450400376437,205.66515876072444,209.38052405193298,214.89099228066956,212.60230952577766,208.88564292822716,203.70627069536084,204.5240340314777,201.3331473155998,204.49005170785358,207.9400362303758,214.92876816204011,215.41829160499813,224.96170313480465,226.01180065391154,228.08501078697498,231.22966033763015,229.67099238814055,228.23516694321182,229.10606095658162,231.02954662690652,247.1815365139244
3,1985-10-30 16:29:10+00:00,128.32621916039915,133.91071411520116,137.83070498467282,147.57933208186716,153.6657323737233,167.44126817504747,145.39971308369624,147.56816960893167,157.4831331951421,151.17020160797216,153.85431624051972,156.19192020829692,152.55571704076954,155.9816752657772,162.4307094099447,154.84974951096768,158.7611865964962,167.48123686601474,167.03609775096007,184.66731233534455,188.29819434000817,188.04728682355304,185.5624969900516,188.4604894422053,200.57581655057348,199.52341166597455,183.4029275096278,188.77099882475045,195.99186537111567,195.29052853170055,189.1535753007663,201.78892471760582,192.5928539682115,192.2334280387032,195.16332600967652,195.03132678124285,193.9666952780342,197.57268689523443,193.486914459935,191.90979085016585,197.55714388680454,207.89995161197854,196.08102293966573,200.98316985173597,199.011919638364,205.815355965383,201.8061829850913,199.3374151096207,196.5039957572665,191.6597133286101,192.63654541134412,197.13606940377016,,195.40666795117454,200.6600362166977,193.38710683195453,191.89675210172598,209.4982695449898,211.715696303254,,216.86555570698746,251.66470826063352,202.0648774474912,205.98993970697708,,,199.5168236129697,204.4140465902854,197.51488558875363,,,242.21863078771526,219.79523563754853,196.75597486726662,179.28541929192937,194.0867981383555,188.9807397309525,186.98325441397304,187.2410420197857,187.23468385047744,194.80831627520337,192.01512335161158,195.8220536828241,195.61026895416293,196.72667396996593,195.32455778665405,197.6839967212116,203.79503938191675,197.3617899179771,204.71316634581518,201.55593695317208,209.7690299047513,208.99618717171865,209.72444604954399,,,259.0163916339417,,,192.57994898624418,192.9021977839169,193.72980566819385,196.31621098406873,,,199.44889615786528,209.82169768665432,206.97282716209475,205.0150450248794,201.37651568263055,199.21364676892068,,206.49085111292015,204.66240385068443,,,,,,215.50079233907007,,202.40537482936975,210.76549527754696,216.52043612714132,,211.3443862018279,208.78979988302814,212.6777895758807,204.76523864813743,208.09790687367152,206.34415177814705,211.46751125149913,,,,,,,,,,,,,,,,,202.5479708604213,199.82045383790808,,,,,,192.07182544840606,194.806243636827,196.92425429551136,194.24375874221238,192.04645963686937,181.7143766091946,186.8371143990658,178.89012262772388,178.291743018465,181.42089488627346,184.83653967092746,188.0809155816331,190.43812275588607,200.36043856140583,199.73821503415115,192.12475099590588,193.70910400186494,199.4332585795091,192.8290423268403,,197.53697662064036
4,1986-03-23 16:26:19+00:00,152.14018084395678,159.29360927521589,169.61861275969693,175.8980877241539,185.30242885218425,186.53545244096463,186.34223814667612,183.34910611575427,184.8276169342368,182.72387943573543,182.66819203396398,182.5685303891784,189.70720057071625,185.8104389595901,190.68470876323497,189.94140268050955,189.75268013954778,193.077280746374,194.60220061669273,193.97488296619656,199.96550428347092,196.6479336356558,203.22175090467542,202.71029509115397,213.0946008320288,209.63790765176302,212.02967000771696,216.98214582273363,219.06050932350473,220.42158900565593,218.8476768229666,222.4618071698859,220.70114973448008,222.37351117492008,226.9002558770832,224.01490632818994,227.57015722398694,224.8649891716079,228.98730862494932,225.49023961729583,226.74797023321526,228.9056148825115,235.82241962520158,233.72014519950304,241.41662678903504,240.62440416636503,242.82696428963501,239.65772568436878,242.8138374762613,,242.62893249573057,237.178071496944,235.65872564117865,232.30396632954654,239.43289212594797,234.57561547442853,,240.5038865693774,240.83696328103596,233.58161407624513,231.60085162334386,222.50594646403897,222.85444770614467,211.87491949578913,207.59093979817692,201.4530836472991,200.01334365428374,199.0547590738588,202.09879677805483,194.41624816007524,198.02096928810462,194.4689023951887,195.2674171768767,198.75062100319124,199.57608206131695,199.93916014011677,210.02351687175675,205.08745747035468,213.30488568876052,215.56991381412035,222.74208805231822,220.93441273377587,224.19200336291473,223.0825010653437,228.3196658911193,229.591060038648,232.3194908340871,240.36954861679357,239.11781332681102,241.05415399025543,236.45135229401066,238.13220807358442,235.37320575224138,235.52296722357778,238.01193425006107,239.26906059503068,237.720426840243,237.26269470661958,232.36283608343484,235.32341865306014,229.3187331816995,,235.1789019763306,242.22280797590435,242.34617283163686,245.55968317923322,244.78163084557647,241.45312315757795,246.0998088427818,248.98887520752817,246.86486942009407,251.62354294716758,252.30526501221075,252.77829427486293,246.39306661188013,250.16147746418432,253.68875886776075,255.4483533301447,258.5888307710433,255.3763324443731,249.42506018069096,245.80445524376677,254.18534712646547,257.53268538624144,258.9856723015645,250.24620856406506,249.31430487617845,239.63135652869127,237.0362453213669,233.64353320616559,229.7783306371585,220.96940390824918,217.14761972604845,217.97669488837525,216.24053200010147,217.7563167022592,220.37050657119778,217.58489073757707,215.8596483450925,216.07439811073797,213.60526990341498,213.6341587923775,212.7293135453713,213.3165663010663,210.02728285218896,211.6740127412098,207.6174458235422,213.58668756234027,215.0707502320165,219.59987413819505,226.0997705292008,224.6243776725104,223.7555294717122,222.43498029931385,221.6062638368986,222.18408104938416,221.16037407242865,217.7545767824073,219.55415445218196,215.32117898442507,212.48623060543056,209.0667874878624,206.78169468625183,204.53771890367622,205.7307356485601,213.36238172106806,215.05072134215703,221.56171894197507,217.53851224516765,222.56548572101838,221.60204248712674,229.88253356341252,229.6916786672468,225.99728979715374,232.64619122173036,236.07912555463872
5,1986-04-24 16:25:36+00:00,141.73441727612152,144.3801299490181,156.8305886683007,169.5080297793546,173.29865135327535,173.52508143589398,173.38121266006192,171.86055701669483,181.8190562985229,183.97581410648922,188.1523763638319,181.04241645024146,186.84894188958387,183.22010724331687,181.48428803649784,191.1988887470923,188.02642659567385,191.21610262344444,191.4115389821824,192.2158849330037,195.62613641121675,199.03345094341688,204.33931071807052,201.37765477641273,204.5315811087623,208.65937293881998,211.50230709780396,208.91421675869208,219.47298788179629,212.91377528719846,210.9934441912475,211.58544307641696,216.29794737631534,213.27756381992154,216.89394504276413,217.53483423664028,216.70742124877054,218.177813592467,220.10967217313947,220.10452895450396,220.84357900913176,223.41176861640247,221.98500679798832,224.51501960981525,232.023164175521,241.96690077077608,240.03085710758077,240.96863096894162,241.37025179670502,,236.11248797279836,236.50152729098835,241.33551324542933,237.75073225761014,241.07958154870735,236.06282081769152,,237.9813672872129,234.09885811816415,225.85351056896494,227.40631846728562,215.03205106008315,213.45351325086546,208.05859570307936,204.7614441328468,199.4656703395235,203.72975477657238,197.90181638505655,195.93848361977848,195.52659769062362,195.27000609533076,195.38284648445227,194.15713896504116,197.06559455850734,197.35788281953566,193.4611938837543,197.39780771426226,195.87828636458838,202.94859432968232,203.5529467881818,209.94383708159776,209.54171696948117,214.4267770595891,211.00413355890203,214.76871072387732,221.7222718537072,229.21022385231345,229.31677617985426,230.11808941892644,231.890803772102,229.11510249915244,225.2507600980628,220.58262551683808,223.12756433613873,223.80026308697023,223.17935884794474,219.1162965849471,215.2718047663164,217.7880462988605,223.98633772353975,219.3340284243266,221.10990062544542,227.01486730520423,233.97458823511232,234.66083315859555,230.48684963152937,230.971768801176,243.7171780638851,240.15825943048065,238.7108543102322,229.56166191378077,234.00666442598703,238.18499651680153,237.28996135204036,233.75263366767726,242.40983683240853,245.8818253481236,254.79281472457728,247.85451544254946,252.48210772513553,259.46215197875927,254.3295446152721,249.16111720839734,250.74610952717785,252.23279982511843,248.63182718209177,244.23494931068984,239.15050267711075,235.95438224806642,229.37342578261328,230.20433789574358,224.4592448770557,218.75253134211871,217.96138635487043,213.66023782237255,217.93768572780263,216.36615269731126,214.02184974687268,206.30998531551577,214.79570806752432,206.83970148710773,202.4951186677092,204.78419996385708,211.33407980152333,209.70751060122979,209.95226246536487,201.4713770525471,213.77656740890154,211.54000284035436,209.9534074050068,205.91074971898914,217.0881995559386,208.91238936118404,211.33717948145784,209.5396118723697,209.9859244470016,220.24094531900295,216.5365663743607,210.81932370985595,213.17275497492054,202.84707612321878,193.76150456850146,198.65207451943306,191.88854928971276,196.33665068685414,200.84099804027713,212.03701000483153,216.54951600984316,218.49765649738205,218.31869100668413,221.74439766896018,213.85080763788852,218.5167001111395,223.39051585150378,225.75372493017264,222.32137123983247
6,1987-07-16 16:25:35+00:00,123.26307941322987,131.51325072829243,132.5614427783344,154.62696196206412,158.12631559597025,155.51760682554027,155.70997635462973,143.6900507043166,144.54291176877865,151.9502896039312,155.9996843487956,158.4035992283237,161.37148805612216,156.54458881587584,159.99130213342738,156.62827913613197,162.7582672286979,171.86983920076324,168.62994898345812,173.713245713612,169.97394807531214,169.7188710492295,176.88237689350848,185.80866104249137,175.46090119870678,179.42933115611527,193.12101457777874,195.01622772201245,194.87444667814725,191.14247151195661,195.44763632678647,195.0582469851001,193.17010217687286,192.27054825163555,194.44227632393225,197.5611840630329,194.39694478472194,196.65994871300782,191.23250590191589,196.28740090286863,196.64290061948083,202.91748435500654,200.38675440852097,200.64564553983047,190.3425442916649,197.76117061407962,199.41204116041746,202.21581923975754,204.5301518024549,200.22746134052903,202.86828585045123,197.54154742033023,191.49617596163614,194.63809328082948,206.3414433477846,199.86166907522986,198.9226629624726,201.10795088893002,203.64467530437105,195.1602226555352,197.62411522994844,193.51440782368405,192.2478750332632,190.5071412090015,192.37564353047753,182.68046298861063,180.62553327186222,173.9301098728214,177.90263863257923,175.9967268745006,183.89295602419654,175.32761281839163,178.8572843438239,174.81721177464678,175.10595018814254,168.38781014002268,164.16353441955295,171.50711798213624,178.28838980273426,177.01232751605048,179.5380991941318,183.74133554563906,182.87500458323368,183.57105365902007,181.30215931125556,181.72721290048796,174.92095106454923,182.8764301687387,194.67430542460195,201.8178043006738,196.39420655043708,193.63003033053818,194.31548371842445,191.68818638594826,197.43653736098432,194.24251316900765,190.28184727642167,192.21577506428028,190.0326876624789,192.41802473070123,188.49385614453053,176.59437012570024,179.7018381121477,196.8978983462311,201.9836169726047,201.81756516441783,202.51302592184095,197.1285965972751,194.57673764891877,202.52203626085145,202.52809655202162,203.61397774001713,202.66904218542516,199.6542761655345,203.30958639996896,205.95080476504455,207.83093230431572,212.00630298272384,216.11232950612697,214.70615118429248,206.0435749913075,211.15264824281803,222.38895373668487,221.22258170657864,220.91010908609985,212.91256668971573,218.72051547642806,215.50570045941066,219.61217506284888,212.06714984148226,212.58424187601238,208.18834834704387,207.62755008794755,206.62143114965812,211.85533866292155,207.3954428011302,208.01091051178574,200.80294338514324,201.55856296655077,192.90275762299225,192.13555555303023,183.75371020324587,183.59443709930872,187.31275273560118,180.3006671695777,177.99590602466213,187.44018495771832,189.62889398041858,191.33773694502756,193.31645044681213,189.30025851632905,191.47509602871125,190.17217305270552,193.31237081689653,189.49059689553462,189.94770343978234,190.8241747141955,189.93172108067415,187.6862156520036,180.68406138491596,176.1709558680208,168.9466778466831,164.50307963380862,175.0323320552127,181.56210106270663,175.6512286870038,173.08114428601348,170.64548485084083,187.90826864153348,189.1199403412271,201.18986788388096,196.95267817247992,189.7376128556544,186.6106471351659,185.58645445688614,207.49467086821403
7,1987-08-17 16:26:31+00:00,117.54071432648138,141.1931851921114,148.46907403852524,147.59405676355118,152.16324671020976,164.17931280174275,165.17031910231267,160.74954374840695,147.7579307350623,157.44511652192753,160.63617839661583,159.93505233220554,158.75166205311842,164.89677812855928,163.7148176666803,170.1191138968514,162.91015865231867,166.99342844268517,166.50597239475678,171.82013925911514,172.48374970585598,173.2718751907912,176.5210686818719,177.33275274944486,171.30167573346435,175.48475798028636,189.27350719105056,195.3083013516535,191.46354947159494,186.24794968039777,185.66221547773728,194.54125787884266,189.1761647927956,197.79279543162255,191.5403202461758,191.4574756218517,195.57894104811342,200.86371731905086,193.28906321655444,194.3247203708113,195.17909517422822,197.9051471944499,202.6428155533028,197.4692430739538,207.5068439061879,206.73856291381762,201.74519050553656,199.0684013440622,195.61571872437094,205.54876601800294,197.23374021144457,198.71859452733332,188.51284414646224,197.75788155723262,190.99633824495146,190.33570872726614,194.54566598381012,199.4727313835264,192.28245736635174,195.37241064854285,189.75104154415004,201.98676382392108,194.37532143101612,194.86020535248338,191.5324028067677,185.6691222660492,186.78924984412413,190.460460287947,179.06594109250113,179.8509164502299,176.35383541302622,172.26904511322726,174.89291735714437,184.5348053931418,179.10585440644837,176.45942374419593,163.78029439267445,165.5862130327875,167.0164165504716,184.098482141811,181.69784523260603,186.30506640637208,184.97796238943775,181.43860383615674,184.461254237869,194.38394490530757,189.44134356830352,193.65310591331883,188.3680491094923,197.6393477680573,197.60900430176852,200.43633573287164,195.5140142759669,195.29854750071365,194.2240657774982,195.1052370918003,199.8578741726067,198.8183658914115,187.42687439215976,196.12544602048388,187.7060869361539,191.38836366039033,187.37039166854316,192.45072422117062,197.08109995568367,191.80422262763133,204.09383695555923,208.26260239685183,204.970285944248,196.34945751614475,200.76559838857798,208.9172307327985,205.31606840947472,204.36177172328416,205.64880506784857,205.0180301271453,211.05821634584686,206.38842943020566,211.76668288464992,206.53968716742082,216.10379239181208,210.3452168458228,212.03034113519942,211.43778201236108,218.75179401117,216.85831437155105,216.38742803605123,208.56698272397676,209.93728779038304,210.20931325585215,207.63825278585267,203.00801819399172,210.19881005282224,201.97915395761552,209.8321480646385,203.70487121320093,197.7844824293162,196.32346128623993,195.4070146845987,201.7699789030299,201.00434684635331,194.67336535505362,185.93586128224797,184.89534182708798,187.57261503020754,182.53789088959704,178.45293212432446,181.17200124354608,181.9100145518721,181.67927718672428,183.23103802771163,183.1390036464961,188.57373861088917,190.7945521280237,182.69698404385895,182.28151011577688,184.7231153432211,184.43791242048485,177.60926589603304,179.50686946122505,175.5669874238808,171.3123750397479,158.8096334838807,171.26629872192456,173.5320635817468,182.84214121666918,181.88690709783398,180.0225253684868,182.31932416291087,186.38501573838045,184.75576899400127,189.75990370754633,188.33537804965354,189.42233719507453,192.48125000611742,201.74680776577358
8,1987-10-04 16:27:40+00:00,92.24895659610142,110.67245931512171,138.94504102748644,136.80230800405135,131.7335181190008,155.15849103120152,147.20469484637317,151.59875742429176,150.10517528167512,129.52636992290488,138.73840820405943,157.92622407750693,148.26688081098814,154.06069301286095,164.65609976472288,165.75275413147722,162.8109651710914,145.30065990157888,147.92220359049784,171.60330776510355,186.1296366762291,166.5846889850852,172.99921548052646,176.76129273073937,182.27648902385593,168.62591622520338,187.26666801382646,189.34076641353124,187.30546202164115,171.95939209534927,175.00602245747052,181.92302281998158,184.289930114725,176.01404939031426,171.1099882667622,173.30489356433495,179.66195271502593,175.2099085609985,178.8849420835839,163.7484902839679,169.3633738350171,176.4954804549863,182.07311189760213,175.7126567318057,167.13969227202986,176.80628959500055,182.23460865416658,193.1201149271457,184.89799917709445,183.91480217040979,178.16128417154115,176.70791350679784,175.33116632560862,175.24812676414857,183.81533622732172,187.9860514978123,188.80664552178834,193.2252506832057,190.54092824735048,190.30894321684,194.3129395847118,188.13995568722802,188.84172313232685,186.45258803144185,189.3172769831355,180.53006008829936,178.9089718043586,186.16646295456087,188.16195614141049,170.9638679462956,185.16003130697175,183.57885900990152,181.70347899430644,169.18830559487643,170.00558574568214,180.48064735400473,182.8053518855904,178.25225435711226,183.42570761222663,175.19093980862908,179.16422381937392,171.4332161980816,180.06552228110004,172.77607198583814,173.32588537505055,182.19484792154967,198.7140709358797,194.57969962227733,199.89182995647758,194.16383142883555,195.09974760079186,195.36411962750586,195.80587502306204,197.54742995358242,193.04756103508538,195.75795044844855,191.19356319583315,190.77705911423425,185.28520903959955,186.4133470399696,181.70680069830038,181.95117962079445,194.53904075767204,189.94771154615628,187.51930356751058,194.99318583138455,197.7748188241992,201.76231036280797,198.70943219382653,207.34362785742792,202.91031572516175,197.78015064058985,196.6932304593998,202.54256590502698,206.49074742092017,204.8755228838811,204.99487384110307,213.45790111296483,211.5079823091229,210.850106746452,210.03095186759217,218.4582029091296,219.5500971948328,219.25847763523285,218.60651587910763,215.81981704063193,220.94652605894814,213.38651939793314,204.65485525369778,207.77314341428794,213.12273552913967,217.5536295532713,212.02350337243988,213.048070784354,213.31603895316042,206.00708830962344,204.46329863713686,204.56102577256345,206.69232319754926,201.21117213542294,199.6099581145902,188.2347407590671,192.76013245365434,182.08929638746528,188.36302006961475,180.37831347920903,181.1745543913493,185.16810560626746,189.21712341702207,184.56321077512197,188.32271685778946,182.29079759057055,185.55155899605876,188.52576362006872,182.55872785230682,185.6007311336625,182.4724194941361,190.25536880784725,187.04466754088833,185.7153575767634,174.7400718190062,172.3017541509695,164.3918167962686,173.1334617896892,175.02740796819901,180.9979442169023,184.32102772009054,187.85575080605082,187.02079542103436,185.4545711117746,193.05206931683145,190.3724499693944,191.26229714983853,183.17700056189997,184.7967452351899,204.54701180220204
