dates,nzd0571-0000,nzd0571-0001,nzd0571-0002,nzd0571-0003,nzd0571-0004,nzd0571-0005,nzd0571-0006,nzd0571-0007,nzd0571-0008,nzd0571-0009,nzd0571-0010,nzd0571-0011,nzd0571-0012,nzd0571-0013,nzd0571-0014,nzd0571-0015,nzd0571-0016,satname
1999-08-26 22:05:56+00:00,276.26,277.66,270.41,270.06,267.51,270.48,263.70,253.55,268.99,280.40,273.01,289.02,280.95,298.90,291.04,284.94,271.83,L7
1999-09-27 22:06:00+00:00,275.87,276.80,268.61,268.41,267.33,267.67,262.92,262.37,270.81,278.33,272.11,286.22,281.32,297.35,293.45,283.35,268.95,L7
1999-11-14 22:05:54+00:00,283.51,283.32,273.22,270.74,272.81,275.04,266.68,267.71,274.66,279.84,273.71,285.45,281.36,290.95,290.99,291.72,268.95,L7
1999-11-30 22:05:47+00:00,283.04,282.58,274.32,269.33,274.38,275.46,267.47,269.40,274.85,279.60,274.93,284.30,280.37,290.95,290.99,291.72,268.95,L7
1999-12-16 22:05:57+00:00,286.04,284.02,276.46,272.43,276.33,277.03,269.55,270.89,275.20,277.97,275.44,281.68,279.49,290.52,286.63,291.72,268.95,L7
2000-03-05 22:05:36+00:00,283.60,280.46,273.66,268.61,273.96,275.47,268.55,272.10,275.67,275.40,275.53,279.33,278.87,288.92,285.44,291.26,264.32,L7
2000-03-21 22:05:37+00:00,280.01,279.53,270.65,267.78,272.48,273.56,267.57,271.00,275.26,273.92,275.39,278.95,278.82,289.85,287.76,289.93,263.15,L7
2000-05-08 22:05:09+00:00,280.91,282.46,275.18,270.52,271.68,277.50,272.65,268.85,270.81,273.30,276.62,278.05,278.24,288.36,287.60,300.15,261.69,L7
2000-08-12 22:04:05+00:00,262.90,271.95,265.22,262.84,260.14,268.69,267.39,260.20,263.44,267.67,271.71,273.43,274.73,285.93,288.83,289.33,260.25,L7
2000-09-13 22:03:38+00:00,265.30,275.35,267.38,266.67,262.34,269.19,268.71,260.18,262.86,267.92,270.83,272.59,274.44,286.14,289.54,288.36,259.66,L7
