dates,satname,nzd0571-0000,nzd0571-0001,nzd0571-0002,nzd0571-0003,nzd0571-0004,nzd0571-0005,nzd0571-0006,nzd0571-0007,nzd0571-0008,nzd0571-0009,nzd0571-0010,nzd0571-0011,nzd0571-0012,nzd0571-0013,nzd0571-0014,nzd0571-0015,nzd0571-0016
1999-08-26 22:05:56+00:00,L7,236.76,232.52,230.91,230.56,228.01,230.98,224.20,214.05,223.85,235.26,227.87,236.35,228.28,235.70,227.84,232.27,232.33
1999-09-27 22:06:00+00:00,L7,237.23,232.23,228.55,228.51,228.90,226.60,223.89,232.93,228.92,232.55,227.49,232.41,230.70,234.60,234.66,230.76,227.82
1999-11-14 22:05:54+00:00,L7,309.80,308.94,293.45,286.39,294.77,300.80,285.21,289.41,294.93,295.44,289.50,298.60,296.10,295.75,303.67,323.14,
1999-11-30 22:05:47+00:00,L7,309.37,312.05,305.36,292.86,306.84,304.45,297.57,302.22,307.13,310.59,310.27,317.83,314.39,,,,
1999-12-16 22:05:57+00:00,L7,325.06,320.63,312.01,311.82,311.13,310.31,304.86,303.86,307.47,302.28,308.37,307.20,311.99,332.42,316.76,,
2000-03-05 22:05:36+00:00,L7,221.77,211.60,214.18,208.70,213.40,220.45,216.49,217.34,223.02,219.28,225.17,220.93,221.51,224.89,218.67,227.22,220.32
2000-03-21 22:05:37+00:00,L7,220.07,226.89,213.58,221.64,223.12,221.97,220.64,223.50,225.21,218.53,226.70,221.05,222.57,226.38,229.86,229.94,218.81
2000-05-08 22:05:09+00:00,L7,309.92,301.50,301.00,290.18,269.29,295.52,299.62,265.28,253.92,280.54,286.59,,,,306.24,331.98,
2000-08-12 22:04:05+00:00,L7,242.37,236.39,234.60,233.33,237.25,239.33,235.31,237.19,240.18,240.88,236.97,238.97,240.78,239.32,244.55,238.18,237.13
2000-09-13 22:03:38+00:00,L7,231.96,228.61,225.85,227.02,225.20,225.42,224.79,220.25,224.13,223.74,225.07,222.42,224.64,230.33,226.30,227.33,221.53
2000-10-15 22:03:08+00:00,L7,223.86,215.18,216.23,209.53,215.95,218.81,217.59,215.79,217.61,215.15,214.60,215.62,216.00,220.96,219.27,226.08,217.96
2000-10-31 22:03:22+00:00,L7,,,235.03,235.25,239.98,237.24,237.24,238.63,233.51,237.32,235.00,237.13,231.23,235.58,248.46,272.58,254.54
2000-11-16 22:03:20+00:00,L7,283.64,283.21,274.35,273.00,270.23,274.90,276.73,282.05,271.40,273.32,266.61,275.29,266.15,289.13,300.31,311.88,
2001-01-03 22:03:24+00:00,L7,325.21,319.25,310.72,310.28,309.26,307.09,315.32,302.66,304.90,300.39,304.24,314.51,309.56,328.66,,,
2001-01-19 22:03:31+00:00,L7,279.78,277.82,268.62,266.47,268.16,269.38,264.74,265.17,264.44,263.99,263.52,266.28,272.16,272.67,291.39,303.10,303.80
2001-02-04 22:03:26+00:00,L7,256.40,248.01,245.69,241.77,250.09,252.59,248.25,252.20,247.24,245.71,243.10,242.30,242.47,243.43,251.44,278.70,
2001-02-20 22:03:24+00:00,L7,239.09,234.64,230.39,230.27,231.11,230.28,227.02,234.98,230.25,234.90,233.63,235.27,228.73,233.14,236.10,232.56,232.12
2001-10-02 22:01:16+00:00,L7,237.67,234.10,229.99,229.03,230.15,227.03,229.04,235.86,228.94,232.34,228.57,222.72,226.09,232.94,238.94,231.36,223.43
2001-12-21 22:01:41+00:00,L7,291.39,284.80,280.66,279.50,277.24,283.94,290.47,286.34,282.88,286.45,286.23,289.46,287.66,313.02,,,
2002-01-22 22:01:52+00:00,L7,311.31,307.50,297.51,302.22,293.97,299.08,295.04,292.97,294.73,292.92,298.12,305.72,306.80,332.16,355.40,,
2002-03-11 22:01:55+00:00,L7,237.71,233.92,229.70,229.71,228.68,230.85,234.32,233.75,227.70,236.40,229.24,232.61,226.28,231.97,227.32,232.13,225.72
2002-03-27 22:01:49+00:00,L7,227.75,216.85,213.81,214.70,221.52,222.29,218.92,225.85,225.13,226.11,226.57,220.03,225.21,228.18,224.42,228.18,224.09
2002-08-18 22:01:09+00:00,L7,269.93,265.06,262.04,261.53,262.09,261.25,260.09,266.01,266.65,258.42,262.38,249.99,265.50,283.58,283.10,300.36,312.43
2002-10-05 22:00:43+00:00,L7,226.53,218.33,218.96,218.08,220.52,222.66,221.18,214.77,222.82,219.74,224.62,218.46,222.44,225.03,224.75,228.62,217.29
2002-11-06 22:00:53+00:00,L7,,,,208.85,210.07,216.93,215.83,208.59,214.25,212.62,219.22,213.82,218.50,216.11,224.04,227.08,216.05
2002-12-08 22:01:15+00:00,L7,269.88,263.61,255.65,256.86,255.29,256.05,257.91,258.84,262.02,261.30,254.28,257.59,267.82,280.98,,,
2003-02-26 22:01:40+00:00,L7,256.55,253.78,252.21,251.22,253.23,253.46,254.33,247.09,246.33,248.92,249.02,249.85,254.40,263.21,266.69,276.57,281.32
