,dates,chi0011-0000,chi0011-0001,chi0011-0002,chi0011-0003
0,1985-03-28 14:12:25+00:00,,,,
1,1986-11-26 14:00:17+00:00,190.52344371808135,170.2849190257112,176.3428274635106,182.69562156932543
2,1986-12-28 14:01:13+00:00,184.26008806194432,180.51953301593923,179.7842885605575,184.72856978302678
3,1987-03-18 14:04:01+00:00,,168.4909881603326,171.58394174618817,
4,1988-02-01 14:11:26+00:00,189.51500047623782,185.9381832487369,180.8527346711593,177.88778167620788
5,1988-02-17 14:11:41+00:00,166.7236344389641,176.9004772522003,178.42750326513288,180.09902042799945
6,1988-03-04 14:11:51+00:00,183.68211423041865,192.85489134088394,194.49847795662143,191.27809822253516
7,1988-10-14 14:12:36+00:00,212.94443078732073,162.25216059112472,160.4608690115544,163.6903000660871
8,1988-12-01 14:12:36+00:00,189.5717967791679,163.9146100689384,164.074943565522,164.72780239067907
9,1988-12-17 14:12:23+00:00,,167.1499487613968,174.01757945403418,177.09039426528662
10,1989-03-07 14:11:38+00:00,,148.31340882936206,149.94529129605692,
11,1989-03-23 14:10:57+00:00,165.49365016508443,174.8348244541052,171.75513519673038,
12,1989-04-24 14:10:54+00:00,,,,
13,1989-05-10 14:10:41+00:00,,,,
14,1989-09-15 14:07:51+00:00,163.78154806464062,149.55798509553685,,
15,1989-12-04 14:05:49+00:00,191.80739483079958,177.25143067638103,180.10286101001472,179.68354578750478
16,1989-12-20 14:05:21+00:00,185.6219186386836,176.59093738743798,181.03242548014907,188.58404535118152
17,1990-01-21 14:04:21+00:00,173.9458705700576,181.94042860150478,192.41893503519506,195.66303558981363
18,1990-02-22 14:03:18+00:00,207.9692542524073,202.45632181028896,198.62598539584704,199.07996852137532
19,1990-03-10 14:02:44+00:00,182.6777163619658,194.7190327475073,195.25175704803613,200.55036516926663
20,1990-12-23 14:01:39+00:00,155.9548301609819,163.5620103307086,174.06211343874514,170.82773208099994
