dates,satname,nzd0021-0000,nzd0021-0001,nzd0021-0002
1999-08-17 22:10:26+00:00,L7,361.96,357.34,
1999-10-04 22:10:38+00:00,L7,391.95,386.66,389.43
2000-02-09 22:10:19+00:00,L7,,,352.77
2000-03-28 22:10:07+00:00,L7,375.71,375.24,380.34
2000-04-29 22:09:53+00:00,L7,384.63,379.34,384.06
2000-05-15 22:09:42+00:00,L7,370.64,367.02,368.16
2000-08-19 22:08:38+00:00,L7,329.86,310.54,
2000-09-20 22:08:03+00:00,L7,346.69,343.30,362.36
2000-10-06 22:07:59+00:00,L7,375.88,365.31,381.14
2000-11-07 22:07:53+00:00,L7,,,
2001-01-26 22:08:07+00:00,L7,355.53,346.66,357.64
2001-03-15 22:07:52+00:00,L7,366.73,353.06,367.32
2001-04-16 22:07:42+00:00,L7,373.51,360.48,376.07
2001-06-03 22:07:16+00:00,L7,,361.46,372.57
2001-09-07 22:06:11+00:00,L7,341.88,330.29,354.25
2001-11-26 22:06:09+00:00,L7,361.82,347.68,365.59
2002-02-14 22:06:29+00:00,L7,361.60,346.65,353.89
2002-03-18 22:06:22+00:00,L7,366.04,362.38,367.91
2002-04-03 22:06:21+00:00,L7,371.32,365.92,370.04
2002-11-13 22:05:30+00:00,L7,384.96,373.18,384.23
2003-01-16 22:06:02+00:00,L7,373.93,373.53,369.03
2003-04-06 22:06:21+00:00,L7,367.24,363.49,363.98
2003-05-24 22:06:17+00:00,L7,374.54,367.40,372.40
2004-01-19 22:06:35+00:00,L7,389.20,379.54,388.03
2004-02-04 22:06:41+00:00,L7,235.60,238.06,217.50
2004-04-08 22:06:49+00:00,L7,,,363.63
2004-04-16 21:57:19+00:00,L5,376.09,366.10,369.35
2004-05-18 21:58:14+00:00,L5,356.45,347.42,361.25
2004-06-03 21:58:42+00:00,L5,219.91,,
2004-06-11 22:06:38+00:00,L7,,382.72,388.02
2004-07-13 22:06:34+00:00,L7,,,369.39
2004-07-29 22:06:27+00:00,L7,,366.38,380.52
2004-08-30 22:06:20+00:00,L7,,,
2004-11-02 22:06:28+00:00,L7,370.45,364.14,361.45
