dates,sar1305-0000,sar1305-0001,sar1305-0002,satname
1984-08-26 09:36:33+00:00,221.21,,,L5
1985-01-10 09:30:39+00:00,236.18,138.35,,L5
1985-03-15 09:30:46+00:00,252.07,138.90,,L5
1985-06-19 09:30:26+00:00,253.03,140.98,,L5
1985-06-26 09:36:35+00:00,256.29,139.63,253.87,L5
1985-08-13 09:36:12+00:00,256.32,140.71,262.59,L5
1985-08-22 09:29:56+00:00,258.22,140.30,266.59,L5
1986-04-19 09:25:41+00:00,251.35,143.83,271.07,L5
1986-05-05 09:25:17+00:00,258.77,138.86,271.09,L5
1986-09-17 09:27:01+00:00,241.74,136.39,279.59,L5
1987-03-21 09:22:26+00:00,208.57,131.13,,L5
1987-04-06 09:23:00+00:00,209.38,131.07,310.75,L5
1987-04-29 09:29:54+00:00,223.83,135.12,282.44,L5
1988-05-17 09:36:55+00:00,251.22,133.82,253.96,L5
1988-07-29 09:31:06+00:00,258.81,141.15,254.62,L5
1988-12-11 09:36:57+00:00,259.78,140.10,254.61,L5
1989-07-16 09:27:43+00:00,206.45,131.57,,L5
1989-08-01 09:27:23+00:00,207.25,135.66,253.17,L5
1989-09-09 09:32:39+00:00,205.18,137.76,253.17,L5
1990-07-19 09:20:25+00:00,266.48,133.35,251.62,L5
1990-08-11 09:26:31+00:00,255.47,137.13,273.85,L5
1990-10-07 09:19:54+00:00,254.73,136.16,272.97,L5
1991-07-22 09:23:46+00:00,217.28,123.91,295.94,L5
1991-08-07 09:23:52+00:00,249.05,131.07,274.37,L5
1991-08-30 09:30:13+00:00,246.63,131.69,274.42,L5
1991-11-11 09:24:33+00:00,235.69,132.76,268.70,L5
1991-11-27 09:24:41+00:00,235.69,133.09,269.17,L5
1992-04-19 09:24:18+00:00,230.07,134.03,265.18,L5
1992-05-12 09:30:15+00:00,246.31,130.31,271.56,L5
1992-05-28 09:30:06+00:00,256.51,131.05,272.23,L5
1992-06-13 09:29:55+00:00,258.85,131.02,273.04,L5
1992-06-29 09:29:44+00:00,258.85,132.49,265.56,L5
1992-07-31 09:29:20+00:00,260.27,132.48,266.38,L5
1992-09-01 09:28:50+00:00,259.30,132.20,265.00,L5
1992-11-20 09:27:30+00:00,262.53,136.00,262.27,L5
1993-02-17 09:22:18+00:00,257.27,139.37,265.38,L5
1993-04-06 09:22:36+00:00,260.08,140.37,263.30,L5
1993-05-08 09:22:49+00:00,255.61,140.43,267.92,L5
1993-07-18 09:28:56+00:00,246.24,136.81,268.74,L5
1993-07-27 09:22:44+00:00,233.64,135.53,269.32,L5
1994-03-08 09:21:04+00:00,259.68,128.63,273.63,L5
1994-03-24 09:20:50+00:00,262.98,131.07,273.57,L5
1994-04-09 09:20:32+00:00,259.13,133.89,275.26,L5
1994-06-19 09:25:22+00:00,259.13,134.06,270.03,L5
1994-07-14 09:18:32+00:00,260.88,135.07,270.94,L5
