,dates,nzd0370-0000,nzd0370-0001,nzd0370-0002,nzd0370-0003,nzd0370-0004,nzd0370-0005,nzd0370-0006,nzd0370-0007,nzd0370-0008,nzd0370-0009,nzd0370-0010,nzd0370-0011,nzd0370-0012,nzd0370-0013,nzd0370-0014,nzd0370-0015,nzd0370-0016
0,1999-08-17 22:12:26+00:00,203.83649929524074,,217.1507935343809,,,,,201.425588830719,203.9324126432641,,,,,,,,
1,1999-08-26 22:06:20+00:00,212.60758247829062,213.147387800528,220.72806598930129,,,,,185.64795774099818,191.9696735631684,,,,,,,,
2,1999-09-18 22:12:27+00:00,201.0500745304113,202.36269057836049,214.54822577046542,235.8993412884772,233.90084065948972,,221.09152683572333,,,261.1814493641316,295.29807728542266,,,,,256.55978512715893,254.58736259522303
3,1999-10-13 22:06:24+00:00,,227.30996549800452,243.16308440395545,224.95129802851665,207.06234482164646,,206.01890862166064,210.08010684801533,215.6603584684926,247.56843981514572,284.01226470345847,,,,,253.94388870804605,239.43118906752264
4,1999-10-20 22:12:27+00:00,,195.04425443066066,203.05648220925727,191.58717823971585,181.58467550937274,188.09793224582427,209.82213657932732,,221.30856400537235,229.92163452855473,252.7144245194887,,,246.1836297006411,,238.00970989573898,220.17795104156104
5,1999-11-21 22:12:24+00:00,,205.30519261098755,198.39228870612115,179.03758574600425,,,205.54138551929208,194.0610140615387,203.5114020366267,216.6796078340219,250.7979850511166,234.62296134570565,240.2110531809715,240.4183863237515,227.90226520424852,235.1450495541685,
6,2000-01-08 22:12:26+00:00,,195.99263605661804,204.52315788570917,180.474727002823,,195.82772889053425,198.94623041767605,200.99458522101827,207.7240095710539,218.52758989666617,243.73460895264125,235.37698781127375,250.8449795729193,,242.9740340108624,254.89172181178515,220.955025925116
7,2000-01-17 22:06:11+00:00,,202.60080248329137,224.40571853502337,,206.11962217089481,,230.71114012956141,,,,271.1416529659249,,282.28569968031934,,,,
8,2000-02-25 22:12:13+00:00,,,220.1075882494707,,,,,,,,,,,,,,
9,2000-03-12 22:12:09+00:00,201.1682116145967,214.56541398141087,240.63535321195138,,,,235.76301867383987,,,,,,,,,,
10,2000-03-21 22:06:01+00:00,,184.42839070297126,191.39839959417108,181.63303726878826,,198.77926826542034,,184.0813283337157,189.0493695460396,205.40106416849721,235.56706291544754,211.3594912224403,,199.86027545695606,,,
11,2000-05-15 22:11:42+00:00,,184.42999436728857,193.24748743320637,183.17091396123837,,,,183.13804332641496,189.78822687137955,200.2542679929075,220.0218194582792,,,176.00712261363657,,,
