dates,satname,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0017,nzd0156-0018,nzd0156-0019,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0043,nzd0156-0044,nzd0156-0045,nzd0156-0046,nzd0156-0047,nzd0156-0048
1999-07-18 21:58:49+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.69,322.60,318.07,328.66,
1999-10-22 21:58:28+00:00,L7,339.01,326.72,328.11,351.53,376.94,371.75,346.84,343.07,345.92,347.86,350.85,347.06,347.04,350.60,348.41,357.63,356.31,367.65,367.04,352.82,351.90,353.73,350.76,361.04,361.68,364.31,364.16,371.04,373.02,368.48,371.70,379.58,393.72,380.08,374.03,364.54,369.85,374.69,367.02,368.52,368.56,376.73,364.62,364.32,360.52,357.50,357.01,373.89,371.15
1999-12-09 21:58:33+00:00,L7,305.33,290.36,298.61,323.58,326.28,326.29,328.51,328.35,327.08,326.53,329.97,330.94,330.97,329.14,333.51,334.99,339.53,346.23,343.06,338.29,333.98,339.14,342.11,339.23,342.82,349.08,342.92,349.04,356.55,352.68,354.40,345.97,350.40,353.95,347.89,353.94,349.53,352.42,347.03,352.53,353.29,354.98,350.74,349.92,344.83,346.02,346.07,356.70,358.25
1999-12-25 21:58:28+00:00,L7,282.07,279.39,282.17,299.25,324.30,320.49,313.73,315.80,315.29,318.17,318.15,314.22,323.62,325.28,321.66,323.50,319.69,334.35,338.03,333.67,333.67,326.91,327.36,330.12,330.62,337.63,337.93,339.79,349.86,348.51,340.07,302.68,320.20,336.37,331.94,328.97,335.39,337.37,328.42,329.90,341.89,337.72,340.23,317.64,317.72,326.16,328.61,334.91,336.21
2000-03-14 21:58:11+00:00,L7,324.25,313.19,315.77,334.45,359.99,343.61,332.80,332.79,332.95,335.53,337.24,338.45,341.80,345.17,344.61,349.21,352.12,360.05,356.20,351.86,349.16,349.21,350.21,352.46,354.64,359.36,359.30,360.25,372.64,370.73,371.05,370.35,382.17,376.18,370.07,369.36,365.75,367.46,365.40,365.56,369.52,372.33,361.88,360.78,357.12,358.89,356.38,369.11,366.03
2000-03-30 21:58:09+00:00,L7,335.48,320.16,316.69,346.76,366.66,351.47,338.12,332.51,332.07,336.33,340.67,343.63,349.74,352.71,353.75,358.62,360.00,368.48,365.98,357.66,358.17,354.73,358.17,359.56,362.54,367.98,369.41,369.88,383.37,386.34,383.76,384.02,393.62,383.97,377.91,372.50,378.01,377.23,374.79,369.94,376.76,381.85,368.50,370.25,360.99,365.19,364.95,375.05,373.03
2000-05-01 21:57:54+00:00,L7,337.78,324.36,322.45,339.12,376.51,368.06,,,336.20,336.10,342.89,344.36,344.81,342.81,344.76,351.22,362.00,362.72,362.83,353.65,350.82,352.20,349.02,350.52,357.31,362.92,362.90,366.71,369.83,371.51,383.28,403.75,402.63,383.03,381.25,373.47,379.48,381.70,373.31,372.25,371.81,381.59,370.18,367.67,364.06,361.46,357.62,370.51,369.23
2000-06-18 21:57:51+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,320.82,329.47,336.57,343.38,341.09,349.07,363.07,358.94,356.94,351.76,351.23,,,,,,,,,,,,,,,,
2000-10-24 21:55:53+00:00,L7,,,,,,,325.78,327.51,327.35,327.31,329.93,330.93,333.58,335.06,334.72,342.24,345.01,349.56,348.65,345.29,340.68,337.22,338.35,344.53,346.10,347.16,344.40,350.39,358.89,365.39,362.08,366.56,357.02,367.32,355.01,350.51,353.11,356.27,355.14,353.25,360.28,366.90,354.08,350.20,341.33,335.96,313.08,353.93,362.75
2000-12-11 21:56:00+00:00,L7,293.05,285.02,288.77,302.59,328.96,320.84,317.15,313.59,322.26,318.15,317.17,319.83,322.59,325.58,324.08,329.53,328.59,341.32,341.92,339.17,333.87,327.69,332.73,334.76,336.54,344.74,341.62,345.09,354.65,356.26,356.77,341.76,355.33,354.88,,,,349.66,346.56,346.82,352.57,354.18,351.69,344.51,342.05,341.78,342.58,351.44,354.07
