dates,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0017,nzd0156-0018,nzd0156-0019,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0043,nzd0156-0044,nzd0156-0045,nzd0156-0046,nzd0156-0047,nzd0156-0048,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.06,326.85,323.44,337.16,,L7
1999-10-22 21:58:28+00:00,325.61,315.55,318.54,339.35,360.19,356.86,340.46,336.98,339.22,341.16,343.80,340.68,340.66,346.13,341.71,350.58,347.38,359.27,358.67,345.77,345.52,345.85,345.18,356.42,356.89,357.93,358.33,366.98,369.30,363.52,366.12,366.18,378.83,366.68,363.72,354.23,359.54,363.52,355.85,359.59,359.63,367.80,359.47,356.88,352.14,351.92,349.96,362.72,363.27,L7
1999-12-09 21:58:33+00:00,316.33,299.53,306.47,333.58,340.03,338.51,333.75,333.35,332.58,332.03,335.76,336.18,336.21,332.81,339.01,340.78,346.86,353.11,349.94,344.08,339.22,345.61,346.69,343.02,346.75,354.32,347.70,352.37,359.61,356.75,358.98,356.97,362.62,364.95,356.35,362.40,357.99,361.59,356.20,359.86,360.62,362.31,354.97,356.03,351.70,350.60,351.86,365.87,364.72,L7
1999-12-25 21:58:28+00:00,303.87,297.56,297.74,319.07,351.55,344.71,324.11,325.71,326.19,329.07,329.62,324.60,334.00,332.55,332.56,334.97,334.22,347.98,351.65,345.14,344.05,339.73,336.44,337.64,338.41,348.01,347.41,346.40,355.92,356.58,349.15,324.48,344.42,358.17,348.71,345.74,352.16,355.54,346.59,344.43,356.42,352.25,348.61,329.75,331.35,335.24,340.08,353.08,349.03,L7
2000-03-14 21:58:11+00:00,317.25,307.36,310.77,328.09,351.24,335.83,329.47,329.61,329.45,332.03,333.56,335.12,338.47,342.84,341.11,345.53,347.45,355.68,351.82,348.18,345.83,345.09,347.29,350.05,352.14,356.03,356.26,358.13,370.70,368.14,368.13,363.35,374.39,369.18,364.69,363.98,360.37,361.63,359.57,360.89,364.85,367.66,359.19,356.89,352.75,355.97,352.70,363.28,361.91,L7
2000-03-30 21:58:09+00:00,326.28,312.49,310.12,338.40,355.16,341.25,333.74,328.33,327.47,331.73,335.83,339.25,345.36,349.64,349.15,353.78,353.87,362.73,360.23,352.82,353.79,349.32,354.34,356.39,359.25,363.60,365.41,367.09,380.81,382.93,379.93,374.82,383.40,374.77,370.83,365.42,370.93,369.56,367.12,363.81,370.63,375.72,364.96,365.14,355.24,361.36,360.11,367.38,367.62,L7
2000-05-01 21:57:54+00:00,324.78,313.53,313.16,327.30,360.26,353.62,,,329.70,329.60,336.05,338.17,338.62,338.48,338.26,344.38,353.33,354.60,354.70,346.81,344.63,344.55,343.60,346.04,352.67,356.73,357.25,362.77,366.22,366.70,377.86,390.75,388.19,370.03,371.25,363.47,369.48,370.87,362.48,363.58,363.14,372.92,365.18,360.45,355.94,356.04,350.78,359.68,361.58,L7
2000-06-18 21:57:51+00:00,,,,,,,,,,,,,,,,,,,,,,,323.82,331.95,339.14,346.81,344.22,351.25,365.07,361.61,359.94,358.96,359.23,,,,,,,,,,,,,,,,,L7
2000-10-24 21:55:53+00:00,,,,,,,318.64,320.69,319.85,319.81,322.04,323.79,326.44,330.06,327.22,334.35,335.01,340.19,339.27,337.40,333.54,328.40,332.10,339.36,340.74,340.02,337.88,345.84,354.72,359.83,355.83,351.56,340.35,352.32,343.47,338.97,341.57,343.77,342.64,343.25,350.28,356.90,348.31,341.87,331.95,329.71,305.19,341.43,353.93,L7
2000-12-11 21:56:00+00:00,295.25,286.85,290.34,304.59,331.71,323.28,318.20,314.59,323.36,319.25,318.33,320.88,323.64,326.31,325.18,330.69,330.06,342.69,343.30,340.33,334.92,328.98,333.65,335.52,337.33,345.79,342.58,345.76,355.26,357.07,357.69,343.96,357.77,357.08,,,,351.49,348.39,348.29,354.04,355.65,352.54,345.73,343.43,342.70,343.74,353.27,355.36,L7
2001-03-01 21:55:57+00:00,302.74,290.38,298.07,320.97,338.43,333.03,316.86,313.70,323.39,324.95,321.46,323.44,327.29,325.95,328.21,331.41,336.79,344.77,341.90,337.97,333.20,328.95,329.77,334.55,334.80,344.52,345.40,345.56,358.17,356.05,355.24,356.61,357.23,364.54,361.73,370.39,362.76,363.53,364.98,365.07,367.20,363.38,354.97,354.74,352.63,353.69,354.90,366.19,363.83,L7
2001-06-05 21:55:16+00:00,302.38,,,323.91,341.52,329.13,328.13,326.12,329.98,332.04,334.97,335.43,338.39,338.57,,,343.99,351.17,348.06,348.07,347.46,340.81,344.20,,348.42,353.88,,351.39,363.77,357.26,360.57,363.21,352.75,351.79,357.01,351.74,350.66,361.71,348.95,352.36,349.10,359.34,357.96,348.25,346.23,347.64,341.53,348.16,352.73,L7
2001-06-21 21:55:05+00:00,301.74,,,,341.69,330.42,325.14,323.59,327.27,331.36,330.85,335.36,337.17,,,,345.77,351.91,352.30,350.08,344.15,342.99,343.03,,349.30,351.37,,352.74,360.06,358.83,353.76,345.63,349.32,345.80,346.18,345.43,348.64,349.41,346.97,349.64,346.16,356.88,352.91,347.11,342.17,342.58,341.04,350.14,347.98,L7
2001-08-24 21:54:48+00:00,,,,,,,,,,,,,,,,,,337.20,346.88,339.10,334.79,330.65,326.76,331.88,334.74,341.77,357.74,346.39,350.45,348.92,348.11,345.31,348.85,344.87,342.11,342.71,334.06,349.60,341.85,341.85,346.48,354.93,340.61,335.10,334.17,336.01,335.33,349.16,345.48,L7
