dates,satname,sar2491-0000,sar2491-0001
1984-04-13 09:26:43+00:00,L5,229.64,242.70
1984-05-06 09:33:03+00:00,L5,219.21,239.14
1984-07-18 09:28:22+00:00,L5,238.42,250.18
1984-08-26 09:35:45+00:00,L5,195.16,210.68
1984-09-04 09:29:37+00:00,L5,234.08,242.96
1984-09-11 09:35:50+00:00,L5,205.53,226.96
1984-09-20 09:29:40+00:00,L5,225.22,241.26
1984-10-13 09:35:49+00:00,L5,223.92,238.03
1984-10-22 09:29:36+00:00,L5,223.88,235.58
1984-12-09 09:29:34+00:00,L5,229.64,242.30
1985-01-17 09:36:05+00:00,L5,194.18,224.72
1985-03-15 09:29:58+00:00,L5,197.65,213.65
1985-04-16 09:29:51+00:00,L5,223.59,241.71
1985-04-23 09:35:59+00:00,L5,229.89,245.92
1985-05-02 09:29:43+00:00,L5,222.79,240.51
1985-05-25 09:35:51+00:00,L5,228.61,241.52
1985-06-03 09:29:40+00:00,L5,238.64,245.00
1985-06-10 09:35:50+00:00,L5,203.89,219.38
1985-06-26 09:35:47+00:00,L5,213.89,230.19
1985-07-05 09:29:33+00:00,L5,,
1985-07-12 09:35:41+00:00,L5,231.18,244.00
1985-08-13 09:35:25+00:00,L5,221.50,239.18
1985-08-22 09:29:08+00:00,L5,231.90,245.91
1985-10-09 09:28:35+00:00,L5,,
1985-12-03 09:33:55+00:00,L5,215.38,239.33
1986-01-04 09:33:20+00:00,L5,287.88,290.26
1986-01-13 09:26:58+00:00,L5,176.93,216.42
1986-02-21 09:32:17+00:00,L5,218.82,243.13
1986-03-25 09:31:37+00:00,L5,190.77,209.22
1986-04-10 09:31:17+00:00,L5,212.76,225.49
1986-05-21 09:24:03+00:00,L5,229.48,241.70
1986-05-28 09:30:02+00:00,L5,234.85,246.84
1986-06-06 09:23:35+00:00,L5,215.84,235.22
1986-06-22 09:23:04+00:00,L5,228.25,241.38
1986-07-24 09:21:59+00:00,L5,222.54,237.65
1986-07-31 09:27:55+00:00,L5,231.08,242.45
1986-08-16 09:27:20+00:00,L5,230.06,245.21
1986-09-10 09:20:15+00:00,L5,225.39,241.16
1987-01-16 09:19:18+00:00,L5,,
1987-02-01 09:19:48+00:00,L5,210.17,238.98
1987-02-08 09:26:15+00:00,L5,209.02,230.26
1987-03-21 09:21:38+00:00,L5,226.15,240.54
1987-04-29 09:29:06+00:00,L5,230.88,242.53
1987-05-08 09:23:11+00:00,L5,222.96,238.10
1987-05-15 09:29:33+00:00,L5,216.11,233.76
1987-06-09 09:23:59+00:00,L5,217.31,236.32
1987-06-16 09:30:19+00:00,L5,197.05,213.32
1987-06-25 09:24:20+00:00,L5,234.82,251.05
1987-07-02 09:30:39+00:00,L5,224.58,241.59
1987-07-11 09:24:39+00:00,L5,231.32,247.40
1987-07-18 09:30:57+00:00,L5,216.81,228.90
1987-08-03 09:31:25+00:00,L5,211.05,228.03
1987-08-12 09:25:31+00:00,L5,222.83,240.56
1987-08-19 09:31:54+00:00,L5,220.53,240.90
1987-09-04 09:32:19+00:00,L5,235.10,252.64
1987-09-13 09:26:21+00:00,L5,219.88,240.23
1987-10-06 09:33:02+00:00,L5,223.98,240.02
