dates,satname,nzd0112-0000,nzd0112-0001,nzd0112-0002,nzd0112-0003,nzd0112-0004,nzd0112-0005,nzd0112-0006,nzd0112-0007,nzd0112-0008,nzd0112-0009,nzd0112-0010,nzd0112-0011,nzd0112-0012,nzd0112-0013,nzd0112-0014,nzd0112-0015,nzd0112-0016,nzd0112-0017,nzd0112-0018,nzd0112-0019
1999-08-26 22:04:44+00:00,L7,346.17,333.18,339.90,342.24,351.70,359.36,359.65,360.48,360.55,358.50,359.09,358.31,362.71,363.72,364.66,365.32,347.49,347.41,342.78,330.78
1999-09-27 22:04:48+00:00,L7,324.69,306.78,307.38,313.97,317.28,323.52,312.39,322.52,326.05,324.34,319.88,326.85,333.88,336.82,337.89,344.54,336.92,334.04,331.37,307.38
1999-10-13 22:04:48+00:00,L7,318.88,300.81,304.24,301.26,313.08,315.68,309.75,309.68,321.28,321.31,325.59,324.71,326.88,326.41,334.79,337.12,333.15,328.52,323.07,303.17
1999-10-22 21:58:28+00:00,L7,363.63,355.03,362.32,348.12,363.34,364.39,362.51,358.11,363.27,366.21,370.78,372.56,373.68,382.26,380.86,380.67,,,,
1999-11-14 22:04:42+00:00,L7,328.79,316.68,312.58,312.14,323.39,321.63,316.81,310.20,319.48,326.63,334.03,323.42,323.42,335.37,341.90,344.63,343.98,341.90,343.45,334.39
1999-11-23 21:58:23+00:00,L7,,,,,,,,,,,,,,,,,,,,
2000-01-01 22:04:37+00:00,L7,,,,,,,,,,342.81,358.29,360.33,343.93,354.24,368.87,358.06,366.13,365.88,371.08,363.80
2000-02-11 21:58:22+00:00,L7,,,,,,,,,,,,,,,,,,,,
2000-02-18 22:04:29+00:00,L7,337.84,325.98,327.03,327.87,345.09,343.84,336.34,334.50,341.24,340.28,346.41,343.56,342.13,345.71,350.33,345.94,345.14,349.98,349.44,338.26
2000-02-27 21:58:16+00:00,L7,,,,,,,,,,,,,,485.94,465.19,481.46,647.94,513.65,,
2000-03-14 21:58:11+00:00,L7,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:09+00:00,L7,360.78,354.08,354.39,359.13,365.58,369.46,363.72,355.27,357.24,362.24,368.56,364.44,359.55,370.51,379.36,378.11,377.99,377.68,375.69,359.79
2000-05-17 21:57:43+00:00,L7,,,,,,347.14,339.16,336.52,335.70,337.11,343.70,341.87,347.46,358.67,355.79,352.37,354.06,356.81,357.07,340.78
2000-06-02 21:57:31+00:00,L7,,,,,,,,,,,,,,,,,,,504.94,
2000-07-11 22:03:17+00:00,L7,354.81,325.51,327.23,317.34,306.67,319.49,313.63,319.71,324.58,321.57,317.36,337.22,338.90,333.63,335.46,343.86,340.99,323.31,325.91,322.22
2000-07-20 21:56:59+00:00,L7,,,,,,,,,,,,,,,,,,316.12,318.31,304.20
2000-08-21 21:56:38+00:00,L7,320.73,294.16,293.28,,,288.28,300.75,299.57,,299.28,308.02,315.52,315.13,,,,,,,
2000-09-06 21:56:22+00:00,L7,,,,,,,,,,,,,,,,504.81,370.72,350.46,366.80,363.81
2000-11-25 21:55:59+00:00,L7,328.90,315.35,312.66,315.49,317.43,321.24,324.22,318.83,319.51,321.52,324.08,325.55,324.95,327.29,324.68,328.14,326.36,322.51,321.24,310.02
2000-12-11 21:56:00+00:00,L7,334.68,311.98,309.06,310.97,312.02,312.74,313.18,313.43,299.64,299.56,308.96,314.23,316.37,318.37,319.03,315.69,318.65,312.74,311.04,303.83
2000-12-27 21:56:05+00:00,L7,,,308.54,308.81,303.26,307.61,308.33,305.80,299.21,297.36,303.17,316.29,317.53,322.47,319.91,319.70,319.26,324.94,320.83,306.08
2001-01-03 22:02:12+00:00,L7,344.40,320.83,321.43,322.67,328.29,324.81,327.72,325.15,321.83,316.77,324.21,327.47,327.38,328.31,329.10,327.81,,,,
2001-03-01 21:55:57+00:00,L7,324.19,309.31,312.03,322.16,316.94,321.33,322.37,317.71,314.66,312.47,310.79,316.10,322.34,325.87,322.15,318.00,323.56,325.23,317.96,305.98
2001-05-11 22:01:45+00:00,L7,316.98,304.40,301.39,305.44,301.94,295.67,290.01,288.18,277.45,282.06,289.64,299.28,297.87,308.07,311.83,300.58,304.70,306.72,301.65,289.10
2001-06-05 21:55:16+00:00,L7,322.16,,,314.07,305.73,295.52,291.84,291.72,288.60,304.02,310.81,313.33,316.97,319.81,321.86,323.75,319.03,311.35,310.19,299.38
2001-06-21 21:55:05+00:00,L7,,,,,620.59,628.54,,,,,,614.88,599.42,338.68,345.56,339.80,335.41,335.16,342.34,336.79
2001-08-08 21:54:37+00:00,L7,333.78,313.94,313.47,316.39,318.17,311.07,301.06,304.94,307.95,323.50,322.50,324.29,323.36,328.05,328.61,324.14,324.71,313.84,314.97,309.72
2001-08-15 22:00:38+00:00,L7,351.69,329.63,338.74,341.79,348.12,336.12,304.03,318.93,328.51,348.40,341.65,345.59,342.15,343.55,351.08,338.38,,,,
2001-08-24 21:54:24+00:00,L7,,,,,337.22,329.66,323.78,,,,323.24,331.87,338.44,337.95,339.27,343.01,339.09,327.18,323.93,328.14
2001-09-09 21:54:12+00:00,L7,,,308.25,306.62,309.44,,,,,315.19,316.62,319.11,322.79,320.60,320.48,322.60,322.02,317.29,310.21,301.40
2001-09-16 22:00:17+00:00,L7,,296.36,303.70,292.85,295.57,306.10,301.71,282.99,294.51,294.51,289.06,291.42,293.90,288.55,290.29,300.01,300.07,288.03,280.94,230.67
2001-09-25 21:54:04+00:00,L7,364.26,349.28,352.24,361.75,344.33,358.47,363.13,342.85,346.20,346.03,345.06,353.75,352.63,344.76,346.59,356.93,355.12,347.59,344.16,348.50
2001-12-05 22:00:18+00:00,L7,317.42,299.16,302.88,308.37,311.32,303.06,308.69,304.68,301.28,309.63,309.81,308.78,311.99,317.32,317.87,310.55,305.82,309.75,302.66,290.03
2001-12-30 21:54:13+00:00,L7,,,,,,,,510.53,,643.70,,633.73,635.29,641.10,,,489.06,636.55,645.56,309.12
2002-01-15 21:54:23+00:00,L7,325.53,308.69,306.82,318.43,321.05,315.80,318.22,315.19,312.03,317.03,312.97,316.85,317.86,321.25,319.68,318.90,312.95,317.05,318.53,305.65
2002-01-22 22:00:40+00:00,L7,356.23,341.45,342.08,351.97,360.48,360.96,357.16,356.55,350.74,349.81,347.59,359.62,366.26,358.54,360.84,356.32,354.57,354.91,338.10,328.82
2002-03-20 21:54:24+00:00,L7,,,,,,,,,,,,,,355.82,351.96,344.33,343.50,342.17,335.32,
2002-03-27 22:00:37+00:00,L7,340.93,319.11,318.07,324.29,332.92,334.01,324.46,322.84,324.42,323.93,327.62,326.42,322.96,328.31,330.92,330.24,324.72,325.69,322.15,308.20
2002-04-05 21:54:25+00:00,L7,348.64,331.80,333.25,336.50,345.14,351.80,343.56,,,,,,,,,,337.86,337.63,327.30,328.32
2002-04-28 22:00:38+00:00,L7,322.09,303.70,304.93,308.91,313.39,311.37,310.37,307.90,308.74,310.60,311.90,314.67,312.85,324.16,322.04,316.77,311.88,312.47,310.62,296.97
2002-05-07 21:54:27+00:00,L7,381.34,363.31,370.33,380.78,389.89,394.75,394.04,386.72,389.48,382.85,373.32,375.60,372.90,377.49,372.61,366.54,362.56,363.01,366.15,366.81
2002-06-15 22:00:19+00:00,L7,343.30,333.25,326.43,331.93,336.57,337.19,336.51,338.42,332.01,334.85,332.63,331.26,330.16,334.31,339.40,339.20,333.70,328.68,325.52,
2002-06-24 21:54:04+00:00,L7,349.73,333.74,340.98,339.87,352.79,357.46,347.40,344.94,341.10,341.89,334.20,345.66,346.39,351.72,352.00,351.41,346.86,343.06,334.24,325.45
2002-07-17 22:00:08+00:00,L7,382.38,355.78,363.34,351.02,374.19,375.19,373.68,367.92,365.35,355.82,359.17,369.18,362.45,345.37,350.19,376.42,371.50,345.26,342.68,357.22
2002-08-02 22:00:01+00:00,L7,352.39,337.23,334.11,327.11,340.50,346.17,330.64,331.47,329.28,330.67,331.72,333.88,342.73,335.61,340.37,349.13,344.73,330.16,326.07,319.93
2002-08-11 21:53:48+00:00,L7,336.16,311.25,310.11,315.25,311.82,309.79,309.68,303.89,310.62,318.00,320.64,329.47,328.25,330.63,332.54,337.21,322.83,319.22,320.99,305.92
2002-08-18 21:59:57+00:00,L7,,386.82,380.75,395.41,412.00,409.38,387.92,398.29,392.91,366.13,362.91,364.02,381.44,386.99,376.39,385.09,377.07,348.84,372.05,355.47
2002-08-27 21:53:36+00:00,L7,,,,,,,324.33,328.35,324.33,325.19,,329.12,327.55,318.92,270.51,339.59,337.95,335.06,340.22,337.90
2002-09-19 21:59:35+00:00,L7,356.31,344.58,343.30,342.95,346.23,345.72,343.21,344.39,338.30,340.26,342.44,345.58,343.68,343.13,342.78,347.07,338.71,336.38,334.88,336.73
2002-09-28 21:53:22+00:00,L7,349.42,333.95,333.62,333.35,334.10,342.61,337.41,346.99,338.59,341.83,346.90,353.61,352.71,353.60,339.70,341.50,336.84,335.14,331.37,335.75
2002-10-14 21:53:19+00:00,L7,364.95,358.75,358.22,363.65,359.68,361.84,354.87,350.17,355.03,352.83,339.97,350.52,348.40,356.01,368.29,365.60,359.33,358.82,343.36,337.37
2002-10-21 21:59:36+00:00,L7,343.00,329.51,322.00,327.90,329.36,327.79,331.69,324.65,328.31,332.95,330.93,331.81,332.92,,,,,,,
2002-11-22 21:59:57+00:00,L7,327.05,322.53,316.64,317.89,322.54,323.05,324.64,323.30,327.11,333.99,338.12,334.55,333.13,344.39,348.40,339.47,331.07,324.47,322.54,326.11
2002-12-24 22:00:09+00:00,L7,337.06,324.63,329.22,324.79,332.02,334.51,334.35,326.44,331.27,331.60,331.27,330.79,336.46,346.17,352.56,351.87,339.51,330.32,320.72,310.66
2003-01-18 21:54:06+00:00,L7,336.79,325.65,322.13,325.47,326.90,326.75,324.31,327.04,330.51,330.73,335.03,348.42,345.46,348.78,348.19,343.48,343.89,336.10,324.04,309.53
2003-01-25 22:00:18+00:00,L7,344.30,335.91,329.99,335.83,346.33,362.18,358.90,360.91,359.69,355.39,356.91,354.26,352.98,355.82,360.75,360.35,355.45,345.52,339.08,338.29
2003-03-23 21:54:16+00:00,L7,,,,,,,,,,,,,,,,,,,347.97,405.36
2003-03-30 22:00:31+00:00,L7,355.73,346.19,347.08,352.57,357.97,348.09,343.52,346.33,344.90,339.60,338.34,335.43,337.86,337.80,343.95,339.34,334.66,340.68,336.03,321.20
2003-05-10 21:54:22+00:00,L7,350.38,353.92,355.47,357.61,376.20,362.95,362.30,366.62,363.28,328.17,324.83,336.29,340.62,340.59,336.70,339.27,348.70,335.45,330.70,328.08
2003-05-26 21:54:19+00:00,L7,372.63,362.65,364.56,358.24,371.64,371.65,362.43,376.66,381.93,377.13,361.20,368.05,365.92,363.14,351.16,358.67,362.57,340.50,334.23,354.18
2003-07-21 21:42:09+00:00,L5,377.66,366.89,365.32,379.23,386.39,380.54,375.96,371.53,373.30,370.03,362.20,352.48,354.56,357.38,359.89,363.40,,,,
2003-08-05 22:00:11+00:00,L7,336.35,314.78,314.30,321.49,327.93,327.94,322.09,316.53,312.94,,,86.29,324.08,323.65,324.99,330.53,330.69,318.50,316.79,308.22
2003-08-06 21:42:27+00:00,L5,,360.12,357.90,354.71,370.16,371.40,354.06,343.37,350.92,346.33,343.69,361.48,351.91,339.45,346.03,359.53,364.91,,,
2003-08-13 21:48:45+00:00,L5,323.32,309.66,312.56,318.74,320.92,310.07,307.76,307.74,305.70,307.50,304.68,311.37,306.81,313.48,317.08,316.50,314.75,312.82,314.11,297.14
2003-08-22 21:42:44+00:00,L5,193.88,197.57,218.99,,,392.81,359.13,376.24,,,,,,,,,,,,
2003-09-07 21:43:00+00:00,L5,389.93,371.53,373.88,384.25,398.22,390.37,376.35,377.29,371.25,355.10,349.29,367.80,371.37,359.54,,,,,,
2003-09-14 21:49:18+00:00,L5,334.20,315.27,313.89,318.56,326.23,322.10,318.61,317.44,314.98,318.64,316.24,317.16,318.71,324.25,321.51,317.44,318.24,317.20,,
2003-10-25 21:43:40+00:00,L5,344.29,328.37,330.03,331.28,337.36,328.86,319.78,315.25,315.93,318.13,314.09,319.09,325.13,333.16,331.93,326.72,327.60,327.04,324.71,313.62
2003-11-17 21:50:09+00:00,L5,374.72,355.74,356.17,362.84,356.98,356.71,336.06,339.17,337.46,333.62,336.08,352.79,357.92,355.55,356.38,360.75,366.93,363.34,359.31,345.01
2003-12-04 21:54:19+00:00,L7,,,362.06,360.11,370.35,374.50,379.13,373.50,366.07,363.02,,,,,,,,359.54,356.70,359.19
2003-12-12 21:44:10+00:00,L5,352.55,334.71,337.93,347.17,359.32,352.34,338.79,326.44,328.79,332.34,338.27,328.93,325.73,333.59,336.40,344.89,349.31,352.92,347.67,349.69
2003-12-19 21:50:27+00:00,L5,,366.61,361.74,363.10,372.78,356.99,355.81,358.11,347.42,343.48,345.09,341.77,350.24,358.50,357.04,363.61,365.61,353.46,352.23,353.50
2004-01-21 21:54:39+00:00,L7,343.78,326.73,327.32,333.08,343.03,,,,,,,328.72,329.60,331.39,338.70,340.96,340.04,338.83,329.88,314.51
2004-01-28 22:00:52+00:00,L7,354.31,350.62,346.40,,,,354.75,352.74,352.31,346.81,345.82,343.04,340.88,347.70,349.21,349.41,349.49,,,
2004-02-22 21:54:43+00:00,L7,348.68,332.45,335.38,,,,,,,,331.87,332.44,326.38,326.79,343.40,343.48,341.78,334.41,,
2004-03-01 21:44:38+00:00,L5,373.47,358.04,354.42,357.12,354.88,360.37,363.91,357.39,357.50,360.62,363.50,364.22,364.74,360.12,361.00,361.15,359.25,368.89,359.53,338.01
2004-03-17 21:44:44+00:00,L5,376.33,355.15,370.36,366.22,365.05,363.13,354.22,354.37,360.45,361.07,361.96,369.76,370.57,369.33,362.44,371.70,364.92,357.00,349.90,350.44
2004-03-25 21:54:54+00:00,L7,340.45,322.99,326.51,328.18,336.15,,,,,,,332.06,333.64,333.81,339.18,343.08,337.95,333.97,331.92,312.94
2004-04-18 21:45:25+00:00,L5,335.67,320.34,323.76,332.01,331.30,333.15,323.35,323.37,315.41,328.77,326.89,324.66,322.85,333.80,338.21,334.43,332.47,336.36,331.46,307.20
2004-05-03 22:00:59+00:00,L7,,349.20,352.96,353.94,351.92,,,,,357.46,353.00,360.77,359.58,349.01,349.78,356.50,357.52,342.97,331.83,
2004-05-04 21:45:52+00:00,L5,351.89,338.31,339.55,342.72,347.67,348.14,338.13,333.21,333.07,338.83,339.15,341.53,347.53,347.78,349.33,351.46,348.15,,,
