dates,nzd0112-0000,nzd0112-0001,nzd0112-0002,nzd0112-0003,nzd0112-0004,nzd0112-0005,nzd0112-0006,nzd0112-0007,nzd0112-0008,nzd0112-0009,nzd0112-0010,nzd0112-0011,nzd0112-0012,nzd0112-0013,nzd0112-0014,nzd0112-0015,nzd0112-0016,nzd0112-0017,nzd0112-0018,nzd0112-0019
1999-08-26 22:04:44+00:00,140.27202849221223,128.077069142376,133.49401601830283,135.24801167465716,145.68948832602095,151.96408826019368,152.1215681959802,150.75950681100613,153.63830467832594,153.05266839756894,152.47070051317007,153.58763987853135,156.57461635851107,159.51695839604324,159.9124957677101,159.40169929512962,138.41787655181272,141.31042294565773,136.18320720044807,123.26650347600885
1999-09-27 22:04:48+00:00,150.7040204834283,125.71660382003097,132.7788852070789,135.3511261433701,137.8994235585634,145.14923041793776,136.69532034726026,145.9516324587503,149.8435115322687,140.27152202535945,137.87708033310366,145.10395798128403,152.95777567675074,150.3530641424817,154.10224660534706,164.40419640004637,160.86240273456048,147.80623290061362,148.96000777786543,137.7848303221949
1999-10-13 22:04:48+00:00,143.01972888906877,119.26789680798656,128.31791044220012,122.27970063317102,133.7987981400864,139.67178921716027,133.78063298812762,133.70104825819132,145.31147496895844,140.13056216156804,144.15385886287976,143.11205972246262,145.49767733882484,139.73258518356798,149.0599394626642,155.1207855063987,153.91174145156666,145.4818464808005,139.6105872830977,122.35609355443293
1999-10-22 21:58:28+00:00,137.83667374040223,132.66628156794957,136.76984447031717,125.68406648494044,138.21951579243807,136.09702881380338,137.7662272239057,131.65900946140673,139.16471503670638,146.57796248710648,151.91955787863833,153.810344985833,153.81452147549632,166.03198734364915,164.4443587838499,162.45394677406927,,,,
1999-11-14 22:04:42+00:00,140.3501307248858,124.53945132707828,124.13295775730226,122.08086975106472,132.22215886826075,133.0467258948648,127.98880475963306,121.5976151629154,129.91561554382164,135.09199784289368,142.50076777964222,131.69721726563006,132.07686536929526,141.3754913444947,148.77439106995476,153.15621939682688,153.84601684213365,150.4749834446438,150.61125645511484,147.80476025860443
1999-11-23 21:58:23+00:00,,,,,,,,,107.80530128582814,,,,,,,,,,,
2000-01-01 22:04:37+00:00,,,,,,,,,,123.99113604880053,136.31473118197405,139.10353259321363,122.11199810121941,135.48215239417303,148.56950287202153,138.50807833772498,144.08280611277462,145.15094851502198,148.26533291355034,134.53418516727393
2000-02-11 21:58:22+00:00,,,,,,,,,,,,,,,,,,,,
2000-02-18 22:04:29+00:00,132.48069892515792,119.63875966494284,121.7398645419433,125.35749278064245,140.499185177989,138.44632474295545,131.78626192047287,130.5927840595619,136.1152794374534,136.4466266180413,141.7059734400154,138.96250369391632,138.14776079199075,142.80099873603555,145.7973389946553,142.5789000090536,139.9929214853248,145.21494874123414,146.27180199543938,131.3874231168758
2000-02-27 21:58:16+00:00,,,,,,,,,,,,,,,245.5379209061657,221.4155762391685,168.28455654235393,,,248.47639566240113
2000-03-14 21:58:11+00:00,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:09+00:00,137.76123040036535,132.863195472752,127.95474055951601,135.30957489376289,141.54087930179116,141.2499698400159,136.821103773004,131.92155481100596,131.72404462788015,140.01810090802252,146.4295939602979,141.22064308080513,138.63077682556568,151.33857238752822,155.94861923042248,148.82967635708343,150.28996814179706,154.17096493209345,142.4591731054167,127.80442460834125
