dates,nzd0400-0000,nzd0400-0001,nzd0400-0002,nzd0400-0003,nzd0400-0004,nzd0400-0005,nzd0400-0006,nzd0400-0007,nzd0400-0008,nzd0400-0009,nzd0400-0010,nzd0400-0011,nzd0400-0012,nzd0400-0013,nzd0400-0014,nzd0400-0015,nzd0400-0016,nzd0400-0017,nzd0400-0018,nzd0400-0019,nzd0400-0020,nzd0400-0021,nzd0400-0022,nzd0400-0023,nzd0400-0024,nzd0400-0025,nzd0400-0026,nzd0400-0027,nzd0400-0028,nzd0400-0029,nzd0400-0030,nzd0400-0031,nzd0400-0032,nzd0400-0033,nzd0400-0034,nzd0400-0035,nzd0400-0036,nzd0400-0037,nzd0400-0038,nzd0400-0039,nzd0400-0040,nzd0400-0041,nzd0400-0042,nzd0400-0043,nzd0400-0044,nzd0400-0045,nzd0400-0046,nzd0400-0047,nzd0400-0048,nzd0400-0049,nzd0400-0050,nzd0400-0051,nzd0400-0052,nzd0400-0053,nzd0400-0054,nzd0400-0055,nzd0400-0056,nzd0400-0057,nzd0400-0058,nzd0400-0059,nzd0400-0060,nzd0400-0061,nzd0400-0062,nzd0400-0063,nzd0400-0064,nzd0400-0065,nzd0400-0066,nzd0400-0067,nzd0400-0068,nzd0400-0069,nzd0400-0070,nzd0400-0071,nzd0400-0072,nzd0400-0073,nzd0400-0074,nzd0400-0075,nzd0400-0076,nzd0400-0077,nzd0400-0078,nzd0400-0079,nzd0400-0080,nzd0400-0081,nzd0400-0082,nzd0400-0083,nzd0400-0084,nzd0400-0085,nzd0400-0086,nzd0400-0087,nzd0400-0088,nzd0400-0089,nzd0400-0090,nzd0400-0091,nzd0400-0092,nzd0400-0093,nzd0400-0094,nzd0400-0095,nzd0400-0096,nzd0400-0097,nzd0400-0098,nzd0400-0099,nzd0400-0100,nzd0400-0101,nzd0400-0102,nzd0400-0103,nzd0400-0104,nzd0400-0105,nzd0400-0106,nzd0400-0107,nzd0400-0108,nzd0400-0109,nzd0400-0110,nzd0400-0111,nzd0400-0112,nzd0400-0113,nzd0400-0114,nzd0400-0115,nzd0400-0116,nzd0400-0117,satname
1999-08-17 22:12:50+00:00,,,,,,,,,,,,,,,,,296.43,300.21,308.66,309.96,311.24,315.78,331.15,354.55,362.13,370.78,374.04,377.53,382.60,378.74,376.20,361.22,349.90,349.89,340.95,334.75,337.11,341.70,338.05,330.54,328.17,335.54,331.34,327.36,314.36,317.11,313.56,308.00,303.41,300.62,305.44,300.51,308.20,306.83,295.39,300.77,307.81,284.78,289.62,283.83,281.47,,,,,,,,,,,,,,,,,,352.67,352.43,360.44,362.73,361.51,359.96,360.39,365.64,367.43,366.41,368.38,375.73,374.93,369.34,370.52,376.27,376.28,376.38,372.23,375.23,377.70,387.69,384.58,379.51,380.10,377.80,374.77,383.95,374.51,371.19,382.04,379.01,371.94,372.72,369.49,376.84,379.56,,,,L7
1999-08-26 22:06:44+00:00,,267.79,277.24,292.17,296.72,302.57,302.17,309.28,290.84,273.98,267.47,265.69,270.93,277.77,287.03,298.43,304.61,308.50,313.60,314.25,316.59,323.17,337.89,352.60,363.03,370.58,376.29,380.21,383.87,383.13,381.24,366.65,354.10,351.83,345.02,338.43,342.06,345.17,340.15,333.55,329.51,336.56,337.87,335.69,326.18,325.45,320.21,312.69,310.69,309.41,308.26,307.53,309.62,310.91,306.90,308.89,310.48,289.70,291.56,286.03,286.82,299.46,300.33,298.65,301.95,309.99,312.83,321.40,306.97,327.28,339.49,342.92,336.94,319.43,344.94,350.81,358.48,360.53,358.14,356.50,358.62,364.19,362.64,361.44,360.20,366.78,367.83,370.88,371.93,378.36,378.05,376.60,378.73,383.68,383.92,386.17,382.39,386.50,384.55,388.57,384.51,382.31,384.94,381.71,380.37,387.10,379.38,378.25,390.68,388.25,382.20,381.49,378.60,383.50,384.88,383.87,371.08,356.31,L7
1999-10-13 22:06:48+00:00,,281.97,278.25,287.29,291.20,293.44,290.55,291.46,283.11,275.44,268.96,262.35,259.71,265.01,274.53,286.28,298.71,304.47,309.61,311.68,315.43,322.41,335.54,351.15,359.66,367.74,372.87,377.12,381.21,385.81,385.03,367.52,352.10,348.05,339.79,334.46,334.76,337.43,334.56,328.75,325.57,331.38,331.49,329.27,323.76,323.63,319.42,315.56,311.08,310.41,309.28,308.00,308.92,308.43,304.61,308.15,309.29,289.47,286.65,284.62,285.53,290.75,292.38,293.83,297.93,301.13,305.27,314.59,315.39,320.30,329.35,334.59,334.97,331.07,346.39,345.37,347.99,350.57,354.28,353.25,356.76,359.15,361.41,360.55,361.05,365.61,366.84,369.64,369.85,374.31,375.20,375.64,377.98,383.22,385.19,387.83,384.94,385.14,383.33,385.40,382.77,381.04,381.99,379.02,378.15,383.01,377.35,376.46,387.85,384.00,378.83,378.32,374.37,380.07,380.74,377.05,363.08,354.40,L7
1999-11-21 22:12:47+00:00,,284.62,286.58,291.58,289.11,287.58,283.22,285.29,279.06,271.49,266.87,262.84,260.14,266.51,275.39,287.73,299.39,303.31,309.08,313.17,315.97,323.78,336.49,349.73,356.35,362.71,368.53,373.62,377.18,382.05,382.57,366.06,350.44,343.69,336.19,333.22,333.25,336.00,330.94,326.52,325.65,329.07,330.70,329.14,322.80,323.91,319.38,313.05,311.12,312.23,310.14,309.43,308.52,305.75,303.46,305.93,305.21,287.42,284.50,282.10,282.51,286.68,286.58,288.04,284.71,289.46,301.14,308.00,309.96,316.84,325.78,330.50,331.44,323.40,346.39,345.45,348.28,350.22,352.86,351.17,353.69,355.61,358.56,358.32,361.22,366.59,366.83,369.94,368.93,370.79,370.87,372.80,374.39,381.12,383.76,386.51,384.16,382.70,380.60,381.93,380.05,379.86,381.79,379.50,378.54,381.68,376.90,376.62,388.52,384.73,379.47,378.20,374.37,380.07,379.98,376.57,362.12,350.78,L7
1999-12-07 22:12:53+00:00,,292.45,299.16,301.29,289.51,285.65,279.71,283.77,276.77,268.90,265.20,261.45,257.72,264.86,273.60,284.25,298.53,302.58,310.80,314.82,316.88,324.56,335.52,347.72,353.64,358.94,364.49,370.08,373.46,379.46,382.36,366.26,350.26,342.83,336.02,333.43,332.89,335.35,330.18,325.22,323.66,326.63,328.86,327.94,322.15,322.44,319.30,315.03,312.57,313.69,310.44,309.01,307.39,303.74,302.55,304.94,304.83,286.22,282.45,281.25,281.37,284.46,283.40,284.16,280.83,286.66,299.01,305.15,307.82,314.50,322.64,327.27,329.07,323.25,338.75,344.31,348.11,350.59,352.74,350.34,352.12,356.08,357.90,357.54,359.66,365.75,365.90,369.02,368.00,369.00,368.96,370.68,372.24,379.95,382.60,386.58,384.75,382.65,380.76,382.61,379.56,379.36,380.22,378.20,376.73,379.58,375.61,375.92,387.40,384.27,378.73,376.89,374.20,378.77,378.62,375.48,361.85,348.95,L7
2000-01-17 22:06:35+00:00,,302.98,308.86,309.15,294.77,289.82,282.30,282.94,275.02,267.27,263.11,258.96,256.39,263.83,273.90,285.82,298.74,302.21,310.71,315.07,318.03,326.12,337.41,348.96,352.63,357.53,363.11,369.12,372.12,378.30,382.13,364.77,349.43,341.91,335.62,334.27,333.97,336.09,330.68,326.59,324.83,327.67,330.30,329.31,323.34,323.22,320.62,315.47,311.94,312.45,309.90,308.40,307.63,304.20,303.18,305.17,304.22,286.00,283.23,282.49,283.03,284.81,283.76,284.53,282.12,287.40,299.26,305.11,308.50,313.74,322.08,327.03,329.76,324.78,338.72,345.59,349.10,351.87,353.44,351.60,353.03,357.19,358.41,357.97,359.73,364.81,365.98,368.83,368.05,368.86,369.37,371.21,372.87,380.18,382.30,386.50,385.60,383.69,381.71,383.07,379.67,379.14,380.20,377.85,376.61,379.37,375.15,375.73,386.57,382.69,377.44,376.27,372.84,377.87,377.49,373.70,359.86,349.34,L7
2000-02-18 22:06:29+00:00,,305.18,308.86,309.15,294.77,289.82,283.20,285.06,277.45,267.45,263.41,259.51,256.53,263.68,273.77,285.84,300.01,302.75,310.61,316.54,320.27,328.12,338.65,346.75,349.29,353.89,359.56,366.66,369.50,376.96,382.84,365.87,349.84,341.00,334.68,334.42,334.02,335.00,329.45,325.89,323.95,324.92,329.28,329.65,324.28,323.39,321.19,315.16,312.11,314.00,309.81,308.11,306.34,302.67,305.19,306.74,304.07,287.23,282.99,282.94,283.81,285.95,284.58,284.53,278.85,285.77,299.74,305.28,309.13,313.59,320.14,324.84,328.89,324.54,337.62,345.45,348.48,351.94,353.39,351.66,351.90,356.84,358.25,356.90,359.59,364.64,365.69,369.32,367.99,367.49,368.26,371.59,373.34,380.96,383.51,388.52,388.28,384.92,382.51,382.15,381.19,378.29,379.52,377.31,376.93,378.17,375.27,377.82,387.47,383.43,378.54,376.97,373.67,378.13,377.08,373.70,359.86,349.34,L7
2000-03-21 22:06:25+00:00,,310.96,316.24,315.50,299.13,289.26,281.04,280.21,275.29,267.42,263.93,260.96,257.86,263.53,272.64,285.10,298.20,298.31,306.23,312.76,315.51,323.09,332.81,341.74,345.00,350.44,354.87,362.43,365.62,373.33,380.64,363.90,347.74,339.15,333.99,334.55,332.12,331.78,327.11,323.58,322.67,321.82,325.75,326.71,322.14,322.46,321.85,315.94,310.59,311.72,307.63,304.71,303.29,299.77,301.46,303.63,301.44,284.15,279.06,280.72,281.50,283.05,280.98,281.50,277.22,283.52,296.10,303.55,310.05,311.50,316.61,321.46,328.68,328.65,336.81,345.98,348.10,351.41,352.19,351.12,352.47,355.91,357.59,355.39,358.27,362.92,363.98,366.80,365.36,363.71,364.65,367.82,370.69,378.88,381.55,385.47,383.98,379.67,377.94,378.89,378.50,374.92,375.95,374.18,373.85,375.19,372.45,375.32,382.27,377.77,373.12,371.42,366.10,371.06,371.82,369.03,355.26,346.44,L7
2000-04-13 22:12:18+00:00,,309.38,320.42,320.33,302.98,293.78,283.29,281.82,276.11,267.28,264.31,263.46,262.92,269.09,278.23,290.56,301.69,298.86,304.67,310.65,312.95,319.30,330.11,338.08,343.17,349.30,354.80,362.25,364.06,368.62,377.42,362.09,347.74,340.10,337.22,337.84,335.56,334.26,328.40,325.39,323.50,321.55,325.85,328.18,324.10,323.69,323.11,317.56,313.11,314.00,309.02,304.40,301.45,298.26,299.47,301.84,299.96,281.78,279.48,280.59,281.96,283.92,281.79,282.17,276.65,284.54,297.99,304.87,310.29,311.71,317.05,322.44,330.11,329.62,337.76,349.18,352.36,355.77,356.01,355.60,355.28,359.42,360.05,357.95,361.35,364.39,364.51,365.47,365.24,363.47,363.74,367.21,370.87,378.43,380.45,385.49,384.70,381.17,378.31,379.22,378.13,374.16,375.55,373.80,373.40,375.54,374.16,376.56,381.74,377.33,371.93,370.44,366.18,370.64,371.54,369.28,356.98,347.11,L7
2000-05-24 22:05:46+00:00,98.86,305.41,320.02,327.16,307.48,298.26,286.23,284.67,278.87,271.79,270.16,268.44,268.35,273.53,283.26,293.26,302.81,299.77,303.18,307.53,311.56,316.61,326.28,334.62,341.17,348.57,353.47,360.14,364.65,371.39,380.64,367.64,353.12,342.32,339.80,340.00,338.01,335.38,332.46,328.66,325.19,323.82,326.25,327.86,324.82,323.24,323.43,320.09,311.56,311.12,307.57,304.80,303.92,302.40,302.92,303.89,303.58,282.98,280.21,282.08,283.46,284.45,282.11,283.26,281.79,287.97,295.67,306.88,312.53,312.07,316.74,322.46,331.26,333.94,337.76,346.70,349.63,354.87,355.83,354.30,353.64,359.58,360.12,355.94,357.03,358.43,363.37,364.03,364.51,360.97,361.58,364.82,367.51,375.00,377.78,383.61,385.29,383.64,382.14,384.80,382.76,376.28,376.49,374.62,375.36,375.11,373.81,376.45,379.54,374.14,368.51,366.76,364.11,368.66,369.32,369.17,358.69,350.08,L7
